# 使用中の単字 = 2260字 / 使用中の master表示 = 5362種
# ★候補にしてよいのは この一覧に載っている字のみ。載っていない字は使わない。

## [A] 生物に使われている字(最近縁字を選ぶ際の第一候補)
字	語根数	既に割り当てられている代表例(語根=語釈)
齿	22(生物16)	filik={Ｏ}【植】シダ（羊歯） / aspleni=【植】【PIV】G. (Genro) (As / psilot=【植】【PIV】G. (Genro) (Ps / azol=【植】【PIV】G. (Genro) (Az / ceterak=【植】【PIV】Sp. (Specio) d
花	32(生物16)	fig={Ｂ}【果】イチジク / korol={Ｏ}【植】花冠（かかん）,=petalar / infloresk=【植】花序 / kalistegi=【植】ヒルガオ（属）,>>konvolvul / arakid=【植】ラッカセイ（落花生）（属）,>>ter
香	30(生物16)	latir=【植】レンリソウ（属） / bergamot=【植】ベルガモット（オレンジの一種） / mirt={Ｏ}【植】ギンバイカ（銀梅花）（属）,ミル / siring={Ｏ}【植】ライラック,ハシドイ（属） / ladan=【植】【PIV】Aroma gumo, li
菜	16(生物15)	brasik={Ｂ}【植】キャベツ,=kapobrasik / bet={Ｂ}【植】ビート,テンサイ（甜菜）,サトウ / spinac={Ｂ}【植】ホウレンソウ（菠薐草）（属） / nap={Ｏ}【農】カブ,カブラ（蕪）,=rapo; / endivi={Ｏ}【植】キクヂシャ,エンダイブ
海	17(生物9)	fok={Ｏ}【動】ゴマフアザラシ（属）;《般》アザ / ekin=【動】ウニ,=markas^tano / procelari=【動】【PIV】G. (Genro) (Pr / asteri=【動】ヒトデ,=marstelo / salp=【動】【PIV】G. (Genro) (Sa
鸡	10(生物9)	kok={Ｂ}【鳥】ニワトリ（鶏）;【生】=mikr / tetra={Ｏ}【鳥】エゾライチョウ（蝦夷雷鳥）（種） / fazan={Ｏ}【鳥】キジ（雉）（科の総称） / meleagr={Ｏ}【鳥】シチメンチョウ（属）（七面鳥） / kantarel=【菌】アンズタケ（属）
松	12(生物9)	pin={Ｂ}【植】マツ（松）（属） / sciur={Ｂ}【動】リス（栗鼠）（科の総称） / larik={Ｏ}【植】カラマツ（属） / cedr={Ｏ}【植】ヒマラヤスギ属;セイヨウスギ,シ / juniper={Ｏ}【植】ビャクシン（属）;セイヨウネズ
麦	12(生物9)	aven={Ｂ}【植】カラスムギ（烏麦）（属）;【植】 / horde={Ｂ}【植】オオムギ（属） / sekal={Ｂ}【植】ライムギ（属）;ライ麦（穀物） / ergot=【植】麦角（ばっかく）;【鳥】蹴爪（けづめ） / fagopir=【植】ソバ（蕎麦）（属）;ソバの実
蛛	11(生物9)	arane={Ｂ}【動】クモ（蜘蛛） / opilion=【動】【PIV】G. (Genro) (Op / terafoz=【動】【PIV】G. (Genro) (Th / argiop=【動】【PIV】G. (Genro) (Ar / argironet=【動】【PIV】Araneulo (unus
茄	10(生物9)	solan=【植】ナス（茄子）（属） / alkekeng=【植】【PIV】Sp. (Specio) d / fizalid=【植】【PIV】G. (Genro) (Ph / hiosciam=【植】【PIV】Hiskiamo. / likopersik=【植】【PIV】G. (Genro) (Ly
鹰	10(生物9)	strig={Ｂ}【鳥】フクロウ（梟）（の類） / vultur={Ｂ}【鳥】コンドル（種）,=kondoro / falk={Ｏ}【鳥】ハヤブサ（隼）（属） / grif=【神】グリュプス,グリフォン（頭と翼が鷲で胴 / akcipitr={Ｏ}《般》タカ（鷹）,>>falko,>>
树	15(生物8)	arb={Ｂ}木,樹木;【植】高木 / gajl={Ｏ}【植】虫こぶ,ふし,没食子（もっしょく / mangl=【果】マングローブ（の実） / dracen=【植】【PIV】G. (Genro) (Dr / kasi=【植】【PIV】G. (Genro) (Ca
鹿	9(生物8)	cerv={Ｂ}【動】シカ（鹿，属）;シカ（科） / dama=【動】ダマジカ,=damcervo / kapreol={Ｏ}【動】ノロ（シカ科の動物の一種） / g^iraf={Ｏ}【動】キリン / rangifer=【動】=boaco（トナカイ）
桃	11(生物8)	persik={Ｂ}【果】モモ（桃） / migdal={Ｏ}【果】アーモンド / jugland={Ｏ}【果】クルミ（胡桃）;【植】クルミ（属 / mirt={Ｏ}【植】ギンバイカ（銀梅花）（属）,ミル / kiv=《Ｎ》【果】キウイ
蛙	10(生物8)	ran={Ｂ}【動】トノサマガエル（殿様蛙）（属）; / batrak=【動】無尾類,=senvostuloj / hil=【動】アマガエル（雨蛙）（属）,=verda / salamandr={Ｏ}【動】サンショウウオ（山椒魚）の類;サ / aksolotl=【動】【PIV】La larvo de la
姜	9(生物8)	alpini=【植】【PIV】G. (Genro) (Al / amom=【植】【PIV】G. (Genro) (Am / eletari=【植】【PIV】G. (Genro) (El / etlinger=【植】【PIV】G. (Genro) (Et / galang=【植】【PIV】1 (ss (strikta
叶	15(生物7)	lob={Ｏ}【解】葉（よう）;【植】裂片 / klorofil=【植】葉緑素 / frond=【植】（地衣類の）葉状体;（シダ類・ヤシ・シ / limb=【植】葉身;【機】分度弧,目盛り縁 / korm=【植】【PIV】1 Vegeta korpo
根	15(生物7)	radik=根の;《転》根本的な,根源的な;【植】根生の / tars=【解】足根骨;【虫】ふ節 / ipek=【植】【PIV】1 Sp. (Specio) / rizom=【植】根茎,地下茎 / draj^=【植】【PIV】S^oso, kiu kre
麻	13(生物7)	lin={Ｂ}【植】アマ（属）（亜麻） / kanab={Ｏ}【植】アサ（麻）,タイマ（大麻） / sezam=【植】ゴマ（胡麻）（属）;【料】ごま（ゴマの / lami=【植】オドリコソウ（属）;【神】ラミア（ギリ / jut=【織】ジュート;【植】=jutplanto（
水	47(生物6)	hidr={Ｏ}【動】ヒドラ;【神】ヒドラ（九つの頭を / meduz={Ｏ}【動】クラゲ（海月・水母） / narcis={Ｏ}【植】スイセン（水仙）（属） / kolc^ik=【植】コルチカム（属）,イヌサフラン / staki=【植】【PIV】G. (Genro) (St
山	12(生物6)	pekan=【植】【PIV】Speco de nukso / filadelf=【植】バイカウツギ（属） / karj=【植】【PIV】G. (Genro) (Ca / manis=【動】【PIV】G. (Genro) (Ma / kapor={Ｏ}【植】フウチョウボク（属）,ケーパー（
野	8(生物6)	tetra={Ｏ}【鳥】エゾライチョウ（蝦夷雷鳥）（種） / prunel={Ｏ}【果】スピノサスモモの実 / fazan={Ｏ}【鳥】キジ（雉）（科の総称） / lami=【植】オドリコソウ（属）;【神】ラミア（ギリ / bizon={Ｏ}【動】バイソン,ヤギュウ（野牛）,>>
蜂	8(生物6)	vesp={Ｂ}【虫】スズメバチ（雀蜂）（科の総称）; / melis={Ｏ}【植】メリッサ,セイヨウヤマハッカ（属 / petazit=《Ｎ》【植】フキ（蕗）（genro _Pet / cinip=【動】【PIV】G. (Genro) (Cy / krabr={Ｏ}【虫】モンスズメバチ,>>vespo
毒	27(生物6)	cikut={Ｏ}【植】ドクゼリ（属）;ドクニンジンの毒 / lol={Ｏ}【植】ドクムギ（属）,ライグラス / koni=【植】ドクニンジン（属） / vipur={Ｏ}【動】クサリヘビ（鎖蛇）（属）;《般》 / mancinel=【植】マンチニール（有毒な樹液を分泌する熱帯
雀	8(生物6)	kanari={Ｏ}【鳥】カナリア（種） / paser={Ｂ}【鳥】スズメ（雀）（属） / fring={Ｏ}【鳥】アトリ（属） / emberiz=【鳥】ホオジロ（属） / pirol={Ｏ}【鳥】ウソ（鷽）
鸦	8(生物6)	korv={Ｂ}【鳥】カラス（属）（鴉、烏）,>>ko / kornik={Ｂ}【鳥】ハシボソガラス / korak=【鳥】ワタリガラス / garol={Ｏ}【鳥】カケス（属） / frugileg={Ｏ}【鳥】ミヤマガラス
甲	21(生物6)	skarab={Ｏ}【虫】タマオシコガネ,スカラベ（属）; / cefalaspid=【動】【PIV】G. (Genro) (Ce / pteraspid=【動】【PIV】G. (Genro) (Pt / kurkuli=【虫】ゾウムシ（科）,=bekskarabo / manis=【動】【PIV】G. (Genro) (Ma
大	13(生物5)	soj=【植】ダイズ（大豆、マメ科の植物）,=soj / rabarb={Ｏ}【植】ダイオウ（大黄）（属）;【料】ル / sizigi=【天】【植】【PIV】1 Konjunkci / glicin=【植】ダイズ属;【化】グリシン（アミノ酸の一 / glicine=【植】=glicino（ダイズ属）
猫	7(生物5)	strig={Ｂ}【鳥】フクロウ（梟）（の類） / karakal=【動】【PIV】Sp. (Specio) d / link={Ｏ}【動】オオヤマネコ（属）（大山猫） / felis=【動】ネコ属（の動物）,>>kato / pand=【動】パンダ
牛	12(生物5)	bov={Ｂ}【動】ウシ（牛）（属） / tau^r=《稀》雄牛,種牛,=virbovo;【動】ウ / ur={Ｏ}【動】オーロックス（17世紀に絶滅した / bizon={Ｏ}【動】バイソン,ヤギュウ（野牛）,>> / bubal={Ｏ}【動】スイギュウ（水牛）
黄	22(生物5)	rabarb={Ｏ}【植】ダイオウ（大黄）（属）;【料】ル / buks={Ｏ}【植】ツゲ（黄楊） / mile=《Ｎ》【植】キビ（黍）（種）,>>panic / hesperornit=【動】【PIV】G. (Genro) (He / jut=【織】ジュート;【植】=jutplanto（
尾	11(生物5)	cisticerk=【動】【PIV】Larvo de iuj t / onkocerk=【動】【PIV】G. (Genro) (On / salvi={Ｏ}【植】サルビア（属）,アキギリ（属）; / ofiur=【動】【PIV】G. (Genro) (Op / celakant=【魚】シーラカンス
燕	6(生物5)	hirund={Ｂ}【鳥】ツバメ（属）;=domhirun / aven={Ｂ}【植】カラスムギ（烏麦）（属）;【植】 / procelari=【動】【PIV】G. (Genro) (Pr / fring={Ｏ}【鳥】アトリ（属） / salangan=【動】【PIV】G. (Genro) (Co
