版	層	延べ出現	マーク付き	マーク率%
学習者版	文法層	30512	2216	7.3
学習者版	CSV2890	48828	11048	22.6
学習者版	PEJVO	15485	8717	56.3
学習者版	PIV	3621	2645	73.0
学術版	文法層	28513	946	3.3
学術版	CSV2890	47264	10225	21.6
学術版	PEJVO	13534	7298	53.9
学術版	PIV	5609	2558	45.6
