版	表面	見出し(raw)	行	語釈冒頭
学術版	对	kontrau^-	L19425	{Ｂ}［前］〜に向かって,〜に対して,〜に対抗して,〜に反して
学術版	对流o	konvekt/o	L19603	【理】（熱）対流
学術版	对流o	kontrau^/flu/o	L58509	【技】【PIV】Sistemo, ekz. (ekzemple) c^e ekstraktado, 
学術版	射具o	paf/il/o	L28979	銃,鉄砲,>>fusilo;=pafarko;射出機
学術版	射具o	projekciator/o	L53861	【PIV】Aparato, por projekcii bildojn sur ekranon: m
学術版	己	si	L36439	{Ｂ}［代］自分
学術版	己	heks	L48794	【化】【PIV】Pref. (Prefikso), montranta 6-karbonan c^e
学術版	币o	dur/o	L7938	【史】ドゥーロ（スペインの５ペセタ銀貨）
学術版	币o	valut/o	L42545	{Ｏ}【経】通貨;外国為替;為替相場,>>devizkurzo
学術版	帆杆o	bum/o	L4620	【海】ブーム,帆げた
学術版	帆杆o	vel/stang/o	L42883	【海】帆桁（ほげた）,ヤード,=jardo
学術版	帆船o	skun/o	L37043	【海】スクーナー（二本以上のマストをもつ縦帆船）
学術版	帆船o	vel/s^ip/o	L42885	【海】帆船
学術版	帝主义o	imperialism/o	L15016	{Ｏ}=imperiismo（帝国主義）
学術版	帝主义o	imperi/ism/o	L15026	帝国主義;帝政
学術版	帝家o	imperialist/o	L15017	=imperiisto（帝国主義者）
学術版	帝家o	imperi/ist/o	L15027	帝国主義者;帝政派（人）
学術版	干植o	kserofit/o	L51041	【植】【PIV】Sekeja planto.
学術版	干植o	sek/plant/o	L60406	【PIV】Sekeja planto (Vd (vidu) eja).
学術版	年a	jar/a	L16212	年間の,=unujara;年次の,毎年の,=c^iujara
学術版	年a	-jar/a	L16213	年間の,=unujara;年次の,毎年の,=c^iujara
学術版	年岁a	-jar/ag^/a	L16216	〜歳の
学術版	年岁a	jar/ag^/a	L57418	〜歳の
学術版	形a	form/a	L11699	形式の,外形の
学術版	形a	-form/a	L11700	形式の,外形の
学術版	扩具o	amplifikator/o	L1616	【電】増幅器,=amplifikilo
学術版	扩具o	amplif/il/o	L44952	【PIV】Aparato, por pliigi la energion de elektraj o
学術版	担子菌oj	bazidimicet/oj	L45726	【PIV】Precipa klaso (Basidiomycetes) de la bazidimi
学術版	担子菌oj	bazidi/fung/oj	L58691	【PIV】Bazidi(o)mikotoj.
学術版	拖网o	tren/ret/o	L41296	引網（漁業）,地引網,底引網,>>trolo,>>sejno
学術版	拖网o	trol/o	L41532	【海】トロール網（漁業）
学術版	按	lau^	L21601	{Ｂ}［前］〜に沿って,〜に従って,〜によって
学術版	按	lau^-	L21602	{Ｂ}［前］〜に沿って,〜に従って,〜によって
学術版	振具o	vibr/il/o	L43283	【電】振動子
学術版	振具o	vibrator/o	L56865	【PIV】Aparato vibranta, pro la motoro, kiun g^i ent
学術版	换具o	komutator/o	L18825	【電】=komutilo（切換スイッチ）
学術版	换具o	komut/il/o	L18830	【電】切替スイッチ,開閉器;【通】電話交換機
学術版	换行o	aline/o	L1181	{Ｏ}【印】（改行して）字下げになった行;（改行から次の改行までの）段落
学術版	换行o	komut/ad/o	L18824	切り替え,転換
学術版	操具o	manipulator/o	L24261	=manipulilo（マニピュレーター）
学術版	操具o	operaci/il/o	L28493	手術器具;【情】演算子
学術版	擦伤i	ekskori/i	L8380	［他］【医】=skrapvundi（擦りむく）
学術版	擦伤i	frot/vund/i	L12201	［他］擦りむく
学術版	收割具o	falc^/il/o	L10365	【農】（長柄の）かま
学術版	收割具o	falc^ator/o	L47580	【PIV】Mas^ino kun radoj, servanta por grandakvante 
学術版	斜角o	klin/angul/o	L18046	【理】傾斜角,=klino
学術版	斜角o	skalen/o	L55084	【解】【PIV】Nomo de pluraj oblikvaj muskoloj, kiuj lev
学術版	斜边o	hipotenuz/o	L14430	【数】（直角三角形の）斜辺
学術版	斜边o	klin/rand/o	L18071	斜断面,>>bevelo
学術版	新星o	nov/stel/o	L27889	【天】新星,=novao
学術版	新星o	nova/o	L52555	【天】【PIV】Stelo, kiu - pro eksploda forj^eto de siaj
学術版	无o	nenio	L27235	{Ｂ}［代］何も〜ない
学術版	无o	sen/o	L54829	【PIV】Japana monero, centono de eno.
学術版	无名a	anonim/a	L1833	{Ｏ}匿名の
学術版	无名a	sen/nom/a	L36002	無名の
学術版	无张o	atoni/o	L2740	【病】アトニー,弛緩症
学術版	无张o	sen/toni/o	L61525	【PIV】Malesto de tonio. Vd atonio.
学術版	无形a	amorf/a	L1587	【化】無定形の;【鉱】非結晶の
学術版	无形a	sen/form/a	L35809	形をなさない,無形の
学術版	无感a	sen/sent/a	L36128	無感覚の;無情な
学術版	无感a	anestez/a	L45023	【PIV】Rilata al anestezo: anesteza substanco.
学術版	无水a	anhidr/a	L1778	【化】無水の
学術版	无水a	sen/akv/a	L57442	【PIV】1 Ne havanta akvon: senakva regiono. (Vd deze
学術版	无神主义o	ateism/o	L2652	{Ｏ}無神論,=sendiismo
学術版	无神主义o	sen/di/ism/o	L35729	【哲】無神論,=ateismo
学術版	无神家o	ateist/o	L2654	{Ｏ}無神論者,=sendiisto
学術版	无神家o	sen/di/ist/o	L35730	【哲】無神論者,=ateisto
学術版	无罪a	inocent/a	L15478	=senkulpa（KK,War,F. de Diego）【私家版】
学術版	无罪a	sen/kulp/a	L35938	罪のない,無実の
学術版	无色a	akromat/a	L815	【理】色消しの,色収差のない
学術版	无色a	sen/kolor/a	L35897	無色の
学術版	更	pli	L30700	{Ｂ}［副］より,もっと
学術版	更	pli-	L30701	{Ｂ}［副］より,もっと
学術版	替具o	alternator/o	L1359	【電】交流発電機
学術版	替具o	altern/il/o	L44843	【電】【PIV】Aparato, kiu produktas alternan kurenton p
学術版	月鱼o	lamprid/o	L51259	【動】【PIV】Granda mara fis^o (unuspecia g. (genro) La
学術版	月鱼o	lun/fis^/o	L58435	【動】【PIV】Vulgara kn (kolektiva nomo) de tri maraj s
学術版	极主义o	ekstrem/ism/o	L8602	【政】過激主義,極端主義,>>radikalismo
学術版	极主义o	paroksism/o	L29426	{Ｏ}（感情の）激発,絶頂,>>kulmino;【医】発作
学術版	标点o	interpunkci/o	L15841	{Ｏ}【Ｇ】句読法;=interpunkciaj signoj
学術版	标点o	cel/punkt/o	L60601	【PIV】La preciza punkto, kiun oni celas en la celob
学術版	械家o	mekanik/ist/o	L24824	力学者,機械学者;機械技師;【哲】機械論者
学術版	械家o	meh^anist/o	L51853	【PIV】Mekanikisto.
学術版	每	po	L30951	{Ｂ}［前］〜ずつ
学術版	每	po-	L30953	{Ｂ}［前］〜ずつ
学術版	气候化i	klimat/iz/i	L18038	［他］空気調節を施す
学術版	气候化i	aklimatiz/i	L44609	【PIV】= alklimatigi.
学術版	气石o	aerolit/o	L420	{Ｏ}【鉱】【天】隕石（いんせき）,=meteors^tono
学術版	气石o	aer/s^ton/o	L442	隕石（いんせき）,=meteors^tono
学術版	气管o	aer/tub/o	L449	【車】（タイヤの）チューブ
学術版	气管o	trake/o	L40992	【解】気管,>>bronko;【虫】気管;【植】導管;=trah^eo
学術版	治在o	dominant/o	L7431	【楽】ドミナント,属音
学術版	治在o	reg/ant/o	L33370	統治者,支配者
学術版	海星o	asteri/o	L2605	【動】ヒトデ,=marstelo
学術版	海星o	mar/stel/o	L24482	【動】ヒトデ（海星）,=asterio
学術版	海燕o	mar/hirund/o	L24389	【鳥】=glareolo（ツバメチドリ）;=s^terno（アジサシ）;=procelario（ミズ
学術版	海燕o	procelari/o	L53833	【動】【PIV】G. (Genro) (Procellaria) de malgrandaj, hi
学術版	滑石o	glit/s^ton/o	L13067	【運】（カーリングの）石,ストーン
学術版	滑石o	talk/o	L39860	{Ｏ}【鉱】滑石;タルカムパウダー
学術版	灵主义o	spirit/ism/o	L37669	交霊術
学術版	灵主义o	spiritualism/o	L37673	{Ｏ}【哲】唯心論;【宗】心霊主義;《般》精神主義
学術版	灵家o	spirit/ist/o	L37670	{Ｏ}交霊術師
学術版	灵家o	spiritualist/o	L37674	{Ｏ}【哲】唯心論者;【宗】心霊主義者;《般》精神主義者
学術版	炸糕o	frit/kuk/o	L12137	【菓】揚げ菓子
学術版	炸糕o	benjet/o	L45768	【PIV】Pastobulo, fritita k entenanta delikataj^on (
学術版	燕尾者o	frak/ul/o	L11968	燕尾服を着た人
学術版	燕尾者o	hirund/vost/ul/o	L61783	【PIV】Hirund vosta papilio. Sin. (sinonimo) makaono
学術版	爱学家o	filologi/ist/o	L11042	=filologo（文献学者）
学術版	爱学家o	filolog/o	L11044	{Ｏ}文献学者
学術版	牧草o	gres/o	L13427	牧草,芝草,>>herbo
学術版	牧草o	pas^t/herb/o	L29599	牧草
学術版	白鱼o	alburn/o	L1037	【魚】ブリーク（ヨーロッパ産のコイ科の淡水魚）
学術版	白鱼o	blank/fis^/o	L58429	【動】【PIV】Alburno 2.
学術版	直角a	ort/a	L28804	【数】直角の
学術版	直角a	rekt/angul/a	L33574	直角の,=orta
学術版	直角o	ort/o	L28813	{Ｂ}【数】直角
学術版	直角o	rekt/angul/o	L33575	{Ｂ}【数】直角,=orto
学術版	矿盐o	min/sal/o	L25612	岩塩,山塩,=s^tonsalo
学術版	矿盐o	borat/o	L45970	【化】【PIV】Salo de borata acido, H 3 BO 3.
学術版	社学家o	sociologi/ist/o	L37144	社会学者
学術版	社学家o	sociolog/o	L37146	{Ｏ}社会学者,=sociologiisto
学術版	神主义o	di/ism/o	L6817	【宗】理神論
学術版	神主义o	teism/o	L40044	{Ｏ}【哲】有神論,>>diismo,><ateismo
学術版	神学家o	teologi/ist/o	L40296	神学者,=teologo
学術版	神学家o	teolog/o	L40298	{Ｏ}神学者,=teologiisto
学術版	神家o	di/ist/o	L6818	【宗】理神論者
学術版	神家o	teist/o	L40045	{Ｏ}有神論者
学術版	离	for	L11592	{Ｂ}［副］遠くへ;離れて
学術版	离	for-	L11594	{Ｂ}［副］遠くへ;離れて
学術版	穿	tra	L40885	{Ｂ}［前］〜を通って,〜を貫いて;〜の端から端まで,〜中に;（時間的に）〜の間中
学術版	穿	tra-	L40886	{Ｂ}［前］〜を通って,〜を貫いて;〜の端から端まで,〜中に;（時間的に）〜の間中
学術版	穿刺i	punkci/i	L32741	［他］【医】穿刺（せんし）する
学術版	穿刺i	tra/pik/i	L41210	［他］刺し通す,突き通す
学術版	等势a	egal/potencial/a	L8130	【理】等ポテンシャルの,等電位の
学術版	等势a	ekvipotencial/a	L47093	【理】【PIV】= egalpotenciala.
学術版	等测a	izometri/a	L49597	【PIV】Rilata al izometrio; estanta izometrio.
学術版	等测a	egal/mezur/a	L59869	【PIV】Prezentanta egalan, regulan ritmon: la egal m
学術版	绿藻oj	verd/alg/oj	L43046	【植】緑藻類
学術版	绿藻oj	klorofic/oj	L50428	【植】【PIV】Klaso (Chlorophyceae el klorofitoj) de ver
学術版	群	-ar-	L2220	{Ｂ}［接尾辞］（同種のものの集団を示す）,>>arbaro,>>homaro
学術版	群	ar	L61917	{Ｂ}［接尾辞］（同種のものの集団を示す）,>>arbaro,>>homaro
学術版	耳痛o	orel/dolor/o	L28634	耳の痛み;【医】耳痛（じつう）
学術版	耳痛o	otalgi/o	L52888	【PIV】Oreldoloro.
学術版	肚肠o	trip/kolbas/o	L41446	【料】アンドゥイユ（臓物のソーセージ）
学術版	肚肠o	anduj/o	L45013	【PIV】Porka tripkolbaso: fumaj^ita andujo.
学術版	肝草o	hepat/herb/o	L14197	【植】=hepatiko（スハマソウ）
学術版	肝草o	hepatik/o	L14198	【植】スハマソウ（属）,=hepatherbo
学術版	胃痛o	stomak/dolor/o	L38030	胃痛
学術版	胃痛o	gastralgi/o	L48241	【PIV】Stomaka doloro, kiun la malsanulo lokalizas c
学術版	胚植oj	embrifit/oj	L47180	【植】【PIV】Grupego de plantoj karakterizataj de embri
学術版	胚植oj	embri/plant/oj	L60396	【植】【PIV】Embri(o)fitoj.
学術版	胞浆o	c^el/plasm/o	L5406	【生】細胞質
学術版	胞浆o	citoplasm/o	L46385	【生】【PIV】C^elplasmo. Vd plasmo.
学術版	胸骨o	brust/ost/o	L4508	【解】胸骨
学術版	胸骨o	sternum/o	L37956	【解】胸骨
学術版	膨具o	dilat/il/o	L46756	【PIV】Instrumento por dilati orificon.
学術版	膨具o	dilatator/o	L46758	【PIV】= dilatanto.
学術版	自	mem	L24872	{Ｂ}［副］〜自身,〜自ら,〜そのもの;自分から,自発的に,おのずと
学術版	自	mem-	L24873	{Ｂ}［副］〜自身,〜自ら,〜そのもの;自分から,自発的に,おのずと
学術版	自催o	au^tokataliz/o	L45507	【PIV】= memkatalizo.
学術版	自催o	mem/kataliz/o	L59229	【化】【PIV】Katalizo, kiu estas kau^zata de produkto d
学術版	自治性o	au^tonom/ec/o	L2869	【政】自治,自治権
学術版	自治性o	mem/reg/ec/o	L24975	自治;自制
学術版	自生志o	au^tobiografi/o	L2831	{Ｏ}自伝,自叙伝,=membiografio
学術版	自生志o	mem/biografi/o	L24877	自伝,=au^tobiografio
学術版	至	g^is	L13744	{Ｂ}［接］〜するまで
学術版	至	g^is-	L13747	{Ｂ}［接］〜するまで
学術版	船壁o	pavez/o	L29687	【海】舷墻（げんしょう）（上甲板舷側上の防壁）
学術版	船壁o	s^ip/mur/o	L59982	【PIV】La vertikala parto de la s^ips^elo.
学術版	船尾o	pou^p/o	L31539	【海】船尾,=s^ipvosto
学術版	船尾o	s^ip/vost/o	L39296	船尾,とも,=pou^po
学術版	花冠o	flor/kron/o	L11373	花の冠
学術版	花冠o	korol/o	L19822	{Ｏ}【植】花冠（かかん）,=petalaro
学術版	苦行o	asket/o	L2572	苦行者;禁欲主義者
学術版	苦行o	sufer/ad/o	L38497	苦難,苦悩,受難
学術版	草o	herb/o	L14219	{Ｂ}草;牧草,芝草;【植】草本
学術版	草o	po/o	L62175	【地名】ポー川（イタリア）
学術版	蝎鱼o	skorpi/fis^/o	L36976	【魚】フサカサゴ（属）,=skorpeno
学術版	蝎鱼o	skorpen/o	L55133	【動】【PIV】G. (Genro) (Scorpaena) de fis^oj el la ord
学術版	补具o	kompensator/o	L18624	【電】=kompensilo（補償器）
学術版	补具o	flik/il/o	L47865	【PIV】Kudrilo por fliki.
学術版	规具o	regulator/o	L33448	【機】=regulilo（調整器）
学術版	规具o	regul/il/o	L33458	【機】調整器,レギュレーター
学術版	越	trans	L41078	{Ｂ}［前］〜の向こうに,〜を越えて
学術版	越	trans-	L41079	{Ｂ}［前］〜の向こうに,〜を越えて
学術版	越形具o	transformator/o	L41093	【電】=transformilo（変圧器）
学術版	越形具o	trans/form/il/o	L41095	【電】変圧器,トランス
学術版	过ᴾᴿ	preter	L31858	{Ｂ}［前］〜のそばを通って,〜を素通りして
学術版	过ᴾᴿ	preter-	L31859	{Ｂ}［前］〜のそばを通って,〜を素通りして
学術版	间	inter	L15641	{Ｂ}［前］〜の間に,〜の間で;〜の中にまじって
学術版	间	inter-	L15642	{Ｂ}［前］〜の間に,〜の間で;〜の中にまじって
学術版	雨云o	nimbus/o	L27578	【気】乱雲,=nimbostratuso;雨雲,>>pluvnubo
学術版	雨云o	pluv/nub/o	L30931	雨雲
学術版	食行o	mang^/ad/o	L24203	食事
学術版	食行o	-mang^/ad/o	L57307	食事
学術版	首柱o	c^ef/mast/o	L5343	【海】メインマスト,大檣（だいしょう）
学術版	首柱o	steven/o	L37963	【海】船首材
学術版	香草o	lavend/o	L21707	{Ｏ}【植】ラベンダー（属）
学術版	香草o	spic/herb/o	L37611	【料】香辛料用野菜,香草,>>aromherbo
学術版	马栗o	c^eval/kas^tan/o	L5479	【果】マロニエの実,ウマグリ
学術版	马栗o	hipokas^tan/o	L14412	【植】マロニエ,セイヨウトチノキ,=c^evalkas^tano,>>eskulo
学術版	鸟足o	ornitopod/o	L52837	【植】【PIV】G. (Genro) (Ornithopus el fabacoj) de unu-
学術版	鸟足o	bird/pied/o	L60345	【PIV】Ornitopodo.
学術版	鼻炎o	naz/katar/o	L26848	【病】鼻カタル,鼻炎,=rinito
学術版	鼻炎o	rinit/o	L54426	【医】【PIV】Inflamo de la naza mukozo.
