版	表面	見出し(raw)	行	語釈冒頭
学習者版	斜角o	skalen/o	L55084	【解】【PIV】Nomo de pluraj oblikvaj muskoloj, kiuj lev
学習者版	斜边o	hipotenuz/o	L14430	【数】（直角三角形の）斜辺
学習者版	斜边o	klin/rand/o	L18071	斜断面,>>bevelo
学習者版	新星o	nov/stel/o	L27889	【天】新星,=novao
学習者版	新星o	nova/o	L52555	【天】【PIV】Stelo, kiu - pro eksploda forj^eto de siaj
学習者版	无o	nenio	L27235	{Ｂ}［代］何も〜ない
学習者版	无o	sen/o	L54829	【PIV】Japana monero, centono de eno.
学習者版	无罪a	inocent/a	L15478	=senkulpa（KK,War,F. de Diego）【私家版】
学習者版	无罪a	sen/kulp/a	L35938	罪のない,無実の
学習者版	更	pli	L30700	{Ｂ}［副］より,もっと
学習者版	更	pli-	L30701	{Ｂ}［副］より,もっと
学習者版	月鱼o	lamprid/o	L51259	【動】【PIV】Granda mara fis^o (unuspecia g. (genro) La
学習者版	月鱼o	lun/fis^/o	L58435	【動】【PIV】Vulgara kn (kolektiva nomo) de tri maraj s
学習者版	标点o	interpunkci/o	L15841	{Ｏ}【Ｇ】句読法;=interpunkciaj signoj
学習者版	标点o	cel/punkt/o	L60601	【PIV】La preciza punkto, kiun oni celas en la celob
学習者版	每	po	L30951	{Ｂ}［前］〜ずつ
学習者版	每	po-	L30953	{Ｂ}［前］〜ずつ
学習者版	气管o	aer/tub/o	L449	【車】（タイヤの）チューブ
学習者版	气管o	trake/o	L40992	【解】気管,>>bronko;【虫】気管;【植】導管;=trah^eo
学習者版	海星o	asteri/o	L2605	【動】ヒトデ,=marstelo
学習者版	海星o	mar/stel/o	L24482	【動】ヒトデ（海星）,=asterio
学習者版	海燕o	mar/hirund/o	L24389	【鳥】=glareolo（ツバメチドリ）;=s^terno（アジサシ）;=procelario（ミズ
学習者版	海燕o	procelari/o	L53833	【動】【PIV】G. (Genro) (Procellaria) de malgrandaj, hi
学習者版	滑石o	glit/s^ton/o	L13067	【運】（カーリングの）石,ストーン
学習者版	滑石o	talk/o	L39860	{Ｏ}【鉱】滑石;タルカムパウダー
学習者版	炸糕o	frit/kuk/o	L12137	【菓】揚げ菓子
学習者版	炸糕o	benjet/o	L45768	【PIV】Pastobulo, fritita k entenanta delikataj^on (
学習者版	燕尾者o	frak/ul/o	L11968	燕尾服を着た人
学習者版	燕尾者o	hirund/vost/ul/o	L61783	【PIV】Hirund vosta papilio. Sin. (sinonimo) makaono
学習者版	牧草o	gres/o	L13427	牧草,芝草,>>herbo
学習者版	牧草o	pas^t/herb/o	L29599	牧草
学習者版	白鱼o	alburn/o	L1037	【魚】ブリーク（ヨーロッパ産のコイ科の淡水魚）
学習者版	白鱼o	blank/fis^/o	L58429	【動】【PIV】Alburno 2.
学習者版	直角a	ort/a	L28804	【数】直角の
学習者版	直角a	rekt/angul/a	L33574	直角の,=orta
学習者版	直角o	ort/o	L28813	{Ｂ}【数】直角
