語根A	面A	層A	FA	語根B	面B	層B	FB	字A	字B	IoU	blur	マーク差
fabel	童ᶠ	CSV2890	10	signif	意ˢᴳ	CSV2890	15	童	意	0.481	0.948	あり
fabel	童ᶠ	CSV2890	10	intenc	意ᴵᴺ	CSV2890	12	童	意	0.481	0.948	あり
ĵet	投	CSV2890	67	kampanj	役ᴷ	PEJVO	10	投	役	0.488	0.970	あり
agrabl	快	CSV2890	10	blok	块	CSV2890	28	快	块	0.518	0.951	なし
roz	玫	CSV2890	35	agres	攻ᴬᴳ	PEJVO	10	玫	攻	0.527	0.952	あり
vek	醒	CSV2890	13	vinagr	醋ⱽ	PEJVO	10	醒	醋	0.453	0.945	あり
arĝent	银	CSV2890	10	radik	根	CSV2890	41	银	根	0.524	0.965	なし
preĝ	祈	CSV2890	18	rabat	折ᴿ	CSV2890	10	祈	折	0.518	0.966	あり
akcident	祸	CSV2890	10	pat	锅	CSV2890	21	祸	锅	0.495	0.959	なし
akcident	祸	CSV2890	10	kaldron	锅ᴷ	CSV2890	11	祸	锅	0.495	0.959	あり
rabat	折ᴿ	CSV2890	10	analiz	析	CSV2890	13	折	析	0.520	0.960	あり
model	模	CSV2890	14	horizontal	横	CSV2890	10	模	横	0.492	0.964	なし
foir	集ᶠ	CSV2890	9	nest	巢	CSV2890	17	集	巢	0.467	0.953	あり
neĝ	雪	CSV2890	51	tondr	雷	CSV2890	9	雪	雷	0.537	0.940	なし
pend	挂	CSV2890	43	lau^r	桂ᴸ	PEJVO	9	挂	桂	0.484	0.975	あり
honest	诚	CSV2890	18	kastel	城	CSV2890	9	诚	城	0.472	0.952	なし
kontrol	检	CSV2890	33	kran	栓	CSV2890	9	检	栓	0.505	0.950	なし
ekzamen	检ᴱ	CSV2890	31	kran	栓	CSV2890	9	检	栓	0.505	0.950	あり
detekt	检ᴰ	PEJVO	12	kran	栓	CSV2890	9	检	栓	0.505	0.950	あり
promoci	升ᴾ	PEJVO	9	ŝalt	开	CSV2890	25	升	开	0.551	0.948	あり
put	井	CSV2890	9	paralel	并	CSV2890	18	井	并	0.604	0.982	なし
alkohol	醇	CSV2890	22	rav	醉	CSV2890	9	醇	醉	0.471	0.974	なし
tumult	闹	CSV2890	9	kluz	闸	PEJVO	9	闹	闸	0.552	0.963	なし
bird	鸟	CSV2890	63	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	なし
stern	铺	CSV2890	8	stift	销	PEJVO	10	铺	销	0.548	0.944	なし
pavim	铺ᴾ	PEJVO	8	stift	销	PEJVO	10	铺	销	0.548	0.944	あり
amator	好	CSV2890	8	adult	奸ᴬ	PEJVO	8	好	奸	0.507	0.954	あり
far	做	CSV2890	104	arog	傲	PEJVO	7	做	傲	0.505	0.972	なし
dorm	睡	CSV2890	46	saliv	唾	PEJVO	7	睡	唾	0.613	0.968	なし
spekul	投ˢ	PEJVO	7	kampanj	役ᴷ	PEJVO	10	投	役	0.488	0.970	あり
fart	体ᶠ	CSV2890	7	ripoz	休	CSV2890	12	体	休	0.545	0.979	あり
puŝ	推	CSV2890	48	vertebr	椎	PEJVO	7	推	椎	0.724	0.982	なし
ŝov	推ˢ̂	CSV2890	46	vertebr	椎	PEJVO	7	推	椎	0.724	0.982	あり
rezon	推ᴿ	CSV2890	10	vertebr	椎	PEJVO	7	推	椎	0.724	0.982	あり
vek	醒	CSV2890	13	acet	醋	PEJVO	7	醒	醋	0.453	0.945	なし
sobr	醒ˢ	CSV2890	7	acet	醋	PEJVO	7	醒	醋	0.453	0.945	あり
sobr	醒ˢ	CSV2890	7	vinagr	醋ⱽ	PEJVO	10	醒	醋	0.453	0.945	あり
sobr	醒ˢ	CSV2890	7	alkohol	醇	CSV2890	22	醒	醇	0.482	0.963	あり
brun	褐	CSV2890	28	skorpi	蝎	CSV2890	7	褐	蝎	0.450	0.956	なし
branĉ	枝	CSV2890	24	teknologi	技ᵀᴸ	CSV2890	7	枝	技	0.584	0.974	あり
verg	枝ⱽ	CSV2890	13	teknologi	技ᵀᴸ	CSV2890	7	枝	技	0.584	0.974	あり
sincer	诚ˢ	CSV2890	7	kastel	城	CSV2890	9	诚	城	0.472	0.952	あり
kontrol	检	CSV2890	33	bolt	栓ᴮ	PEJVO	7	检	栓	0.505	0.950	あり
kontrol	检	CSV2890	33	rigl	栓ᴿ	PEJVO	7	检	栓	0.505	0.950	あり
ekzamen	检ᴱ	CSV2890	31	bolt	栓ᴮ	PEJVO	7	检	栓	0.505	0.950	あり
ekzamen	检ᴱ	CSV2890	31	rigl	栓ᴿ	PEJVO	7	检	栓	0.505	0.950	あり
detekt	检ᴰ	PEJVO	12	bolt	栓ᴮ	PEJVO	7	检	栓	0.505	0.950	あり
detekt	检ᴰ	PEJVO	12	rigl	栓ᴿ	PEJVO	7	检	栓	0.505	0.950	あり
inspekt	检ᴵᴺ	PEJVO	7	kran	栓	CSV2890	9	检	栓	0.505	0.950	あり
inspekt	检ᴵᴺ	PEJVO	7	bolt	栓ᴮ	PEJVO	7	检	栓	0.505	0.950	あり
inspekt	检ᴵᴺ	PEJVO	7	rigl	栓ᴿ	PEJVO	7	检	栓	0.505	0.950	あり
pasi	情ᴾˢ	CSV2890	7	prudent	慎	CSV2890	12	情	慎	0.553	0.952	あり
litr	升	CSV2890	7	ŝalt	开	CSV2890	25	升	开	0.551	0.948	なし
kom	逗	CSV2890	9	emerit	退	CSV2890	7	逗	退	0.518	0.961	なし
kom	逗	CSV2890	9	degener	退ᴰ	PEJVO	7	逗	退	0.518	0.961	あり
ŝerc	逗ˢ̂	CSV2890	13	emerit	退	CSV2890	7	逗	退	0.518	0.961	あり
ŝerc	逗ˢ̂	CSV2890	13	degener	退ᴰ	PEJVO	7	逗	退	0.518	0.961	あり
frand	品	CSV2890	7	kristal	晶	CSV2890	28	品	晶	0.524	0.968	なし
orf	孤	CSV2890	7	vulp	狐	CSV2890	11	孤	狐	0.550	0.959	なし
bud	棚	CSV2890	7	kokos	椰	CSV2890	9	棚	椰	0.547	0.958	なし
varb	募	CSV2890	7	akt	幕	CSV2890	10	募	幕	0.456	0.966	なし
konus	锥	PEJVO	16	vertebr	椎	PEJVO	7	锥	椎	0.487	0.969	なし
ĉirkaŭ	围	文法層	71	bed	圃	PEJVO	6	围	圃	0.591	0.956	なし
peri	围ᴾ	PEJVO	13	bed	圃	PEJVO	6	围	圃	0.591	0.956	あり
sieg^	围ˢ	PEJVO	9	bed	圃	PEJVO	6	围	圃	0.591	0.956	あり
flank	侧	CSV2890	83	bir	测ᴮ	PEJVO	6	侧	测	0.591	0.969	あり
kur	跑	CSV2890	63	cito	胞ᶜᵀ	PIV	6	跑	胞	0.473	0.946	あり
puŝ	推	CSV2890	48	dimensi	维	CSV2890	6	推	维	0.490	0.950	なし
ŝov	推ˢ̂	CSV2890	46	dimensi	维	CSV2890	6	推	维	0.490	0.950	あり
