ofsajd	越位	《Ｎ》【運】（サッカーの）オフサイド
rau^nd	回合	【運】（ボクシングの）ラウンド,一勝負
remi	平局	《Ｎ》【運】（チェス・スポーツで）引き分け,無勝負,ドロー
kren	辣根	{Ｏ}【植】セイヨウワサビ,ワサビダイコン;【料】わさび大根
demarkaci	划界	【政】（国境などの）境界画定,>>limfiksado
oligark	寡头	{Ｏ}【政】寡頭制の支配者,少数独裁者
memorand	备忘	【政】（外交上の）覚書;（一般に）一件覚書
plebiscit	公投	【政】（居住地の帰属・統治者の選択に関する）国民投票,住民投票,プレビシット,>>referendumo
j^os	假植	［他］【農】仮植する
ajut	喷嘴	【機】噴射管,筒口,ノズル
rotor	转子	【機】回転子;【空】回転翼,ローター
intajl	凹雕	【機】（宝石の）沈み彫り,>>kameo
vajc	台钳	【機】万力（まんりき）,バイス
nimbus	雨云	【気】乱雲,=nimbostratuso;雨雲,>>pluvnubo
aliment	养费	【法】（離婚した配偶者への）扶養料,（子どもへの）養育費
au^tokton	原住	=pralog^anto（原住民）
fjord	峡湾	{Ｏ}【地理】フィヨルド,峡湾
kandelabr	烛台	{Ｏ}枝付き燭台
varang	肋板	【海】肋板（ろくばん）,船底床板;肋根材（ろっこんざい）
itiner	旅程	旅程,行程,=vojplano
denominator	分母	【数】分母,>>numeratoro
hipotenuz	斜边	【数】（直角三角形の）斜辺
nadir	天底	【天】天底,><zenito
timus	胸腺	【解】胸腺
klavikl	锁骨	【解】鎖骨（さこつ）
regeneraci	再生	=regenerado（再生）
mazut	重油	燃料油,=peza oleo
pterid	羊齿	【植】イノモトソウ（井之許草）（属）
alh^emi	炼金	{Ｏ}錬金術,=alkemio
amfibrah^	短长短	《廃》=>amfibrako
anarh^i	无政	{Ｏ}=anarkio
arh^ipelag	群岛	{Ｏ}=arkipelago
arh^itekt	建筑	{Ｏ}=arkitekto
arh^itektur	建筑	{Ｏ}=arkitekturo
hipoh^ondri	疑病	=hipokondrio
ih^tiosau^r	鱼龙	【古生】=iktiosau^ro
monarh^	君主	{Ｏ}=monarko（君主）
monarh^i	君主	{Ｏ}=monarkio（君主制）
oligarh^	寡头	{Ｏ}=oligarko
trih^ofit	毛癣菌	【PIV】= trikofito.
amiant	石棉	【PIV】= asbesto.
celsi	摄氏	【理】セ氏の,摂氏の,=celsiusa
ciklogir	直升机	【PIV】= helikoptero.
delikvesk	潮解	【PIV】(evi (evitinda)) = likveska.
difterit	白喉	{Ｏ}《古》【病】=>difterio（ジフテリア）
disel	柴油	【PIV】= dizelo.
ekzorciz	驱魔	=>ekzorci（悪魔をはらう）
emetrop	正视	【PIV】= eu^metropa.
glicine	大豆	【植】=glicino（ダイズ属）
goelet	帆船	【海】=skuno（スクーナー）
gveril	游击	【PIV】= gerilo.
hemati	红胞	【PIV】= eritrocito, rug^a globulo.
hipnoz	催眠	【PIV】= hipnoto.
hirak	蹄兔	【聖】【PIV】= prokavio.
impetigin	脓疮	【PIV】= impetigo.
ipekakuan	吐根	【PIV】= ipeko.
jahurt	酸乳	【料】=jogurto（ヨーグルト）
jaroviz	春化	【PIV】= vernalizi.
kadastr	地籍	【PIV】= katastro.
kariokinez	等分	【PIV】= mitozo.
kasuar	鹤鸵	【鳥】=kazuaro（ヒクイドリ）
kim	聚伞	【PIV】= cumo.
klau^str	修院	=klostro（回廊）
kolera	霍乱	【PIV】= h^olero.
kolesterin	胆醇	【PIV】= kolesterolo (Vd (vidu) sterolo).
kolimb	潜鸟	{Ｏ}【鳥】アビ（属）,=gavio
kolokint	药瓜	【植】=kolocinto（コロシントウリ）
krampf	抽筋	【医】=kramfo（けいれん）
lilak	丁香	【植】=siringo（ライラック）
limet	甜柠	【PIV】(evi (evitinda)) = limedo.
meringel	蛋白霜	《廃》=meringo（メレンゲ）
metakarpe	掌骨	【解】=metakarpo（中手）
meten	亚甲	【PIV】= metileno.
pasat	信风	【PIV】= alizeo.
paskvil	批文	{Ｏ}風刺文,=pamfleto
patat	甘薯	【植】=batato（サツマイモ）
piel	肾盆	【解】【PIV】= pjelo.
pingvin	企鹅	=>pingveno（ペンギン）
polikro	多色	【PIV】= pleokroa.
precedent	先例	【PIV】= precedenco.
ramfast	巨嘴鸟	【PIV】= tukano.
razen	草坪	芝生（しばふ）,=gazono,=herbotapis^o
rekursi	递归	【PIV】= rikuro.
sekestr	查封	［他］=sekvestri（供託する）
sekvestraci	查封	［他］=sekvestri（供託する）
stadium	赛场	=>stadiono（スタジアム）
urinat	尿酸盐	【PIV】= urato.
venere	性病	【PIV】(evi (evitinda)) = venera.
karbamid	尿素	【化】【PIV】(ark. (arkaismo, arkaisme)) = ureo.
metropoliten	地铁	【PIV】(ark. (arkaismo, arkaisme)) = metroo.
pituitari	垂体	【PIV】(gl. (glandula, glandulae) pituitaria) = hipofizo.
proteid	蛋白	【PIV】(ark. (arkaismo, arkaisme)) = proteino.
serpil	百里香	【植】イブキジャコウソウ（伊吹麝香草）（種）,=sovag^a timiano
vasabi	辣根	【植】ワサビ
rosmaren	香草	{Ｏ}【植】マンネンロウ（万年蝋）（属）;ローズマリー（種）
origan	香草	【植】ハナハッカ（花薄荷）（属）,オレガノ
civilizaci	民化态	{Ｏ}文明
organizaci	器化	【PIV】1 Unuig^o de homoj, strebantaj organizite realigi certajn celojn: mi volis nur doni a
hemiceluloz	半胞糖	【化】【PIV】Polimero de glukozo, (C 6 H 10 O 5) n, en la vegetaj^a c^elmuro, malpli longc^ena 
abiogenez	无生源	【生】【PIV】(ark. (arkaismo, arkaisme)) Spontana generado; estig^o de la vivo el neorganika ma
acetat	醋盐	【化】酢酸塩
acidimetr	酸计	【PIV】= acidometro.
adaptometri	适测	【医】【PIV】Mezuro de la retina adaptig^emo.
adenoidit	腺似炎	【医】【PIV】Inflamo de la adenoidaj vegetaj^oj.
adenom	腺瘤	【PIV】Glanda tumoro.
adenpati	腺病	【PIV】C^iu afekcio de glando.
adipogenez	脂源	【生】【化】【PIV】Formig^o de graso 1 c^e animaloj.
administrator	管员	=administranto（管理者）
aeremi	气血	【医】【PIV】Enesto de libera aero en la sango k difektoj kau^zataj de g^i: aeremio c^efe trafa
aerodrom	气道	【空】飛行場,=flugkampo
aerogram	气图	【PIV】1 Malpeza aerpos^ta letero, ekspedata je reduktita prezo. 2【気】Speciala diagramo de la
aerolit	气石	{Ｏ}【鉱】【天】隕石（いんせき）,=meteors^tono
aerolog	气学家	【PIV】Spertulo pri aerologio.
aerologi	气学	【PIV】Scienco pri la esplorado de la altaj aertavoloj en la atmosfero.
aerometr	气计	【理】気量計,空気計
aerometri	气测	【PIV】Scienco pri la fizikaj ecoj de la aero.
aeronau^t	气航	【空】軽気球操縦士,飛行船操縦士,=flugbalonisto
aeronau^tik	气航学	【空】航空学,航空術,>>aerveturado
aeroplan	气划	{Ｏ}【空】飛行機,=aviadilo
aerostat	气态	【空】軽航空機（気球・飛行船など）,=flugbalono,>>aers^ipo,>>balono
afoni	无声	【病】失声症
agend	办须	スケジュール帳,日程表;議事日程,=tagordo
agorafobi	场症	【病】広場恐怖症
agrafi	无志	【医】【PIV】Organika perturbo de la kapablo skribi. Vd aleksio.
agronom	农学	{Ｏ}農学者,=agronomiisto
akantocefal	刺头	【動】【PIV】Filumo (Acanthocephala) de vermoj similaj al nematodoj, sen bus^o k sen intesto, s
akinezi	无动	【医】【PIV】Malfacileco au^ neebleco de movoj.
aklimatiz	无气候化	【PIV】= alklimatigi.
akrocefal	锐头	【動】【PIV】G. (Genro) (Acrocephalus) de birdoj el la ordo de paseroformaj, fam. (familio) de 
akrocianoz	锐青症	【医】【PIV】Blua koloro de la ekstremaj^oj, kau^zata de malbona cirkulado de la sango.
akromat	无色	【理】色消しの,色収差のない
akronim	锐名	【語】【PIV】Vorto konsistanta el la komencliteroj de kompleksa nomo komerca, scienca, politika
aksiometr	轴计	【PIV】Instrumento, lokita apud la stirrado k montranta la pozicion de la stirilo rilate al 
aktinometr	射计	【PIV】Instrumento, por mezuri la intenson de la sunradiado.
aktinoterapi	射疗	【PIV】Terapio per aktinaj radiadoj.
akus^ologi	产学	【PIV】Obstetriko.
albugineit	白膜炎	【医】【PIV】Inflamo de albugineo(j).
albuminuri	白蛋白尿	【病】たん白尿症
algiolog	痛学家	【PIV】Specialisto pri algiologio.
algiologi	痛学	【PIV】Parto de medicino pri la doloroj k ilia kuracado.
algolog	藻学家	【PIV】Specialisto pri algologio.
algologi	藻学	【PIV】Scienco, pri la algoj.
alkaloid	碱似	【化】アルカロイド
alkalometri	碱测	【化】【PIV】Titrado per alkaloj, au^ dozado de alkaleco.
alkoholat	醇盐	【化】【PIV】Metala salo de alkoholo 1.
alkoholemi	醇血	【PIV】C^eesto de etila alkoholo (etanolo) en la sango: la tolereco al etila alkoholo tre di
alkoholometr	醇计	【PIV】Mezurilo por taksi la enhavon je alkoholo.
alofon	异声	【語】【PIV】Parolsono, kiu estas libera au^ kondic^ita varianto de iu fonemo, ekz. (ekzemple) 
alomorf	异形	【語】【PIV】Varianto de morfemo (precipe en aglutinaj lingvoj).
alopati	异病	【医】逆症療法
alotrofi	异养	【医】【PIV】Stato, en kiu organaj substancoj (albumino, fibrino k.a. (kaj aliaj)) perdis siajn
alternator	替具	【電】交流発電機
altimetr	高计	【PIV】= altometro.
altometr	高计	【理】高度計
altometri	高测	【PIV】Parto de la geodezio koncernanta la mezuradon de altaj^oj, alireblaj au^ ne.
altruism	他主义	利他的な,=malegoisma
altruist	他家	利他主義者,=malegoisto
aluminiat	铝盐	【化】【PIV】(au^: aluminato, evitinda formo). Salo de teoria aluminiata acido H 3 AlO 3.
ameboid	变形虫似	アメーバ状の
amplifikator	扩具	【電】増幅器,=amplifikilo
anaerobi	无气生	【PIV】(evi (evitinda)) = malaerobia, aernetolera.
anarkism	无政主义	=>anarkiismo
anarkist	无政家	=>anarkiisto
aneksit	并炎	【医】【PIV】Inflamo de aneksaj^oj, tute aparte pp (se paroli pri) la uteraj aneksaj^oj (ovario
anemogram	风图	【PIV】Registrilfolio, sur kiu estas au^tomate registrata la forto de la vento.
anemometr	风计	【気】風速計
anemometri	风测	【PIV】Tiu parto de la meteologio pri la mezuro de vento-forto k -direkto.
angiologi	脉学	【PIV】Fako de anatomio pri la angioj.
angiosperm	脉种	【植】【PIV】Unu el la du filumoj de la spermatofitoj (flor-au^ sem-plantoj), karakterizata de 
anhidr	无水	【化】無水の
anizotrop	无等向	【PIV】(evi (evitinda)) = neizotropa.
anoksemi	无氧血	【生】【医】【PIV】Manko de oksigeno en sango.
anoksi	无氧	【生】【医】【PIV】Manko de oksigeno en histoj.
antagonism	敌主义	敵対（関係）,対立,反目
antagonist	敌家	敵対者,対立者
antibiotik	抗生布	{Ｏ}【医】抗生物質
anticiklon	抗旋	【気】高気圧,=kontrau^ciklono
antifon	抗声	【楽】交唱（聖歌）
antifraz	抗句	【修】語意の反用,反語
antigen	抗生	【医】抗原
antikorp	抗体	【医】抗体
antikorpuskl	抗粒	《古》【理】=kontrau^partiklo（反粒子）
antineu^trin	抗中微子	【理】反ニュートリノ
antinomi	抗律	【哲】二律背反
antipartikl	抗粒	【理】=kontrau^partiklo（反粒子）
antipati	抗情	反感を覚えさせる,虫の好かない
antistrof	抗节	【PIV】En la helena h^oro, kanto metrike egala al la strofo, situanta post g^i k antau^ la e
antitez	抗题	{Ｏ}【哲】アンチテーゼ;【修】対照法
antitoksin	抗毒	【医】抗毒素
antonim	反名	【語】反意語
antropocentr	人央	【PIV】Havanta la homon kiel centron de intereso au^ studo: la antropocentra teorio longatem
antropoid	人似	【動】類人猿の
antropolog	人学家	{Ｏ}人類学者
antropologi	人学	{Ｏ}人類学
antropometri	人测	人体測定
antropomorf	人形	【動】【PIV】Grupo de senvostaj, homsimilaj simioj. Vd c^impanzo, gorilo, orangutano.
antropomorfism	人形主义	【哲】神人同形同性論
anuri	无尿	【医】【PIV】Halto de la urina sekrecio.
aortit	主脉炎	【医】【PIV】Inflamo de la aortaj tunikoj.
apendicektomi	虫垂除	【PIV】Fortranc^o de g^i.
apendicit	虫垂炎	【病】虫垂炎,盲腸炎（俗称）
apetal	无瓣	【植】【PIV】Senpetaluloj. Vd dialipetaloj, gamopetaloj.
araknoidit	蛛膜炎	【医】【PIV】Inflamo de la araknoido.
arbologi	树学	【PIV】Scienco pri arboj k arbustoj.
arh^aism	古主义	{Ｏ}=arkaismo
arh^eolog	古学家	{Ｏ}=arkeologo
arh^eologi	古学	{Ｏ}=arkeologio
arkaism	古主义	{Ｏ}【語】古語,古風な表現;【文】擬古主義
arkeolog	古学家	{Ｏ}考古学者
arkeologi	古学	考古学上の
arketip	原型	【哲】【PIV】1 Eterna ideo, modelo de la estaj^oj. 2 Originalo, sur kiu oni kopiis la ceterajn 
arsenid	矿化	【PIV】Kombinaj^o de metalo k arseno, ekz. (ekzemple) K 3 As.
arteriektomi	脉除	【医】【PIV】Desekco de arteria fragmento.
arteriit	脉炎	【医】【PIV】Inflamaj lezoj de la arterioj.
artralgi	节痛	【PIV】Artika doloro.
artrit	节炎	{Ｏ}【病】関節炎,=artikinflamo
artritism	节炎主义	【病】関節病体質
artrologi	节学	【PIV】Anatomia fako pri la artikoj.
artropod	节足	【動】節足動物,=artikulo
artroz	节症	【PIV】Neinflama kronika afekcio de la artikoj.
aseps	无腐	【医】無菌法の,無菌の
askomicet	囊菌	【PIV】(ark. (arkaismo, arkaisme)) = askomikotoj.
askomikot	囊菌	【PIV】Filumo (Ascomycota) de superaj fungoj, kun septaj hifoj k kun sporoj naskig^antaj int
aspartat	天冬盐	【化】【PIV】Salo de aspartata acido, HOOC-CH 2-CH(NH 2)-COOH, unu el la 20 c^efaj aminacidoj d
astigmatism	散光主义	【病】乱視
astrolog	星学家	{Ｏ}占星術師,=stelau^guristo
astrologi	星学	{Ｏ}占星術,=stelau^gurado
astronau^t	星航	宇宙飛行士,=kosmonau^to
astronau^tik	星航学	【PIV】Kosmonau^tiko.
astronom	星学	{Ｏ}天文学者
atavism	祖主义	{Ｏ}先祖返り,隔世遺伝
ateism	无神主义	{Ｏ}無神論,=sendiismo
ateist	无神家	無神論者の,無神論的な
atmosferografi	气志	【PIV】Priskribo de la atmosfero k g^iaj influoj al la tero, ties vegetaj^oj, klimato ktp (k
atmosferologi	气学	【PIV】Scienco pri la atmosfero k ties influoj al la vetero, esenca parto de la meteologio.
atoni	无张	【病】アトニー,弛緩症
au^dometr	听计	【医】【PIV】Aparato por mezuri la au^dan akrecon.
au^tobiografi	自生志	{Ｏ}自伝,自叙伝,=membiografio
au^togen	自生	【化】【PIV】1 Dau^riganta sin mem: au^togena reakcio. 2【技】 (pp (se paroli pri) veldo) Tia, ke 
au^tograf	自记	{Ｏ}自筆,自筆原稿,=memskribaj^o
au^tografi	自志	【印】肉筆印刷術
au^tokrati	自治	{Ｏ}【政】専制政治
au^toliz	自解	【医】【PIV】Malkomponig^o au^ detruig^o de histoj per la tie entenataj enzimoj.
azotemi	氮血	【生】【医】【PIV】Kvanto de azotaj ekskreciaj substancoj (ureo, uratoj ktp (kaj tiel plu)) en la 
azoturi	氮尿	【生】【医】【PIV】Kvanto de azotaj ekskreciaj substancoj (ureo, uratoj ktp (kaj tiel plu)) en la 
baktericid	菌杀	【PIV】Bakteri-mortiga substanco.
bakteriofag	菌吞	【医】バクテリオファージ,細菌ウイルス,=bakteria viruso
bakteriofag^	菌吞	【生】【PIV】Viruso, kiu reproduktig^as en bakteria c^elo. Sin. (sinonimo) fag^o.
bakteriolog	菌学家	【PIV】Sciencisto pri bakteriologio.
bakteriologi	菌学	【医】細菌学
balanit	藤壶炎	【医】【PIV】Inflamo de la balana mukozo.
barbarism	蛮主义	【Ｇ】破格な語法・語形,>>solecismo
barograf	压记	【気】自記気圧計
barometr	压计	{Ｏ}【気】気圧計
baroskop	压镜	【医】気圧計;【理】検圧器
batometr	深计	【PIV】Instrumento servanta por mezuri la profundon de akvujoj.
batometri	深测	【PIV】Scienco pri la mezuro de la profundoj.
bazidimicet	担子菌	【PIV】Precipa klaso (Basidiomycetes) de la bazidimikotoj.
bazidimikot	担子菌	【PIV】Filumo (Basidiomycota) de superaj fungoj bazidihavaj; c^. (c^irkau^) 16 000 sp-oj (sp
bazidiomicet	担子菌	【PIV】Precipa klaso (Basidiomycetes) de la bazidimikotoj.
bazidiomikot	担子菌	【PIV】Filumo (Basidiomycota) de superaj fungoj bazidihavaj; c^. (c^irkau^) 16 000 sp-oj (sp
benzinometr	汽油计	【PIV】En veturilo, indikilo pri la nivelo de la benzino.
benzoil	安息香基	【化】【PIV】Radiko C 6 H 5-CO-: benzoilaj kombinaj^oj; dibenzoilo . -> hipurata acido.
bibliofil	经爱	愛書家,=libroamanto
bibliofili	经爱	書籍愛好,=libroamo
bibliograf	经记	{Ｏ}書誌学者
bibliografi	经志	{Ｏ}文献目録,参考文献一覧;著作目録;書誌学
bibliomani	经狂	【PIV】= libromanio.
bident	二齿	【植】【PIV】G. (Genro) (Bidens el asteracoj) de unu-k plur-jaraj herboj kun kontrau^e duopaj f
bimetal	二金	【PIV】= dumetala.
bimetalism	二金主义	【経】複本位制
biofizik	生物理	生物物理学
biogenez	生源	【生】【PIV】1 Estig^o de la vivo sur tero. 2 (ark. (arkaismo, arkaisme)) Estig^o de vivulo el 
biogeografi	生地志	生物地理学
biograf	生记	{Ｏ}伝記作家
biokemi	生化学	生化学
biolog	生学家	{Ｏ}生物学者
biomas	生团	【環】生物量,バイオマス
biometri	生测	【生】【PIV】Statistika studo de la dimensioj de la vivuloj k de ties organoj.
biont	生将	【PIV】(ark. (arkaismo, arkaisme)) = vivulo.
biontologi	生在学	《廃》生物学,=>biologio
biosfer	生球	【環】生物圏,生活圏
bioterapi	生疗	【PIV】Kuracado per biologiaj substancoj au^ mikroboj.
biotop	生境	【環】ビオトープ,小生活圏
bismutat	金盐	【化】【PIV】Salo de bismuta acido, HBiO 3 au^ H 3 BiO 4.
blastoderm	胚皮	【生】【PIV】La c^eltavolo de la blastulo.
bolometr	沸计	【理】【PIV】1 Aparato por mezuri temperaturojn, bazita sur elektromova forto c^e kontaktloko d
brifit	苔植	【PIV】Filumo, ampleksanta la muskojn k hepatmuskojn; c^. (c^irkau^) 22 000 sp-oj (specioj) 
briofit	苔植	【植】コケ植物,蘚苔類（せんたいるい）,>>muskoj,>>hepatmuskoj
bromoform	卤形	【化】ブロモホルム
bronkit	支炎	{Ｏ}【病】気管支炎
bronkoskop	支镜	【PIV】Aparato, por esplorrigardi la internon de la bronkoj.
bronkoskopi	支镜	【PIV】Esplorado per bronkoskopo.
bursit	囊炎	【医】【PIV】Inflamo de seroza burso.
buterat	黄油被	【PIV】Butera 1.
buterometr	黄油计	【PIV】Aparato, por difini la entenon de butero je graso.
c^elologi	胞学	【PIV】Citologio.
cefalaspidomorf	头甲形	【動】【PIV】Klaso (Cephalaspidomorphi) de senmakzeluloj, kiu ampleksas precipe formortintajn g
cefalopod	头足	【動】頭足類
