r	rk	y	yk	r_gloss	y_gloss
libertin	荡	liber	自由	【史】解放奴隷;【哲】自由思想家,=liberpensulo	{Ｂ}自由な;独立の,束縛されない,免れた;ひまな,空いている,広々した
lic	许	est	是	［自］《稀》=esti permesata（許されている）	{Ｂ}［自］（〜）である;いる,存在する
lingvistik	学	lingv	语	言語学の	言語の
livi	鸽	rok	岩	【鳥】カワラバト（河原鳩）（種）,=rokkolombo	岩の,岩石からなる;岩に覆われた
lobi	游说	prem	压	［自］（公職者・議員に対して）陳情する,運動する	押しつけるような,重苦しい
lotus	莲	lot	签	{Ｂ}【植】ハス（蓮）,スイレン（睡蓮）;【建】ロータス模様,睡蓮（すい	くじで,くじ引きで,抽選で
lozang^	菱	pastel	含片	{Ｏ}（紋章の）菱形紋;（宝石の）菱形面;（ひし形の）糖衣錠,=past	{Ｏ}【菓】ドロップ;（薬用の）トローチ,糖衣錠
lukan	锹甲	cerv	鹿	【虫】クワガタムシ（属）,=cervskarabo	{Ｂ}【動】シカ（鹿，属）;シカ（科）
male	捶	mor	俗	［他］槌で打つ	{Ｂ}風俗,慣習,風習,習わし,>>kutimo
maleol	脚腕	pied	足	{Ｂ}【解】くるぶし（踝）;=piedartiko（足首）	足の,下部の
manikur	美甲	man	手	［他］マニキュアを施す,=manflegi	手で
map	图	bild	画	［他］地図を作る;【数】写像する,=bildigi	絵を用いた
markot	压	s^os	芽	［他］【園】取木する	［自］若枝を伸ばす,ひこばえを生じる
marmit	锅	kuir	烹	【料】なべ（鍋）,=kuirpoto	料理の,調理の
masakr	屠	amas	堆	［他］大虐殺する,殺戮する,皆殺しにする,=amasbuc^i	大量の
maskl	雄	vir	男	《稀》=virseksa（雄の）	男の;男のような
mas^	眼	ventr	腹	{Ｏ}編み目;（網の）目;【理】（定常波の）腹,=ventro	腹の,腹部の
megom	兆	mega	百万	【電】=megaomo（メガオーム）	
melankoli	郁	deprim	沮丧	憂鬱な,ふさぎ込んだ,もの悲しい;鬱病の	意気消沈させる
menstru	月经	monat	月	{Ｏ}［自］【医】月経がある,（俗に）生理がある	一ヶ月の,毎月の
meteor	陨	fals	伪	{Ｏ}【天】流星,=falstelo;【気】大気現象,=atmosfer	偽の
meteor	陨	atmosfer	气	{Ｏ}【天】流星,=falstelo;【気】大気現象,=atmosfer	{Ｏ}大気;雰囲気;【理】気圧（気圧の単位，atm）
mim	仿	mimik	拟	［他］=mimiki（身ぶりや表情で表現する）	［他］身ぶりや表情で表現する;まねをする
mim	仿	pantomim	哑剧	［他］=mimiki（身ぶりや表情で表現する）	{Ｏ}【劇】パントマイム,無言劇
ministeri	部	ministr	臣	省の	大臣の
minoritat	少数	nep	孙	少数派,マイノリティー,=malplimulto,><majoritat	{Ｂ}孫
mirmekofag	兽	formik	蚁	【動】オオアリクイ（大蟻喰）,=formikurso	アリの;《転》（アリのように）勤勉な
mitral	机枪	mas^	眼	【軍】機関銃,=mas^inpafilo	{Ｏ}編み目;（網の）目;【理】（定常波の）腹,=ventro
mjel	髓	spin	脊	【解】脊髄（せきずい）,=spina medolo	{Ｏ}背骨,脊柱,=vertebraro;【解】棘（きょく）;《転》山稜
model	模	modl	塑	模範的な	［他］（粘土・ロウなどで）形を作る,造形する
model	模	muld	型	模範的な	{Ｏ}［他］型に入れて作る,鋳造する;型を取る,鋳型をとる
molar	臼	grand	大	【解】大臼歯,=granda mueldento;臼歯（きゅうし）,=m	{Ｂ}大きい,強大な,多大の,偉大な
