r	rk	y	yk	r_gloss	y_gloss
umbilik	脐	hil	蛙	へその	【動】アマガエル（雨蛙）（属）,=verda rano
ureter	输尿管	urin	尿	【解】尿管,=urinkanalo	尿の,小便の
uretr	尿道	urin	尿	【解】尿道,=urintubo	尿の,小便の
val	谷	basen	盆	{Ｂ}【地理】谷,谷間,渓谷;流域,=baseno;【建】（屋根の）谷	{Ｏ}泉水,ため池;船溜まり;（川の）流域;【地理】盆地,=rondva
vaz	器	angi	脉	{Ｂ}容器,うつわ,つぼ,かめ,花びん,はち,>>poto,>>pelv	【解】脈管,>>arterio,>>vejno,>>limfangio;
vegan	素	veget	茂	=vegetaj^ano（完全菜食家）	植生の;《転》無為の,無気力な
vegetal	植	veget	茂	植物の,=vegetaj^a	植生の;《転》無為の,無気力な
vel	帆	palat	口顶	帆の	口蓋の
vener	性病	seks	性	【病】性病の,=seksmalsana	性の,性的な
vertig^	晕	sent	感	［自］めまいがする,=senti kapturnon	感情の
vertig^	晕	kapt	捕	［自］めまいがする,=senti kapturnon	{Ｂ}［他］つかまえる,捕らえる;つかむ,把握する;とりこにする
veterinar	兽医	best	兽	獣医の,=bestkuraca	動物の,獣のような
vezik	囊	aer	气	{Ｂ}泡（あわ）,気泡,=aerveziko;【解】嚢胞;《転》（漫画の	空気の,大気の;空の,空中の,航空の;《転》空虚な,実体のない
viadukt	旱桥	val	谷	{Ｂ}（谷などに渡された）陸橋,高架橋,=valponto	{Ｂ}【地理】谷,谷間,渓谷;流域,=baseno;【建】（屋根の）谷
violent	暴	perfor	穿	=perforta（乱暴な）	【PIV】(tr (transitiva)) Okazigi perfo
viper	蛇	vipur	毒蛇	{Ｏ}【動】=vipuro（マムシ）	{Ｏ}【動】クサリヘビ（鎖蛇）（属）;《般》マムシ（蝮）
viscer	脏	intern	内	【解】内臓,=internaj^o	{Ｂ}内部の,内側の;国内の;内心の,精神的な
vit	葡	vin	酒	{Ｂ}【植】ブドウ（葡萄）（属）,=vinberarbo	ワインの
vitriol	矾	sulf	硫	{Ｏ}《古》【化】礬（ばん）（重金属の硫酸塩）,=sulfato;《般》	【化】【PIV】Mll de sulfuro, uzata en nom
volatil	挥发	vapor	汽	【化】揮発性の,=vaporig^ema	蒸気の;蒸気のたちこめた,おぼろにかすんだ;（布地が）透けるように薄い
vor	贪食	mang	芒果	=mang^egi（むさぼり食う）	{Ｏ}【果】マンゴー（の実）
vring	拧	prem	压	［他］=premtordi（絞る）	押しつけるような,重苦しい
vultur	秃鹰	kon	认	{Ｂ}【鳥】コンドル（種）,=kondoro;《般》ハゲタカ（禿鷹）（ハ	{Ｂ}［他］（体験して）知っている;知り合いである,面識がある;精通して
zelot	迷	fanatik	狂	《転》熱心なファン,（サッカーの）サポーター【私家版】	{Ｏ}狂信的な,熱狂的な
zip	拉链	fulm	闪	［他］ファスナーで閉じる	稲妻の
altitud	高	absolut	绝	【地理】標高,海抜,=absoluta alteco	{Ｂ}絶対の,無条件の,完全な,全くの,>>senkondic^a,>>
vort	词	dir	说	語の,言葉の;言葉だけの	{Ｂ}［他］言う,述べる,告げる
astaten	卤	astat	无定	【PIV】= astato.	【理】無定位の,>>stata
bajonet	刺刀	stift	销	{Ｏ}【軍】銃剣	［他］くさび栓で留める
batrak	蛙	amfibi	两栖	【PIV】(ark. (arkaismo, arkaisme)) = a	両生類の;水陸両用の
bostrik	虫	skorpi	蝎	【動】【PIV】1 G. (Genro) (Bostrychus) de	{Ｂ}【動】サソリ（蠍）（目の総称）;【聖】さそり鞭（むち）
ekvipotencial	等势	egal	等	【理】【PIV】= egalpotenciala.	{Ｂ}等しい,同等の;対等な,平等な;むらのない,一様な;どうでもよい
entjer	整	cifer	数	【数】整数	［他］数字で表す
femin	女	vir	男	【PIV】= virino.	男の;男のような
filari	丝虫	vukeri	虫	【PIV】1 (ark. (arkaismo, arkaisme)) =	【動】【PIV】G. (Genro) (Wuchereria, sin.
fit	植	salp	海桶	【植】【PIV】Planto vs (vastasence) (uzat	【動】【PIV】G. (Genro) (Salpa) de tuniku
fit	植	akv	水	【植】【PIV】Planto vs (vastasence) (uzat	水の;【生】水生の
flog	木	floks	草	【植】【PIV】1 G. (Genro) (Phloga el arek	【植】【PIV】G. (Genro) (Phlox el polemon
foni	声	radi	射	【PIV】= radiotelefonio.	ラジオ（放送）の
format	版	prepar	备	{Ｏ}【印】（本や紙の）判	準備の
grosulari	木	gros	醋栗	【植】【PIV】1 (ark. (arkaismo, arkaisme)	{Ｏ}【植】=grosujo;【果】グーズベリーの実,（セイヨウ）スグリ
heksagon	六角	regul	规	【PIV】1 = regula sesangulo. 2 = sesan	正規の,規則にかなった;規則正しい,規則的な,定期的な
holoste	硬骨	holost	草	【PIV】= holosto.	【植】【PIV】G. (Genro) (Holosteum el kar
impregn	浸	fekund	肥	【PIV】(tr (transitiva)) 1 S^irmsaturi	繁殖力のある,多産な;《転》実り多い,肥沃（ひよく）な
klad	支	filum	门	【生】【PIV】1 Grupo (cladus) de vivuloj 	【生】【PIV】Sistematika unuo (phylum) am
klast	屑	detrit	碎屑	【地質】【PIV】1 Fragmento de rompita kris	【地質】【PIV】Mineralo au^ fragmento de m
kori	绒膜	derm	皮	【解】【動】【PIV】1 Ekstera parto de la pla	【解】真皮,>>epidermo
korm	茎叶体	firma	商	【植】【PIV】1 Vegeta korpo de la superaj	【商】商会,商社,=firmo
koroid	脉膜	kori	绒膜	【解】脈絡膜	【解】【動】【PIV】1 Ekstera parto de la pla
kvik	麦草	kvivit	鸣	【植】【PIV】1 (ss (striktasence)) Sp. (S	【PIV】Tiu krieto: kion birdo havas pr
ligatur	结扎	lig	结	【医】【PIV】1 a) Fadeno, per kiu oni lig	結合の
mitral	机枪	mitr	冠	【軍】機関銃,=mas^inpafilo	［他］【カ】ミトラを授ける
opt	视	talam	丘脑	【解】【PIV】Vidkapablo.	【解】【PIV】(thalamus) Nomo de du dikaj 
plumbag	草	grafit	石墨	【植】【PIV】1 G. (Genro) (Plumbago el pl	{Ｏ}【鉱】黒鉛,石墨
poefag	牛	grunt	哼	【PIV】= gruntbovo.	［自］（ブタのように）ブーブー鳴く,>>bleki
provincial	省	orden	修会	【PIV】= ordena provincestro: provinci	［他］叙勲する
ruf	赤褐	ferdek	甲板	《詩》=flavrug^a（赤褐色の）	{Ｏ}【海】甲板,デッキ;上甲板
skop	镜	s^kop	勺	【PIV】= s^kopo.	【PIV】Ujo el ligno au^ lado, uzata po
tak	倾	board	迎风	【PIV】(tr (transitiva)) 1 = g^iri 3 p	［自］【海】まぎる,ジグザグに帆走する;《転》回り道をする,遠回しの手段
trigon	三角	romb	菱	【解】【PIV】Triangula anatomia elemento:	{Ｏ}【数】菱形（ひしがた）;【魚】=rombofis^o（ヒラメの一種
