# PEJVO層に残る未割当の生物名語根 = 384件
# 列: 語根 / 分野 / F(出現語数) / 代表語釈 / 出現語(最大6)
alpak	【動】	F=1	【動】アルパカ;【服】アルパカ織	alpak/o
anelid	【動】	F=1	【動】環形動物	anelid/oj
angvis	【動】	F=1	【動】アシナシトカゲ	angvis/o
aspid	【動】	F=1	{Ｏ}【動】エジプトコブラ	aspid/o
babirus	【動】	F=1	【動】バビルサ,シカイノシシ	babirus/o
boa	【動】	F=1	{Ｏ}【動】ボア;【服】ボア（女性用襟巻きの一種）	boa/o
buldog	【動】	F=1	【動】ブルドッグ	buldog/o
c^impanz	【動】	F=1	{Ｏ}【動】チンパンジー（属）	c^impanz/o
civet	【動】	F=1	【動】ジャコウネコ（麝香猫）（属）	civet/o
epizooti	【動】	F=1	【動】家畜流行病,獣疫（じゅうえき）	epizooti/o
fakoc^er	【動】	F=1	【動】イボイノシシ（属）,=verukapro	fakoc^er/o
fasciol	【動】	F=1	【動】カンテツ（肝蛭）（属）	fasciol/o
feloid	【動】	F=1	【動】=felisedoj（ネコ科）	feloid/oj
foin	【動】	F=1	【動】ムナジロテン	foin/o
fur	【動】	F=1	【動】フェレット（ケナガイタチの変種）,=c^asputoro	fur/o
galeopitek	【動】	F=1	【動】ヒヨケザル（属）	galeopitek/o
gek	【動】	F=1	【動】ヤモリ（類）	gek/o
genot	【動】	F=1	{Ｏ}【動】ジェネット（属）;ヨーロッパジェネット	genot/o
gerbil	【動】	F=1	【動】アレチネズミ（属）,ジャービル	gerbil/o
gnu	【動】	F=1	【動】ヌー（属）	gnu/o
grifon	【動】	F=1	【動】グリフォン・テリア（小形の狩猟犬）	grifon/o
gul	【動】	F=1	【動】クズリ（イタチ科の大形の種）	gul/o
hemion	【動】	F=1	【動】アジアノロバ	hemion/o
hien	【動】	F=1	{Ｏ}【動】ハイエナ	hien/o
histrik	【動】	F=1	{Ｏ}【動】ヤマアラシ（属）	histrik/o
ibeks	【動】	F=1	【動】アイベックス（野生ヤギの一種）	ibeks/o
iksod	【動】	F=1	【動】マダニ（真ダニ）（科の総称）,>>akaro	iksod/o
kapibar	【動】	F=1	【動】カピバラ	kapibar/o
koal	【動】	F=1	【動】コアラ,フクログマ	koal/o
kobaj	【動】	F=1	{Ｏ}【動】モルモット,テンジクネズミ（種）	kobaj/o
kojot	【動】	F=1	【動】コヨーテ,=prerilupo	kojot/o
kojp	【動】	F=1	【動】ヌートリア,カイリネズミ（海狸鼠）	kojp/o
komatul	【動】	F=1	【動】ウミシダ（類）	komatul/o
krotal	【動】	F=1	【動】ガラガラヘビ（属）,=sonserpento	krotal/o
langust	【動】	F=1	【動】イセエビ（伊勢海老）（類の俗称）,=palinuro	langust/o
laniari	【動】	F=1	【動】グレーター・スイス・マウンテン・ドッグ（大型の牧畜犬）,>>korthundo	laniari/o
lolig	【動】	F=1	【動】ヤリイカ（類）,スルメイカ（類）;《般》イカ（烏賊）,>>sepio	lolig/o
lumbrik	【動】	F=1	{Ｏ}【動】ミミズ,=tervermo	lumbrik/o
makak	【動】	F=1	【動】マカク（属）（ニホンザルなどアジア・北アフリカ産のサルの多くを含む）	makak/o
manat	【動】	F=1	【動】マナティー,カイギュウ（海牛）	manat/o
marmot	【動】	F=1	{Ｏ}【動】マーモット（属）	marmot/o
marsupial	【動】	F=1	【動】有袋類	marsupial/oj
miogal	【動】	F=1	{Ｏ}【動】デスマン（ヨーロッパにすむ水生のモグラ類）	miogal/o
mops	【動】	F=1	{Ｏ}【動】パグ（小型犬の一種）	mops/o
mul	【動】	F=1	{Ｏ}【動】ラバ（騾馬）	mul/o
mungot	【動】	F=1	【動】マングース	mungot/o
niktereu^t	【動】	F=1	【動】タヌキ（狸）	niktereu^t/o
onisk	【動】	F=1	【動】ワラジムシ（草鞋虫）（の類）	onisk/o
orangutang	【動】	F=1	【動】オランウータン（種）	orangutang/o
pakiderm	【動】	F=1	《古》【動】厚皮動物（ゾウ・サイなど）,=dikhau^tuloj	pakiderm/oj
palinur	【動】	F=1	{Ｏ}【動】イセエビ（伊勢海老）（属）,=langusto,>>omaro	palinur/o
