char	root1	band1	gloss1	root2	band2	gloss2
哼	ronk	basic	{Ｂ}［自］いびきをかく;ごうごううなる,>>grunti	grunt	pejvo	［自］（ブタのように）ブーブー鳴く,>>bleki
啃	rod	pejvo	［他］=>rong^i（かじる）	rong^	pejvo	{Ｏ}［他］かじる,=mordeti
啪	knal	piv	【PIV】(ntr (netransitiva)) Brui kiel vipo, krevanta baloneto, pafo ks (kaj simile, kaj simi	krak	pejvo	{Ｏ}［自］（ぱちぱち・ぴしり・ぽきん・めりめり）乾いた音を立てる
喻	trop	pejvo	{Ｏ}【修】言葉のあや,（語の）転用,比喩,=vortfiguro	metafor	pejvo	隠喩の,比喩の
嚎	hurl	pejvo	［自］（オオカミ・犬が）ほえる,遠吠えする,>>ululi	ulul	pejvo	［自］（狼のように長く不吉な）遠吠えをする;（梟などが）ほうほうと鳴く;（サイレンなどが）うなる
囤	stapl	pejvo	［他］倉庫に集積する,置場に積む	akapar	pejvo	{Ｏ}［他］買占める,=forac^eti;独占する
园	g^arden		庭園の	park	basic	［他］【車】駐車させる
围	c^irkau^		周囲の,周辺の;およその	sieg^	pejvo	包囲の,攻城の
圣	sakral	piv	【PIV】Apartigita for de la komuna uzado pro religia karaktero, k inspiranta respektoplenan 	sankt	basic	{Ｂ}【宗】神聖な,聖なる;《転》尊重すべき,神聖不可侵の
坛	altar	pejvo	{Ｏ}祭壇	forum	basic	{Ｏ}フォーラム（公開討論の場）;【史】フォーラム（古代ローマの公共広場）
垛	krenel	pejvo	銃眼のついた;【植】（葉の縁が）鈍鋸歯状の	stak	pejvo	いなむら（稲叢）;（物を積んだ）山;【情】スタック
壶	kruc^		{Ｂ}（取っ手のついた）水差し,ポット,やかん	pot	basic	{Ｂ}つぼ,はち,ポット,なべ,>>terpoto
宫	palac	basic	{Ｂ}宮殿,御殿,大邸宅	uter	pejvo	子宮の
寻	klaft	pejvo	{Ｏ}【史】両手を広げた長さの単位（約1.8〜2.1m）,尋（ひろ）	serc^		{Ｂ}［他］捜す,捜索する,探す,探索する;求める,探し求める,追求する
师	majstr	basic	巨匠の,親方の;大家にふさわしい,傑出した,巧みな	divizi	pejvo	{Ｏ}【軍】師団;【植】（分類学上の）門,>>klaso
恶	malic	basic	{Ｂ}悪意の,意地悪な,邪悪な,腹黒い	malign	pejvo	【医】悪性の,><benigna
恼	irit	basic	［他］いらだたせる;【医】刺激する	c^agren		悩ましい
惯	rutin	pejvo	型どおりの,慣例に従った,旧弊な	inerci	pejvo	【理】慣性の;《転》惰性の
执	ekzekut	basic	{Ｂ}［他］死刑を執行する,処刑する	ekzekuci	pejvo	［他］【法】強制執行する
扫	skan	pejvo	{Ｏ}［他］探査する,走査する;【情】スキャンする	bala	basic	{Ｂ}［他］掃く;【理】走査する
拟	mimik	pejvo	［他］身ぶりや表情で表現する;まねをする	simul	pejvo	［他］【医】（病気の）ふりをする;【学】シミュレートする,模擬実験をする
拧	vring	pejvo	［他］=premtordi（絞る）	tord	basic	撚った,曲がりくねった,=tordita
拼	ortografi	basic	{Ｂ}【Ｇ】正書法,正字法;（個々の）綴り（つづり）	parget	pejvo	［他］【建】寄せ木張りにする
换	permut	pejvo	［他］〜の順序を入れ替える,並べ換える,置換する	komut	pejvo	［他］【電】（電流の）方向を転換する;【鉄】（線路を）切り替える;【数】交換する
敌	rival	pejvo	［自］張り合う,競争する,対抗する	advers	pejvo	=kontrau^aga（敵対している）
杂	divers	basic	{Ｂ}いろいろな,さまざまな,多種多様な	hibrid	pejvo	雑種の;《転》混成の
构	struktur	basic	構造の,構造上の	instituci	pejvo	{Ｏ}施設,機関;【政】制度
枪	pistol	pejvo	{Ｏ}ピストル,拳銃,>>revolvero;（塗装用の）スプレーガン	fusil	pejvo	［自］小銃を撃つ
栅	hurd	pejvo	［他］すのこを張る	krad	basic	格子の;格子の付いた
樱	meriz	pejvo	{Ｏ}【果】サクランボ（の実）,=dolc^a c^erizo	c^eriz		{Ｂ}【果】サクランボ,>>merizo
氮	azot	pejvo	{Ｏ}【化】窒素（の古い呼称）,=nitrogeno	nitr	sci	［略］【化】=nitrogeno（窒素）
污	makul	basic	しみのついた;斑点のある	polu	sci	［他］【環】（環境を）汚染する
浆	morter	pejvo	［他］【建】モルタルを塗る	plasm	pejvo	【解】血漿（けっしょう）;【生】原形質;【理】プラズマ
涂	s^mir		{Ｂ}［他］（油などを）塗る,塗布する;（機械などに）グリースを塗る,油を差す,>>lubriki;《転》買収する	stuk	pejvo	{Ｏ}［他］漆喰（しっくい）を塗る
渴	aspir	pejvo	{Ｏ}［他］熱望する,あこがれる	soif	basic	のどの渇いた;渇望している
炼	kupel	piv	【化】【PIV】(tr (transitiva)) Apartigi per varmigado oron au^ arg^enton disde la malpuraj^oj, 	afinaci	piv	【技】【PIV】(tr (transitiva)) Purigi likvan metalon.
烦	agac	pejvo	神経を刺激する,いらだたせるような	ted	basic	うんざりするような,くどい,つまらない,退屈な
烧	kalcin	pejvo	［他］【化】か焼する	febr	basic	高熱の,熱病の;熱狂した,熱中した
烫	glad	basic	{Ｂ}［他］アイロンをかける	brog	pejvo	{Ｏ}［他］熱湯をかける;【料】湯がく,湯引く;（熱湯で）やけどさせる
焊	lut	pejvo	{Ｏ}［他］ハンダ付けする,鑞付けする,>>veldi	veld	pejvo	［他］【機】溶接する,>>luti
猎	c^as		{Ｂ}［他］狩る,狩り立てる;《転》追い求める	pred	pejvo	［他］=c^asakiri（獲物にする）
疗	terapeu^tik	pejvo	=terapia（治療に関する）	terapi	sci	療法の,治療に関する
疮	ulcer	pejvo	潰瘍の,潰瘍性の	aft	pejvo	【病】（牛などの）アフタ熱,口蹄疫（こうていえき）
监	monitor	pejvo	［他］【機】モニタリングする	gvat	pejvo	［他］様子をうかがう,見張る,>>observi
盔	helm	piv	【史】【PIV】Kasko mezepoka.	kask	pejvo	{Ｏ}ヘルメット,鉄帽;【史】兜（かぶと）
矾	vitriol	pejvo	{Ｏ}《古》【化】礬（ばん）（重金属の硫酸塩）,=sulfato;《般》濃硫酸	alun	pejvo	{Ｏ}【化】ミョウバン
碳	karbur	pejvo	［他］（内燃機関の燃料を）気化する;【化】（金属を）浸炭処理する	karbon	basic	【環】炭素循環;【天】炭素サイクル
离	repudi	pejvo	［他］【法】（一方的に）離縁する,=eksedzigi,=eksedzinigi	for	func	はるかな,遠く離れた
积	kumulus	pejvo	【気】積雲	volumen	basic	体積の;かさの高い,かさばる
稳	aplomb	pejvo	自信に満ちて,落ち着き払って,沈着冷静に;図々しく	stabil	basic	{Ｏ}安定した,永続する;【理】安定な,>>metastabila,>>nestabila,>>labila
窝	fove	piv	【解】【PIV】(fovea) Termino por kavetoj: centra foveo (de la retino); foveo de la femurosta ka	ricel	pejvo	［他］【法】（盗品などを）隠匿する,故買する,>>kas^i
红	skarlat	pejvo	緋色の,深紅色の	rug^		{Ｂ}赤い,>>skarlata,>>punca,>>roza;《転》左翼の
纤	fibr	sci	{Ｏ}繊維;【医】線維	gracil	pejvo	（病的に）か細い,きゃしゃな,>>svelta
纬	veft	pejvo	［他］横糸を通す	latitud	basic	{Ｂ}【地理】緯度,>>longitudo
纱	vual	basic	［他］ベールをかける,覆いをかける;《転》覆い隠す	gaz	pejvo	薄織りの,薄地の;ガーゼの
组	kompon	basic	{Ｂ}［他］（芸術作品を）構成する,創作する;【楽】作曲する	op	suf	連れだった
经	varp	pejvo	［他］【織】縦糸をそろえる,整経する	bibli	basic	【キ】聖書注解
绒	plus^	pejvo	{Ｏ}【織】フラシ天,プラッシュ,>>veluro	velur	basic	ビロードの,ビロードのような
绞	vinc^	pejvo	【機】ウィンチ,巻揚げ機	strangol	pejvo	{Ｏ}［他］首を絞める,絞め殺す,=premsufoki
续	dau^r		継続的な,長続きする;耐久性の;【声】継続音の	kontinu	sci	{Ｏ}連続的な,継続した,切れ目のない;【数】連続な;【電】直流の
缆	kabl	pejvo	ケーブルテレビ	tiravir	piv	【PIV】S^nuro duige faldita, alligita c^e la supro de deklivaj^o, k servanta por rule supren
缎	saten	pejvo	{Ｏ}【織】サテン,繻子（しゅす）	damask	pejvo	{Ｏ}【織】ダマスク織,どんす（緞子）
缘	border	pejvo	{Ｏ}［他］縁取る	afin	piv	【PIV】1 Prezentanta similecojn de strukturo, humoro, karaktero ks. 2【植】【動】Sistematike paren
缝	steb	pejvo	{Ｏ}［他］ミシンで縫う,合わせ縫いする	kudr	basic	【印】糸綴じの（製本）
缠	implik	basic	込み入った,複雑な	obsed	pejvo	（観念が）頭から離れない
罚	pun	basic	罰の,懲罰の,刑罰の	penal	pejvo	【運】ペナルティーキック
肾	nefr	piv	【解】【医】【PIV】Reno (precipe en kunmetaj^oj).	ren	basic	腎臓の
脓	pus	basic	うみの;化膿した,うんだ	pio	piv	【医】【PIV】Puso (en kunmetaj^oj): piobacilozo, pionefrito, piosalpingito ktp (kaj tiel plu).
茧	kokon	pejvo	{Ｏ}【虫】繭（まゆ）;（クモの）卵嚢（らんのう）	kal	basic	たこのできた,ごつごつした
训	trejn	basic	訓練の,練習の;養成の	instrukci	pejvo	［他］指令を与える,訓令を発する
讽	karikatur	basic	漫画のような,戯画化した	sarkasm	pejvo	辛辣な,嫌みな,皮肉たっぷりの
诈	artifik	pejvo	策略による,ごまかしの	frau^d	pejvo	【法】詐欺破産
语	idiom	pejvo	{Ｏ}固有言語	lingv	basic	言語の
诲	katekiz	pejvo	{Ｏ}［他］【キ】（教理を）問答で教える	kateh^iz	pejvo	{Ｏ}［他］=katekizi（問答で教える）
谨	skrupul	pejvo	良心的な,気の小さい,慎重な;細心の,綿密な,きちょうめんな	diskret	pejvo	{Ｏ}口の堅い;控え目な,慎み深い;目立たない
贡	tribut	pejvo	［他］貢ぐ,貢納する,朝貢する	kontribu	basic	{Ｏ}［自］寄与する,貢献する;［他］寄付する,寄稿する
责	riproc^		とがめるような	respons	pejvo	=respondeca（責任のある）
败	defet	piv	【PIV】(ntr (netransitiva)) Kredi sin au^ sian partion venkota.	fiask	basic	［自］大失敗する,完全にしくじる
贬	devalut	pejvo	［他］【経】（通貨の）平価を切下げる	deprec	piv	【PIV】(tr (transitiva)) Redukti la merkatvaloron de varo au^ de valuto, esprimitan en unu a
贴	afrank	basic	{Ｂ}［他］切手を貼る,郵便料金を払う	afis^		［他］（貼り紙で）掲示する;【情】（メーリングリストなどに）投稿する
费	kost	basic	高価な	premium	piv	【PIV】Monsumo, difinita en la poliso k periode pagenda de la asekurato al la asekuranto. Vd
资	burg^		中産階級の,ブルジョアの	kapital	basic	{Ｂ}【経】資本;資本金,資金;《転》資本,元手
赏	gratifik	pejvo	［他］（特別手当として）与える	aprez	pejvo	［他］真価を認める,高く評価する,>>s^ati;鑑賞する,>>gustumi
赛	turnir	pejvo	［自］トーナメントに参加する,試合をする,勝負する	matc^		［自］試合をする
跷	stilz	pejvo	（〜j）竹馬,=pas^stango,=stangirilo	baskul	pejvo	シーソー式の,はね構えの
轧	laminat	pejvo	［他］【機】（金属を）圧延する	grinc	basic	{Ｂ}［自］きしむ
轮	verticil	piv	【植】【PIV】Aro, almenau^ triopo, de folioj, floroj au^ aliaj plantaj organoj radiantaj el la 	rad	basic	車輪の;車輪のついた
轴	s^aft	pejvo	【機】軸,シャフト,心棒,>>akso	aks	basic	{Ｂ}軸,軸線;【植】軸;【数】軸;【天】自転軸;【理】光軸;【政】枢軸;《転》中軸
较	kompar	basic	比較の	komparativ	pejvo	{Ｏ}【Ｇ】比較級
迁	migr	basic	移動の,遍歴の;移動性の	emigr	piv	【PIV】(ntr (netransitiva)) Elmigri pro politika kau^zo.
还	ankorau^		【PIV】Okazanta ankorau^ en la priparolata momento au^ denove: la ankorau^a diskutado.	plu	func	なおその上の,さらなる,その後の
邮	filatel	basic	切手収集,郵趣	pos^t		郵便の
钝	obtuz	pejvo	{Ｏ}（音・痛みなどが）鈍い,はっきりしない;【数】鈍角の	hebet	piv	【医】【PIV】Trafita de hebeteco.
钟	horlog^		{Ｂ}時計;柱時計,大時計	hor	basic	一時間あたりの;時間に関する
钠	natri	elem	【化】重曹,重炭酸ナトリウム（＝炭酸水素ナトリウム）	natr	pejvo	【化】ソーダ石灰
钱	sold	pejvo	{Ｏ}【史】スー（フランスの旧通貨）;（軍人の）俸給	mon	basic	金銭の,通貨の
钳	tenajl	pejvo	［他］ペンチではさむ	h^elicer	piv	【動】【PIV】La unua para membro c^e merostomoj k araneoidoj, plej ofte tre mallonga k kun pren
铁	fero	pejvo	【地名】フェロー諸島（北大西洋北東部）**Fero/oの追加	fer	basic	鉄の,鉄製の;《転》（鉄のように）強固な,厳格な,厳しい
银	bank	basic	銀行口座	arg^ent		銀の,銀色の
铺	stern	basic	{Ｂ}［他］敷く,敷き広げる;横たえる,なぎ倒す;《転》広げる,繰り広げる	pavim	pejvo	［他］【建】舗装する
链	katen	basic	［他］鎖につなぐ,かせをかける;《転》束縛する,拘束する	c^en		鎖状の;連鎖した
销	debit	pejvo	［他］売りさばく,小売りする	stift	pejvo	［他］くさび栓で留める
锁	serur	basic	{Ｂ}錠,錠前,>>s^losilo	s^los		{Ｂ}［他］鍵をかける;《転》封じる,閉ざす
锈	rust	basic	［自］さびている;さびる	ured	piv	【植】【PIV】1 Eksa formgenro (Uredo), nomenklature ne legitima. 2 Grupo de neperfektaj uredalo
锐	akut	pejvo	{Ｏ}【数】鋭角の;【病】急性の,><kronika;【楽】高音の	akr	basic	{Ｂ}鋭い
锥	piramid	pejvo	ピラミッド状の	konus	pejvo	円錐の,円錐形の
镑	pund	pejvo	{Ｏ}【貨】ポンド（イギリス）,=100 pencoj;ポンド（エジプト・シリアなど）,=100 piastroj	sterling	pejvo	【貨】英ポンドの
长	long	basic	{Ｂ}（空間的・時間的に）長い;【声】長音の	kapitan	pejvo	{Ｏ}【海】船長;【運】（チームの）キャプテン,主将;【軍】（陸軍・空軍の）大尉,中隊長;（海軍の）大佐,艦長
门	filum	piv	【生】【PIV】Sistematika unuo (phylum) ampleksanta parencajn klasojn, kun rango inter subregno 	pord	basic	{Ｂ}戸口,入り口;戸（と）,扉（とびら）,ドア
隐	marabut	piv	【イスラム】【PIV】Asketa ermito.	ermit	pejvo	【宗】隠遁（いんとん）生活
颁	dekret	pejvo	［他］【政】（政令を）発令する,布告する	promulg	piv	【法】【PIV】(tr (transitiva)) Oficiale konstati la ekziston de leg^o akceptita de la leg^odona
预	anticip	pejvo	前もって	predikt	pejvo	【Ｇ】将然の,未然の
颈	kol	basic	【地名】コラ半島（ロシア）	cervik	pejvo	【解】頸部（けいぶ）
颠	tang	pejvo	［自］【海】縦揺れ（ピッチング）する,>>rulig^i;【楽】タンゴを踊る	atrop	piv	【植】【PIV】G. (Genro) (Atropa el solanacoj) de 4 plurjaraj plantoj hejmaj de U Eu^ropo g^is H
饱	satur	pejvo	{Ｏ}［他］【理】【化】飽和させる;充満させる,たっぷり満たす	sat	basic	{Ｂ}満腹した,食い足りた;《転》満ち足りた
马	onagr	piv	【動】【PIV】Sp. (Specio) de ekvo (Equus onager, sin. (sinonimo (de latinscienca nomo)) E. kula	c^eval		{Ｂ}【動】ウマ（馬）;【遊】（チェスの）ナイト,（将棋の）桂馬
骑	kavaleri	pejvo	{Ｏ}【軍】騎兵隊;【経】融通手形	rajd	basic	馬に乗って;馬乗りに
鲤	karp	basic	{Ｂ}【魚】コイ（鯉）	ciprin	pejvo	【動】コイ（属）,>>karpo
鲸	cetac	pejvo	【動】クジラ類,>>baleno,>>makrocefalo	balen	basic	{Ｏ}【動】クジラ;セミクジラ
鸡	galin	piv	【動】【PIV】G. (Genro) (Gallus) de birdoj, al kiu apartenas i.a. (interalie, inter aliaj) la k	kok	basic	{Ｂ}【鳥】ニワトリ（鶏）;【生】=mikrokoko（球菌）
鸥	lar	pejvo	【鳥】カモメ（属）,>>mevo	mev	basic	{Ｏ}【鳥】カモメ（鴎）（科）
齿	dental	pejvo	【声】歯音（しおん）,=dentosono	dent	basic	歯の;歯のついた
