char	root1	band1	gloss1	root2	band2	gloss2
逐	proskrib	pejvo	［他］追放する,=ekzili;=malpermesi;=eksterleg^igi	ekzil	pejvo	{Ｏ}［他］祖国から追放する,>>proskribi,>>elpeli
窒	asfiksi	pejvo	［他］【医】窒息させる	sufok	basic	窒息するような,息苦しい,息詰まる
抽	ekstrakt	pejvo	［他］抽出する;抜粋する,引用する	abstrakt	basic	{Ｏ}抽象的な,><konkreta;観念的な;【美】抽象派の
兆	bilion	num	（米英で）十億,=miliardo;（独仏で）一兆,=duiliono,=mil miliardoj	megom	pejvo	【電】=megaomo（メガオーム）
跳	kapriol	pejvo	［自］跳ね回る,跳躍する	salt	basic	{Ｂ}［自］跳ぶ,跳び上がる,跳躍する;飛び移る,飛びのく;《転》飛躍する;《転》急増する
痛	dolor	basic	痛い,痛ましい	algi	suf	【医】【PIV】Doloro (suf-e (sufikse) uzata): neu^ralgio, cefalalgio (kapdoloro), termoalgio (Si
爪	klik	pejvo	【機】歯止め,爪（つめ）;（排他的な）徒党,一味,派閥	ung	basic	［他］つめを立てる,ひっかく,>>ungograti,>>ungovundi
低	bas	pejvo	【楽】バスの,低音の;《詩》=malalta（低い）	depresi	pejvo	【経】不況,不景気;【医】=deprimo（うつ病）
提	menci	basic	{Ｂ}［他］言及する,ちょっと触れる,名を挙げる	suflor	pejvo	［他］せりふを付ける;《転》そっと教える,耳打ちする
艇	jakt	basic	【海】ヨット	jah^t	pejvo	【海】=jakto（ヨット）
摘	pluk	pejvo	［他］（花や実を）摘む,摘みとる,>>des^iri;つまみ上げる;【楽】（ハープなどを）つまびく,=pinc^i	enukle	pejvo	［他］【医】（腫瘍・眼球などを）摘出する
笛	fajf	basic	{Ｂ}［自］（高く鋭い音を出すこと）口笛を吹く,指笛を吹く;警笛を鳴らす,汽笛を鳴らす;（鳥が）ぴいぴい鳴く	flut	pejvo	［自］フルートを吹く;［他］フルートで演奏する
哲	filozof	pejvo	［自］=filozofii（哲学する）;達観する	filozofi	basic	哲学的な
田	hub	pejvo	【史】小農地,フーフェ（中世ヨーロッパで農民に割り当てられた土地）	kamp	basic	【植】ルリハコベ
堵	s^top		{Ｂ}［他］（穴・隙間などを）ふさぐ,栓をする,詰め物をする,埋める;ふさいで邪魔をする,閉鎖する;詰めこむ,いっぱいにする;（布や編み物の穴を）繕う,かがる,>>fliki	obtur	pejvo	【写】シャッター速度
徒	adept	pejvo	{Ｏ}（学説・教義の）信奉者;（思想・運動の）支持者,仲間,同志	van	basic	{Ｂ}実りのない,むだな;むなしい,実質を伴わない
怒	kolerik	piv	【医】【PIV】Apartenanta al unu el la kvar temperamentoj lau^ la Hipokrata humora medicino.	koler	basic	怒りの,立腹した,怒っている
倒	kusp	pejvo	毛並みに逆らって,逆に	inversi	pejvo	［他］倒置する
投	spekul	pejvo	投機的な	j^et		{Ｂ}［他］投げる;投げ出す,まき散らす;（勢いよく無造作に）押しやる,突き出す
灯	lamp	basic	【化】灯油,ケロシン,=keroseno	lucern	pejvo	{Ｏ}つりランプ;《転》傑出した人物
当	lombard	pejvo	［他］質入れする	dej^or		【日】用番老中（ようばんろうじゅう）【私家版】
痘	variol	pejvo	{Ｏ}【病】天然痘,痘瘡（とうそう）	akn	basic	{Ｂ}にきび,吹き出物（ふきでもの）
橡	kverk	basic	{Ｂ}【植】ナラ（楢）,カシ（樫）,オーク;【植】コナラ属	glan	pejvo	{Ｏ}【植】カシの実,どんぐり;【解】亀頭
任	kapric	basic	気まぐれな,移り気な;予測できない	investitur	pejvo	［他］（儀式を伴って）任命する,>>enoficigi
猫	kat	basic	猫の,猫のような	felis	pejvo	【動】ネコ属（の動物）,>>kato
燃	brul	basic	燃えるような,燃焼の	fuel	pejvo	【技】【PIV】Solida, likva au^ gasa substanco el kiu, per kemia au^ fizika reakcio, energio est
粘	viskoz	pejvo	粘り気のある;【理】粘性の	muk	pejvo	{Ｏ}【生】（粘膜から分泌される）粘液
破	c^ifon		ぼろぼろの	romp	basic	{Ｂ}［他］破壊する,壊す,割る,折る,破る;断つ,断絶する;《転》（勇気・無関心などを）打ち破る,打ち砕く
背	parker	pejvo	{Ｏ}暗記して,暗記で	dors	basic	背の,裏の
肺	pneu^mon	pejvo	【医】【PIV】Pulmo (en kunmetaj^oj).	pulm	basic	肺の
倍	obl	suf	【数】倍数	ploid	piv	【生】【PIV】Nombro de homologaj serioj de la n kromosomspecoj de unu nukleo.
媒	medium	pejvo	霊媒の	svat	basic	{Ｂ}［他］（職業的に）結婚を仲介する,仲人する
博	erudici	pejvo	学識豊かな,博識の	doktor	basic	博士の
八	okta	piv	(語釈なし)	ok	num	第八の,八番目の
半	hemi	pejvo	(語釈なし)	semi	piv	(語釈なし)
卑	fi	pref	下劣な,いやらしい	trivial	pejvo	{Ｏ}野卑な,下卑た,卑俗な,低俗な,>>banala,>>vulgara
批	ratif	pejvo	［他］=ratifiki（批准する）	ratifik	pejvo	［他］【政】批准する
比	ol	func	(語釈なし)	proporci	basic	釣り合いのとれた;比例した
避	rifug^		{Ｂ}［自］避難する,逃げ込む,保護を求める;亡命する	evit	basic	{Ｂ}［他］避ける,回避する,
尾	vost	basic	尾の;《転》後尾の	kulas	pejvo	【軍】銃尾,砲尾,遊底,=postumo;【機】（内燃機関の）シリンダーヘッド
菱	romb	pejvo	{Ｏ}【数】菱形（ひしがた）;【魚】=rombofis^o（ヒラメの一種）	lozang^	pejvo	{Ｏ}（紋章の）菱形紋;（宝石の）菱形面;（ひし形の）糖衣錠,=pastelo;【数】=>rombo（菱形）
百	centezimal	pejvo	【数】百分法の,百進法の	cent	num	百番目の
豹	panter	pejvo	{Ｏ}【動】ヒョウ（豹）（種）=leopardo;ヒョウ（属）	leopard	pejvo	{Ｏ}【動】ヒョウ（豹）,=pantero
病	morb	pejvo	【医】症候群	pati	suf	【医】【PIV】Kn (Kolektiva nomo) de malsanoj, trafantaj la saman organon, funkcion ks (kaj simi
敏	prompt	piv	【PIV】Aganta, efikanta tuj, senprokraste, senhezite: prompta sendito; prompta repliko; vi, 	sagac	basic	{Ｂ}明敏な,賢明な,巧妙な,抜け目のない
