char	root1	gloss1	root2	gloss2
梗	pedunkl	【植】花柄;【解】脳脚	infarkt	【医】【PIV】Nomo donata al vaskula teritorio
高	alt	{Ｂ}高い;高貴な,高級な	altitud	【地理】標高,海抜,=absoluta alteco
劫	korsar	{Ｏ}【史】私掠船船長,私掠船乗組員,=kaperisto,>>pirato;=	kaper	［他］（敵船を）私掠（しりゃく）する,捕獲する
克	konker	{Ｏ}［他］征服する,戦い取る;《転》（努力して）勝ち取る,克服する	gram	{Ｂ}【単】グラム（g）
此	c^i	(語釈なし)	cis	(語釈なし)
婚	fianc^	{Ｂ}婚約者（男）,いいなずけ（男）	nupt	《詩》=geedzig^ofesto（婚礼）
根	radik	根の;《転》根本的な,根源的な;【植】根生の;【Ｇ】語根の;【数】根の	radikl	【解】【PIV】Radiko de krania au^ spina nervo
塞	plosiv	【語】破裂音,閉鎖音	kork	コルク製の
祭	mes	{Ｏ}【キ】ミサ,聖祭;【楽】ミサ曲	hieratik	聖事に関する,聖職者の;【史】神官文字の
作	au^tor	{Ｂ}著者,作者	verk	［他］著作する,（論文・記事などを）書く,制作する
三	terciar	【学】第三の,三次の,>>sekundara;【地質】第三紀の,>>kvater	tri	第三の,三番目の
餐	supe	【PIV】Delikata au^ festa vespermang^o.	restoraci	{Ｂ}レストラン,料理店,食堂
史	anal	【史】【PIV】Rakonto de historiaj faktoj, str	histori	歴史上の,歴史的な
士	licenci	学士号,>>bakalau^reco;学位,>>magistreco,>>dok	kavalir	騎士の
姿	gest	身ぶりで	poz	{Ｏ}［自］【美】ポーズをとる;《転》気取る
子	atom	原子の;原子力の,核の	id	子ども;子孫（一人）;《転》信奉者,弟子
止	c^es	{Ｂ}［自］やむ,〜しなくなる	apne	【医】無呼吸症候群
私	partikular	分離独立的な,自己中心的な,排他的な	privat	{Ｂ}私的な,私の,非公式な;私立の,私有の
次	sekundar	【学】第二の,二次の,>>primara;《古》第二紀の,=mezozoika	foj	一度,ある時
自	sin	{Ｂ}胸部;懐（ふところ）;胎内;《転》内奥;《転》胸の内	mem	自身の,自らの
邪	pervers	邪悪な,よこしまな,倒錯した,>>malica	perversi	【医】異常;《般》性的倒錯
