char	root1	gloss1	root2	gloss2
蚌	mitul	{Ｏ}【貝】イガイ（貽貝）（属）,ムール貝	ostr	{Ｏ}《般》カキ（牡蠣）;【貝】イタボガキ（板甫牡蠣）（属）
蝠	filostom	【動】【PIV】G. (Genro) (Phyllostomus) de mam	vespertilion	【動】【PIV】G. (Genro) (Vespertilio) de mamu
蝗	lokust	【虫】トノサマバッタ（属）,>>akrido;飛蝗（ひこう）	akrid	{Ｂ}（一般に）バッタ（蝗虫）;【虫】ショウリョウバッタ（属）,>>lokust
蠕	peristalt	【生】【PIV】Nevola muskola kontrahig^o, okaz	helmint	【動】【PIV】Kn (Kolektiva nomo) de vermoj, k
衫	c^emiz	{Ｂ}【服】シャツ,ワイシャツ;シュミーズ,>>tolaj^o	bluz	{Ｂ}【服】ブラウス;上っ張り,仕事着;ジャンパー,ブルゾン
辣	kapsik	【料】チリソース	kajen	【料】（粉末状の）唐辛子（とうがらし）,>>kapsiko
醋	vinagr	酢の,すっぱい;《転》気むずかしい,不機嫌な	acet	【化】=acetilo（アセチル基）
雹	hajl	［自］（無主語）あられが降る,ひょうが降る	grajl	［自］（無主語）あられが降る
勒	brid	［他］（馬に）馬勒（ばろく）をつける;《転》手綱を締める,抑制する	string	［他］締めつける,握りしめる,抱きしめる,=c^irkau^premi,=c^i
韵	rim	［他］押韻する	asonanc	［他］【文】母音で押韻する
髓	medol	髄の,骨髄の,髄質の	mjel	【解】脊髄（せきずい）,=spina medolo
炫	parad	閲兵式の;パレードの;誇示の,見せびらかしの	bravur	【楽】【PIV】Tre brila stilo au^ ludmaniero: 
产	produkt	生産工程	akus^	出産の
仓	magazen	{Ｂ}（商品などの）倉庫;大商店,百貨店;（銃の）弾倉,（カメラの）マガジン	sil	【農】サイロ,貯蔵庫
份	da	(語釈なし)	porci	{Ｂ}分け前,割当て,配給量;（料理の）一人前
伤	lez	損傷の	vund	傷の,けがの
偷	marod	［他］（作物を）畑から盗む,（家禽を）農家から盗む	s^tel	盗んで;こっそりと,ひそかに
兰	orkid	【植】ハクサンチドリ（属）,オルキス;【解】精巣,睾丸（こうがん）,=testi	orkide	{Ｏ}《般》【植】ラン（蘭）（科の総称）
农	agr	農地,=kultivata kampo	agrikultur	農業経済,=terkultiva ekonomio
剑	spad	{Ｏ}（細身の長くとがった）剣	glav	{Ｂ}刀,剣;《転》剣（武力・暴力・権威の象徴）
协	kooperativ	協同組合の	kooper	協同の,=kunlabora;協同組合の,=kooperativa
发	emisi	【経】発行の,振出の;【理】放出の,放射の	lanc^	{Ｏ}［他］放つ,発射する;世に送り出す;【海】進水させる;【情】（プログラムを
吞	fag^	【生】【PIV】Mll de bakteriofag^o.	glut	{Ｂ}［他］飲み込む,飲み下す;《転》飲み込む,むさぼる
吨	tonel	{Ｏ}【海】（船の）容積トン（2.83ｍ3）	tun	{Ｂ}【単】トン（1t=1000kg）
启	inspir	{Ｂ}［他］（思想・感情を）吹き込む,鼓吹する,抱かせる;霊感を与える	revelaci	天啓宗教
员	komiz	{Ｏ}店員,社員,銀行員	membr	{Ｂ}会員,一員,構成員,メンバー;（構成）要素,部分;【解】肢（手または足）;
哼	ronk	{Ｂ}［自］いびきをかく;ごうごううなる,>>grunti	grunt	［自］（ブタのように）ブーブー鳴く,>>bleki
啃	rod	［他］=>rong^i（かじる）	rong^	{Ｏ}［他］かじる,=mordeti
啪	knal	【PIV】(ntr (netransitiva)) Brui kiel vipo	krak	{Ｏ}［自］（ぱちぱち・ぴしり・ぽきん・めりめり）乾いた音を立てる
喻	trop	{Ｏ}【修】言葉のあや,（語の）転用,比喩,=vortfiguro	metafor	隠喩の,比喩の
嚎	hurl	［自］（オオカミ・犬が）ほえる,遠吠えする,>>ululi	ulul	［自］（狼のように長く不吉な）遠吠えをする;（梟などが）ほうほうと鳴く;（サイレ
囤	stapl	［他］倉庫に集積する,置場に積む	akapar	{Ｏ}［他］買占める,=forac^eti;独占する
园	g^arden	庭園の	park	［他］【車】駐車させる
围	c^irkau^	周囲の,周辺の;およその	sieg^	包囲の,攻城の
圣	sakral	【PIV】Apartigita for de la komuna uzado p	sankt	{Ｂ}【宗】神聖な,聖なる;《転》尊重すべき,神聖不可侵の
坛	altar	{Ｏ}祭壇	forum	{Ｏ}フォーラム（公開討論の場）;【史】フォーラム（古代ローマの公共広場）
垛	krenel	銃眼のついた;【植】（葉の縁が）鈍鋸歯状の	stak	いなむら（稲叢）;（物を積んだ）山;【情】スタック
壶	kruc^	{Ｂ}（取っ手のついた）水差し,ポット,やかん	pot	{Ｂ}つぼ,はち,ポット,なべ,>>terpoto
宫	palac	{Ｂ}宮殿,御殿,大邸宅	uter	子宮の
寻	klaft	{Ｏ}【史】両手を広げた長さの単位（約1.8〜2.1m）,尋（ひろ）	serc^	{Ｂ}［他］捜す,捜索する,探す,探索する;求める,探し求める,追求する
师	majstr	巨匠の,親方の;大家にふさわしい,傑出した,巧みな	divizi	{Ｏ}【軍】師団;【植】（分類学上の）門,>>klaso
恶	malic	{Ｂ}悪意の,意地悪な,邪悪な,腹黒い	malign	【医】悪性の,><benigna
恼	irit	［他］いらだたせる;【医】刺激する	c^agren	悩ましい
惯	rutin	型どおりの,慣例に従った,旧弊な	inerci	【理】慣性の;《転》惰性の
执	ekzekut	{Ｂ}［他］死刑を執行する,処刑する	ekzekuci	［他］【法】強制執行する
扫	skan	{Ｏ}［他］探査する,走査する;【情】スキャンする	bala	{Ｂ}［他］掃く;【理】走査する
拟	mimik	［他］身ぶりや表情で表現する;まねをする	simul	［他］【医】（病気の）ふりをする;【学】シミュレートする,模擬実験をする
拧	vring	［他］=premtordi（絞る）	tord	撚った,曲がりくねった,=tordita
拼	ortografi	{Ｂ}【Ｇ】正書法,正字法;（個々の）綴り（つづり）	parget	［他］【建】寄せ木張りにする
换	permut	［他］〜の順序を入れ替える,並べ換える,置換する	komut	［他］【電】（電流の）方向を転換する;【鉄】（線路を）切り替える;【数】交換する
敌	rival	［自］張り合う,競争する,対抗する	advers	=kontrau^aga（敵対している）
杂	divers	{Ｂ}いろいろな,さまざまな,多種多様な	hibrid	雑種の;《転》混成の
构	struktur	構造の,構造上の	instituci	{Ｏ}施設,機関;【政】制度
枪	pistol	{Ｏ}ピストル,拳銃,>>revolvero;（塗装用の）スプレーガン	fusil	［自］小銃を撃つ
栅	hurd	［他］すのこを張る	krad	格子の;格子の付いた
樱	meriz	{Ｏ}【果】サクランボ（の実）,=dolc^a c^erizo	c^eriz	{Ｂ}【果】サクランボ,>>merizo
氮	azot	{Ｏ}【化】窒素（の古い呼称）,=nitrogeno	nitr	［略］【化】=nitrogeno（窒素）
污	makul	しみのついた;斑点のある	polu	［他］【環】（環境を）汚染する
浆	morter	［他］【建】モルタルを塗る	plasm	【解】血漿（けっしょう）;【生】原形質;【理】プラズマ
涂	s^mir	{Ｂ}［他］（油などを）塗る,塗布する;（機械などに）グリースを塗る,油を差す,	stuk	{Ｏ}［他］漆喰（しっくい）を塗る
渴	aspir	{Ｏ}［他］熱望する,あこがれる	soif	のどの渇いた;渇望している
炼	kupel	【化】【PIV】(tr (transitiva)) Apartigi per v	afinaci	【技】【PIV】(tr (transitiva)) Purigi likvan 
烦	agac	神経を刺激する,いらだたせるような	ted	うんざりするような,くどい,つまらない,退屈な
烧	kalcin	［他］【化】か焼する	febr	高熱の,熱病の;熱狂した,熱中した
烫	glad	{Ｂ}［他］アイロンをかける	brog	{Ｏ}［他］熱湯をかける;【料】湯がく,湯引く;（熱湯で）やけどさせる
焊	lut	{Ｏ}［他］ハンダ付けする,鑞付けする,>>veldi	veld	［他］【機】溶接する,>>luti
猎	c^as	{Ｂ}［他］狩る,狩り立てる;《転》追い求める	pred	［他］=c^asakiri（獲物にする）
疗	terapeu^tik	=terapia（治療に関する）	terapi	療法の,治療に関する
疮	ulcer	潰瘍の,潰瘍性の	aft	【病】（牛などの）アフタ熱,口蹄疫（こうていえき）
监	monitor	［他］【機】モニタリングする	gvat	［他］様子をうかがう,見張る,>>observi
盔	helm	【史】【PIV】Kasko mezepoka.	kask	{Ｏ}ヘルメット,鉄帽;【史】兜（かぶと）
矾	vitriol	{Ｏ}《古》【化】礬（ばん）（重金属の硫酸塩）,=sulfato;《般》濃硫酸	alun	{Ｏ}【化】ミョウバン
碳	karbur	［他］（内燃機関の燃料を）気化する;【化】（金属を）浸炭処理する	karbon	【環】炭素循環;【天】炭素サイクル
离	repudi	［他］【法】（一方的に）離縁する,=eksedzigi,=eksedzinigi	for	はるかな,遠く離れた
积	kumulus	【気】積雲	volumen	体積の;かさの高い,かさばる
稳	aplomb	自信に満ちて,落ち着き払って,沈着冷静に;図々しく	stabil	{Ｏ}安定した,永続する;【理】安定な,>>metastabila,>>nest
窝	fove	【解】【PIV】(fovea) Termino por kavetoj: cen	ricel	［他］【法】（盗品などを）隠匿する,故買する,>>kas^i
红	skarlat	緋色の,深紅色の	rug^	{Ｂ}赤い,>>skarlata,>>punca,>>roza;《転》左翼の
纤	fibr	{Ｏ}繊維;【医】線維	gracil	（病的に）か細い,きゃしゃな,>>svelta
纬	veft	［他］横糸を通す	latitud	{Ｂ}【地理】緯度,>>longitudo
纱	vual	［他］ベールをかける,覆いをかける;《転》覆い隠す	gaz	薄織りの,薄地の;ガーゼの
组	kompon	{Ｂ}［他］（芸術作品を）構成する,創作する;【楽】作曲する	op	連れだった
经	varp	［他］【織】縦糸をそろえる,整経する	bibli	【キ】聖書注解
绒	plus^	{Ｏ}【織】フラシ天,プラッシュ,>>veluro	velur	ビロードの,ビロードのような
绞	vinc^	【機】ウィンチ,巻揚げ機	strangol	{Ｏ}［他］首を絞める,絞め殺す,=premsufoki
续	dau^r	継続的な,長続きする;耐久性の;【声】継続音の	kontinu	{Ｏ}連続的な,継続した,切れ目のない;【数】連続な;【電】直流の
缆	kabl	ケーブルテレビ	tiravir	【PIV】S^nuro duige faldita, alligita c^e 
缎	saten	{Ｏ}【織】サテン,繻子（しゅす）	damask	{Ｏ}【織】ダマスク織,どんす（緞子）
缘	border	{Ｏ}［他］縁取る	afin	【PIV】1 Prezentanta similecojn de struktu
缝	steb	{Ｏ}［他］ミシンで縫う,合わせ縫いする	kudr	【印】糸綴じの（製本）
缠	implik	込み入った,複雑な	obsed	（観念が）頭から離れない
罚	pun	罰の,懲罰の,刑罰の	penal	【運】ペナルティーキック
肾	nefr	【解】【医】【PIV】Reno (precipe en kunmetaj^oj)	ren	腎臓の
脓	pus	うみの;化膿した,うんだ	pio	【医】【PIV】Puso (en kunmetaj^oj): piobacilo
茧	kokon	{Ｏ}【虫】繭（まゆ）;（クモの）卵嚢（らんのう）	kal	たこのできた,ごつごつした
训	trejn	訓練の,練習の;養成の	instrukci	［他］指令を与える,訓令を発する
讽	karikatur	漫画のような,戯画化した	sarkasm	辛辣な,嫌みな,皮肉たっぷりの
诈	artifik	策略による,ごまかしの	frau^d	【法】詐欺破産
语	idiom	{Ｏ}固有言語	lingv	言語の
诲	katekiz	{Ｏ}［他］【キ】（教理を）問答で教える	kateh^iz	{Ｏ}［他］=katekizi（問答で教える）
谨	skrupul	良心的な,気の小さい,慎重な;細心の,綿密な,きちょうめんな	diskret	{Ｏ}口の堅い;控え目な,慎み深い;目立たない
贡	tribut	［他］貢ぐ,貢納する,朝貢する	kontribu	{Ｏ}［自］寄与する,貢献する;［他］寄付する,寄稿する
责	riproc^	とがめるような	respons	=respondeca（責任のある）
败	defet	【PIV】(ntr (netransitiva)) Kredi sin au^ 	fiask	［自］大失敗する,完全にしくじる
贬	devalut	［他］【経】（通貨の）平価を切下げる	deprec	【PIV】(tr (transitiva)) Redukti la merkat
贴	afrank	{Ｂ}［他］切手を貼る,郵便料金を払う	afis^	［他］（貼り紙で）掲示する;【情】（メーリングリストなどに）投稿する
费	kost	高価な	premium	【PIV】Monsumo, difinita en la poliso k pe
资	burg^	中産階級の,ブルジョアの	kapital	{Ｂ}【経】資本;資本金,資金;《転》資本,元手
赏	gratifik	［他］（特別手当として）与える	aprez	［他］真価を認める,高く評価する,>>s^ati;鑑賞する,>>gustumi
赛	turnir	［自］トーナメントに参加する,試合をする,勝負する	matc^	［自］試合をする
跷	stilz	（〜j）竹馬,=pas^stango,=stangirilo	baskul	シーソー式の,はね構えの
轧	laminat	［他］【機】（金属を）圧延する	grinc	{Ｂ}［自］きしむ
轮	verticil	【植】【PIV】Aro, almenau^ triopo, de folioj,	rad	車輪の;車輪のついた
轴	s^aft	【機】軸,シャフト,心棒,>>akso	aks	{Ｂ}軸,軸線;【植】軸;【数】軸;【天】自転軸;【理】光軸;【政】枢軸;《転》
较	kompar	比較の	komparativ	{Ｏ}【Ｇ】比較級
迁	migr	移動の,遍歴の;移動性の	emigr	【PIV】(ntr (netransitiva)) Elmigri pro po
还	ankorau^	【PIV】Okazanta ankorau^ en la priparolata	plu	なおその上の,さらなる,その後の
邮	filatel	切手収集,郵趣	pos^t	郵便の
钝	obtuz	{Ｏ}（音・痛みなどが）鈍い,はっきりしない;【数】鈍角の	hebet	【医】【PIV】Trafita de hebeteco.
钟	horlog^	{Ｂ}時計;柱時計,大時計	hor	一時間あたりの;時間に関する
钠	natri	【化】重曹,重炭酸ナトリウム（＝炭酸水素ナトリウム）	natr	【化】ソーダ石灰
钱	sold	{Ｏ}【史】スー（フランスの旧通貨）;（軍人の）俸給	mon	金銭の,通貨の
钳	tenajl	［他］ペンチではさむ	h^elicer	【動】【PIV】La unua para membro c^e merostom
铁	fero	【地名】フェロー諸島（北大西洋北東部）**Fero/oの追加	fer	鉄の,鉄製の;《転》（鉄のように）強固な,厳格な,厳しい
银	bank	銀行口座	arg^ent	銀の,銀色の
铺	stern	{Ｂ}［他］敷く,敷き広げる;横たえる,なぎ倒す;《転》広げる,繰り広げる	pavim	［他］【建】舗装する
链	katen	［他］鎖につなぐ,かせをかける;《転》束縛する,拘束する	c^en	鎖状の;連鎖した
销	debit	［他］売りさばく,小売りする	stift	［他］くさび栓で留める
锁	serur	{Ｂ}錠,錠前,>>s^losilo	s^los	{Ｂ}［他］鍵をかける;《転》封じる,閉ざす
锈	rust	［自］さびている;さびる	ured	【植】【PIV】1 Eksa formgenro (Uredo), nomenk
锐	akut	{Ｏ}【数】鋭角の;【病】急性の,><kronika;【楽】高音の	akr	{Ｂ}鋭い
锥	piramid	ピラミッド状の	konus	円錐の,円錐形の
镑	pund	{Ｏ}【貨】ポンド（イギリス）,=100 pencoj;ポンド（エジプト・シリア	sterling	【貨】英ポンドの
长	long	{Ｂ}（空間的・時間的に）長い;【声】長音の	kapitan	{Ｏ}【海】船長;【運】（チームの）キャプテン,主将;【軍】（陸軍・空軍の）大尉
门	filum	【生】【PIV】Sistematika unuo (phylum) amplek	pord	{Ｂ}戸口,入り口;戸（と）,扉（とびら）,ドア
隐	marabut	【イスラム】【PIV】Asketa ermito.	ermit	【宗】隠遁（いんとん）生活
颁	dekret	［他］【政】（政令を）発令する,布告する	promulg	【法】【PIV】(tr (transitiva)) Oficiale konst
预	anticip	前もって	predikt	【Ｇ】将然の,未然の
颈	kol	【地名】コラ半島（ロシア）	cervik	【解】頸部（けいぶ）
颠	tang	［自］【海】縦揺れ（ピッチング）する,>>rulig^i;【楽】タンゴを踊る	atrop	【植】【PIV】G. (Genro) (Atropa el solanacoj)
饱	satur	{Ｏ}［他］【理】【化】飽和させる;充満させる,たっぷり満たす	sat	{Ｂ}満腹した,食い足りた;《転》満ち足りた
马	onagr	【動】【PIV】Sp. (Specio) de ekvo (Equus onag	c^eval	{Ｂ}【動】ウマ（馬）;【遊】（チェスの）ナイト,（将棋の）桂馬
骑	kavaleri	{Ｏ}【軍】騎兵隊;【経】融通手形	rajd	馬に乗って;馬乗りに
鲤	karp	{Ｂ}【魚】コイ（鯉）	ciprin	【動】コイ（属）,>>karpo
鲸	cetac	【動】クジラ類,>>baleno,>>makrocefalo	balen	{Ｏ}【動】クジラ;セミクジラ
鸡	galin	【動】【PIV】G. (Genro) (Gallus) de birdoj, a	kok	{Ｂ}【鳥】ニワトリ（鶏）;【生】=mikrokoko（球菌）
鸥	lar	【鳥】カモメ（属）,>>mevo	mev	{Ｏ}【鳥】カモメ（鴎）（科）
齿	dental	【声】歯音（しおん）,=dentosono	dent	歯の;歯のついた
