語根	層	disp	id	群サイズ	F	綴りとの関係	逆引き候補数	末尾を落とすと
kariofil	PEJVO	丁香ᴷ	k	3	6	接頭辞	1	siring
lilak	PEJVO	丁香ᴸ	l	3	1	接頭辞	1	siring
hepta	PIV	七ᴴ	h	2	1	接頭辞	1	sep
terciar	PEJVO	三ᵀᶜ	tc	2	3	綴り内の文字	1	tri
trigon	PIV	三角ᵀᴿ	tr	2	2	接頭辞	2	trigonometri
super	文法層	上ˢᴾ	sp	2	160	先頭+子音	1	sur
subaltern	PEJVO	下ˢᴸ	sl	3	2	綴り内の文字	1	sub
sob	PIV	下ˢᴼ	so	3	2	接頭辞	1	sub
klau^n	PEJVO	丑ᴷ	k	7	3	接頭辞	1	skandal
pajac	PEJVO	丑ᴾ	p	7	2	接頭辞	2	skandal
arleken	PEJVO	丑ᴬ	a	7	3	接頭辞	1	skandal
pulc^inel	PEJVO	丑ᴾᴸ	pl	7	2	先頭+子音	1	pajac
histrion	PEJVO	丑ᴴ	h	7	2	接頭辞	1	skandal
bufon	PIV	丑ᴮ	b	7	1	接頭辞	1	skandal
au^tokrat	PIV	专制ᴬ	a	3	1	接頭辞	2	despot
au^tokrati	PIV	专制ᴬᴵ	ai	3	1	綴り内の文字	1	au^tokrat
vepr	PEJVO	丛ⱽ	v	3	4	接頭辞	1	tuf
makis	PEJVO	丛ᴹ	m	3	2	接頭辞	1	tuf
oriental	PEJVO	东ᴼᴸ	ol	2	2	綴り内の文字	1	orient
faden	CSV2890	丝ᶠ	f	4	39	接頭辞	3	silk
filament	PEJVO	丝ᶠᴸ	fl	4	3	先頭+子音	2	faden
filigran	PEJVO	丝ᶠᴳ	fg	4	2	綴り内の文字	1	faden
serioz	CSV2890	严ˢᴿ	sr	6	10	先頭+子音	3	sever
rigor	PEJVO	严ᴿ	r	6	8	接頭辞	1	sever
strikt	PEJVO	严ˢᵀ	st	6	7	接頭辞	1	sever
drakon	PEJVO	严ᴰ	d	6	4	接頭辞	1	sever
au^ster	PIV	严ᴬ	a	6	1	接頭辞	1	sever
individual	PEJVO	个ᴵᴸ	il	2	2	綴り内の文字	1	individu
neŭtral	CSV2890	中ᴺ	n	5	11	接頭辞	2	mez
neu^tr	PEJVO	中ᴺᴱ	ne	5	11	接頭辞	2	neŭtral
median	PEJVO	中ᴹᴰ	md	5	1	先頭+子音	1	mez
mezant	PIV	中ᴹᵀ	mt	5	1	綴り内の文字	1	mez
neu^tron	PIV	中子ᴺ	n	2	1	接頭辞	1	mezon
mezenter	PIV	中肠ᴹᶻ	mz	3	1	先頭+子音	1	mesenter
mesoenter	PIV	中肠ᴹᴼ	mo	3	1	綴り内の文字	1	mesenter
testik	PEJVO	丸ᵀ	t	2	6	接頭辞	1	pilol
testikit	PIV	丸炎ᵀ	t	2	1	接頭辞	1	orkidit
prezid	CSV2890	主ᴾ	p	8	13	接頭辞	2	mastr
precip	CSV2890	主ᴾᶜ	pc	8	3	綴り内の文字	1	prezid
subjekt	CSV2890	主ˢ	s	8	7	接頭辞	3	mastr
nominativ	CSV2890	主ᴺ	n	8	1	接頭辞	1	mastr
subjektiv	PEJVO	主ˢⱽ	sv	8	0	綴り内の文字	1	subjekt
tonik	PEJVO	主ᵀ	t	8	3	接頭辞	1	mastr
senjor	PIV	主ˢᴺ	sn	8	2	先頭+子音	1	subjekt
pontifik	PEJVO	主祭ᴾᴺ	pn	2	3	先頭+子音	1	prepost
kondut	CSV2890	举ᴷ	k	2	9	接頭辞	1	lev
deont	PIV	义ᴰ	d	2	2	接頭辞	1	justic
plezur	CSV2890	乐ᴾ	p	6	13	接頭辞	1	muzik
orkestr	CSV2890	乐ᴼ	o	6	8	接頭辞	2	muzik
optim	PEJVO	乐ᴼᴾ	op	6	3	接頭辞	1	orkestr
sangvin	PEJVO	乐ˢ	s	6	2	接頭辞	1	muzik
hedon	PIV	乐ᴴ	h	6	2	接頭辞	1	muzik
hedonism	PIV	乐主义ᴴ	h	2	1	接頭辞	1	optimism
hedonist	PIV	乐家ᴴ	h	2	1	接頭辞	1	optimist
multiplik	CSV2890	乘ᴹ	m	2	8	接頭辞	1	vetur
skrib	CSV2890	书ˢ	s	2	104	接頭辞	1	libr
turbul	PEJVO	乱ᵀ	t	4	6	接頭辞	1	konfuz
pelmel	PEJVO	乱ᴾ	p	4	3	接頭辞	2	konfuz
perpleks	PEJVO	乱ᴾᴿ	pr	4	4	先頭+子音	1	pelmel
mam	CSV2890	乳ᴹ	m	5	24	接頭辞	1	lakt
cic	PEJVO	乳ᶜ	c	5	3	接頭辞	1	lakt
emulsi	PEJVO	乳ᴱ	e	5	8	接頭辞	1	lakt
albumen	PEJVO	乳ᴬ	a	5	1	接頭辞	1	lakt
afer	CSV2890	事ᴬ	a	4	24	接頭辞	1	ke
fakt	CSV2890	事ᶠ	f	4	4	接頭辞	1	ke
event	CSV2890	事ᴱ	e	4	3	接頭辞	1	ke
nef	PIV	云ᴺᶠ	nf	2	2	先頭+子音	1	nub
mutual	PEJVO	互ᴹ	m	2	4	接頭辞	1	reciprok
penta	PEJVO	五ᴾ	p	2	3	接頭辞	1	kvin
meten	PEJVO	亚甲ᴹᴺ	mn	2	1	綴り内の文字	2	metilen
diplomat	CSV2890	交ᴰ	d	3	10	接頭辞	1	trafik
koit	PEJVO	交ᴷ	k	3	3	接頭辞	1	trafik
akuŝ	CSV2890	产ᴬ	a	2	17	接頭辞	1	produkt
bril	CSV2890	亮ᴮ	b	3	30	接頭辞	1	hel
leu^cin	PIV	亮ᴸ	l	3	2	接頭辞	1	hel
intim	CSV2890	亲ᴵ	i	4	12	接頭辞	1	kar
parenc	CSV2890	亲ᴾ	p	4	10	接頭辞	1	kar
simpati	CSV2890	亲ˢ	s	4	8	接頭辞	1	kar
person	CSV2890	人ᴾ	p	4	30	接頭辞	1	hom
oni	文法層	人ᴼ	o	4	8	接頭辞	1	hom
antrop	PEJVO	人ᴬ	a	4	16	接頭辞	1	hom
vendet	PIV	仇ⱽᴰ	vd	2	1	綴り内の文字	1	venĝ
dielektrik	PEJVO	介电ᴰ	d	2	6	接頭辞	1	permitiv
sil	PEJVO	仓ˢ	s	2	2	接頭辞	1	magazen
altru	PEJVO	他ᴬ	a	2	3	接頭辞	1	li
agent	CSV2890	代ᴬᴳ	ag	7	15	接頭辞	1	anstataŭ
pronom	CSV2890	代ᴾ	p	7	6	接頭辞	2	anstataŭ
generaci	CSV2890	代ᴳ	g	7	7	接頭辞	1	anstataŭ
era	PEJVO	代ᴱ	e	7	2	接頭辞	1	anstataŭ
prokur	PEJVO	代ᴾᴷ	pk	7	3	綴り内の文字	1	pronom
surogat	PEJVO	代ˢ	s	7	4	接頭辞	1	anstataŭ
komand	CSV2890	令ᴷ	k	5	15	接頭辞	1	ordon
edikt	PEJVO	令ᴱ	e	5	3	接頭辞	1	ordon
imperativ	PEJVO	令ᴵ	i	5	2	接頭辞	1	ordon
ukaz	PEJVO	令ᵁ	u	5	1	接頭辞	1	ordon
tarif	CSV2890	价ᵀ	t	4	14	接頭辞	1	prez
kurz	PEJVO	价ᴷ	k	4	17	接頭辞	1	prez
valent	PEJVO	价ⱽ	v	4	10	接頭辞	1	prez
kapric	CSV2890	任ᴷ	k	3	4	接頭辞	1	ajn
investitur	PEJVO	任ᴵ	i	3	2	接頭辞	1	ajn
porci	CSV2890	份ᴾ	p	2	7	接頭辞	1	da
mim	PEJVO	仿ᴹ	m	4	2	接頭辞	2	imit
mimik	PEJVO	仿ᴹᴷ	mk	4	3	綴り内の文字	1	mim
pastic^	PEJVO	仿ᴾ	p	4	2	接頭辞	1	imit
pingvin	PEJVO	企鹅ᴾᴵ	pi	3	1	接頭辞	2	pingven
sfenisk	PIV	企鹅ˢ	s	3	2	接頭辞	1	pingven
elit	PEJVO	优ᴱ	e	3	2	接頭辞	1	avantaĝ
optimum	PEJVO	优ᴼ	o	3	2	接頭辞	1	avantaĝ
asemble	CSV2890	会ᴬ	a	7	5	接頭辞	1	kongres
konferenc	CSV2890	会ᴷᶠ	kf	7	5	綴り内の文字	1	kongres
sesi	PEJVO	会ˢ	s	7	3	接頭辞	2	kongres
kolokv	PEJVO	会ᴷᴸ	kl	7	1	先頭+子音	1	kongres
miting	PEJVO	会ᴹ	m	7	1	接頭辞	1	kongres
simpozi	PIV	会ˢᴹ	sm	7	1	先頭+子音	1	sesi
paraŝut	CSV2890	伞ᴾ	p	35	8	接頭辞	3	ombrel
umbel	PEJVO	伞ᵁ	u	35	2	接頭辞	2	ombrel
anet	PEJVO	伞ᴬ	a	35	2	接頭辞	4	ombrel
ferol	PEJVO	伞ᶠ	f	35	1	接頭辞	3	ombrel
karvi	PEJVO	伞ᴷ	k	35	1	接頭辞	5	ombrel
kumin	PEJVO	伞ᴷᴹ	km	35	1	先頭+子音	3	karvi
mirid	PEJVO	伞ᴹ	m	35	1	接頭辞	1	ombrel
eringi	PEJVO	伞ᴱ	e	35	1	接頭辞	3	ombrel
fenkol	PEJVO	伞ᶠᴺ	fn	35	1	先頭+子音	1	ferol
angelik	PEJVO	伞ᴬᴳ	ag	35	3	綴り内の文字	1	anet
egopodi	PEJVO	伞ᴱᴳ	eg	35	1	接頭辞	2	eringi
herakle	PEJVO	伞ᴴ	h	35	1	接頭辞	2	ombrel
cerefoli	PEJVO	伞ᶜ	c	35	1	接頭辞	1	ombrel
pastinak	PEJVO	伞ᴾˢ	ps	35	1	先頭+子音	1	paraŝut
umbelifer	PEJVO	伞ᵁᶠ	uf	35	1	綴り内の文字	1	umbel
ami	PIV	伞ᴬᴹ	am	35	1	接頭辞	1	anet
dau^k	PIV	伞ᴰ	d	35	1	接頭辞	1	ombrel
etuz	PIV	伞ᴱᵀ	et	35	1	接頭辞	1	eringi
sium	PIV	伞ˢ	s	35	1	接頭辞	6	ombrel
karum	PIV	伞ᴷᴿ	kr	35	1	先頭+子音	3	karvi
kritm	PIV	伞ᴷᵀ	kt	35	1	綴り内の文字	1	karvi
selin	PIV	伞ˢᴸ	sl	35	1	先頭+子音	3	sium
sezel	PIV	伞ˢᶻ	sz	35	1	先頭+子音	2	sium
sizar	PIV	伞ˢᴿ	sr	35	1	綴り内の文字	1	sium
tapsi	PIV	伞ᵀ	t	35	1	接頭辞	1	ombrel
sanikl	PIV	伞ˢᴺ	sn	35	1	先頭+子音	3	sium
antrisk	PIV	伞ᴬᴿ	ar	35	1	綴り内の文字	1	anet
bupleu^r	PIV	伞ᴮ	b	35	1	接頭辞	1	ombrel
ferolag	PIV	伞ᶠᴳ	fg	35	1	綴り内の文字	1	ferol
skandik	PIV	伞ˢᴷ	sk	35	1	接頭辞	2	sium
kau^kalid	PIV	伞ᴷᵁ̆	kŭ	35	1	綴り内の文字	1	karvi
levistik	PIV	伞ᴸ	l	35	1	接頭辞	1	ombrel
pimpinel	PIV	伞ᴾᴹ	pm	35	1	先頭+子音	1	paraŝut
hidrokotil	PIV	伞ᴴᴰ	hd	35	1	先頭+子音	1	herakle
legend	CSV2890	传ᴸ	l	4	4	接頭辞	1	komunik
propagand	CSV2890	传ᴾ	p	4	5	接頭辞	1	komunik
transmisi	PEJVO	传ᵀ	t	4	5	接頭辞	1	komunik
lez	PEJVO	伤ᴸ	l	2	3	接頭辞	1	vund
pseŭdo	文法層	伪ᴾ	p	6	29	接頭辞	3	fals
kamufl	PEJVO	伪ᴷ	k	6	5	接頭辞	1	fals
postic^	PEJVO	伪ᴾᵀ	pt	6	2	綴り内の文字	1	pseŭdo
apokrif	PEJVO	伪ᴬ	a	6	2	接頭辞	1	fals
pseu^d	PEJVO	伪ᴾˢ	ps	6	1	接頭辞	3	pseŭdo
kompani	CSV2890	伴ᴷᴹ	km	6	22	先頭+子音	3	koleg
akompan	CSV2890	伴ᴬ	a	6	9	接頭辞	1	koleg
kamarad	CSV2890	伴ᴷᴿ	kr	6	8	綴り内の文字	1	koleg
partner	PEJVO	伴ᴾ	p	6	2	接頭辞	1	koleg
kompan	PIV	伴ᴷᴼ	ko	6	1	接頭辞	3	koleg
ekstens	PIV	伸ᴱᴷ	ek	2	3	接頭辞	1	etend
oid	文法層	似ᴼ	o	3	66	接頭辞	1	simil
analog	PEJVO	似ᴬ	a	3	6	接頭辞	1	simil
pozici	CSV2890	位ᴾ	p	5	6	接頭辞	1	situ
bit	PEJVO	位ᴮ	b	5	12	接頭辞	1	situ
lokaliz	PEJVO	位ᴸ	l	5	3	接頭辞	1	situ
apozici	PEJVO	位ᴬ	a	5	2	接頭辞	1	situ
homoteti	PIV	位似ᴴᴵ	hi	2	2	綴り内の文字	1	homotet
depresi	PEJVO	低ᴰ	d	2	4	接頭辞	1	bas
fart	CSV2890	体ᶠ	f	5	7	接頭辞	1	korp
sport	CSV2890	体ˢ	s	5	19	接頭辞	3	korp
som	PIV	体ˢᴹ	sm	5	2	先頭+子音	2	sport
somat	PIV	体ˢᵀ	st	5	4	綴り内の文字	2	sport
ceter	CSV2890	余ᶜ	c	4	4	接頭辞	1	rest
sald	PEJVO	余ˢ	s	4	5	接頭辞	1	rest
rezidu	PIV	余ᴿᶻ	rz	4	1	先頭+子音	1	rest
buda	PEJVO	佛ᴮᴬ	ba	2	3	綴り内の文字	1	budh
aŭtor	CSV2890	作ᴬ	a	2	10	接頭辞	1	verk
ambasad	CSV2890	使ᴬ	a	7	3	接頭辞	3	ig
apostol	CSV2890	使ᴬᴾ	ap	7	2	接頭辞	1	ambasad
ambasador	CSV2890	使ᴬᴿ	ar	7	5	綴り内の文字	1	ambasad
misi	PEJVO	使ᴹ	m	7	5	接頭辞	1	ig
nunci	PEJVO	使ᴺ	n	7	2	接頭辞	1	ig
legat	PEJVO	使ᴸ	l	7	1	接頭辞	1	ig
kaz	CSV2890	例ᴷ	k	2	6	接頭辞	1	ekzempl
pag^i	PEJVO	侍ᴾ	p	4	2	接頭辞	1	kelner
stevard	PEJVO	侍ˢ	s	4	2	接頭辞	1	kelner
grum	PEJVO	侍ᴳ	g	4	1	接頭辞	1	kelner
liver	CSV2890	供ᴸ	l	3	9	接頭辞	1	ofert
proviz	CSV2890	供ᴾ	p	3	17	接頭辞	1	ofert
rekognosk	PIV	侦ᴿ	r	2	1	接頭辞	1	skolt
tujon	PIV	侧柏ᵀᴼ	to	2	1	綴り内の文字	1	tujan
insult	CSV2890	侮ᴵ	i	2	7	接頭辞	1	ofend
markiz	PEJVO	侯ᴹ	m	2	4	接頭辞	1	princ
forc	PEJVO	促ᶠ	f	2	7	接頭辞	1	akcel
banal	CSV2890	俗ᴮ	b	8	4	接頭辞	1	mor
vulgar	CSV2890	俗ⱽ	v	8	9	接頭辞	1	mor
laik	PEJVO	俗ᴸ	l	8	4	接頭辞	1	mor
profan	PEJVO	俗ᴾ	p	8	7	接頭辞	1	mor
kic^	PEJVO	俗ᴷ	k	8	2	接頭辞	1	mor
sekular	PEJVO	俗ˢ	s	8	4	接頭辞	1	mor
filistr	PEJVO	俗ᶠ	f	8	3	接頭辞	1	mor
patron	CSV2890	保ᴾ	p	4	6	接頭辞	1	asekur
garanti	CSV2890	保ᴳ	g	4	10	接頭辞	1	asekur
kau^ci	PEJVO	保ᴷ	k	4	2	接頭辞	1	asekur
fid	CSV2890	信ᶠ	f	7	19	接頭辞	1	kred
leter	CSV2890	信ᴸ	l	7	45	接頭辞	1	kred
mesaĝ	CSV2890	信ᴹ	m	7	7	接頭辞	1	kred
konfid	CSV2890	信ᴷᴺ	kn	7	11	先頭+子音	1	kred
cirkuler	CSV2890	信ᶜ	c	7	2	接頭辞	1	kred
epistol	PEJVO	信ᴱ	e	7	2	接頭辞	1	kred
alize	PIV	信风ᴬ	a	3	2	接頭辞	1	trad
pasat	PIV	信风ᴾ	p	3	1	接頭辞	1	trad
klau^str	PEJVO	修院ᴷᵁ̆	kŭ	2	1	綴り内の文字	1	klostr
ploid	PIV	倍ᴾ	p	2	9	接頭辞	1	obl
inversi	PEJVO	倒ᴵ	i	3	3	接頭辞	1	kusp
anastrof	PEJVO	倒ᴬ	a	3	1	接頭辞	1	kusp
valor	CSV2890	值ⱽ	v	4	58	接頭辞	2	ind
merit	CSV2890	值ᴹ	m	4	15	接頭辞	1	ind
vac^	PEJVO	值ⱽᶜ̂	vĉ	4	2	先頭+子音	1	valor
inklin	CSV2890	倾ᴵ	i	4	8	接頭辞	1	em
tendenc	CSV2890	倾ᵀ	t	4	3	接頭辞	2	em
tak	PIV	倾ᵀᴷ	tk	4	2	先頭+子音	1	tendenc
fint	PEJVO	假ᶠᴺ	fn	2	2	先頭+子音	1	feri
jor	PEJVO	偏ᴶ	j	5	2	接頭辞	1	devi
ekart	PEJVO	偏ᴱ	e	5	1	接頭辞	1	devi
bias	PIV	偏ᴮ	b	5	4	接頭辞	1	devi
deviaci	PIV	偏ᴰᶜ	dc	5	2	綴り内の文字	1	devi
paranoj	PEJVO	偏执ᴾ	p	2	2	接頭辞	1	bigot
kape	PEJVO	停ᴷ	k	4	2	接頭辞	1	halt
suspend	PIV	停ˢ	s	4	2	接頭辞	2	halt
stop	PIV	停ˢᵀ	st	4	1	接頭辞	1	suspend
salubr	PIV	健ˢᴸ	sl	2	4	先頭+子音	1	san
pup	CSV2890	偶ᴾᴾ	pp	9	11	先頭+子音	1	par
hazard	CSV2890	偶ᴴ	h	9	8	接頭辞	1	par
eventual	CSV2890	偶ᴱ	e	9	7	接頭辞	1	par
marionet	PEJVO	偶ᴹ	m	9	2	接頭辞	1	par
kontingenc	PEJVO	偶ᴷ	k	9	3	接頭辞	2	par
krizalid	PEJVO	偶ᴷᴿ	kr	9	1	接頭辞	1	kontingenc
akcidenc	PIV	偶ᴬ	a	9	2	接頭辞	2	par
aleator	PIV	偶ᴬᴸ	al	9	1	接頭辞	1	akcidenc
marod	PEJVO	偷ᴹ	m	3	2	接頭辞	1	ŝtel
klepto	PIV	偷ᴷ	k	3	2	接頭辞	1	ŝtel
amortiz	PEJVO	偿ᴬ	a	4	6	接頭辞	1	kvit
solvent	PEJVO	偿ˢ	s	4	4	接頭辞	1	kvit
ristorn	PEJVO	偿ᴿ	r	4	2	接頭辞	1	kvit
stok	CSV2890	储ˢ	s	2	5	接頭辞	1	rezerv
hipnoz	PEJVO	催眠ᴴᶻ	hz	2	1	綴り内の文字	1	hipnot
arogant	PEJVO	傲ᴬᴺ	an	3	0	綴り内の文字	1	arog
orgojl	PEJVO	傲ᴼ	o	3	2	接頭辞	1	arog
statu	CSV2890	像ˢ	s	2	5	接頭辞	1	ŝajn
bonz	PEJVO	僧ᴮ	b	4	2	接頭辞	1	monah^
monak	PEJVO	僧ᴹᴷ	mk	4	6	綴り内の文字	1	monah^
cenobit	PIV	僧ᶜ	c	4	1	接頭辞	1	monah^
vokoid	PIV	元ⱽᴰ	vd	2	2	綴り内の文字	1	vokal
megom	PEJVO	兆ᴹ	m	2	2	接頭辞	1	bilion
precedent	PEJVO	先例ᴾᵀ	pt	2	1	綴り内の文字	1	precedenc
fototerapi	PIV	光疗ᶠ	f	2	1	接頭辞	1	lumterapi
konker	PEJVO	克ᴷ	k	3	4	接頭辞	2	gram
konkir	PEJVO	克ᴷᴵ	ki	3	1	綴り内の文字	1	konker
kunikl	CSV2890	兔ᴷ	k	2	4	接頭辞	1	lepor
komplet	CSV2890	全ᴷ	k	3	15	接頭辞	1	integr
holo	PEJVO	全ᴴ	h	3	10	接頭辞	1	integr
holomorfi	PIV	全形ᴴᴵ	hi	2	1	綴り内の文字	1	holomorf
okta	PIV	八ᴼᵀ	ot	2	2	綴り内の文字	1	ok
okt	PIV	八度ᴼᴷ	ok	2	2	接頭辞	2	oktav
just	CSV2890	公ᴶ	j	3	18	接頭辞	1	publik
public	PEJVO	公ᴾᶜ	pc	3	3	綴り内の文字	1	publik
heks	PEJVO	六ᴴ	h	3	3	接頭辞	2	ses
heksa	PEJVO	六ᴴᴬ	ha	3	2	綴り内の文字	1	heks
orkide	PEJVO	兰ᴼᴱ	oe	15	2	綴り内の文字	1	orkid
ofri	PIV	兰ᴼᶠ	of	15	1	接頭辞	1	orkid
bleti	PIV	兰ᴮ	b	15	1	接頭辞	1	orkid
vanda	PIV	兰ⱽ	v	15	1	接頭辞	1	orkid
angrek	PIV	兰ᴬ	a	15	1	接頭辞	1	orkid
katlej	PIV	兰ᴷ	k	15	1	接頭辞	2	orkid
oncidi	PIV	兰ᴼᴺ	on	15	1	接頭辞	1	orkid
cimbidi	PIV	兰ᶜ	c	15	1	接頭辞	2	orkid
epidendr	PIV	兰ᴱ	e	15	1	接頭辞	2	orkid
falenops	PIV	兰ᶠ	f	15	1	接頭辞	1	orkid
cipripedi	PIV	兰ᶜᴾ	cp	15	1	先頭+子音	1	cimbidi
epipaktid	PIV	兰ᴱᴾ	ep	15	1	接頭辞	2	epidendr
koraloriz	PIV	兰ᴷᴿ	kr	15	1	先頭+子音	1	katlej
spirantes	PIV	兰ˢ	s	15	1	接頭辞	1	orkid
komun	CSV2890	共ᴷᴹ	km	2	53	先頭+子音	1	kun
dogan	CSV2890	关ᴰ	d	2	10	接頭辞	1	rilat
mebl	CSV2890	具ᴹ	m	4	16	接頭辞	1	il
konkret	CSV2890	具ᴷ	k	4	6	接頭辞	1	il
ator	文法層	具ᴬ	a	4	6	接頭辞	1	il
enciklopedi	CSV2890	典ᴱ	e	3	4	接頭辞	1	klasik
kodeks	PEJVO	典ᴷᴰ	kd	3	2	先頭+子音	1	klasik
bred	CSV2890	养ᴮ	b	4	15	接頭辞	1	nutr
vart	CSV2890	养ⱽ	v	4	12	接頭辞	1	nutr
trofi	PEJVO	养ᵀ	t	4	11	接頭辞	1	nutr
zo	CSV2890	兽ᶻ	z	78	16	接頭辞	3	best
animal	CSV2890	兽ᴬ	a	78	8	接頭辞	4	best
zoologi	PEJVO	兽ᶻᴸ	zl	78	0	先頭+子音	1	zo
lutr	PEJVO	兽ᴸ	l	78	1	接頭辞	3	best
otari	PEJVO	兽ᴼ	o	78	1	接頭辞	6	best
mirmekofag	PEJVO	兽ᴹ	m	78	1	接頭辞	9	best
hien	PEJVO	兽ᴴᴱ	he	78	1	綴り内の文字	4	hin
koal	PEJVO	兽ᴷᴸ	kl	78	1	先頭+子音	1	kiang
civet	PEJVO	兽ᶜᴵ	ci	78	1	接頭辞	2	civetikt
genot	PEJVO	兽ᴳᴺ	gn	78	1	先頭+子音	2	gau^r
manat	PEJVO	兽ᴹᴬ	ma	78	1	接頭辞	7	mirmekofag
mungot	PEJVO	兽ᴹᵁ	mu	78	1	接頭辞	2	mirmekofag
pakiderm	PEJVO	兽ᴾᴷ	pk	78	1	先頭+子音	1	pudu
marsupial	PEJVO	兽ᴹˢ	ms	78	1	綴り内の文字	2	mirmekofag
galeopitek	PEJVO	兽ᴳᴸ	gl	78	1	先頭+子音	2	gau^r
ekv	PIV	兽ᴱ	e	78	1	接頭辞	3	best
hin	PIV	兽ᴴ	h	78	1	接頭辞	5	best
teri	PIV	兽ᵀ	t	78	3	接頭辞	3	best
ding	PIV	兽ᴰ	d	78	1	接頭辞	6	best
gau^r	PIV	兽ᴳ	g	78	1	接頭辞	5	best
ljam	PIV	兽ᴸᴶ	lj	78	1	接頭辞	1	lutr
nazu	PIV	兽ᴺ	n	78	1	接頭辞	1	best
pudu	PIV	兽ᴾ	p	78	1	接頭辞	5	best
unau^	PIV	兽ᵁ	u	78	1	接頭辞	2	best
unci	PIV	兽ᵁᶜ	uc	78	1	綴り内の文字	1	unau^
besti	PIV	兽ᴮᴵ	bi	78	2	綴り内の文字	2	best
viver	PIV	兽ⱽ	v	78	1	接頭辞	3	best
ekidn	PIV	兽ᴱᴰ	ed	78	1	綴り内の文字	2	ekv
focen	PIV	兽ᶠ	f	78	1	接頭辞	2	best
kiang	PIV	兽ᴷ	k	78	1	接頭辞	7	best
mazam	PIV	兽ᴹᶻ	mz	78	1	先頭+子音	2	mirmekofag
okapi	PIV	兽ᴼᴷ	ok	78	1	接頭辞	3	otari
orcin	PIV	兽ᴼᴿ	or	78	1	接頭辞	4	otari
venad	PIV	兽ⱽᴺ	vn	78	1	先頭+子音	1	viver
zibet	PIV	兽ᶻᴮ	zb	78	1	先頭+子音	1	zo
agvara	PIV	兽ᴬᴳ	ag	78	1	接頭辞	1	animal
desmod	PIV	兽ᴰˢ	ds	78	1	先頭+子音	1	ding
dugong	PIV	兽ᴰᴳ	dg	78	1	先頭+子音	3	ding
gvanak	PIV	兽ᴳⱽ	gv	78	1	接頭辞	2	gau^r
gvemul	PIV	兽ᴳᴹ	gm	78	1	綴り内の文字	1	gau^r
izatis	PIV	兽ᴵ	i	78	1	接頭辞	1	best
karibu	PIV	兽ᴷᴿ	kr	78	1	先頭+子音	3	kiang
koendu	PIV	兽ᴷᴰ	kd	78	1	綴り内の文字	1	kiang
korsak	PIV	兽ᴷˢ	ks	78	1	綴り内の文字	1	kiang
marmoz	PIV	兽ᴹᴿ	mr	78	1	先頭+子音	5	mirmekofag
martes	PIV	兽ᴹᵀ	mt	78	1	綴り内の文字	4	mirmekofag
ocelot	PIV	兽ᴼᶜ	oc	78	1	接頭辞	2	otari
pterop	PIV	兽ᴾᵀ	pt	78	1	接頭辞	2	pudu
serval	PIV	兽ˢ	s	78	1	接頭辞	2	best
valabi	PIV	兽ⱽᴸ	vl	78	1	先頭+子音	1	viver
procion	PIV	兽ᴾᴿ	pr	78	2	接頭辞	4	pudu
dazipod	PIV	兽ᴰᶻ	dz	78	1	先頭+子音	2	ding
alcelaf	PIV	兽ᴬᴸ	al	78	1	接頭辞	3	animal
armadel	PIV	兽ᴬᴿ	ar	78	1	接頭辞	2	animal
boselaf	PIV	兽ᴮᴸ	bl	78	1	綴り内の文字	2	best
haliker	PIV	兽ᴴᴸ	hl	78	1	先頭+子音	2	hin
herpest	PIV	兽ᴴᴿ	hr	78	1	先頭+子音	3	hin
kaguang	PIV	兽ᴷᴳ	kg	78	1	先頭+子音	2	kiang
lutreol	PIV	兽ᴸᴸ	ll	78	1	綴り内の文字	1	lutr
tamandu	PIV	兽ᵀᴹ	tm	78	1	先頭+子音	1	teri
falanger	PIV	兽ᶠᴸ	fl	78	1	先頭+子音	1	focen
civetikt	PIV	兽ᶜ	c	78	1	接頭辞	2	best
kironekt	PIV	兽ᴷᵀ	kt	78	1	綴り内の文字	1	kiang
megateri	PIV	兽ᴹᴳ	mg	78	1	先頭+子音	3	mirmekofag
monodelf	PIV	兽ᴹᴺ	mn	78	1	先頭+子音	3	mirmekofag
tragelaf	PIV	兽ᵀᴳ	tg	78	1	綴り内の文字	1	teri
blastocer	PIV	兽ᴮˢ	bs	78	1	綴り内の文字	4	best
dendrolag	PIV	兽ᴰᴰ	dd	78	1	綴り内の文字	3	ding
orikterop	PIV	兽ᴼᵀ	ot	78	1	綴り内の文字	4	otari
pipistrel	PIV	兽ᴾᴾ	pp	78	1	先頭+子音	2	pudu
smilodont	PIV	兽ˢᴹ	sm	78	1	接頭辞	1	serval
orikteropod	PIV	兽ᴼᴰ	od	78	1	綴り内の文字	1	otari
eh^idn	PIV	兽ᴱᴴ̂	eĥ	78	1	接頭辞	1	ekv
dazip	PIV	兽ᴰᴬ	da	78	1	接頭辞	3	ding
bradip	PIV	兽ᴮᴿ	br	78	1	接頭辞	2	best
halih^er	PIV	兽ᴴᴴ̂	hĥ	78	1	綴り内の文字	1	hin
h^ironekt	PIV	兽ᴴ̂	ĥ	78	1	接頭辞	1	hin
endo	文法層	内ᴱᴰ	ed	5	20	綴り内の文字	1	en
intern	CSV2890	内ᴵ	i	5	32	接頭辞	3	en
imanent	PEJVO	内ᴵᴹ	im	5	2	接頭辞	1	intern
intra	PIV	内ᴵᴿ	ir	5	3	綴り内の文字	2	intern
album	CSV2890	册ᴬ	a	6	3	接頭辞	1	kajer
