seg	n	head	gloss
elap	2	elap/o	【動】【PIV】G. (Genro) (Elaps) de kolorric^aj, venenaj serpentoj
anobi	2	anobi/o	【虫】アノビウム（シバンムシ科の一属、幼虫が家具・建材の害虫）
ploce	2	ploce/o	【動】【PIV】G. (Genro) (Ploceus) de birdoj el la ordo de paserof
salamandr	2	salamandr/o	【動】サンショウウオ（山椒魚）の類;サラマンドラ（ヨーロッパイモリ）の類,>>trituro;《般》（伝説上の）火とかげ
varan	2	varan/o	【動】オオトカゲ（科）
hebet	2	hebet/a	【医】【PIV】Trafita de hebeteco.
lektin	2	lektin/o	【化】【PIV】(kn (kolektiva nomo)) Proteino, precipe vegetaj^a, s
enoter	2	enoter/o	【植】マツヨイグサ（属）;月見草,宵待草（よいまちぐさ）
mat!	2	S^ak/mat!	［間］【遊】チェックメイト！（チェスで相手に詰みを告げる）
otari	2	otari/o	【動】オタリア
afid	2	afid/o	【虫】アブラムシ（油虫）,アリマキ（蟻巻）（科の総称）,=plantlau^so
kluzi	2	kluzi/o	【植】【PIV】G. (Genro) (Clusia el kluziacoj) de dau^rafoliaj arb
ptilonorink	2	ptilonorink/o	【動】【PIV】Au^stralia birdo (unuspecia g. (genro) Ptilonorhynch
drozofil	2	drozofil/o	【動】【PIV】G. (Genro) (Drosophila) de malgrandaj insektoj el la
kanis	2	kanis/o	【動】【PIV】G. (Genro) (Canis) de mamuloj el la subordo de rabob
ulv	2	ulv/o	【植】【PIV】G. (Genro) (Ulva el ulvacoj) de maraj verdalgoj en f
solan	2	solan/o	【植】ナス（茄子）（属）
viper	2	viper/o	【動】=vipuro（マムシ）
seran	2	seran/o	【動】【PIV】G. (Genro) (Serranus el la fam. (familio) de seraned
cerambik	2	cerambik/o	【動】【PIV】G. (Genro) (Cerambyx) de insektoj el la ordo de kole
agam	2	agam/o	【動】【PIV】G. (Genro) (Agama) de reptilioj el la subordo de lac
pandal	2	pandal/o	【動】【PIV】G. (Genro) (Pandalus) de malgrandaj marbordaj saliko
su	2	su/o	【動】【PIV】Apro.
borag	2	borag/o	【植】ルリジサ
lentibulari	2	lentibulari/o	【植】【PIV】(ark. (arkaismo, arkaisme)) Alia nomo (Lentibularia,
spar	2	spar/o	【魚】クロダイ;鯛
grosulari	2	grosulari/o	【植】【PIV】1 (ark. (arkaismo, arkaisme)) Alia nomo (Grossulariu
balzamin	2	balzamin/o	【植】ホウセンカ（鳳仙花）
fenik	2	fenik/o	【植】【PIV】G. (Genro) (Phoenix el arekacoj) de dioikaj palmoj d
dipterokarp	2	dipterokarp/o	【植】【PIV】G. (Genro) (Dipterocarpus el dipterokarpacoj) de gra
keloni	2	keloni/o	【動】ウミガメ（科の総称）,=martestudo;アオウミガメ（属）
bri	2	bri/o	【植】【PIV】G. (Genro) (Bryum el briacoj) kosmopolita de c^. (c^
papilion	2	papilion/o	【虫】アゲハチョウ（揚羽蝶）（属）
gnet	2	gnet/o	【植】グネツム（属）
berberis	2	berberis/o	【植】メギ
rinocer	2	rinocer/o	【動】サイ（犀）（属・科）
simarub	2	simarub/o	【植】【PIV】(ark. (arkaismo, arkaisme)) Alia nomo (Simarouba, no
arum	2	arum/o	【植】【PIV】G. (Genro) (Arum el arumacoj) de venenaj, plurjaraj 
cinip	2	cinip/o	【動】【PIV】G. (Genro) (Cynips) de himenopteroj, kiuj kau^zas ga
krizomel	2	krizomel/o	【動】【PIV】G. (Genro) (Chrysomela) de pli-malpli duonglobaj, ok
upup	2	upup/o	【鳥】ヤツガシラ（戴勝）（属）
kolob	2	kolob/o	【動】【PIV】G. (Genro) (Colobus) de simioj el la fam. (familio) 
cerkopitek	2	cerkopitek/o	【動】【PIV】G. (Genro) (Cercopithecus) de simioj vivantaj en Afr
k	2	k	［略］=kaj
diskurs	2	diskurs/i	［自］弁舌をふるう,演説をする
h^asid	2	h^asid/o	【聖】【PIV】1 Ano de juda sekto, kiu en la 2a jc (jarcento). a.K
fuel	2	fuel/o	【技】【PIV】Solida, likva au^ gasa substanco el kiu, per kemia a
pierid	2	pierid/o	【動】【PIV】G. (Genro) (Pieris) de tagpapilioj, kies larvoj viva
tortrik	2	tortrik/o	【動】【PIV】Noktpapilio (unuspecia g. (genro) Tortrix viridana),
kavi	2	kavi/o	【動】【PIV】G. (Genro) (Cavia) de Amerikaj mamuloj el la ordo de
alveolin	2	alveolin/o	【動】【PIV】G. (Genro) (Alveolina el alveolinedoj) de foraminife
evonim	2	evonim/o	【植】ニシキギ（属）
onagr	2	onagr/o	【動】【PIV】Sp. (Specio) de ekvo (Equus onager, sin. (sinonimo (
pagur	2	pagur/o	【動】ヤドカリ（宿借）
niktag	2	niktag/o	【植】【PIV】Alia nomo (Nyctago), nomenklature ne legitima, de la
korimb	2	korimb/a	散房花序の
tragol	2	tragol/o	【動】【PIV】G. (Genro) (Tragulus) de tre malgrandaj parhufuloj, 
pene	2	pene/o	【動】【PIV】G. (Genro) (Penaeus k parencaj g-oj (genroj)) de gra
sturn	2	sturn/o	【鳥】ムクドリ（椋鳥）（属）
folad	2	folad/o	【貝】ニオガイ（属）
katart	2	katart/o	【動】【PIV】G. (Genro) (Cathartes) de grandaj Amerikaj vulturoj.
anakardi	2	anakardi/o	【植】【PIV】G. (Genro) (Anacardium el anakardiacoj) de arbetoj k
terafoz	2	terafoz/o	【動】【PIV】G. (Genro) (Theraphosa) de tropikaj artropodoj el la
vespertilion	2	vespertilion/o	【動】【PIV】G. (Genro) (Vespertilio) de mamuloj el la ordo de ki
limul	2	limul/o	【動】カブトガニ
paru	2	paru/o	【鳥】シジュウカラ（四十雀）（属）
tine	2	tine/o	【虫】イガ（衣蛾）（幼虫が毛織物を食べる）
ojstr	2	ojstr/o	【虫】ヒツジバエ（羊蠅）（属）
tipul	2	tipul/o	【虫】ガガンボ
psil	2	psil/o	【PIV】J^onglisto, kiu dresas serpentojn.
taban	2	taban/o	【虫】アブ（虻）（科の総称）
burser	2	burser/o	【植】【PIV】G. (Genro) (Bursera el burseracoj) de falfoliaj arbo
fuzulin	2	fuzulin/o	【動】【PIV】G. (Genro) (Fusulina el fuzulinedoj) de foraminifero
kupres	2	kupres/o	【植】【PIV】G. (Genro) (Cupressus el kupresacoj) de dau^rafoliaj
igvan	2	igvan/o	【動】イグアナ（属）
hipokastan	2	hipokastan/o	【植】【PIV】1 (ark. (arkaismo, arkaisme)) Alia nomo (Hippocastan
gramin	2	gramin/o	【PIV】(evi (evitinda)) = gramineo.
