指標	順序	K=100	K=300	K=500	K=1000	K=1500	K=2000	K=2800
token被覆%	①Unified_Level昇順(実際)	22.7	66.1	76.1	87.1	92.7	96.1	99.9
完読率%	①Unified_Level昇順(実際)	3.6	10.3	17.8	35.7	53.5	70.6	97.6
token被覆%	②層内を無作為に破壊	12.4	19.5	28.6	42.6	61.4	78.1	97.0
完読率%	②層内を無作為に破壊	3.6	10.7	18.2	36.8	54.0	71.4	97.5
token被覆%	③実文頻度降順	52.7	70.0	78.7	89.7	95.2	98.3	100.0
完読率%	③実文頻度降順	3.6	10.6	17.8	35.8	53.6	71.4	98.7
token被覆%	④Unified_Level降順(反転)	0.4	0.9	2.2	4.8	8.8	15.9	96.2
完読率%	④Unified_Level降順(反転)	3.5	10.5	17.5	35.3	52.2	69.6	98.3
