type	char	root	band	fullKanji	gloss
2根	茅	espart	piv	茅	【植】【PIV】Komuna nomo de diversaj herboj Mediter
2根	完	perfekt	basic	完	{Ｂ}完全な,完璧な,申し分のない,>>senmanka,>>plena,>>komplet
piv単独	患	infest	piv	患	【PIV】(tr (transitiva)) Svarme invadi, pp (se p
2根	汗	ŝvit	basic	汗	(無)
2根	汗	h^an	pejvo	汗	【史】ハーン,カン（汗）（中央アジア遊牧民の族長・君主の称号）
2根	肝	hepat	basic	肝	肝臓の
2根	丸	pilol	basic	丸	{Ｏ}【薬】錠剤,丸薬;《般》（避妊用の）ピル
2根	丸	testik	pejvo	丸	{Ｏ}【解】精巣,睾丸（こうがん）
2根	玩	lud	basic	玩	{Ｂ}［自］遊ぶ,たわむれる,自由に動く;［他］（ゲームなどを）する,（必要な）動作をする;
2根	玩	petol	basic	玩	たわむれる,いたずらな,ふざけた
