コーパス	層	延べ数	実文シェア%	辞書シェア%	てこ比	漢字化率%
A_日記・随想(ユーザー原文)	tier0b_機能形態素	4357	49.27	1.26	39.07	100.0
A_日記・随想(ユーザー原文)	tier0_CSV2890	4217	47.68	14.80	3.22	89.6
A_日記・随想(ユーザー原文)	tier1_PEJVO	249	2.82	44.31	0.06	60.2
A_日記・随想(ユーザー原文)	tier2_PIV	21	0.24	35.30	0.01	28.6
B_PIV用例文	tier0b_機能形態素	185858	39.08	1.26	30.99	99.9
B_PIV用例文	tier0_CSV2890	250584	52.69	14.80	3.56	85.1
B_PIV用例文	tier1_PEJVO	31615	6.65	44.31	0.15	80.3
B_PIV用例文	tier2_PIV	6630	1.39	35.30	0.04	56.9
B_PIV用例文	tier3_辞書外	910	0.19	4.33	0.04	63.2
