-ant-	在
diveni	猜/i
diversa	杂/a
dividi	分ᴰ/i
do	故
dogano	关ᴰ/o
doktoro	博/o
dokumento	档ᴰᴷ/o
doloro	痛/o
dolc^a	甘/a
domo	屋/o
donaco	礼/o
doni	给/i
dormi	睡/i
dorno	刺ᴰ/o
dorso	背/o
dramo	剧ᴰ/o
drato	线ᴰ/o
droni	溺/i
du	二
dubi	疑/i
dum	期ᴰᴹ
dungi	雇/i
dus^o	淋/o
ebena	平/a
ebria	醉ᴱ/a
eduki	育ᴱ/i
edzo	夫/o
efektiva	效ᴱᵀ/能ᴵ/a
efiki	效/i
egala	等/a
ek-	始
ekipi	备ᴱ/i
eklezio	教ᴱ/o
ekonomio	经济/o
ekrano	屏/o
eks-	旧
eksciti	激/i
ekskursi	游ᴱ/i
eksperimento	验ᴱ/o
eksplodi	爆/i
ekspluati	采/i
eksporti	出ᴱᴷ/i
ekspozicio	展ᴱᴷ/o
ekster	外ᴱ
ekstrema	极/a
ekvilibro	衡/o
ekzakta	精/a
ekzameni	检ᴱ/i
ekzemplo	例/o
ekzerci	练/i
ekzisti	存/i
el	出
elefanto	象/o
eleganta	雅ᴱ/a
elekti	选/i
elektro	电/o
elemento	素/o
embaraso	窘/o
emerito	退/o
eminenta	杰ᴱ/a
en	内
energio	能ᴱ/o
enigmo	谜/o
entrepreni	办ᴱ/i
enui	厌/i
envii	羡/i
epoko	纪/o
erari	错/i
escepti	除/i
esenco	质/o
esperi	望/i
esplori	探/i
esprimi	表ᴱˢ/i
establi	设ᴱ/i
esti	是/i
estimi	尊/i
estingi	灭/i
etag^o	层/o
etendi	伸/i
eterna	永/a
evento	事ᴱ/o
evidenta	显ᴱ/a
eviti	避/i
evolui	展/i
ec^	连
eh^o	回/o
fabelo	童ᶠ/o
fabo	豆/o
fabriko	厂/o
facila	易/a
fadeno	丝ᶠ/o
fajfi	笛/i
fajro	火/o
fako	专/o
fakto	事ᶠ/o
faldi	折/i
fali	落/i
falsi	伪/i
fama	名ᶠ/a
familiara	熟ᶠ/a
familio	家ᶠ/o
fandi	熔/i
fanfaroni	夸/i
fantazio	幻ᶠ/o
farbo	颜ᶠ/o
fari	做/i
farmi	租ᶠ/i
farti	体ᶠ/i
faruno	粉/o
fasko	束/o
favora	利/a
fau^ko	口ᶠ/o
febro	烧/o
februaro	二月/o
federacio	联ᶠ/o
felic^a	幸/a
felo	皮ᶠ/o
fenestro	窗/o
fenomeno	现ᶠ/o
ferio	假/o
fermi	闭/i
fero	铁/o
fervora	热ᶠ/a
festeni	宴/i
festi	庆/i
fianc^o	婚/o
fidela	忠/a
fidi	信ᶠ/i
fiera	骄/a
figuro	形ᶠᴳ/o
fikcio	虚ᶠ/o
fiksi	定/i
filmo	影ᶠ/o
filo	儿/o
financo	财/o
fingro	指/o
fini	终/i
firma	坚/a
fiziko	物理/o
fis^o	鱼/o
flago	旗/o
flamo	焰/o
flanko	侧/o
flari	嗅/i
flava	黄/a
flegi	护ᶠ/i
fleksi	弯/i
fliki	补/i
flirti	飘/i
floro	花/o
floso	筏/o
flugi	飞/i
flui	流/i
flustri	悄/i
foiro	集ᶠ/o
fojo	次/o
folio	叶/o
fondi	建ᶠ/i
fonto	泉/o
for	离
forgesi	忘/i
forko	叉/o
formo	形/o
formulo	式ᶠ/o
forno	炉/o
forta	强/a
fortika	坚ᶠᵀ/a
forg^i	锻/i
fosi	掘/i
fosto	柱ᶠ/o
frago	果ᶠᴳ/o
frakasi	碎/i
frandi	品/i
frapi	敲/i
frato	兄/o
frazo	句/o
frau^lo	单ᶠ/o
fremda	异/a
freneza	疯/a
fres^a	鲜/a
fripono	骗ᶠ/o
friti	炸/i
frizi	卷ᶠ/i
fromag^o	酪ᶠ/o
fronto	前ᶠ/o
frosto	霜/o
froti	擦/i
frukto	果/o
frunto	额/o
fulmo	闪/o
fumo	烟/o
fundamento	基ᶠ/o
fundo	底/o
funebro	丧/o
fungo	菌/o
funkcio	功/o
furioza	狂ᶠ/a
fug^i	逃/i
fus^i	拙/i
gaja	欢/a
gajni	赢/i
ganto	手套/o
garantii	保ᴳ/i
gardi	守/i
gaso	气ᴳ/o
gasto	客/o
gazeto	报/o
ge-	双
generacio	代ᴳ/o
genio	才/o
gento	族ᴳ/o
genuo	膝/o
geografio	地ᴳ/志ᴳ/o
glacio	冰/o
gladi	烫/i
glaso	杯/o
glata	滑ᴳᴬ/a
glavo	剑/o
gliti	滑/i
globo	球/o
gluti	吞/i
golfo	湾/o
gorg^o	喉/o
gracia	雅/a
grado	度/o
grajno	粒ᴳ/o
gramatiko	语法/o
gramo	克/o
granda	大/a
grandioza	宏/a
graso	脂/o
grati	抓/i
gratuli	贺/i
grava	重ᴳ/a
graveda	孕/a
greno	谷ᴳ/o
grimpi	爬ᴳ/i
griza	灰/a
grumbli	怨/i
grundo	土/o
gruo	鹤/o
grupo	团/o
gumo	胶ᴳᴹ/o
gusto	味/o
guto	滴/o
gvidi	导/i
haki	砍/i
halo	厅/o
halti	停/i
harmonio	谐ᴴᴿ/o
haro	毛/o
haveno	港/o
havi	有/i
hazardo	偶ᴴ/o
hau^to	皮/o
hejmo	家ᴴ/o
hejti	热ᴴ/i
hela	亮/a
helikoptero	直升机/o
helpi	助/i
hepato	肝/o
herbo	草/o
heredi	继/i
heroldo	告ᴴ/o
