-ant-	在
prepari	备ᴾᴾ/i
presi	印/i
preskau^	几
preta	备/a
preteksto	借口/o
pretendi	称/i
preter	过ᴾᴿ
prezenti	呈/i
prezidi	主ᴾ/i
prezo	价/o
preg^i	祈/i
pri	于
principo	则/o
princo	侯/o
printempo	春/o
privata	私/a
pro	因ᴾ
probabla	概/a
problemo	题ᴾ/o
procedi	办ᴾ/i
procento	率/o
proceso	程ᴾᶜ/o
profesio	职ᴾ/o
profesoro	授/o
profito	利ᴾ/o
profunda	深/a
programo	程/o
progresi	进/i
projekto	案/o
prokrasti	延/i
proksima	近/a
promeni	步ᴾᴿ/i
promesi	诺/i
pronomo	代ᴾ/o
prononci	音/i
proponi	议ᴾ/i
propra	己ᴾ/a
prosperi	荣ᴾ/i
protekti	护ᴾ/i
protesti	抗/i
proverbo	谚/o
provi	试/i
provinco	省ᴾ/o
prozo	散文/o
prudenta	慎/a
pruvi	证ᴾ/i
psikologio	心ᴾˢ/o/学ᴸᴳ/o
publiko	公/o
pugno	拳/o
pulmo	肺/o
pulvo	火药/o
pulvoro	粉ᴾ/o
pumpi	泵/i
puni	罚/i
punkto	点/o
pupo	偶ᴾᴾ/o
pura	纯/a
puto	井/o
putri	腐/i
pus^i	推/i
rabato	折ᴿ/o
rabi	抢/i
radiko	根/o
radio	射ᴿ/o
rado	轮/o
rafano	萝卜/o
rajdi	骑/i
rajto	权/o
rakonti	述/i
rampi	爬/i
rando	边/o
rango	级ᴿ/o
rano	蛙/o
rapida	速/a
raporti	报ᴿ/i
rato	鼠ᴿ/o
ravi	醉/i
razi	剃/i
re-	再
reala	实/a
recenzi	评ᴿ/i
recepto	方ᴿ/o
reciproka	互/a
redakti	编ᴿ/i
redukti	减ᴿ/i
regali	款ᴿ/i
regi	治/i
regiono	区/o
regno	国ᴿ/o
regulo	规/o
rekomendi	荐/i
rekta	直/a
relativa	相/a
religio	宗/o
relo	轨/o
remi	划ᴿ/i
rendevuo	约ᴿ/o
renkonti	遇/i
reno	肾/o
renversi	翻/i
reprezenti	再/呈/i
respekti	敬/i
respondi	答/i
respubliko	共和/o
resti	余/i
restoracio	餐/o
reto	网/o
revi	幻/i
revizii	审/i
revuo	刊/o
rezigni	弃/i
rezisti	抗ᴿ/i
rezoni	推ᴿ/i
rezulti	果ᴿ/i
reg^imo	制/o
reg^o	王/o
ricevi	收/i
ridi	笑/i
rifuzi	拒/i
rifug^i	避ᴿ/i
rigardi	看/i
rigida	硬/a
rikolti	获ᴿ/i
rilati	关/i
rimarki	觉ᴿ/i
rimedo	法ᴿ/o
rimeno	带ᴿ/o
rimo	韵/o
ringo	环/o
ripari	修/i
ripeti	复/i
ripo	肋/o
ripozi	休/i
riproc^i	责/i
riski	险/i
ritmo	律ᴿ/o
rivero	河/o
rizo	米ᴿ/o
ric^a	富/a
robo	袍/o
roko	岩/o
rolo	角ᴿ/o
romano	小说/o
rompi	破/i
rondo	圆/o
ronki	哼/i
rosti	烤ᴿ/i
rozo	玫/o
rubando	带ᴿᴮ/o
ruino	废ᴿᴺ/o
ruli	卷ᴿ/i
ruza	狡/a
rug^a	红/a
sabato	土ˢ/o
sablo	沙/o
sagaca	敏/a
sago	矢/o
sako	袋/o
salajro	薪/o
saliko	柳/o
salo	盐/o
salono	厅ˢ/o
salti	跳/i
saluti	问ˢ/i
sama	同/a
sana	健/a
sandvic^o	夹ˢ/o
sango	血/o
sankta	圣/a
sapo	皂/o
sata	饱/a
savi	救/i
sag^a	智/a
sau^co	酱/o
sceno	场/o
scienco	科/o
scii	知/i
se	若
sed	但
segi	锯/i
seka	干/a
sekcio	科ˢᴷ/o
sekretario	秘ˢᴿ/o
sekreto	秘/o
sekso	性ˢ/o
sekundo	秒/o
sekura	安/a
sekvi	随/i
semajno	周/o
semo	种/o
sen	无
senco	意ˢ/o
sendi	送/i
senso	感ˢˢ/o
senti	感/i
sep	七
septembro	九月/o
serena	宁/a
serio	列ˢ/o
serioza	严ˢᴿ/a
serpento	蛇/o
seruro	锁ˢ/o
servi	务/i
serc^i	寻/i
ses	六
severa	严/a
sezono	季/o
seg^o	椅/o
si	己
sidi	坐/i
signalo	号ˢ/o
signifi	意ˢᴳ/i
signo	符/o
silenti	默/i
silko	丝/o
simila	似/a
simio	猿/o
simpatio	亲ˢ/o
simpla	简/a
sincera	诚ˢ/a
sindikato	盟/o
sinjoro	君/o
sistemo	系/o
situacio	况/o
skalo	度ˢ/o
skatolo	盒/o
skio	滑ˢ/o
sklavo	奴/o
skrapi	刮/i
skribi	书ˢ/i
skui	摇/i
skulpti	雕ˢ/i
sobra	醒ˢ/a
sociala	社ˢᴸ/a
societo	社ˢᵀ/o
socio	社/o
soifi	渴/i
sojlo	槛/o
sola	唯/a
soldato	兵/o
solena	庄ˢ/a
solidara	团ˢ/a
solvi	解ˢ/i
somero	夏/o
soni	声/i
song^i	梦/i
sopiri	慕/i
sorbi	吸ˢᴿ/i
sorto	命/o
sorc^i	魔/i
sovag^a	野/a
spaco	空/o
speciala	特/a
specimeno	样/o
speco	种ˢᴾ/o
spegulo	镜/o
sperta	验/a
spezi	兑/i
spico	香/o
spiko	穗/o
spiri	息/i
spirito	灵/o
sporto	体ˢ/o
sprita	智ˢᴾ/a
spuro	迹/o
stacio	站/o
stadio	阶ˢ/o
stalo	马棚/o
standardo	旗ˢ/o
stango	杆/o
stano	锡/o
stari	立/i
stato	态/o
statuo	像ˢ/o
staturo	材ˢ/o
stelo	星/o
sterni	铺/i
stilo	风ˢ/o
stomako	胃/o
stranga	奇/a
strato	街/o
strec^i	紧/i
strio	条/o
strukturo	构/o
studento	学ˢ/o
studi	研/i
stulta	愚/a
sub	下
subita	突/a
subjekto	主ˢ/o
substantivo	名ˢ/o
subtrahi	减ˢ/i
sudo	南/o
suferi	苦/i
sufic^a	够/a
sufoki	窒/i
sukcesi	成ˢ/i
sukero	糖/o
suko	汁/o
sulko	沟/o
sumo	总/o
suno	阳/o
super	上ˢᴾ
supo	汤/o
supozi	设/i
sur	上
surda	聋/a
surfaco	面ˢ/o
surprizi	惊ˢ/i
surtuto	袍ˢ/o
suspekti	疑ˢ/i
suc^i	吸/i
sveni	昏/i
svingi	挥/i
tabako	烟ᵀ/o
tabelo	表/o
tablo	桌/o
tabulo	板ᵀ/o
tago	日/o
tajli	裁/i
tajloro	裁ᵀᴿ/o
tajpi	打ᵀ/i
taksi	评/i
talio	腰/o
tamen	却
tapis^o	毯/o
tarifo	价ᵀ/o
tasko	务ᵀ/o
taso	杯ᵀ/o
teatro	剧/o
tedi	烦/i
tegi	覆/i
tegmento	顶ᵀ/o
tekniko	技/o
teksi	织/i
teksto	文ᵀ/o
telefono	远/声ᶠᴼ/o
telero	盘ᵀ/o
televidi	视/i
temo	题/o
temperaturo	温/o
tempo	时/o
tendenco	趋/o
tendo	帐/o
teni	持/i
tenti	诱/i
teo	茶/o
teorio	论ᵀ/o
tereno	地ᵀᴺ/o
teritorio	领/o
termometro	热/o/米/o
tero	地/o
teruro	恐/o
testudo	龟/o
tia	那a
tial	那因
tiam	那时
tie	那e
tiel	那样
ties	那之
tigo	茎/o
tigro	虎/o
tikli	痒ᵀ/i
timi	怕/i
tio	那o
tiom	那量
tipo	型/o
tiri	拉/i
titolo	题ᵀᵀ/o
tiu	那u
toleri	忍/i
tolo	布/o
tomato	茄/o
tombo	墓/o
tondi	剪/i
tondro	雷/o
tono	调/o
tordi	拧/i
tra	穿
tradicio	统/o
traduki	译/i
trafi	击/i
trafiko	交/o
tragedio	悲ᵀ/o
trajno	车ᵀ/o
trajto	特ᵀ/o
trakti	理ᵀ/i
trankvila	静/a
trans	越
tranc^i	切/i
tre	很
trejni	训/i
tremi	颤/i
trempi	浸/i
treni	拖/i
trezoro	宝ᵀ/o
tri	三
triki	织ᵀᴿ/i
trikoto	织ᵀᵀ/o
trinki	饮/i
tritiko	麦/o
tro	太
trompi	骗/i
trotuaro	径/o
trovi	找/i
trudi	强ᵀ/i
trunko	干ᵀ/o
truo	穴/o
trupo	团ᵀ/o
tualeto	妆/o
tubero	隆/o
tubo	管/o
tuj	即
tuko	巾/o
tumulto	闹/o
tunelo	隧/o
tuno	吨/o
turismo	游ᵀ/o
turisto	旅ᵀ/o
turmenti	虐/i
turni	转/i
turo	塔/o
tusi	咳/i
tuta	整/a
tus^i	触/i
ungo	爪/o
uniformo	制服/o
unika	独/a
universala	普ᵁ/a
universitato	学ᵁ/o
unu	一
urbo	市/o
urso	熊/o
urg^i	急/i
utila	益/a
uzi	用/i
vagi	荡/i
vagono	厢/o
vakcino	疫苗/o
valida	效ⱽ/a
valizo	箱ⱽ/o
valo	谷/o
valoro	值ⱽ/o
vana	徒/a
vango	颊/o
vaporo	汽/o
varii	变ⱽ/i
varma	暖/a
varo	货/o
varti	养ⱽ/i
vasta	广/a
vato	棉/o
vazo	器ⱽ/o
vegetalo	植ⱽ/o
vegetara	素ⱽ/a
veki	醒/i
velki	枯/i
velo	帆/o
vendi	卖/i
vendredo	金ⱽ/o
veneno	毒/o
veni	来/i
venki	胜/i
vento	风/o
ventro	腹/o
veng^i	仇/i
vera	真/a
verbo	动ⱽ/o
verda	绿/a
verko	作/o
vermo	虫ⱽ/o
verso	句ⱽ/o
vers^i	浇/i
vespero	晚/o
vesto	衣/o
vetero	气ⱽ/o
veti	赌/i
veturi	乘/i
ves^to	坎/o
vi	你
viando	肉ⱽ/o
vico	列/o
vidi	见/i
vidvo	寡/o
vigla	活ⱽᴳ/a
viktimo	牺/o
vilag^o	村/o
vino	酒/o
vintro	冬/o
violo	紫花/o
violono	琴ⱽ/o
vipo	鞭/o
virga	贞/a
viro	男/o
virto	德/o
vitro	玻/o
vivi	活/i
vizag^o	颜/o
viziti	访/i
vis^i	拭/i
vojag^i	旅/i
vojo	路/o
voki	呼/i
voli	愿/i
volumeno	积/o
volumo	册ⱽ/o
volvi	卷/i
vomi	吐/i
vorto	词/o
vosto	尾/o
voc^o	声ⱽ/o
vualo	纱/o
vulpo	狐/o
vundo	伤/o
zinko	锌/o
zono	带/o
zoologio	兽ᶻ/o/学ᴸᴳ/o
zorgi	护/i
zumi	嗡/i
c^agreni	恼ᶜ̂/i
c^ambro	室/o
c^apelo	帽/o
c^apitro	章/o
c^apo	帽ᶜ̂ᴬ/o
c^ar	因
c^arma	魅/a
c^asi	猎/i
c^e	在ᶜ̂
c^ef-	首
c^eko	票ᶜ̂/o
c^elo	胞/o
c^emizo	衫/o
c^eno	链/o
c^erizo	樱/o
c^erpi	舀/i
c^esi	止/i
c^evalo	马/o
c^i	此
c^ia	全a
c^ial	全因
c^iam	全时
c^ie	全e
c^iel	全样
c^ielo	天ᶜ̂/o
c^ies	全之
c^ifono	破ᶜ̂/o
c^io	全o
c^iom	全量
c^irkau^	围
c^iu	全u
c^u	吗
g^ardeno	园/o
g^emelo	双胎/o
g^emi	呻/i
g^enerala	总ᴳ̂/a
g^eni	扰/i
g^entila	礼ᴳ̂/a
g^ermo	芽/o
g^i	它
g^is	至
g^oji	喜/i
g^ui	享/i
g^usta	正/a
h^oro	唱ᴴ̂/o
j^aluza	妒/a
j^au^do	木ᴶ̂/o
j^eti	投/i
j^uri	誓/i
j^urnalo	记ᴶ̂/o
j^us	刚
s^afo	羊/o
s^ajni	像/i
s^anceli	摇ˢ̂/i
s^anco	机ˢ̂/o
s^ang^i	变/i
s^arg^i	载/i
s^ati	喜ˢ̂/i
s^au^mo	沫/o
s^elo	壳/o
s^erci	逗ˢ̂/i
s^i	她
s^inko	火腿/o
s^ipo	船/o
s^iri	裂/i
s^irmi	庇/i
s^losi	锁/i
s^miri	涂/i
s^nuro	绳/o
s^oforo	驾/o
s^oveli	铲/i
s^ovi	推ˢ̂/i
s^pari	省/i
s^pruci	喷/i
s^ranko	柜/o
s^rau^bo	螺/o
s^talo	钢/o
s^tato	国ˢ̂/o
s^teli	偷/i
s^tofo	布ˢ̂/o
s^tono	石/o
s^topi	堵/i
s^trumpo	袜/o
s^tupo	阶/o
s^uldi	欠/i
s^ultro	肩/o
s^uo	鞋/o
s^uti	撒/i
s^veli	肿/i
s^vito	汗/o
-ad-	行
-an-	员ᴬ
-ar-	群
-aj^-	物
-ebl-	可
-ec-	性
-ej-	所
-em-	倾
-estr-	长ᴱ
-id-	子
-ig-	使
-il-	具
-in-	女
-ind-	值
-ism-	主义
-ist-	家
-ig^-	成
-obl-	倍
-on-	分
-uj-	器
-ul-	者
abomeni	厌ᴬ/i
abstrakta	抽/a
acido	酸/o
agordi	调ᴬ/i
akuzativo	宾/o
akus^i	产ᴬ/i
alarmi	警ᴬ/i
alternativo	替/被/能ᴵ/o
ambicio	志/o
amoro	性ᴬ/o
analizi	析/i
antarkta	南ᴬ/a
antikva	古/a
antologio	选ᴬ/o
ardi	热ᴬ/i
aresti	逮/i
arkta	极ᴬ/a
aroganta	傲/在/a
asimili	同ᴬ/i
astro	星ᴬ/o
astronomio	星ᴬ/o/学ᴺ/o
atmosfero	气ᴬᵀ/o
aviado	航/o
au^daci	敢/i
au^roro	晓/o
baleno	鲸/o
banala	庸/a
baterio	电ᴮ/o
biologio	生ᴮᴼ/学ᴸᴳ/o
bis	再ᴮ
biskvito	饼ᴮ/o
bombo	弹/o
botaniko	植ᴮ/o
botoj	靴/oj
burokrato	官ᴮ/o
buso	车ᴮ/o
celebri	庆ᶜ/i
ceramiko	陶/o
ceremonio	式ᶜ/o
damag^i	损ᴰᴹ/i
dau^ri	续/i
demokratio	民ᴰ/o
detala	细ᴰᵀ/a
dialekto	言/o
diamanto	钻ᴰ/o
digno	尊ᴰ/o
dinamito	炸ᴰ/o
dio	神/o
diplomato	交ᴰ/o
diplomo	证ᴰ/o
diskriminacio	歧/o
distrikto	区ᴰ/o
domag^o	惜/o
dosiero	档/o
drinki	饮ᴰ/i
ekologio	境ᴱ/学ᴸᴳ/o
ekonomiko	经济ᴱᴷ/o
ekskluziva	排/a
ekspreso	速ᴱ/o
ekstra	特ᴱ/a
ekzemplero	册ᴱ/o
elimini	除ᴱᴸ/i
elokventa	辩ᴱ/a
emfazo	强ᴱ/o
emocii	情ᴱ/i
enciklopedio	典ᴱ/o
enketo	查/o
entuziasmo	热ᴱ/o
epizodo	段ᴱᴾ/o
erotika	色ᴱ/a
eseo	论ᴱ/o
etiko	伦/o
etno	族ᴱ/o
eventuala	偶ᴱ/a
faktoro	因ᶠ/o
fakturo	账ᶠ/o
fantomo	幽/o
fatalo	命ᶠ/o
fekunda	肥/a
feminismo	女ᶠᴱ/主义/o
femuro	股ᶠ/o
fendi	裂ᶠ/i
festivalo	庆ᶠⱽ/o
fi	卑
fiasko	败/o
filatelo	邮ᶠ/o
filio	支ᶠ/o
filozofio	哲/o
filtri	滤/i
firmao	商ᶠ/o
fonetiko	音ᶠ/o
fono	底ᶠᴼ/o
formala	形ᶠᴸ/a
formato	版ᶠ/o
fortuno	运ᶠ/o
forumo	坛/o
foti	拍/i
frakcio	分ᶠ/o
frue	早/e
futbalo	球ᶠ/o
gambo	腿ᴳ/o
gastronomio	胃ᴳ/o/学ᴺ/o
gesto	姿/o
giganto	巨ᴳ/o
gimnastiko	操ᴳ/o
gimnazio	校ᴳ/o
gic^eto	窗ᴳ/o
glori	荣/i
glui	胶/i
grimaco	皱ᴳ/o
groteska	怪ᴳ/a
gubernio	省ᴳ/o
ha	啊
he	喂ᴴᴱ
ho	喂
hobio	好ᴴ/o
horizontala	横/a
humuro	谐/o
ideologio	意/o/学ᴸᴳ/o
idioto	愚ᴵ/o
iluzio	幻ᴵ/o
imponi	威/i
inau^guri	开ᴵ/i
indekso	索/o
indico	征/o
inkluziva	含/a
instituto	院ᴵ/o
integra	全/a
intensa	烈/a
interezo	利ᴵ/o
intervjuo	访ᴵ/o
inversa	逆ᴵ/a
iriti	恼/i
jakto	艇/o
jeto	喷ᴶ/o
kalko	灰ᴷ/o
kanario	雀ᴷ/o
kancero	癌/o
kaprico	任/o
karakterizi	格/化/i
karavano	队ᴷ/o
karbono	碳/o
karcero	牢/o
kariero	涯/o
karikaturo	讽/o
kasedo	盒ᴷ/o
katastrofo	灾/o
kau^ri	蹲/i
klaki	响ᴷ/i
klasifiki	类/i
klavo	键/o
klac^i	谣/i
klimatizi	气候/化/i
kodo	码/o
kokso	股/o
kolbaso	肠/o
kolego	伴/o
kolekti	集/i
kolonio	殖/o
komentarii	注ᴷ/i
komenti	评ᴷᴹ/i
kompili	编ᴷ/i
kompleksa	复ᴷˢ/a
komplezo	惠/o
komplimento	赞ᴷᴹ/o
komputi	算ᴷᴹ/i
konciza	简ᴷ/a
kondolenci	哀/i
konflikto	冲ᴷ/o
konforma	合ᴷᴺ/a
konko	贝/o
konkreta	具ᴷ/a
konsilio	议ᴷᴵ/o
konsonanto	辅ᴷ/o
konsulti	询/i
kontakto	接/o
kontinento	陆/o
konto	账/o
kontrasto	对ᴷˢ/o
kontribui	贡/i
konvencio	约ᴷⱽ/o
kooperativo	协/o
kopii	复ᴷ/i
kotizi	纳/i
krabo	蟹/o
krampo	夹/o
krizantemo	菊/o
kvereli	吵/i
kvitanci	证ᴷ/i
lanco	矛/o
lanc^i	发/i
legendo	传ᴸ/o
liberala	宽ᴸᴮ/a
lingvistiko	学ᴸᴺ/o
lumbo	腰ᴸ/o
lupeo	镜ᴸ/o
magio	魔ᴹ/o
magneto	磁/o
magnetofono	磁/o/声ᶠᴼ/o
majusklo	大ᴹ/o
manifestacio	示ᴹᶠ/o
manio	狂/o
manuskripto	稿/o
masag^o	摩/o
masko	罩/o
matc^o	赛/o
medio	境/o
mejlo	里/o
melodio	调ᴹ/o
merkato	市ᴹ/o
mesag^o	信ᴹ/o
mevo	鸥/o
miau^i	咪/i
mikrofono	微/声ᶠᴼ/o
minusklo	小ᴹ/o
miopa	近ᴹ/a
miraklo	奇ᴹ/o
molekulo	分ᴹᴸ/o
monopolo	垄/o
motivo	由/o
mos^to	阁/o
mustardo	芥/o
negativa	否/a
neologismo	新ᴺᴱ/学家/主义/o
nepre	必ᴺᴾ/e
neta	清ᴺ/a
neu^trala	中ᴺ/a
nominativo	主ᴺ/o
normo	范/o
novelo	篇/o
nuanco	微ᴺ/o
nukleo	核ᴺ/o
nulo	零/o
numeralo	数ᴺᴿ/o
objektiva	物ᴼ/能ᴵ/a
ofte	常/e
operacio	操/o
opozicio	对ᴼ/o
orta	直角/a
panico	粟/o
paniko	慌/o
panoramo	景ᴾᴺ/o
paradokso	悖/o
paralela	并/a
parentezo	括/o
pasiva	被ᴾ/a
pau^zo	歇/o
pelvo	盆/o
pensiono	宿/o
pikniko	野餐/o
pilolo	丸/o
pij^amo	睡ᴾ/o
pledi	辩/i
podio	台/o
poento	点ᴾᵀ/o
pokalo	杯ᴾ/o
poluri	磨ᴾ/i
pozitiva	正ᴾ/a
precipe	主ᴾᶜ/e
prefikso	缀ᴾ/o
prezidento	统ᴾ/o
primitiva	原ᴾᴹ/a
produkti	产/i
propagando	传ᴾ/o
proporcio	比ᴾ/o
protestanto	抗/在/o
protokolo	录ᴾ/o
provizi	供ᴾ/i
provizora	暂/a
prunti	借/i
pseu^do-	伪ᴾ
purpuro	紫/o
racia	理ᴿ/a
rakedo	拍ᴿ/o
redakcio	部ᴿ/o
redaktoro	编ᴿᴿ/o
referenco	参ᴿ/o
refuti	驳/i
registri	录/i
reklamo	宣ᴿ/o
rekompenci	酬/i
respektiva	各/a
resumi	再/总/i
revolucio	革ᴿ/o
rezervi	储/i
rezolucio	决ᴿ/o
rubo	废/o
rubriko	栏ᴿ/o
satano	魔ˢᵀ/o
satelito	星ˢᵀ/o
sfero	球ˢ/o
sigelo	印ˢᴳ/o
silabo	节ˢ/o
simbolo	符ˢᴹ/o
situi	位/i
skandalo	丑/o
skeleto	骨ˢ/o
skec^o	剧ˢ/o
skizi	草ˢ/i
solida	固/a
sonori	响/i
specifa	特ˢᶠ/a
spite	逆ˢ/e
stabila	稳/a
stabo	参/o
stampi	印ˢ/i
statistiko	计/o
stimuli	激ˢ/i
stoko	储ˢ/o
stovo	炉ˢ/o
streki	划ˢ/i
striko	罢/o
strofo	节ˢᵀ/o
subjektiva	主ˢ/能ᴵ/a
sufikso	缀/o
sugesti	示ˢ/i
superstic^o	迷/o
supre	顶/e
tabuo	禁/o
tajdo	潮/o
tajfuno	风ᵀ/o
taktiko	术/o
talento	才ᵀ/o
tamburo	鼓/o
tavolo	层ᵀ/o
tau^gi	适/i
teamo	队/o
teknologio	技ᵀᴸ/o
teleskopo	远/镜ˢᴷ/o
templo	庙/o
teniso	网ᵀ/o
termino	词ᵀ/o
termo	热/o
testamento	嘱/o
tezo	题ᵀᶻ/o
tosto	祝ᵀ/o
totala	总ᵀ/a
tropiko	热带/o
tulipo	郁/o
unio	联/o
universo	宇ᵁ/o
uragano	暴风/o
urini	尿/i
uzino	厂ᵁ/o
vaki	空ⱽ/i
valuto	币/o
varbi	募/i
ve	哀ⱽ
vegeti	茂/i
versio	版/o
vertikala	竖/a
veterano	老/o
viruso	毒ⱽᴿ/o
vizo	证/o
vokalo	元/o
volonte	愿ⱽᴺ/e
volupto	色ⱽ/o
vulgara	俗ⱽ/a
zoo	兽ᶻ/o
c^ampiono	冠ᶜ̂/o
g^iri	转ᴳ̂/i
s^ako	棋/o
s^alti	开/i
s^ampuo	沐/o
s^argi	装/i
s^arko	鲨/o
s^oki	震/i
s^oseo	路ˢ̂/o
s^tormo	暴/o
s^vebi	翔/i
-ano	员ᴬ/o
-aro	群/o
-aj^o	物/o
-ebla	可/a
-eco	性/o
-ejo	所/o
-ema	倾/a
-estro	长ᴱ/o
-ido	子/o
-igi	使/i
-ilo	具/o
-inda	值/a
-ino	女/o
-ismo	主义/o
-ig^i	成/i
-obla	倍/a
-ujo	器/o
-ulo	者/o
abio	杉/o
abomeno	厌ᴬ/o
abrikoto	杏/o
abrupta	陡ᴬ/a
abstini	戒/i
acida	酸/a
agento	代ᴬᴳ/o
agiti	搅/i
aglo	雕/o
agordo	调ᴬ/o
akcio	股ᴬ/o
akno	痘/o
akrido	蝗/o
akso	轴/o
alarmo	警ᴬ/o
alau^do	雀/o
aleo	林/o
algo	藻/o
aluminio	铝/o
ambasado	使ᴬ/o
ampolo	泡/o
angilo	鱼ᴬ/o
ansero	鹅/o
aperturo	孔/o
apostolo	使ᴬᴾ/o
apro	猪ᴬ/o
arda	热ᴬ/a
armo	武/o
arterio	脉ᴬ/o
artiko	节ᴬ/o
asembleo	会ᴬ/o
asisti	辅/i
avantag^o	优/o
aveno	燕麦/o
aviad/ilo	航/具/o
au^daca	敢/a
bacilo	菌ᴮᶜ/o
bakterio	菌ᴮ/o
banto	结ᴮ/o
bapti	洗ᴮ/i
barbiro	剃ᴮ/o
barko	舶/o
basko	衣边/o
beto	甜菜/o
betulo	桦/o
bifsteko	牛排/o
blasfemi	辱/i
bonvoli	良/愿/i
borso	市ᴮ/o
boto	靴/o
bovlo	碗/o
braceleto	环ᴮ/o
brak/umi	臂/um/i
brando	酒ᴮᴺ/o
brido	勒/o
brokanti	贩/i
bruto	畜/o
budg^eto	算ᴮ/o
bukedo	束ᴮ/o
buko	扣ᴮᴷ/o
bulbo	球ᴮ/o
bulvardo	道ᴮ/o
burg^o	资ᴮ/o
buc^i	屠/i
centimetro	厘/米/o
cikado	蝉/o
cikatro	疤/o
cikonio	鸟ᶜ/o
cinamo	桂/o
cirkelo	规ᶜ/o
cirkvito	路ᶜ/o
ciro	膏/o
daktilo	枣/o
dando	俏/o
dau^r/igi	续/使/i
dau^ro	续/o
de/pendi	从/挂/i
de/teni	从/持/i
debeto	欠ᴰ/o
deliri	狂ᴰ/i
denunci	揭ᴰ/i
deserto	点ᴰ/o
detalo	细ᴰᵀ/o
dev/ont/igi	应/将/使/i
diablo	魔ᴰ/o
dianto	石ᴰ/o
dieto	节/o
dikti	述ᴰ/i
dio	神/o
domag^i	惜/i
dorloti	宠/i
doto	嫁妆/o
drapo	呢/o
dresi	驯/i
efekto	效ᴱᵀ/o
egoisto	吾/家/o
ekspedi	送ᴱ/i
ekvatoro	赤/o
ekzekuti	执/i
el/doni	出/给/i
el/turn/ig^i	出/转/成/i
elasta	弹ᴱ/a
elektroniko	电ᴱᴺ/o
emocio	情ᴱ/o
enketi	查/i
epidemio	疫/o
eskapi	逃ᴱ/i
est/igi	是/使/i
etapo	段/o
etato	表ᴱᵀ/o
ezoko	鱼ᴱ/o
faco	面/o
fago	树ᶠ/o
fajenco	陶土/o
faldo	折/o
falsa	伪/a
falc^i	收割/i
fasado	正面/o
fasono	款/o
fasti	斋/i
fazeolo	豆ᶠᶻ/o
felto	毡/o
fendo	裂ᶠ/o
feo	妖精/o
fec^o	渣/o
figo	无花果/o
fiksa	定/a
flagri	闪ᶠᴳ/i
flati	媚/i
fluido	流体/o
fojno	干草/o
fonografo	底ᶠᴼ/o/记ᴳ/o
fontano	喷泉/o
for/esti	离/是/i
formiko	蚁/o
foso	掘/o
fotelo	扶椅/o
fotografi	拍/o/记ᴳ/i
frako	燕尾/o
frambo	果ᶠᴹ/o
frua	早/a
fulgo	烟灰/o
funelo	漏斗/o
funto	磅/o
furag^o	饲/o
galo	胆/o
galos^o	套鞋/o
garag^o	库ᴳ/o
garbo	束ᴳ/o
garni	装ᴳ/i
gelateno	明胶/o
generalo	将ᴳ/o
gesti	姿/i
girlando	花环/o
gloro	荣/o
gluo	胶/o
gobio	鱼ᴳ/o
grego	群ᴳ/o
grimaci	皱ᴳ/i
grinci	轧/i
gripo	流感/o
groto	洞ᴳ/o
gudro	焦油/o
gust/umi	味/um/i
gvardio	卫/o
hajlo	雹/o
hangaro	棚库/o
haringo	鱼ᴴ/o
hav/igi	有/使/i
hektaro	公顷/o
heg^o	篱/o
horizontalo	横/o
hufo	蹄/o
ia/foj/e	某a/次/e
impeti	突ᴵ/i
impulso	冲/o
insidi	陷/i
inspektoro	检ᴵ/o
instanco	审级/o
intereso	趣/o
interpelacii	质询/i
invalido	残疾/o
jugo	束缚/o
juki	痒/i
jungi	套/i
kahelo	瓷砖/o
kajuto	舱/o
kakto	仙人掌/o
kalkan/umo	跟/um/o
kalo	茧/o
kamelo	驼/o
kankro	虾/o
kaprica	任/a
karafo	瓶ᴷ/o
karnavalo	狂欢/o
karpo	鲤/o
kaskedo	帽ᴷ/o
kaverno	洞ᴷᴿ/o
kejlo	钉ᴷ/o
kilogramo	千ᴷᴵ/克/o
kilometro	千ᴷᴵ/米/o
kiom/a	何量/a
kirurgo	外科/o
kitelo	罩ᴷ/o
klingo	刃/o
kliniko	诊/o
kokoso	椰/o
kol/umo	颈/um/o
kolekto	集/o
kolonelo	上校/o
komisaro	专员/o
kompensi	补ᴷ/i
komplemento	补ᴷᴸ/o
komplezi	惠/i
kompromiti	损ᴷ/i
komun/umo	共ᴷᴹ/um/o
koncentri	集ᴷᴺ/i
konfiti	糖ᴷ/i
konkordo	和合/o
konsulo	领事/o
kontesti	异议/i
konvalo	铃兰/o
kopio	复ᴷ/o
korko	塞/o
korniko	鸦ᴷᴺ/o
kresto	冠ᴷˢ/o
kukolo	鹃/o
kulto	拜ᴷ/o
kurento	电流/o
laboratorio	实验室/o
lacerto	壁虎/o
lako	漆/o
lameno	片ᴸ/o
lanterno	灯笼/o
lapo	菜ᴸᴾ/o
larvo	幼虫/o
latitudo	纬/o
latuno	黄铜/o
lac^o	带ᴸ/o
lau^bo	棚ᴸ/o
lesivo	碱/o
leu^tenanto	尉/o
licenco	许ᴸ/o
ligo	结/o
likvo	液/o
limako	蜗牛/o
lino	亚麻/o
lokomotivo	机车/o
longitudo	经度/o
lotuso	莲/o
lubriki	润滑/i
luko	口ᴸ/o
majesta	庄严/a
mal/varm/umo	反/暖/um/o
maleolo	脚腕/o
malvo	葵/o
manovri	操ᴹ/i
