層	分節	単独語数	単独接地率	合成語数	合成接地率	文脈保持率
tier0_CSV2890	eventual	4	0.500	3	0.000	0.00
tier0_CSV2890	evit	6	0.833	3	0.000	0.00
tier0_CSV2890	fabel	6	0.500	1	0.000	0.00
tier0_CSV2890	facil	5	0.600	14	0.000	0.00
tier0_CSV2890	sitel	1	1.000	1	0.000	0.00
tier0_CSV2890	fikci	3	0.667	5	0.000	0.00
tier0_CSV2890	prezent	16	0.062	6	0.000	0.00
tier0_CSV2890	fili	1	1.000	1	0.000	0.00
tier0_CSV2890	firma	2	0.500	2	0.000	0.00
tier0_CSV2890	verg	5	0.400	4	0.000	0.00
tier0_CSV2890	institut	1	1.000	1	0.000	0.00
tier0_CSV2890	sciur	1	1.000	1	0.000	0.00
tier0_CSV2890	forges	10	0.800	1	0.000	0.00
tier0_CSV2890	pere	6	0.333	1	0.000	0.00
tier0_CSV2890	spit	5	0.600	1	0.000	0.00
tier0_CSV2890	gigant	3	1.000	1	0.000	0.00
tier0_CSV2890	glat	2	0.500	3	0.000	0.00
tier0_CSV2890	grotesk	3	0.333	2	0.000	0.00
tier0_CSV2890	g^entil	5	1.000	1	0.000	0.00
tier0_CSV2890	tuber	3	0.667	6	0.000	0.00
tier0_CSV2890	ve	4	0.250	5	0.000	0.00
tier0_CSV2890	ident	6	0.667	2	0.000	0.00
tier0_CSV2890	imperi	8	1.000	3	0.000	0.00
tier0_CSV2890	impon	3	0.667	3	0.000	0.00
tier0_CSV2890	inkluziv	4	1.000	1	0.000	0.00
tier0_CSV2890	instig	4	0.250	2	0.000	0.00
tier0_CSV2890	insult	5	0.400	2	0.000	0.00
tier0_CSV2890	sekv	19	0.158	11	0.000	0.00
tier0_CSV2890	ironi	5	0.200	1	0.000	0.00
tier0_CSV2890	lac	8	1.000	2	0.000	0.00
tier0_CSV2890	simil	6	0.833	2	0.000	0.00
tier0_CSV2890	kapr	5	0.200	4	0.000	0.00
tier0_CSV2890	krest	1	1.000	3	0.000	0.00
tier0_CSV2890	klopod	5	0.400	1	0.000	0.00
tier0_CSV2890	manovr	2	0.500	2	0.000	0.00
tier0_CSV2890	kondamn	4	0.250	2	0.000	0.00
tier0_CSV2890	kondolenc	3	1.000	1	0.000	0.00
tier0_CSV2890	konfidenc	6	0.167	1	0.000	0.00
tier0_CSV2890	pilol	1	1.000	2	0.000	0.00
tier0_CSV2890	tus	4	0.500	2	0.000	0.00
tier0_CSV2890	koridor	1	1.000	2	0.000	0.00
tier0_CSV2890	rest	12	0.167	9	0.000	0.00
tier0_CSV2890	stimul	4	1.000	2	0.000	0.00
tier0_CSV2890	krab	1	1.000	1	0.000	0.00
tier0_CSV2890	mac^	5	0.200	3	0.000	0.00
tier0_CSV2890	piz	2	0.500	2	0.000	0.00
tier0_CSV2890	laboratori	1	1.000	2	0.000	0.00
tier0_CSV2890	vilag^	5	0.800	1	0.000	0.00
tier0_CSV2890	lak	3	1.000	1	0.000	0.00
tier0_CSV2890	lamen	6	0.833	6	0.000	0.00
tier0_CSV2890	latun	3	0.333	1	0.000	0.00
