sig	r	rk	rb	y	yk	yb
>>	degener	退	pejvo	dekadenc	颓	pejvo
>>	delikt	违	pejvo	krim	罪	basic
>>	demand	问	basic	problem	题	basic
=	depon	存	basic	sekur	安	basic
=	depresi	低	pejvo	deprim	沮丧	pejvo
>>	deprim	沮丧	pejvo	sen	无	prep
>>	deprim	沮丧	pejvo	malv	葵	basic
>>	deprim	沮丧	pejvo	splen	郁	pejvo
>>	deput	派	basic	deleg	委	basic
>>	derm	皮	sci	epi	表	pref
>>	despot	专制	pejvo	tiran	暴	pejvo
>>	despot	专制	pejvo	diktator	独裁	pejvo
=	detal	细	basic	pom	苹	basic
=	devi	偏	pejvo	dev	应	basic
>>	diafan	透	pejvo	tra	穿	prep
>>	diafan	透	pejvo	mal	反	pref
>>	diamagnet	反磁	pejvo	paramagnet	顺磁	pejvo
=	dierez	分音	pejvo	trem	颤	basic
>>	diktator	独裁	pejvo	tiran	暴	pejvo
=	dilu	稀	pejvo	mal	反	pref
=	diluv	洪	pejvo	inund	淹	basic
>>	dinamik	力	pejvo	statik	静	pejvo
>>	dinamik	力	pejvo	kinet	动	pejvo
>>	dinamik	力	pejvo	mekanik	械	basic
>>	direkt	方	basic	senc	意	basic
=	disertaci	论文	pejvo	disert	论	pejvo
>>	disk	盘	basic	dur	硬	pejvo
>>	diskurs	辩	pejvo	or	金	basic
>>	diskurs	辩	pejvo	parol	话	basic
>>	diskut	论	basic	debat	辩	pejvo
>>	diskut	论	basic	disput	争	basic
>>	diskut	论	basic	polemik	辩	pejvo
>>	disonanc	不谐	pejvo	kon	认	basic
>>	dispozici	处	pejvo	ar	群	suf
=	dispozici	处	pejvo	klau^z	款	pejvo
>>	disput	争	basic	kverel	吵	basic
>>	disput	争	basic	konflikt	冲	basic
>>	distr	散	basic	mal	反	pref
>>	distrikt	区	basic	guberni	省	basic
>>	distrikt	区	basic	provinc	省	basic
>>	distrikt	区	basic	departement	部	pejvo
>>	distrikt	区	basic	kanton	州	pejvo
>>	diven	猜	basic	supoz	设	basic
>>	divizi	师	pejvo	klas	级	basic
>>	divizor	约数	pejvo	divid	分	basic
=	divorc	离婚	pejvo	eks	旧	pref
=	dogan	关	basic	lim	界	basic
>>	dogan	关	basic	akciz	税	pejvo
>>	dog	犬	pejvo	bul	团	basic
>>	doktor	博	basic	licenci	士	pejvo
>>	dolor	痛	basic	sufer	苦	basic
=	domin	治	pejvo	super	上	prep
=	dom	屋	basic	hejm	家	basic
>>	donac	礼	basic	don	给	basic
>>	donac	礼	basic	de	从	prep
>>	dram	剧	basic	tragik	悲剧	basic
>>	drap	呢	basic	lan	毛	basic
>>	drap	呢	basic	tuk	巾	basic
=	drat	线	basic	metal	金	basic
>>	driv	漂	pejvo	flos	筏	basic
=	dromedar	单峰驼	pejvo	unu	一	num
=	drup	核果	pejvo	kern	核	basic
>>	dual	双	pejvo	singular	单	basic
>>	dual	双	pejvo	plural	复数	basic
>>	dubl	替	pejvo	ans	柄	pejvo
>>	duk	公爵	pejvo	markiz	侯	pejvo
>>	duk	公爵	pejvo	princ	侯	basic
>>	duktil	延展	pejvo	drat	线	basic
>>	duktil	延展	pejvo	etend	伸	basic
=	dukt	管	pejvo	kondukt	导	sci
>>	du	二	num	par	偶	basic
>>	duoden	十二指肠	pejvo	mal	反	pref
=	dur	硬	pejvo	mal	反	pref
>>	eben	平	basic	plat	扁	basic
>>	eben	平	basic	glat	滑	basic
>>	ebl	可	suf	probabl	概	basic
>>	edikt	令	pejvo	dekret	颁	pejvo
>>	eduk	育	basic	instru	教	basic
>>	eduk	育	basic	pri	于	prep
>>	eduk	育	basic	dres	驯	basic
=	eduk	育	basic	kultiv	栽	pejvo
>>	efekt	效	basic	impres	印	basic
>>	efik	效	basic	influ	影	basic
>>	efloresk	风化	pejvo	erozi	蚀	pejvo
>>	eg	巨	suf	tre	很	func
>>	eg	巨	suf	terur	恐	basic
=	ejakul	射	pejvo	sperm	精液	pejvo
>>	ej	所	suf	lok	处	basic
=	ekin	海胆	pejvo	mark	标	basic
>>	eklezi	教	basic	preg	压	piv
>>	eksces	滥	pejvo	tro	太	func
=	ekskori	擦伤	pejvo	skrap	刮	basic
>>	ekskreci	泄	pejvo	fek	粪	pejvo
>>	ekskurs	游	basic	piknik	野餐	basic
>>	ekskuz	辩	pejvo	sen	无	prep
=	eksplicit	明	pejvo	mal	反	pref
>>	eksplik	释	pejvo	klar	清	basic
>>	ekstaz	醉	pejvo	entuziasm	热	basic
>>	ekstr	特	basic	ald	中音	pejvo
>>	ekstradici	引渡	pejvo	trans	越	prep
=	ekstrapol	外推	pejvo	ekster	外	prep
>>	ekvinoks	分	pejvo	solstic	至	pejvo
>>	ekvizet	问荆	pejvo	mang	芒果	pejvo
>>	ekvizet	问荆	pejvo	polur	磨	basic
>>	ekzakt	精	basic	sen	无	prep
>>	ekzakt	精	basic	strikt	严	pejvo
>>	ekzantem	疹	pejvo	en	内	prep
>>	ekzempler	册	basic	specimen	样	basic
>>	ekzerc	练	basic	disciplin	律	pejvo
>>	ekzerc	练	basic	hard	硬	pejvo
>>	ekzil	逐	pejvo	el	出	prep
>>	ekzil	逐	pejvo	de	从	prep
=	el	出	prep	ekster	外	prep
>>	elekt	选	basic	kribr	筛	pejvo
>>	elekt	选	basic	balot	票	basic
>>	elektrod	极	pejvo	katod	阴	pejvo
>>	elektrod	极	pejvo	an	员	suf
>>	element	素	basic	baz	基	basic
>>	element	素	basic	fundament	基	basic
>>	emancip	放	pejvo	liber	自由	basic
>>	embol	栓	pejvo	tromb	龙卷	pejvo
>>	embri	胚	pejvo	fet	胎	pejvo
>>	emerit	退	basic	pensi	养老	basic
=	emeritur	退休金	pejvo	emerit	退	basic
>>	emfaz	强	basic	akcent	重	basic
>>	emfaz	强	basic	relief	雕	pejvo
>>	emfaz	强	basic	sub	下	prep
=	emfizem	气肿	pejvo	pulm	肺	basic
=	emisi	发	pejvo	el	出	prep
>>	em	倾	suf	tendenc	趋	basic
>>	emoci	情	basic	kort	院	basic
=	endokrin	内分泌	pejvo	send	送	basic
>>	enket	查	basic	esplor	探	basic
=	en	内	prep	jen	这	func
=	ensembl	套	pejvo	muzik	乐	basic
>>	entuziasm	热	basic	fanatik	狂	pejvo
>>	envi	羡	basic	avid	贪	basic
>>	epiteli	上皮	pejvo	endo	内	pref
>>	epitet	修饰	pejvo	predikat	谓	pejvo
>>	epitom	抄	pejvo	resum	概	basic
>>	epok	纪	basic	period	期	basic
>>	epok	纪	basic	era	代	pejvo
>>	epok	纪	basic	ag	办	basic
>>	era	代	pejvo	period	期	basic
=	ergot	麦角	pejvo	krur	腿	basic
=	eritrocit	红胞	pejvo	ru	浸	pejvo
=	escept	除	basic	ekskluziv	排	basic
>>	escept	除	basic	eksklud	排	pejvo
=	eskal	梯	pejvo	dis	散	pref
>>	esper	望	basic	dezir	欲	basic
>>	esper	望	basic	atend	待	basic
>>	esprim	表	basic	el	出	prep
>>	estim	尊	basic	respekt	敬	basic
>>	et	小	suf	mal	反	pref
>>	etap	段	basic	stadi	阶	basic
=	etiket	礼	pejvo	etiked	标	pejvo
=	faden	丝	basic	drat	线	basic
=	faeton	马车	pejvo	tropik	热带	basic
=	faks	传真	pejvo	tele	远	pref
=	faksimil	复	pejvo	faks	传真	pejvo
>>	familiar	熟	basic	intim	亲	basic
>>	familiar	熟	basic	senc	意	basic
>>	far	做	basic	ag	办	basic
>>	fars	剧	pejvo	burlesk	谐	pejvo
>>	fasad	正面	basic	inter	间	prep
>>	fascin	魅	pejvo	rav	醉	basic
>>	fascin	魅	pejvo	sor	腾	pejvo
=	fau^n	兽相	pejvo	best	兽	basic
=	fav	黄癣	pejvo	tini	头癣	pejvo
=	febl	弱	pejvo	mal	反	pref
>>	fek	粪	pejvo	kaki	土黄	pejvo
=	femal	雌	pejvo	in	女	suf
>>	fe	妖精	basic	kobold	精灵	pejvo
>>	feri	假	basic	fest	庆	basic
>>	feri	假	basic	liber	自由	basic
>>	ferment	酵	pejvo	gist	酵母	pejvo
=	ferment	酵	pejvo	enzim	酵素	pejvo
>>	fetor	臭	pejvo	mal	反	pref
>>	fiakr	马车	pejvo	kales^	车	pejvo
>>	final	终	pejvo	du	二	num
>>	final	终	pejvo	kvar	四	num
=	firma	商	basic	firm	坚	basic
