序号	字	Unicode	画数
0239	甲	U+7532	5
0240	申	U+7533	5
0241	叮	U+53EE	5
0242	电	U+7535	5
0243	号	U+53F7	5
0244	田	U+7530	5
0245	由	U+7531	5
0246	只	U+53EA	5
0247	叭	U+53ED	5
0248	史	U+53F2	5
0249	央	U+592E	5
0250	兄	U+5144	5
0251	叽	U+53FD	5
0252	叼	U+53FC	5
0253	叫	U+53EB	5
0254	叩	U+53E9	5
0255	叨	U+53E8	5
0256	另	U+53E6	5
0257	叹	U+53F9	5
0258	冉	U+5189	5
0259	皿	U+76BF	5
0260	凹	U+51F9	5
0261	囚	U+56DA	5
0262	四	U+56DB	5
0263	生	U+751F	5
0264	矢	U+77E2	5
0265	失	U+5931	5
0266	乍	U+4E4D	5
0267	禾	U+79BE	5
0268	丘	U+4E18	5
0269	付	U+4ED8	5
0270	仗	U+4ED7	5
0271	代	U+4EE3	5
0272	仙	U+4ED9	5
0273	们	U+4EEC	5
0274	仪	U+4EEA	5
0275	白	U+767D	5
0276	仔	U+4ED4	5
0277	他	U+4ED6	5
0278	斥	U+65A5	5
0279	瓜	U+74DC	5
0280	乎	U+4E4E	5
0281	丛	U+4E1B	5
0282	令	U+4EE4	5
0283	用	U+7528	5
0284	甩	U+7529	5
0285	印	U+5370	5
0286	尔	U+5C14	5
0287	乐	U+4E50	5
0288	句	U+53E5	5
0289	匆	U+5306	5
0290	册	U+518C	5
0291	卯	U+536F	5
0292	犯	U+72AF	5
0293	外	U+5916	5
0294	处	U+5904	5
0295	冬	U+51AC	5
0296	鸟	U+9E1F	5
0297	务	U+52A1	5
0298	包	U+5305	5
0299	饥	U+9965	5
0300	主	U+4E3B	5
0301	市	U+5E02	5
0302	立	U+7ACB	5
0303	冯	U+51AF	5
0304	玄	U+7384	5
0305	闪	U+95EA	5
0306	兰	U+5170	5
0307	半	U+534A	5
0308	汁	U+6C41	5
0309	汇	U+6C47	5
0310	头	U+5934	5
0311	汉	U+6C49	5
0312	宁	U+5B81	5
0313	穴	U+7A74	5
0314	它	U+5B83	5
0315	讨	U+8BA8	5
0316	写	U+5199	5
0317	让	U+8BA9	5
0318	礼	U+793C	5
0319	训	U+8BAD	5
0320	议	U+8BAE	5
0321	必	U+5FC5	5
0322	讯	U+8BAF	5
0323	记	U+8BB0	5
0324	永	U+6C38	5
0325	司	U+53F8	5
0326	尼	U+5C3C	5
0327	民	U+6C11	5
0328	弗	U+5F17	5
0329	弘	U+5F18	5
0330	出	U+51FA	5
0331	辽	U+8FBD	5
0332	奶	U+5976	5
0333	奴	U+5974	5
0334	召	U+53EC	5
0335	加	U+52A0	5
0336	皮	U+76AE	5
0337	边	U+8FB9	5
0338	孕	U+5B55	5
0339	发	U+53D1	5
0340	圣	U+5723	5
0341	对	U+5BF9	5
0342	台	U+53F0	5
0343	矛	U+77DB	5
0344	纠	U+7EA0	5
0345	母	U+6BCD	5
0346	幼	U+5E7C	5
0347	丝	U+4E1D	5
0348	邦	U+90A6	6
0349	式	U+5F0F	6
0350	迂	U+8FC2	6
0351	刑	U+5211	6
0352	戎	U+620E	6
0353	动	U+52A8	6
0354	扛	U+625B	6
0355	寺	U+5BFA	6
0356	吉	U+5409	6
0357	扣	U+6263	6
0358	考	U+8003	6
0359	托	U+6258	6
0360	老	U+8001	6
0361	巩	U+5DE9	6
0362	圾	U+573E	6
0363	执	U+6267	6
0364	扩	U+6269	6
0365	扫	U+626B	6
0366	地	U+5730	6
0367	场	U+573A	6
0368	扬	U+626C	6
0369	耳	U+8033	6
0370	芋	U+828B	6
0371	共	U+5171	6
0372	芒	U+8292	6
0373	亚	U+4E9A	6
0374	芝	U+829D	6
0375	朽	U+673D	6
0376	朴	U+6734	6
0377	机	U+673A	6
0378	权	U+6743	6
0379	过	U+8FC7	6
0380	臣	U+81E3	6
0381	吏	U+540F	6
0382	再	U+518D	6
0383	协	U+534F	6
0384	西	U+897F	6
0385	压	U+538B	6
0386	厌	U+538C	6
0387	戌	U+620C	6
0388	在	U+5728	6
0389	百	U+767E	6
0390	有	U+6709	6
0391	存	U+5B58	6
0392	而	U+800C	6
0393	页	U+9875	6
0394	匠	U+5320	6
0395	夸	U+5938	6
0396	夺	U+593A	6
0397	灰	U+7070	6
0398	达	U+8FBE	6
0399	列	U+5217	6
0400	死	U+6B7B	6
0401	成	U+6210	6
0402	夹	U+5939	6
0403	夷	U+5937	6
0404	轨	U+8F68	6
0405	邪	U+90AA	6
0406	尧	U+5C27	6
0407	划	U+5212	6
0408	迈	U+8FC8	6
0409	毕	U+6BD5	6
0410	至	U+81F3	6
0411	此	U+6B64	6
0412	贞	U+8D1E	6
0413	师	U+5E08	6
0414	尘	U+5C18	6
0415	尖	U+5C16	6
0416	劣	U+52A3	6
0417	光	U+5149	6
0418	当	U+5F53	6
0419	早	U+65E9	6
0420	吁	U+5401	6
0421	吐	U+5410	6
0422	吓	U+5413	6
0423	虫	U+866B	6
0424	曲	U+66F2	6
0425	团	U+56E2	6
0426	吕	U+5415	6
0427	同	U+540C	6
0428	吊	U+540A	6
0429	吃	U+5403	6
0430	因	U+56E0	6
0431	吸	U+5438	6
0432	吗	U+5417	6
0433	吆	U+5406	6
0434	屿	U+5C7F	6
0435	屹	U+5C79	6
0436	岁	U+5C81	6
0437	帆	U+5E06	6
0438	回	U+56DE	6
0439	岂	U+5C82	6
0440	则	U+5219	6
0441	刚	U+521A	6
0442	网	U+7F51	6
0443	肉	U+8089	6
0444	年	U+5E74	6
0445	朱	U+6731	6
0446	先	U+5148	6
0447	丢	U+4E22	6
0448	廷	U+5EF7	6
0449	舌	U+820C	6
0450	竹	U+7AF9	6
0451	迁	U+8FC1	6
0452	乔	U+4E54	6
0453	迄	U+8FC4	6
0454	伟	U+4F1F	6
0455	传	U+4F20	6
0456	乒	U+4E52	6
0457	乓	U+4E53	6
0458	休	U+4F11	6
0459	伍	U+4F0D	6
0460	伏	U+4F0F	6
0461	优	U+4F18	6
0462	臼	U+81FC	6
0463	伐	U+4F10	6
0464	延	U+5EF6	6
0465	仲	U+4EF2	6
0466	件	U+4EF6	6
0467	任	U+4EFB	6
0468	伤	U+4F24	6
0469	价	U+4EF7	6
0470	伦	U+4F26	6
0471	份	U+4EFD	6
0472	华	U+534E	6
0473	仰	U+4EF0	6
0474	仿	U+4EFF	6
0475	伙	U+4F19	6
0476	伪	U+4F2A	6
0477	自	U+81EA	6
0478	伊	U+4F0A	6
0479	血	U+8840	6
0480	向	U+5411	6
0481	似	U+4F3C	6
0482	后	U+540E	6
0483	行	U+884C	6
0484	舟	U+821F	6
0485	全	U+5168	6
0486	会	U+4F1A	6
0487	杀	U+6740	6
0488	合	U+5408	6
0489	兆	U+5146	6
0490	企	U+4F01	6
0491	众	U+4F17	6
0492	爷	U+7237	6
0493	伞	U+4F1E	6
0494	创	U+521B	6
0495	肌	U+808C	6
0496	肋	U+808B	6
0497	朵	U+6735	6
0498	杂	U+6742	6
