root	層	漢字	接地	生物名	F	接地した定義語根	定義文
arb	CSV2890	树	N		150		Rilata al arbo(j)
voj	CSV2890	路	N		132		Rilata al vojo(j), precipe 3
temp	CSV2890	时	N		113		(ntr (netransitiva)) Estas tempo, por fari ion
kolor	CSV2890	色	N		106		1 Rubandoj, vestpartoj ktp (kaj tiel plu) kun apartaj koloroj k portataj kiel simbolo de a
foli	CSV2890	叶	N		98		1 Rilata al folio
dent	CSV2890	齿	N		95		Homaj dentoj, rigardataj kiel esprimilo de sentoj
alt	CSV2890	高	N		94		Vd (vidu) eksponento 1.
vid	CSV2890	见	N		85		Rilata al la vidado
fiŝ	CSV2890	鱼	N		83		Rilata al fis^o
har	CSV2890	毛	N		82		1 Tuto de tiuj elkreskaj^oj, kovrantaj la korpon de besto, k eventuale uzataj kiel laborma
man	CSV2890	手	N		82		1 Rilata al mano
am	CSV2890	爱	N		81		Rilata al amo
vent	CSV2890	风	N		81		Blovas vento
nom	CSV2890	名	N		80		Rilata al la nomo
met	CSV2890	置	N		75		Ago, per kiu oni metas
edz	CSV2890	夫	N		74		Rilata al edzo
brul	CSV2890	燃	N		73		Okazas brulo
flug	CSV2890	飞	N		71		Rilata al flugo
port	CSV2890	运	N		70		Ago de tiu, kiu portas
herb	CSV2890	草	N		67		Rilata al herbo.
kamp	CSV2890	田	N		66		Rilata al kampo.
ret	CSV2890	网	N		64		Ano de gento, kiu log^is en Retio.
di	CSV2890	二ᴰᴵ	N		63		Pref. (Prefikso), montranta, ke substanco estas karakterizata de, au^ konsistas el, du sam
sun	CSV2890	阳	N		63		(ntr (netransitiva)) Brilas suno.
ali	CSV2890	别	N		62		(ntr (netransitiva)) Diferenci
turn	CSV2890	转	N		62		Rilata al turno
aŭt	CSV2890	车	N		61		(ntr (netransitiva)) Veturi per au^to.
bel	CSV2890	美	N		61		(ntr (netransitiva)) Aspekti, impresi bele
term	CSV2890	热ᵀ	N		61		En la Roma antikveco, publikaj banejoj.
ferm	CSV2890	闭	N		56		Rilata al fermo
las	CSV2890	留	N		56		Ago de tiu, kiu lasas
sek	CSV2890	干	N		55		En maniero fizike au^ metafore seka.
gram	CSV2890	图ᴳᴹ	N		54		Suf. (Sufikso), uzata por nomi la bildon, kurbon ks (kaj simile, kaj similaj). registritan
pluv	CSV2890	雨	N		52		(ntr (netransitiva)) Falas pluvo
sid	CSV2890	坐	N		52		Pozicio de iu, io sidanta
tranĉ	CSV2890	切	N		52		1 Sentig^as akraj kolikoj
ĉeval	CSV2890	马	N		51		Rilata al la c^evalo
neĝ	CSV2890	雪	N		51		(ntr (netransitiva)) Falas neg^o
kaŝ	CSV2890	藏	N		50		Tia, kian ne povas trafi ies okuloj au^ scio
gard	CSV2890	守	N		49		Rilata al gardo.
karb	CSV2890	炭	N		49		Rilata al karbo
ring	CSV2890	环	N		49		1 Rilata al ringo
kalkul	CSV2890	算	N		48		Rilata al kalkulo
pur	CSV2890	纯	N		48		(en L.B. (Londona Biblio)
ĉel	CSV2890	胞	N		47		Rilata al c^elo; enhavanta c^elojn
naĝ	CSV2890	游	N		47		Rilata al nag^o
ord	CSV2890	序	N		47		(tr (transitiva)) 1 (ark. (arkaismo, arkaisme)) Meti ordon (en ion)
sci	CSV2890	知	N		46		Aro de elementoj de informig^o en difinita fako, scienco ks (kaj simile, kaj similaj)
cel	CSV2890	标	N		45		(+ al au^ kunmetite) Strebante al atingo de iu celo
tabl	CSV2890	桌	N		45		Rilata al tablo, precipe al mang^o tablo
fil	CSV2890	儿	N		44		Rilata al filo
film	CSV2890	影ᶠ	N		44		Rilata al filmo
dekstr	CSV2890	右	N		43		1 Dekstra flanko. 2 La konservativaj k reakciaj partioj (kies deputitoj konvencie sidas de
miks	CSV2890	混	N		43		Ago de tiu, kiu miksas
min	CSV2890	矿	N		43		Rilata al mino
fung	CSV2890	菌	N		42		Rilata al fungoj
glaci	CSV2890	冰	N		42		En glacia maniero
loĝ	CSV2890	住	N		42		Havanta log^on (ie)
volv	CSV2890	卷	N		42		Rilata al volvo(j)
jun	CSV2890	幼	N		41		En juna maniero
kart	CSV2890	卡	N		41		Rilata al karto, precipe 5
komunik	CSV2890	传	N		41		Rilata al komunikado
amik	CSV2890	友	N		40		(ntr (netransitiva)) Esti amiko de
kolekt	CSV2890	集	N		40		1 Rilata al kolekto
dev	CSV2890	应	N		39		Rilata al devo
dik	CSV2890	厚	N		39		Dimensio alia, ol longo k larg^o
font	CSV2890	泉	N		39		Rilata al fonto
mur	CSV2890	壁	N		39		Rilata al muro
reĝ	CSV2890	王	N		39		En reg^a maniero
spir	CSV2890	息	N		39		Rilata al la spiro
fiks	CSV2890	定	N		38		Ago de tiu, kiu fiksas
haŭt	CSV2890	皮	N		37		Rilata al hau^to
komput	CSV2890	算ᴷᴹ	N		37		Rilata al komputado
mastr	CSV2890	主	N		37		Rilata al mastro
pord	CSV2890	门	N		37		1 Rilata al pordo(j). 2 Rilata al la hepata pordo
bakteri	CSV2890	菌ᴮ	N		36		Rilata al bakterio(j)
mas	CSV2890	团ᴹ	N		36		Rilata al maso
rond	CSV2890	圆	N		36		En ronda maniero
fand	CSV2890	熔	N		35		Rilata al fando
fenestr	CSV2890	窗	N		35		Rilata al fenestro
konduk	CSV2890	导ᴷ	N		35		Rilata al kondukado
motor	CSV2890	动ᴹᵀ	N		35		1 Rilata al motoro
bank	CSV2890	银ᴮ	N		34		Rilata al banko 1
funkci	CSV2890	功	N		34		Rilata al la funkcio
frost	CSV2890	霜	N		33		(ntr (netransitiva)) Estas froste
klimat	CSV2890	气候	N		33		Rilata al la klimato
liter	CSV2890	字	N		33		G^uste, kiel skribite
metal	CSV2890	金ᴹ	N		33		Tegi per maldika tavolo da metalo.
profit	CSV2890	利ᴾ	N		33		En profita maniero au^ cirkonstanco
sem	CSV2890	种	N		33		Rilata al semo
rok	CSV2890	岩	N		33		Popolmuziko usondevena, naskita el rokenrolo en la 60aj jaroj de la 20a jc (jarcento).
horloĝ	CSV2890	钟ᴴᴸ	N		32		Rilata al horlog^o
norm	CSV2890	范	N		32		(tr (transitiva)) Provizi spacon per normo
fest	CSV2890	庆	N		31		En festa maniero
kopi	CSV2890	复ᴷ	N		31		Rilata al kopio
solv	CSV2890	解ˢ	N		31		Rilata al solvo
asekur	CSV2890	保	N		30		Rilata al asekuro
aviad	CSV2890	航	N		30		Rilata al aviado
brust	CSV2890	胸	N		30		Rilata al la brusto
esplor	CSV2890	探	N		30		Rilata al esploroj
gazet	CSV2890	报	N		30		Rilata al gazeto
klas	CSV2890	级	N		30		Rilata al klaso
sorb	CSV2890	吸ˢᴿ	N		30		Tia, ke g^i sorbas
brak	CSV2890	臂	N		29		La spaco inter tiuj du membroj, rigardata kiel simbolo de amoro
buter	CSV2890	黄油	N		29		1 Rilata al butero
spac	CSV2890	空	N		29		Rilata al spaco
divid	CSV2890	分ᴰ	N		28		1 Rilata al divido. 2 (pp (se paroli pri) folio) Havanta tre profundajn entranc^aj^ojn, ki
kok	CSV2890	鸡	N		28		Rilata al koko
ŝel	CSV2890	壳	N		28		Rilata al la s^elo
util	CSV2890	益	N		28		En utila maniero
vesper	CSV2890	晚	N		28		Estas vespero
forn	CSV2890	炉	N		27		Rilata al forno
hel	CSV2890	亮	N		27		Intenso de la luma energio de stelo au^ alia astro
rost	CSV2890	烤ᴿ	N		27		Ago de tiu, kiu rostas
ŝaf	CSV2890	羊	N		27		1 Rilata al s^afo(j)
ŝpar	CSV2890	省	N		27		Rilata al s^parado
tekst	CSV2890	文ᵀ	N		27		Rilata al teksto
gaj	CSV2890	欢	N		27		Stato de iu, io gaja
grajn	CSV2890	粒ᴳ	N		26		1 Plena de grajnoj, konsistanta el grajnoj
kurs	CSV2890	课	N		26		Iri lau^ kurso.
ŝlos	CSV2890	锁	N		26		Ago de tiu, kiu s^losas.
trink	CSV2890	饮	N		26		Ago de iu, kiu trinkas
vag	CSV2890	荡	N		26		Vaga nervo
butik	CSV2890	店	N		25		Rilata al butiko
cifer	CSV2890	数ᶜ	N		25		Montranta informojn per ciferoj, k ne per montrilo
river	CSV2890	河	N		25		Rilata al rivero
branĉ	CSV2890	枝	N		24		1 Rilata al branc^o. 2 Branc^ohava.
rajd	CSV2890	骑	N		24		Rilata al rajdo
soldat	CSV2890	兵	N		24		1 Rilata al soldato
spec	CSV2890	种ˢᴾ	N		24		Adj., uzata en kunmetaj^oj, por signifi, ke la afero rilatas au^ apartenas resp. (respekti
ŝir	CSV2890	裂	N		24		s^irado / s^iraj^o. Tiu parto de io, kiu estis s^irita
taks	CSV2890	评	N		24		Rilata al taksado
verŝ	CSV2890	浇	N		24		Ago de iu, kiu vers^as.
dung	CSV2890	雇	N		23		Ago de tiu, kiu dungas
grund	CSV2890	土	N		23		Rilata al grundo
hejt	CSV2890	热	N		23		Rilata al hejtado
maten	CSV2890	晨	N		23		Estas mateno
nebul	CSV2890	雾	N		23		(ntr (netransitiva)) S^vebas nebulo
pentr	CSV2890	描	N		23		Rilata al la ago pentri.
potenc	CSV2890	力	N		23		Lau^ potenca maniero
silab	CSV2890	节ˢ	N		23		1 Prezentanta silabon (plejofte kun numeralo
bapt	CSV2890	洗ᴮ	N		22		Rilata al bapto
ced	CSV2890	让	N		22		(pp (se paroli pri) geno) Tia, ke g^i efikas nur, se g^i trovig^as sur ambau^ kromosomoj d
cindr	CSV2890	灰ᶜ	N		22		1 El cindro, rilata al cindro. 2 Cindrogriza.
fabrik	CSV2890	厂	N		22		Rilata al fabriko
fals	CSV2890	伪	N		22		Ago de falsanto k ties rezulto
kelk	CSV2890	些	N		22		Analoge kun multe, iom kc (kaj ceteraj), tiu adv. (adverbo) estas uzata kun la senco de su
kolomb	CSV2890	鸽	N		22		Rilata al kolombo
kre	CSV2890	创	N		22		Rilata al kreado
nerv	CSV2890	神经	N		22		Korpa stato, rigardata kiel dependanta de la pli au^ malpli granda ekscitebleco k sensivec
nud	CSV2890	裸	N		22		1 G^enro, konsistanta en la prezentado, per desegno, pentrado, skulptado au^ foto, de nuda
regn	CSV2890	国ᴿ	N		22		(ark. (arkaismo, arkaisme)) Havi potencon de regno 1, 2, regi
sap	CSV2890	皂	N		22		Rilata al sapo
brems	CSV2890	刹	N		21		Rilata al bremso au^ bremsado
pat	CSV2890	锅	N		21		1 Rilata al pato. 2 (pp (se paroli pri) reg^o) Trovig^anta en pato.
rang	CSV2890	级ᴿ	N		21		Rilata al iu rango
vers	CSV2890	句ⱽ	N		21		Rilata al versoj
viand	CSV2890	肉	N		21		1 Rilata al viando
konkurs	CSV2890	竞ᴷˢ	N		20		Rilata al, bazita sur konkurso
serpent	CSV2890	蛇	N	Y	20		Subordo de skvamuloj kun la supraj karakterizaj^oj (Ophidia).
tond	CSV2890	剪	N		20		(pp (se paroli pri) vektorkampo, specife kampo de rapido au^ forto) Konsistanta el dudimen
vang	CSV2890	颊	N		20		Rilata al la vango
vezik	CSV2890	囊	N		20		Rilata al veziko
elast	CSV2890	弹ᴱ	N		19		Grando, difinanta la gradon de elasta konduto de substanco; simb. (simbolo)
grimp	CSV2890	爬ᴳ	N	Y	19		Rilata al grimpado
kancer	CSV2890	癌	N		19		Rilata al kancero
kort	CSV2890	院	N		19		Rilata al korto
operaci	CSV2890	操	N		19		Rilata al operacio
pump	CSV2890	泵	N		19		Ago de tiu, kiu pumpas
aks	CSV2890	轴	N		18		Rilata al akso
bord	CSV2890	岸	N		18		Lando, kus^anta apud akvaro
cert	CSV2890	确	N		18		Nedubebla scio
genu	CSV2890	膝	N		18		Rilata al genuo
honest	CSV2890	诚	N		18		Tio, kio estas honesta, rigardata en abstrakta, absoluta maniero
indic	CSV2890	指ᴵᶜ	N		18		Rilata al indico
just	CSV2890	公ᴶ	N		18		En justa maniero.
kas	CSV2890	库	N		18		Rilata al la kaso
kaŭz	CSV2890	因ᴷ	N		18		Rilata al kau^zo, konsistiganta kau^zon
krur	CSV2890	腿	N		18		Rilata al kruro
kub	CSV2890	方ᴷ	N		18		(ntr (netransitiva)) Havi la kapaciton de (certa nombro da kubaj unuoj).
nod	CSV2890	结ᴺ	N		18		Rilata al nodo
preĝ	CSV2890	祈	N		18		Rilata al preg^o
pi	CSV2890	敬ᴾ	N		17		Eco de homo pia
plug	CSV2890	耕ᴾ	N		17		Ago de tiu, kiu plugas
eksplod	CSV2890	爆	N		16		Rilata al eksplodo
fianĉ	CSV2890	婚	N		16		Rilata al fianc^o
flar	CSV2890	嗅	N		16		Rilata al la flarado
freŝ	CSV2890	鲜	N		16		En fres^a maniero
mebl	CSV2890	具ᴹ	N		16		Rilata al mebloj
scen	CSV2890	场	N		16		Rilata al scen(ej)o
sinjor	CSV2890	君	N		16		Rilata al sinjoro 1 k 2
solen	CSV2890	庄ˢ	N	Y	16		Mara molusko (Solen k parencaj g-oj (genroj)) el la klaso de duvalvuloj, havanta longforma
viŝ	CSV2890	拭	N		16		Movo, per kiu oni vis^as
atend	CSV2890	待ᴬ	N		15		Rilata al atendo
babil	CSV2890	聊	N		15		Diroj de tiu, kiu babilas
bred	CSV2890	养ᴮ	N		15		Agado au^ laboro de tiu, kiu bredas bestojn.
filtr	CSV2890	滤	N		15		Rilata al filtrado
gent	CSV2890	族ᴳ	N		15		La paganaj popoloj.
kapr	CSV2890	羊ᴷ	N		15		Apartenanta au^ rilata al kapro
respekt	CSV2890	敬	N		15		En respekta maniero
sigel	CSV2890	印ˢᴳ	N		15		Rilata al sigelo
stabil	CSV2890	稳	N		15		Speco de skulptaj^o, kiu staras sur firma bazo, sed kies kelkaj elementoj movig^as lau^ la
tabak	CSV2890	烟ᵀ	N		15		Rilata al tabako
tualet	CSV2890	妆	N		15		Rilata al la tualeto
ekzist	CSV2890	存	N		14		Rilata al ekzisto
esting	CSV2890	灭	N		14		Ago de estinganto
etend	CSV2890	伸	N		14		Rilata al etend(ad)o
evit	CSV2890	避	N		14		Ago eviti
flik	CSV2890	补	N		14		Ago fliki au^ ties rezulto
glat	CSV2890	滑ᴳᴬ	N		14		(ntr (netransitiva)) Esti glata 2,3.
haven	CSV2890	港	N		14		Rilata al haveno
ĥor	CSV2890	合唱	N		14		Rilata al h^oro
invit	CSV2890	邀	N		14		1 Rilata al invito
konfuz	CSV2890	乱	N		14		En konfuza maniero
normal	CSV2890	正ᴺ	N		14		1 Kutima, meza stato, nivelo ks (kaj simile, kaj similaj)
ocean	CSV2890	洋	N		14		Rilata al oceano(j)
proporci	CSV2890	比ᴾ	N		14		En proporcia maniero
redukt	CSV2890	减ᴿ	N		14		Rilata al redukto
struktur	CSV2890	构	N		14		(tr (transitiva)) Doni strukturon al io
teg	CSV2890	覆	N		14		tega operatoro (asocianta al aro ties tegaj^on).
teren	CSV2890	地ᵀᴺ	N		14		Rilata al la tereno
vejn	CSV2890	脉	N		14		1 Rilata al korpa vejno
bors	CSV2890	市ᴮ	N		13		Rilata al la borso
bot	CSV2890	靴	N		13		Alta leda piedvesto, kiu atingas g^is genuo au^ pli alte
buĉ	CSV2890	屠	N		13		Ago de buc^anto
gest	CSV2890	姿	N		13		Rilata al gesto(j)
ĝib	CSV2890	凸	N		13		1 Kripla pro g^ibo. 2 Prezentanta g^ibaj^o(j)n
ĝu	CSV2890	享	N		13		Rilata al g^uado
hirund	CSV2890	燕	N		13		Rilata al hirundo(j)
komisi	CSV2890	委ᴷ	N		13		Lau^ la maniero de iu, kiu komisias
konsider	CSV2890	虑	N		13		Pensoj de tiu, kiu konsideras
nobl	CSV2890	贵	N		13		En nobla maniero
respublik	CSV2890	共和	N		13		Rilata al respubliko.
falĉ	CSV2890	收割	N		12		Unu movo per falc^ilo
forĝ	CSV2890	锻	N		12		Ago de forg^anto.
format	CSV2890	版ᶠ	N		12		(evi (evitinda)) = prepari 5.
inĝenier	CSV2890	技ᴵ	N		12		Scienco k fako de ing^eniero.
kroĉ	CSV2890	钩ᴷ	N		12		Ago de tiu, kiu kroc^as.
pent	CSV2890	戊	N		12		Pref. (Prefikso), montranta kvinkarbonan c^enon en la nomoj de
redakt	CSV2890	编ᴿ	N		12		Ago de tiu, kiu redaktas
salon	CSV2890	厅ˢ	N		12		Rilata al salono 1 k 2
simi	CSV2890	猿	N		12		Rilata al simio(j)
tint	CSV2890	鸣	N		12		Tia, ke g^i tintas
trunk	CSV2890	干ᵀ	N		12		Rilata al trunko
farm	CSV2890	租ᶠ	N		11		Regata de tia kontrakto.
gajn	CSV2890	赢	N		11		Rilata al gajno
implik	CSV2890	缠	N		11		Stato de io implikita
kaldron	CSV2890	锅ᴷ	N		11		Rilata al kaldrono
komplement	CSV2890	补ᴷᴸ	N		11		(pp (se paroli pri) anguloj) Tiaj, ke ilia sumo egalas al orto.
konven	CSV2890	适ᴷ	N		11		Stato de tio, kio konvenas
meti	CSV2890	艺ᴹ	N		11		Rilata al metio(j)
palp	CSV2890	摸	N		11		Rilata al palp(ad)o
reciprok	CSV2890	互	N		11		(pp (se paroli pri) nombro) = la inversa nombro.
stal	CSV2890	马棚	N		11		(ntr (netransitiva)) Resti en stalo (precipe dum vintro).
tem	CSV2890	题	N		11		1 Karakterizanta la temon, au^ karakterizata de g^i
titol	CSV2890	题ᵀᵀ	N		11		Rilata al titolo
virt	CSV2890	德	N		11		En virta maniero
arane	CSV2890	蛛	N		10		Rilata al araneo(j)
atmosfer	CSV2890	气ᴬᵀ	N		10		Rilata al atmosfero
balanc	CSV2890	摇ᴮ	N		10		Movoj de io balancata
ĉarm	CSV2890	魅	N		10		En c^arma maniero
farun	CSV2890	粉	N		10		Rilata al, konsistanta el faruno
flagr	CSV2890	闪ᶠᴳ	N		10		Fenomeno, estigata de io, kio flagr(ad)as
hero	CSV2890	杰	N		10		Konduti kiel heroo.
kamen	CSV2890	炉ᴷ	N		10		Rilata al kameno
lam	CSV2890	跛	N		10		En lama maniero
moŝt	CSV2890	阁	N		10		Rilata al mos^to
foir	CSV2890	集ᶠ	N		9		Rilata al foiro
fromaĝ	CSV2890	酪ᶠ	N		9		Garni per fromag^o
komplik	CSV2890	复ᴷᴹ	N		9		Malfacileco de problemo, mezurata per la komputaj rimedoj bezonataj por solvi g^in
kuler	CSV2890	勺	N		9		(tr (transitiva)) Mang^i per kulero
plend	CSV2890	诉	N		9		Rilata al plendo; esprimanta plendon
profesor	CSV2890	授	N		9		Rilata al profesoro
tajlor	CSV2890	裁ᵀᴿ	N		9		Rilata al tajloro
zum	CSV2890	嗡	N		9		Rilata al zumado
daktil	CSV2890	枣	N		8		Rilata al daktilo
dorlot	CSV2890	宠	N		8		Ago de dorlotanto
femur	CSV2890	股ᶠ	N		8		Rilata al la femuro
flirt	CSV2890	飘	N		8		(ankau^ flirtado) 1 Movoj de tio, kio flirtas (1, 2). 2 Konduto de tiu, kiu flirtas (3).
frakci	CSV2890	分ᶠ	N		8		Rilata al frakcio.
fraŭl	CSV2890	单ᶠ	N		8		Rilata al frau^lo
kajut	CSV2890	舱	N		8		Rilata al kajuto
kalumni	CSV2890	谤	N		8		Prezentanta kalumnion au^ rilata al kalumnio
kamarad	CSV2890	伴ᴷᴿ	N		8		Rilata al kamarado
koks	CSV2890	股	N		8		Rilata, apartenanta al kokso
lili	CSV2890	百合	N		8		Delikate blanka, kiel lilio
palis	CSV2890	桩ᴾ	N		8		1 Rilata al paliso. 2 Aspektanta kiel paliso au^ palisaro
persist	CSV2890	坚ᴾ	N		8		Ago de iu, io persistanta
pugn	CSV2890	拳	N		8		Rilata al pugno
ran	CSV2890	蛙	N		8		Rilata al rano
rip	CSV2890	肋	N		8		1 Rilata al homa ripo
surpriz	CSV2890	惊ˢ	N		8		En surpriza maniero
tinktur	CSV2890	染ᵀ	N		8		Rilata al tinkturo
cirkonstanc	CSV2890	况ᶜ	N		7		Rilata al cirkonstanco
elokvent	CSV2890	辩ᴱ	N		7		Natura talento paroli bele k trafe
fast	CSV2890	斋	N		7		Rilata al fasto
festen	CSV2890	宴	N		7		Rilata al festeno
hajl	CSV2890	雹	N		7		Rilata al hajlo
hotel	CSV2890	馆	N		7		Rilata al hotelo(j)
inkluziv	CSV2890	含	N		7		Ago, per kiu oni inkluzivas ion
koleg	CSV2890	伴	N		7		Rilata al kolego(j)
komik	CSV2890	笑ᴷ	N		7		Komika karaktero, ekz. (ekzemple) de beletraj^o.
krepusk	CSV2890	昏ᴷ	N		7		(ntr (netransitiva)) Nehele lumi
pelv	CSV2890	盆	N		7		Rilata al la pelvo
pland	CSV2890	足底	N		7		Rilata al la plando
rivolu	CSV2890	转ᴿ	N		7		Rilata al rivoluo
teknologi	CSV2890	技ᵀᴸ	N		7		Rilata al teknologio
termin	CSV2890	词ᵀ	N		7		Rilata al termino(j)
testament	CSV2890	嘱	N		7		Rilata al testamento
tikl	CSV2890	痒ᵀ	N		7		Ago de iu, io tiklanta
aparten	CSV2890	属	N		6		La fakto, ke iu, io apartenas al
arteri	CSV2890	脉ᴬ	N		6		Rilata al la arterioj
asimil	CSV2890	同ᴬ	N		6		Ago de iu, kiu asimilas
bub	CSV2890	顽	N		6		Rilata al bubo
grip	CSV2890	流感	N		6		Rilata al gripo
kret	CSV2890	白石	N		6		(tr (transitiva)) S^miri per kreto.
krokodil	CSV2890	鳄	N		6		Rilata al krokodilo
patron	CSV2890	保ᴾ	N		6		1 Rilata al patrono
salik	CSV2890	柳	N		6		1 Rilata al saliko. 2 Farita el salikobranc^oj
ŝose	CSV2890	路ˢ̂	N		6		Rilata al s^oseo
alumini	CSV2890	铝	N		5		Rilata al aluminio
elefant	CSV2890	象	N		5		Rilata al elefanto
feĉ	CSV2890	渣	N		5		Rilata al fec^o
funel	CSV2890	漏斗	N		5		(tr (transitiva)) Vers^i tra funelo.
general	CSV2890	将ᴳ	N		5		Rilata al generalo
grandioz	CSV2890	宏	N		5		En grandioza maniero
himn	CSV2890	颂	N		5		Rilata al himno(j).
inaŭgur	CSV2890	开ᴵ	N		5		Rilata al inau^guro
koment	CSV2890	评ᴷᴹ	N		5		Vortoj en komputila programo, kiujn ignoras la komputilo, sed kiuj servas por helpi homon 
nuk	CSV2890	项	N		5		Apartenanta al, rilata al nuko
statu	CSV2890	像ˢ	N		5		Rilata al statuo
ŝark	CSV2890	鲨	N	Y	5		Ordo (Selachii) de elasmobrankoj, ampleksanta la s^arkojn.
flustr	CSV2890	悄	N	Y	4		G. (Genro) (Flustra) de briozooj kun fleksebla plata trunko k kun c^eloj kornecaj, plurvic
fortun	CSV2890	运ᶠ	N		4		G^uanta fortunon. Vd felic^a.
horizont	CSV2890	界ᴴ	N		4		Rilata al horizonto
laboratori	CSV2890	实验室	N		4		Rilata al laboratorio
limak	CSV2890	螺ᴸ	N		4		(ntr (netransitiva)) Malrapide iri, kiel limako.
pejzaĝ	CSV2890	景	N		4		Rilata al pejzag^o(j).
frunt	CSV2890	额	N		3		Rilata al la frunto
irit	CSV2890	恼	N		3		Reakcio de vivaj organoj, precipe nervoj je ekscito ekstera; g^i en la nervocentro transfo
muĝ	CSV2890	吼	N		3		Tia bleko au^ sono.
pantofl	CSV2890	拖鞋	N		3		Mars^i kun pantofloj
prefiks	CSV2890	缀ᴾ	N		3		Rilata al prefikso
strof	CSV2890	节ˢᵀ	N		3		Rilata al strofo
tempest	CSV2890	暴风ᵀ	N		3		(ntr (netransitiva), f (figurasence)) Agi au^ impresi kiel tempesto
tragik	CSV2890	悲ᵀᴷ	N		3		Tio, kio donas al ni doloran konscion pri la limoj de la homa kondic^o k pri la nekapablec
trotuar	CSV2890	径	N		3		(fm (familiara, familiare) pp (se paroli pri) amorist(in)o) Varbi klientojn sur trotuaro. 
anekdot	CSV2890	闻	N		2		Rilata al anekdoto(j)
manuskript	CSV2890	稿	N		2		Sub formo de manuskripto
uzin	CSV2890	厂ᵁ	N		2		(tr (transitiva)) Produkti per mas^inoj
aŭtomobil	CSV2890	车ᴬᴹ	N		0		Rilata al au^tomobilo(j)
fotograf	CSV2890	照	N		0		Rilata al fotografado
ortografi	CSV2890	拼	N		0		Rilata al la ortografio
graf	PEJVO	伯	N		123		Rilata al grafo
gen	PEJVO	生ᴳ	N		65		1 Suf. (Sufikso) kun la signifo «generanta, kreanta, estiganta»
metri	PEJVO	测ᴹᵀ	N		60		Metodo de scienca mezurado
morf	PEJVO	形ᴹ	N	Y	49		Suf. (Sufikso), uzata por formi nomojn de kelkaj filumoj, klasoj, ordoj au^ subordoj
genez	PEJVO	源ᴳ	N		32		Rilata al la genezo
meta	PEJVO	超ᴹ	N		26		1 Pref. (Prefikso), montranta ion, kio entutigas au^ transpasas la koncernan objekton au^ 
frekvenc	PEJVO	频	N		24		Rilata al frekvenco.
kontinu	PEJVO	续ᴷ	N		23		Io, kio prezentas kontinuecon
polu	PEJVO	污ᴾ	N		23		Rilata al polu(ad)o
trab	PEJVO	梁	N		23		1 Propra al trabo
derm	PEJVO	皮ᴰ	N		22		Rilata al la dermo.
kanon	PEJVO	炮	N		22		Rilata al kanono
kondukt	PEJVO	导ᴷᵀ	N		22		Rilata al kondukto.
bi	PEJVO	二ᴮ	N		20		Pref. (Prefikso), signifanta
trop	PEJVO	向ᵀ	N		20		Suf. (Sufikso), signifanta «havanta afinecon kun» au^ «stimulanta», pp (se paroli pri) org
dilat	PEJVO	膨	N		19		Rilata al dilato, dilatado
nitr	PEJVO	氮	N		19		(tr (transitiva)) Enkonduki la grupon-NO 2, en organikajn kombinaj^ojn.
fibr	PEJVO	纤	N		18		Konsistanta el, rilata al fibro
c^ast	PEJVO	洁	N		17		(ntr (netransitiva)) Konduti c^aste
tensi	PEJVO	压ᵀ	N		17		Rilata al tensio.
mer	PEJVO	链节	N		16		Baza, ripetig^anta kemia radiko, konsistaj^o de pli-malpli granda kunmeta molekulo (poli m
valv	PEJVO	阀	N		16		Rilata al valvo
distil	PEJVO	馏	N		15		Ago de distilanto
kadavr	PEJVO	尸	N		15		1 Rilata al kadavro
limf	PEJVO	淋ᴸ	N		15		Rilata al limfo au^ enhavanta limfon
trak	PEJVO	轨ᵀ	N		15		Rilata al la trako
mobil	PEJVO	挂饰	N		14		Artaj^o el plaketoj, ekvilibre pendantaj de dratoj k turnig^antaj lau^ la aermovoj. -> sta
spiral	PEJVO	旋ˢ	N		14		(ntr (netransitiva)) Prezenti spiralojn
deriv	PEJVO	派ᴰᴿ	N		13		Operacio, kiu al funkcio f asocias la funkcion ƒ ′, kies valoro c^e x estas la limeso de l
hemi	PEJVO	半	N		13		Pref. (Prefikso), elvokanta la ideon de g^usta duono k uzata
makro	PEJVO	宏ᴹ	N		13		Pref. (Prefikso), montranta
ozon	PEJVO	臭氧	N		13		Provizi per ozono
porn	PEJVO	淫	N		13		Rilata al porno
sond	PEJVO	探ˢ	N		13		Ago de iu, kiu sondas.
alp	PEJVO	峰	N		12		Alta monto, kun pas^tejoj sur la flankoj
ferdek	PEJVO	甲板	N		12		Rilata al ferdeko.
harmon	PEJVO	谐ᴴᴬ	N		12		1 Rilata al harmonoj
kompakt	PEJVO	密ᴷ	N		12		Io kompakta, i.a. (interalie, inter aliaj)
menstru	PEJVO	月经	N		12		Rilata al menstruo
projekci	PEJVO	射ᴾᴿ	N		12		1 Rilata al projekcio
s^lim	PEJVO	泥ˢ̂	N		12		(ntr (netransitiva)) Demeti s^limon (pp (se paroli pri) rivero ks (kaj simile, kaj similaj
teror	PEJVO	怖	N		12		Rilata al teroro.
ekvivalent	PEJVO	等ᴱᴷ	N		11		(pp (se paroli pri) du asertoj) Implicantaj unu la alian.
encefal	PEJVO	脑ᴱ	N		11		Rilata al la encefalo.
episkop	PEJVO	主教	N		11		1 Rilata al episkopo
fek	PEJVO	粪ᶠ	N		11		Rilata al feko.
hetero	PEJVO	异ᴴ	N		11		Pref. (Prefikso), montranta heterogenecon en la strukturo de molekulo, pli precize
