root	kanji	gloss
sent	感	感情の
sens	感	感覚の
serĉ	寻	(基本形gloss無)
simpl	简	{Ｂ}単純な,簡単な;単一の;単なる,ただの;簡素な,飾りけのない;純朴な,お人よしの
konciz	简	{Ｏ}簡潔な,簡明な
sol	唯	{Ｂ}唯一の,ただ一つの;ひとりきりの,単独の
son	声	{Ｂ}［自］音がする,音を立てる,鳴る;ひびく,聞こえる,感じられる;（時などを）告げる
voĉ	声	(基本形gloss無)
fonograf	声	(基本形gloss無)
sun	阳	太陽の;日当たりのよい
tabl	桌	{Ｂ}テーブル,机,卓,台;食卓;《転》食事,食卓を囲む人々
tim	怕	恐怖の;不安の
tir	拉	{Ｂ}［他］引く,引っ張る,引き寄せる;引き出す,取り出す;引き伸ばす;引いて行く,引きずる
trankvil	静	{Ｂ}（心が）平静な,落ち着いた,安らかな,安心した,>>kvieta
kviet	静	{Ｂ}静かな,おだやかな,おとなしい,>>trankvila
trink	饮	{Ｂ}［他］飲む,>>drinki
drink	饮	{Ｏ}［他］（酒を）飲む,>>trinki
turn	转	{Ｂ}［他］回す,回転させる;向ける;裏返す,めくる;《転》変える
ĝir	转	(基本形gloss無)
rivolu	转	［自］一回転する;【天】公転する,>>rotacii
urb	市	都市の,都会の,町の;市の,市立の
bors	市	{Ｂ}【経】株式取引所,証券取引所;株式取引
civit	市	{Ｂ}【史】自治都市;市民（全体）,公民（全体）
bazar	市	{Ｂ}市場（いちば）,市（いち）,マーケット,>>superbazaro
merkat	市	{Ｏ}【経】市場（しじょう）,販路;取引,売買,>>bazaro
uz	用	{Ｂ}［他］使う,用いる,使用する,利用する
aplik	用	{Ｂ}［他］応用する,適用する;【理】（力を）作用させる
varm	暖	{Ｂ}暖かい,熱い,暑い;熱のある;《転》熱心な,熱気のある
vent	风	風の,風のような;《転》空虚な
stil	风	文体の,様式の,スタイルの
tajfun	风	［自］台風が吹く
ver	真	{Ｂ}本当の,実際の;真実の,真の,本物の
