"root"	"kanji"	"gloss"
"bedaŭr"	"憾"	"残念にも,気の毒そうに ／ ［他］残念に思う,惜しむ ／ 遺憾（の意）,哀惜 ／ 深い哀惜の念"
"miks"	"混"	"［他］混ぜ込む,混入する;《転》巻き込む ／ 混合した,=miksita ／ ［他］混ぜる,混合する;《転》混同する ／ 【遊】（トランプで）カードを切る"
"par"	"偶"	"一対の,つがいの;【数】偶数の ／ 【数】偶数 ／ 二つ一組で ／ 一対（いっつい）,二つ一組のもの,二人組,ペア;つがい,カップル"
"pup"	"偶"	"人形;指人形,=gantopupo;【虫】さなぎ（蛹）;《転》（軽蔑的に）お ／ ぬいぐるみの人形"
"hazard"	"偶"	"偶然の;一か八かの,運まかせの ／ 偶然の一致 ／ 偶然に,たまたま;一か八か ／ ［他］運にまかせる"
"publik"	"公"	"一般大衆,世間一般 ／ 国際的読者,国際的聴衆 ／ 公共の,公的な,公衆の,><privata;公開の,公然の ／ 行政;行政学"
"just"	"公"	"正しい,正義の;正当な,合法的な;公正な,公平な ／ 正義の人 ／ 公正な裁判官 ／ 公正貿易,フェアトレード"
"public"	"公"	"［他］（政治的・社会的問題について）新聞雑誌に発表する"
"spert"	"验"	"並外れた経験 ／ 実務経験 ／ 豊富な経験 ／ 経験を積んだ,熟練した;経験に基づく"
"empiri"	"验"	"経験に基づく,経験主義の;【哲】経験的な ／ 経験的方法;【哲】経験,>>sperto,><spekulativo"
"te"	"茶"	"=nigra teo（紅茶） ／ 【料】紅茶 ／ お茶を飲む ／ 【日】抹茶"
"kameli"	"茶"	"【植】チャ（茶，種）,=teo ／ 【植】ツバキ（種） ／ 【植】ツバキ（椿，属）"
"trov"	"找"	"［他］見つける,見いだす,発見する;認める,気づく,感じる;（〜と）思う,評 ／ 就職する ／ （〜と）認める,気づく;=trovig^i（存在する） ／ 発見"
"venk"	"胜"	"決定的な勝利 ／ 輝かしい勝利 ／ 勝因 ／ 勝利の"
"volv"	"卷"	"［他］くるむ,包み込む;《転》巻き込む ／ ［他］巻く;巻きつける ／ ひと巻き ／ 【PIV】Rilata al volvo(j): volva movo, l"
"rul"	"卷"	"［他］転がす;（波などを）うねらせる;（音などを）ふるわせる;【情】（プログ ／ 巻いたもの,円筒形のもの;（タイプライターの）キャリッジ;（打ち寄せる波の）"
"friz"	"卷"	"［他］（髪を）カールする,パーマをかける ／ （髪の）ウエーブ,>>konstanta frizo ／ パーマ（パーマネント・ウエーブ）"
"bukl"	"卷"	"巻き毛の,カールした ／ ［他］巻き毛にする,輪に巻く ／ 巻き毛,カール;（巻いてできた）輪"
"cirus"	"卷"	"【気】巻雲,>>kumuluso,>>stratuso"
"afabl"	"善"	"愛想のよい,親切な;ものやわらかな,ていねいな;【情】使いやすい,ユーザーフ ／ 心のこもった招待 ／ 【情】使いやすいプログラム ／ ていねいな言葉"
"ĉeval"	"马"	"【動】ウマ（馬）;【遊】（チェスの）ナイト,（将棋の）桂馬 ／ 【遊】（将棋の）成桂 ／ 足の速い馬 ／ トロイの木馬"
"halt"	"停"	"［自］止まる,立ち止まる,停止する ／ 停止,休止 ／ ［間］止まれ！"
"kape"	"停"	"［自］【海】漂ちゅうする,ライツーする（荒天時に船首を風上に向けて洋上で停船"
"kort"	"院"	"中庭 ／ 中庭 ／ 校庭 ／ 【PIV】Rilata al korto: la korta pordo ;"
"kolegi"	"院"	"（二年制）短期大学 ／ （la 〜）コレージュ・ド・フランス（高等教育機関） ／ 【学】（英米などの）カレッジ,単科大学,高等専門学校;（仏などの）コレージュ ／ 【キ】枢機卿会"
"jur"	"法"	"行政法 ／ 【法】民法 ／ 【法】国際法 ／ 法の,法的な"
"metod"	"法"	"帰納法 ／ 教授法 ／ 避妊法 ／ 一定の方法に従った,系統的な,組織的な,整然とした"
"rimed"	"法"	"有効な手段 ／ 陰険な手段 ／ 資源 ／ 広告手段"
"korn"	"角"	"角の,角製の ／ ［自］角笛を吹く;=hupi（警笛を鳴らす） ／ 【動】角（つの）;角状のもの;【楽】ホルン;角笛（つのぶえ）;警笛 ／ 牛の角"
"angul"	"角"	"【数】鋭角 ／ 角（かど）の,すみの;角（かく）の ／ 【理】角加速度 ／ 【理】角振動数"
"rol"	"角"	"指導的役割 ／ 役を演じる ／ ［自］【劇】役割を演じる ／ 【劇】役割,役;《転》役割,役目"
"kerat"	"角"	"【解】【PIV】1 Supraj^a k korneca parto de "
"unik"	"独"	"類のない,特異な,独特の,独自の;唯一の,一意の,=ununura ／ 一人息子,=unusola filo ／ 独自の見解 ／ 類のない見もの"
"apart"	"独"	"別の,別々の;特別の ／ 個別に;特に ／ 〜とは別に,〜を別にして"
"av"	"爷"	"祖父;おじいさん ／ サンタクロース"
"bord"	"岸"	"岸,縁（ふち） ／ ［他］（〜の）岸にある ／ 【PIV】Lando, kus^anta apud akvaro: niaj ／ 【PIV】Tiu, kiu log^as c^e la bordo de r"
"brak"	"臂"	"【解】上腕二頭筋 ／ 【医】義手 ／ 腕 ／ 腕を組んで"
"bru"	"噪"	"騒がしい ／ 騒がしく ／ ［自］騒音を出す,騒ぎ立てる ／ 騒音,雑音;【環】騒音"
"ĉapel"	"帽"	"シルクハット,=silka c^apelo ／ ［他］帽子をかぶせる ／ （ふちのある）帽子;（キノコの）かさ ／ 【情】アクサンシルコンフレックス,ハット（＾）,=cirkumflekso"
"ĉap"	"帽"	"（ふちのない）帽子;（ビンの）ふた,キャップ ／ ナイトキャップ ／ 帽子をかぶっている ／ トルコ帽"
"kasked"	"帽"	"ひさし付き帽子,ハンチング,鳥打ち帽;制帽"
"kuf"	"帽"	"【服】ボンネット（飾りのない婦人帽の一種）;（鳥の）羽冠,=hupo"
"kapuc^"	"帽"	"［他］頭巾（ずきん）をかぶせる ／ 【服】（外套の）ずきん,フード;（自動車の）幌（ほろ）"
"kaz"	"例"	"【法】民事事件 ／ （〜の）場合に ／ 【Ｇ】格;【法】訴訟事件;事例;【医】症例 ／ 【法】刑事事件"
"fer"	"铁"	"鉄の,鉄製の;《転》（鉄のように）強固な,厳格な,厳しい ／ 【史】鉄のカーテン ／ ［他］鉄で補強する ／ 鉄;=feraj^o"
"fest"	"庆"	"祝いの ／ 祭りの行列,祝いの列 ／ ［他］祝う ／ 記念日を祝う"
"Pask"	"庆"	"復活祭の;過越しの祭の ／ 【宗】復活祭（キリスト教）;過越しの祭（ユダヤ教）"
"celebr"	"庆"	"［他］（儀式を）とり行う"
"frap"	"敲"	"【軍】着発信管,撃発信管,=perkuta fuzeo ／ ［他］たたく,打つ;たたいて音を出す;はっとさせる,驚かす ／ たたくこと,打撃;衝撃"
"gajn"	"赢"	"（くじの）当籤番号 ／ ［他］（運や偶然によって）得る;勝ち取る;もうける,>>akiri ／ 戦争に勝つ ／ 訴訟に勝つ"
"kol"	"颈"	"【地名】コラ半島（ロシア） ／ 【解】首;《転》首状に細くなった部分 ／ びんの首 ／ ギターのネック,竿（さお）"
"cervik"	"颈"	"【解】頸部（けいぶ） ／ 【解】子宮頸部 ／ 【解】歯頸（しけい）"
"kutim"	"习"	"悪習を一掃する ／ いつものように ／ いつもの ／ 通常業務"
"lini"	"线"	"【運】センターライン ／ 【交】鉄道路線 ／ 【印】破線 ／ 【情】けい（罫）線"
"drat"	"线"	"【楽】金属弦,スチール弦 ／ ［他］針金を張る ／ 針金,金属線,=metalfadeno ／ 電線"
"line"	"线"	"【電】高圧線 ／ 【植】リンネソウ（属） ／ 細ひも;【電】電線,電話線;【情】回線,伝送路;【単】リーニュ（長さの単位、 ／ 【人名】リンネ（スウェーデンの博物学者、1707-1778）"
"linear"	"线"	"【数】一次方程式 ／ 【数】【PIV】(pp (se paroli pri) bildigo ƒ)"
"mezur"	"测"	"［他］計る,寸法をとる;測定する;《転》評価する ／ 寸法,（服などの）サイズ;分量;限度;【楽】小節;【楽】（小節内の）拍子"
"metri"	"测"	"【PIV】Metodo de scienca mezurado: antro"
"bir"	"测"	"【PIV】(tr (transitiva)) Precizigi la po ／ 【PIV】Ago biri: preni siajn birojn (lok"
"gau^g^"	"测"	"［他］ゲージで計測する ／ 【機】計測器,計量器,ゲージ,>>mezurilo"
"test"	"测"	"［他］（知能・適性・品質などを）テストする,検査する,試験する ／ 【学】（知能・適性などを調べる）テスト,検査;（性能・品質などを試す）検査, ／ 【情】チューリングテスト"
"moment"	"刻"	"（勝敗を分ける）決定的な瞬間 ／ 歴史的瞬間 ／ 瞬間的な,一瞬の,ちょっとの間の;【声】瞬間音の ／ 【理】瞬間の速さ"
"noc^"	"刻"	"［他］切れ込みを入れる,刻み目をつける ／ （Ｖ字形・Ｕ字形の）切れ込み,切欠き,刻み目,ノッチ"
"gravur"	"刻"	"［他］彫る,刻む,彫り込む,>>skulpti;《転》（心に）刻み込む ／ 刻み目,彫り目;=gravuraj^o"
"nombr"	"数"	"【数】無名数 ／ 二桁（けた）の数 ／ いくつかの ／ 【数】複素数"
"cifer"	"数"	"アラビア数字 ／ 天文学的数字（日常的な範囲を超えた大きな数） ／ デジタル時計 ／ ［他］数字で表す"
"ord"	"序"	"順調に,うまく;［間］オーケー！ ／ 【情】昇順 ／ 【情】降順 ／ 順序の;整理された"
"ordon"	"令"	"大赦令 ／ （la 〜）【キ】（モーセの）十戒 ／ 命令する ／ 明確な命令"
"komand"	"令"	"［他］【軍】指揮する,指図する,命令する;【機】操作する,制御する ／ 【軍】指揮,命令;指令,号令;【機】操作,制御【情】コマンド,指令"
"edikt"	"令"	"［他］勅令を発する ／ 【史】勅令,>>dekreto,>>ukazo ／ （la 〜）【史】ナントの勅令（1958）"
"paŝ"	"步"	"同じ歩幅 ／ ［自］足を踏み入れる ／ 歩調 ／ ［自］歩く,歩を運ぶ"
"marŝ"	"步"	"【楽】葬送行進曲 ／ ［自］行進する,前進する;（比較的長い距離を）歩いて行く ／ 行進,行軍;歩行;【楽】行進曲,マーチ;【運】競歩 ／ 【PIV】(tr (transitiva) au^ ntr) Invadi:"
"promen"	"步"	"［自］散歩する,散策する ／ =promenado（散歩）"
"pen"	"努"	"骨を折って,やっとのことで ／ ［自］努める,努力する,苦労する,骨を折る,>>klopodi,>>stre ／ 苦労,骨折り,努力"
"plank"	"板"	"タイル張りの床 ／ ［他］床を張る ／ 床（ゆか）,床面;橋床"
"lad"	"板"	"金属の薄板,金属板;ブリキ,トタン ／ （トタンの）波板,なまこ板,（波形の）トタン板 ／ =onda lado（波板） ／ ブリキ板"
"tabul"	"板"	"黒板 ／ 【情】タブレットコンピュータ ／ ［他］板を張る,=paneli ／ 板,盤"
"bret"	"板"	"棚,棚板"
"karton"	"板"	"［他］厚紙の表紙で製本する ／ 厚紙,板紙,ボール紙;=muldokartono（紙粘土） ／ 段ボール ／ 段ボール箱"
"plak"	"板"	"【写】写真乾板 ／ 【理】原子核乾板 ／ ［他］（金属や木の）薄板を張りつける,メッキする ／ （金属・木・石などの）板;【写】感光板,乾板"
"panel"	"板"	"［他］【建】羽目を張る,鏡板を張る ／ パネル,掲示板;【建】羽目板,鏡板;【機】計器板;【車】ダッシュボード"
"plend"	"诉"	"［自］苦痛を訴える;不満を訴える,文句を言う,苦情を申し立てる;【法】（民事 ／ 苦痛の訴え;不平,苦情,クレーム;【法】（民事）訴訟 ／ 愚痴（ぐち）,繰り言 ／ 【PIV】Rilata al plendo; esprimanta plen"
"akuz"	"诉"	"［他］【法】告発する,告訴する ／ 訴因,苦情の種,=akuzaj^o"
"apel"	"诉"	"=>apelacii ／ 【軍】【PIV】Pli-malpli ofta, perioda vicig ／ 【PIV】Helena pentristo (4a jc (jarcento"
"muzik"	"乐"	"音楽に聴きほれる ／ 心地よい音楽 ／ 教会音楽 ／ ムード音楽"
"plezur"	"乐"	"洗練された楽しみ ／ 愉快な,喜ばしい,楽しい ／ 愉快に,喜んで,楽しく ／ ［自］喜ぶ,楽しむ"
"plum"	"羽"	"羽根の,羽根のような ／ 【植】タツタナデシコ ／ 【植】羽状複葉 ／ ［他］羽飾りをつける"
"volan"	"羽"	"【運】（バドミントンの）羽根,シャトル"
"prav"	"理"	"正当な,正しい,道理にかなった,もっともな ／ 正しく,正当に ／ ［自］正しい,道理にかなっている ／ 道理"
"raci"	"理"	"理性の;理性的な;合理的な,道理にかなった ／ 理性的に,合理的に ／ 理性,分別;道理,条理"
"trakt"	"理"	"［他］取り扱う,扱う,待遇する;論じる;処理する;交渉する,談判する ／ 取扱い,待遇,=traktado"
"logik"	"理"	"論理学の;論理的な,道理にかなった;（論理上）必然的な,当然の ／ 【情】論理回路 ／ 論理学;論理,論法,道理;論理的必然,当然の成り行き"
"rond"	"圆"	"円形の,丸い ／ ラウンドナンバー（端数のつかない丸めた数） ／ 丸窓 ／ ひらがな（平仮名）"
"cirkl"	"圆"	"（la 〜）【地理】南極圏 ／ （la 〜）【地理】北極圏 ／ 円形の ／ 【理】円運動"
"roz"	"玫"	"【植】シャクナゲ（石楠花）,>>rododendro ／ 一束のバラ ／ バラの花束 ／ バラを栽培する"
"salt"	"跳"	"［自］跳ぶ,跳び上がる,跳躍する;飛び移る,飛びのく;《転》飛躍する;《転》 ／ 跳躍,ジャンプ;飛躍;急上昇;【情】ジャンプ,飛越し ／ 【運】三段跳び ／ 【PIV】Per salto(j): salte levig^i de la"
"sang"	"血"	"血液を検査する ／ 血を流す ／ 採血する ／ 血の,血液の;血まみれの,流血の;血の色をした"
"emi"	"血"	"【生】【医】【PIV】(g^enerale en kunmetaj^oj) "
"hemo"	"血"	"【生】【化】【PIV】Eritrocito (en kunmetaj^oj)"
"hemat"	"血"	"【PIV】(en kunmetaj^oj) 1 Sango: hematod"
"sem"	"种"	"実った種 ／ ［他］（〜の）種をまく;《転》まき散らす;（うわさなどを）振りまく ／ 【植】種子;《転》種（たね）;子だね,=spermo;《転》子孫,血族 ／ 【PIV】Rilata al semo: sema putro, s^imo"
"spec"	"种"	"種類,種（しゅ）;【生】=specio（種） ／ 【PIV】Adj., uzata en kunmetaj^oj, por s"
"ras"	"种"	"白色人種 ／ 団地族 ／ 黄色人種 ／ 有色人種"
"speci"	"种"	"【環】種の多様性 ／ 【生】絶滅危惧種 ／ 【環】固有種（その分布が特定の地域に限定される生物種）,>>kosmopol ／ 【環】絶滅種"
"inokul"	"种"	"［他］【医】（細菌を）接種する,感染させる;《転》（思想などを）植えつける ／ 【PIV】Ago de iu, kiu inokulas: la inoku"
"staci"	"站"	"【通】中継局 ／ アマチュア無線局 ／ 次の駅 ／ 無人駅"
"stat"	"态"	"（戸籍上の）身分（配偶者の有無など） ／ 経済状態 ／ 【理】励起状態 ／ 【化】気体状態"
"sufer"	"苦"	"［自］苦しむ,悩む,苦悩する;［他］（不快なことを）こうむる,受ける,受難す ／ 渇きに苦しむ ／ 悲惨な目に遭う ／ 苦しみ,悩み,苦難,苦悩,苦悶"
"amar"	"苦"	"苦い;きびしい ／ 【植】ニガキャッサバ"
"suker"	"糖"	"【料】（精製度の低い）赤砂糖 ／ 【料】グラニュー糖 ／ 粗糖 ／ 精糖"
"konfit"	"糖"	"［他］【料】（果物を）砂糖漬けにする"
"bombon"	"糖"	"【菓】キャンデー,ボンボン ／ 【菓】チョコレートボンボン"
"kand"	"糖"	"［他］【料】糖衣でくるむ ／ 氷砂糖"
"glukoz"	"糖"	"【化】ブドウ糖"
"gluk"	"糖"	"【化】【PIV】Glukozo (en kunmetaj^oj)."
"glik"	"糖"	"【PIV】= glucido (en kunmetaj^oj). Rim. "
"glucid"	"糖"	"【化】【PIV】(kn (kolektiva nomo)) Natura p"
"vagon"	"厢"	"【鉄】一等車 ／ 【鉄】車両,>>lokomotivo"
"vek"	"醒"	"目覚めさせる ／ 起床ラッパ ／ ［他］目覚めさせる;《転》呼び覚ます,呼び起こす ／ 目覚めさせること"
"sobr"	"醒"	"（飲食を）節制した,しらふの;節度ある,落ち着いた ／ しらふで;落ち着いて,冷静に"
"vilaĝ"	"村"	"村の,いなか風の ／ 村民 ／ 村"
"vitr"	"玻"	"つや消しガラス ／ 窓にガラスをはめる ／ 透明ガラス ／ ガラスの,ガラス製の;ガラスのはまった,=vitrita"
"glac"	"玻"	"【車】フロントガラス,=ventos^irmilo ／ 【機】板ガラス,=vitroplato"
"vitre"	"玻"	"【解】【PIV】Viskoza travida substanco, ple ／ 【PIV】Rilata al la vitreo: vitrea membr"
"akuŝ"	"产"	"出産の ／ ［他］出産する,分娩する,>>naski ／ 出産,分娩（ぶんべん）,>>nasko ／ 早産"
"prunt"	"借"	"貸し借りで ／ ［他］貸す;借りる;貸し借りする ／ 貸し借り,貸借,=pruntado;=pruntaj^o;>>prunted"
"aŭt"	"车"	"自動車,=au^tomobilo ／ ハイブリッド車 ／ 自動車の衝突 ／ 軽自動車"
"bus"	"车"	"【車】バス,=au^tobuso ／ 【情】バス ／ 【交】シャトルバス ／ 観光バス"
"trajn"	"车"	"臨時列車 ／ 連絡列車 ／ 【鉄】夜行列車 ／ 直行列車,直通列車"
"bicikl"	"车"	"自転車事故 ／ （自転車の）空気入れ ／ ［自］自転車で行く,サイクリングする ／ 自転車"
"kamion"	"车"	"［他］トラックで運ぶ ／ （主に大型）トラック,貨物自動車,=s^arg^au^to"
"torn"	"车"	"［他］【機】旋削（せんさく）する;ろくろにかける;《転》巧みにこしらえる"
"kales^"	"车"	"四輪馬車"
"adres"	"址"	"【情】絶対アドレス,絶対番地 ／ ［他］（〜あてに）送る;（言葉を）かける,向ける;あて名を書く ／ 住所;あて名;【情】アドレス（メモリの番地） ／ 【情】物理アドレス"
"amuz"	"娱"	"楽しい,余興の ／ ［他］楽しませる ／ 娯楽"
"anim"	"魂"	"魂の;=animita ／ ［他］生命を吹き込む;活気づける ／ 魂,心;生気;【宗】霊"
"arĝent"	"银"	"銀の,銀色の ／ 【化】臭化銀 ／ 銀メダル ／ ［他］銀メッキする,銀張りにする"
"bank"	"银"	"銀行口座 ／ 銀行;【遊】（賭博で）親元にある賭け金,場銭（ばせん） ／ 中央銀行 ／ 【経】発券銀行"
"benk"	"凳"	"ベンチ"
"bov"	"牛"	"【病】牛海綿状脳症（BSE） ／ 【動】ウシ（牛）（属） ／ 牛の角"
"oks"	"牛"	"【PIV】Kastrita tau^ro. Vd bovo. -> okso"
"brun"	"褐"	"褐色の,栗色の,茶色の ／ 【植】褐藻類 ／ 【動】ドブネズミ（溝鼠）（種） ／ 【料】ブラウンソース"
"bistr"	"褐"	"ビスタ色の,焦げ茶色の ／ ビスタ（すすと少量のゴムから作った暗褐色の絵の具）"
"brust"	"胸"	"【魚】胸びれ ／ 胸囲 ／ 胸 ／ 平たい胸"
"bust"	"胸"	"上半身;【服】バスト;【美】胸像 ／ 石膏の胸像"
"torak"	"胸"	"【解】胸郭;【虫】（昆虫の）胸部 ／ 【PIV】Rilata al torako: toraka kapacito"
"buter"	"黄油"	"ピーナッツバター,=ternuksbutero ／ 人造バター,=margarino ／ ［他］バターをぬる ／ 【料】バター"
"ĉes"	"止"	"［自］やむ,〜しなくなる ／ 停止,休止,中止,中断"
"apne"	"止"	"【医】無呼吸症候群 ／ 【医】無呼吸,（一時的な）呼吸停止"
"danĝer"	"危"	"危険な,危害を与える,物騒な ／ 危険を伴って;命にかかわるほどに ／ ［自］危険である ／ 危険,危難"
"kriz"	"危"	"経済危機;経済恐慌 ／ 財政危機;金融危機,金融恐慌 ／ 危機的な;=sojla（臨界の） ／ 危機的状況"
"donac"	"礼"	"贈り物として ／ ［他］贈る,寄贈する,>>doni,>>dedic^i ／ 贈り物;贈与,贈呈 ／ お年玉;新年の贈り物"
"ĝentil"	"礼"	"礼儀正しい,丁寧な ／ 【鳥】オオタカ ／ 礼儀正しく,丁重に"
"etiket"	"礼"	"礼儀作法にかなった ／ =etikedi（ラベルを貼る） ／ （公式の場での）儀礼;礼儀作法,エチケット;=etikedo"
"dors"	"背"	"背の,裏の ／ 背面,裏側 ／ 裏表紙 ／ 【魚】背びれ"
"parker"	"背"	"暗記して,暗記で ／ ［自］暗記している,>>reciti"
"real"	"实"	"疑いのない現実 ／ 現実の,実在の;本当の,本物の ／ 【光】実像 ／ 現実世界"
"reel"	"实"	"【数】【PIV】(pp (se paroli pri) nombro) Es ／ 【情】【PIV】Reela nombro. Vd entjero, raci"
"efik"	"效"	"効果のある,効き目のある,有効な ／ 効果的な援助 ／ 【哲】効力因,><cela kau^zo ／ 効き目のある薬"
"efekt"	"效"	"効果的な,はでな ／ ［自］感銘を与える;効果をあげる ／ 感銘,（強い）印象,>>impreso;効果,>>efiko ／ 【劇】効果,>>lumefektoj,>>sonefektoj"
"valid"	"效"	"【法】有効な,効力のある,通用する ／ ［自］有効である,通用する"
"egal"	"等"	"等しい,同等の;対等な,平等な;むらのない,一様な;どうでもよい ／ むらのない気質 ／ 同じ歩幅 ／ 等しく,同等に"
"estim"	"尊"	"［他］尊敬する,尊重する,高く評価する,>>s^ati,>>respekti ／ 尊敬,敬意,尊重"
"dign"	"尊"	"威厳のある,堂々とした ／ 尊厳死,>>eu^tanazio ／ 威厳,尊厳;品位,自尊心 ／ 人間の尊厳"
"flav"	"黄"	"黄色い,黄色の ／ 【菌】ヌメリイグチ,=buterfungo ／ 【写】黄色フィルター ／ 【植】ゲンチアナ"
"flavin"	"黄"	"【化】【PIV】Rug^flava hetero-kvarcikla aro"
"foli"	"叶"	"【植】鋸歯状葉（きょしじょうよう）,縁のぎざぎざした葉 ／ 【植】ニラ（韮） ／ ［自］葉をつける;［他］=foliumi ／ （植物の）葉;（金属などの）薄片;紙片"
"lob"	"叶"	"【解】葉（よう）;【植】裂片 ／ 【PIV】1 Rilata al lobo. 2 Lobohava."
"limb"	"叶"	"【植】葉身;【機】分度弧,目盛り縁 ／ 【キ】リンボ,孩所（がいしょ）（地獄と天国の中間の地）"
"frond"	"叶"	"【植】（地衣類の）葉状体;（シダ類・ヤシ・シュロなどの）葉 ／ 【史】【PIV】Periodo de ribeloj k internaj "
"font"	"泉"	"【理】電源 ／ ［自］涌き出る;《転》源を発する ／ 泉,水源;源;《転》源泉,根源 ／ 間欠泉"
"freŝ"	"鲜"	"生き生きした,若々しい;新鮮な,生の;真新しい,最新の ／ 若々しい頬 ／ 新雪,=nova neg^o ／ 最新のニュース"
"fund"	"底"	"底の;《転》（知識などが）奥深い ／ 底で,奥で;《転》奥深く ／ 底;奥;背景;《転》どん底"
"fon"	"底"	"【病】失声症 ／ 背景の,地の ／ 【電】背景雑音,バックグラウンドノイズ;暗騒音 ／ 背景;下地;【理】ホン（音の大きさの単位）"
"gard"	"守"	"番をして;用心深く ／ ［他］見張る,番をする;守護する,護衛する;監視する,警戒する;守る,保存す ／ 見張り,警備,護衛;監視,警戒;保管;=gardostaranto ／ 【PIV】Rilata al gardo."
"genu"	"膝"	"［自］ひざまずいている,ひざ立ちしている ／ 【解】ひざ,ひざがしら ／ 【解】【PIV】Rilata al genuo: genua doloro; ／ 【PIV】Estante sur la genuoj: genue j^et"
"glaci"	"冰"	"氷の,氷のような;《転》冷ややかな,よそよそしい ／ 【地理】寒帯 ／ 氷,氷塊,張りつめた氷;《転》よそよそしい態度,堅苦しさ ／ 【PIV】En glacia maniero: saluti iun gla"
"griz"	"灰"	"灰色の,ねずみ色の;白髪まじりの;どんよりした,陰気な ／ 【鳥】アオサギ（青鷺）（種） ／ 半白のひげ ／ 【鳥】ハイイロガラス"
"kalk"	"灰"	"【化】消石灰 ／ 石灰質の ／ 【鉱】石灰華（せっかいか） ／ ［他］石灰を塗る;=kalkumi"
"cindr"	"灰"	"（火山の）噴煙 ／ 骨つぼ ／ 灰;遺灰,遺骨 ／ 【地質】火山灰"
"herb"	"草"	"香草 ／ 【植】多年生草本,多年草 ／ 【植】二年草 ／ 草;牧草,芝草;【植】草本"
"pajl"	"草"	"わら（藁） ／ 【PIV】Konsistanta el pajlo: pajla c^ape"
"skiz"	"草"	"［他］スケッチする,下絵を描く;概略を示す ／ スケッチ,下絵,略図,クロッキー;概略,草案"
"alo"	"草"	"【植】アロエ"
"rut"	"草"	"【植】ヘンルーダ（属） ／ 【聖】【PIV】Juna vidvino, kiu akiris al si"
"cist"	"草"	"【植】ゴジアオイ（午時葵）（属）,キスツス;【解】=veziko（嚢胞）"
"anet"	"草"	"【料】ディル;【植】イノンド,ヒメウイキョウ"
"papav"	"草"	"【植】ケシ（芥子・罌粟）（属）,ポピー"
"betel"	"草"	"【植】キンマ;ベテル（ビンロウジの種と石灰をキンマの葉で包んだもの。東南アジ"
"akant"	"草"	"【植】アカンサス（属）"
"veratr"	"草"	"【植】バイケイソウ（種） ／ 【植】オオシュロソウ（大棕櫚草）（種） ／ 【植】シュロソウ（棕櫚草）（属）"
"krokiz"	"草"	"［他］=skizi（スケッチする） ／ =skizo（クロッキー）"
"kareks"	"草"	"【植】スゲ（属）"
"ciper"	"草"	"【植】【PIV】G. (Genro) (Cyperus el ciperac"
"ink"	"墨"	"墨,墨汁,=tuc^o ／ （万年筆などの）インクカートリッジ ／ ［他］インクを塗る ／ インク,インキ"
"tuc^"	"墨"	"［他］墨でかく;（水彩で）薄く塗る,=lavumi ／ 墨,墨汁,=c^ina inko"
"insekt"	"虫"	"昆虫の ／ 【虫】昆虫 ／ 【動】昆虫類 ／ 害虫"
"verm"	"虫"	"（ミミズ・寄生虫などの）虫;（毛虫・いも虫など）幼虫;うじ虫 ／ 【PIV】1 (ark. (arkaismo, arkaisme)) Eks ／ 【PIV】Rilata al vermo."
"koral"	"虫"	"サンゴの,サンゴ製の;サンゴ色の, ／ 【地名】珊瑚海（オーストラリア東方） ／ 【動】サンゴ（珊瑚） ／ 【PIV】Nomepiteto de maro, parto de Paci"
"akar"	"虫"	"《般》ダニ（壁蝨）;【動】コナダニ（粉ダニ）（科の総称）,>>iksodo"
"blat"	"虫"	"【虫】ゴキブリ"
"pedik"	"虫"	"【虫】ヒトジラミ（人虱）（属） ／ シラミの ／ 【虫】シラミ（虱）（の類）;ヒトジラミ（人虱）（属） ／ 【虫】ケジラミ（毛虱）（属）,=ftiro"
"lau^s"	"虫"	"【動】【PIV】Insekto nesaltanta, parazitant"
"juĝ"	"判"	"【法】民事裁判 ／ 裁判の ／ ［他］裁判する,裁く;判断する,判定する;審判する ／ 裁判,裁き;判断,判定;審判"
"klin"	"斜"	"［他］傾ける,斜めにする;《転》心を向けさせる ／ （上体をかがめて）お辞儀する ／ 【理】傾斜角,（特性曲線の）傾き ／ 【PIV】Prezentanta klinon."
"oblikv"	"斜"	"斜めの,傾斜した ／ 【情】スラッシュ,=suprenstreko ／ 【海】縦帆（じゅうはん） ／ 斜めに,はすかいに"
"strab"	"斜"	"やぶにらみの,斜視の ／ やぶにらみで,横目で,じろりと ／ ［自］やぶにらみする;《転》横目で見る"
"bevel"	"斜"	"［他］【機】斜めに切る,面取りする ／ 【機】ベベル,斜面"
"kursiv"	"斜"	"【印】イタリックの ／ 【印】イタリックで ／ （斜めの）筆記体,草書体;【印】イタリック"
"kok"	"鸡"	"【鳥】ニワトリ（鶏）;【生】=mikrokoko（球菌） ／ 【PIV】Rilata al koko: c^e la koka krio "
"galin"	"鸡"	"【動】【PIV】G. (Genro) (Gallus) de birdoj,"
"kompat"	"怜"	"【仏】慈悲 ／ 慈悲の,哀れみの ／ 哀れむようなまなざし ／ ［他］哀れむ,同情する,気の毒に思う"
"kovert"	"封"	"封筒"
"feu^d"	"封"	"【史】封土の;封建制の ／ 【史】封建時代 ／ 【史】封建領主 ／ 封建社会"
"apanag^"	"封"	"【史】（王族に与えられる一代限りの）領地 ／ 【PIV】(tr (transitiva)) Provizi per apa"
"defens"	"封"	"【PIV】(tr (transitiva)) Malebligi al la"
"penik"	"笔"	"［自］筆で描く,はけで塗る ／ 絵筆,筆,はけ;=kvasto;=grapolo"
"krajon"	"笔"	"［他］鉛筆で書く ／ 鉛筆"
