"root"	"kanji"	"gloss"
"post"	"后"	"［前］〜以後,〜以来 ／ 少しずつ,次第に ／ その後まもなく ／ ［前］（時間的に）〜の後に,〜の後で;（空間的に）〜の後ろに,〜の背後で"
"ĉar"	"因"	"［接］〜だから,〜ので ／ （二輪の）荷馬車;荷車;【史】チャリオット,二輪戦車 ／ 〜だから,〜ので ／ 荷車を引いて行く"
"pro"	"因"	"損害賠償 ／ 【環】振動公害 ／ ［前］〜のせいで,〜のために（原因）;〜の代価として,〜と引き換えに"
"kaŭz"	"因"	"【哲】目的因,><efika kau^zo ／ 【哲】効力因,><cela kau^zo ／ （〜が）原因で ／ ［他］引き起こす,〜の原因となる"
"faktor"	"因"	"要因,因子,ファクター;【数】因数;【理】因子,率;【商】仲買人,代理業者 ／ 【理】増幅率"
"tial,"	"因"	"〜だから,〜ので ／ 〜だから,〜ので"
"laŭ"	"按"	"［前］〜に沿って,〜に従って,〜によって ／ 一致した,適合した"
"sen"	"无"	"国境なき医師団（緊急医療活動のためのボランティア団体） ／ ［前］〜なしで ／ 【PIV】(ntr (netransitiva)) Esti sen. ／ 【PIV】Japana monero, centono de eno."
"sub"	"下"	"［前］〜の下から ／ ［前］〜の下から ／ ［前］〜の下に,下方に;〜の形をとって;〜に従って ／ 下の,下方の,>>subau^skulti"
"sob"	"下"	"【PIV】Prep. (Prepozicio), proponita de "
"ĉirkaŭ"	"围"	"［前］〜のまわりで,〜の周囲に;（時）〜のころ ／ ［副］約,およそ ／ 周囲の,周辺の;およその ／ まわりに,付近で;およそ"
"sieg^"	"围"	"包囲の,攻城の ／ ［他］【軍】（城を）包囲する,攻囲する;《転》取り囲む,殺到する ／ 【軍】包囲攻撃,城攻め"
"krom"	"外"	"［前］〜のほかは（〜を除いて）;〜のほかにも（〜を含めて） ／ ほかの;余分の ／ ほかにも,そのうえ,さらに ／ 【化】クロム（原子番号２４の金属元素）,=kromio"
"ekster"	"外"	"［前］〜の外で,〜の外に;〜のほかに,〜以外 ／ 外の,外部の,><interna ／ 外側 ／ 【生】外部環境"
"sur"	"上"	"【地名】=Bulonjo c^e Maro（ブローニュ・シュル・メール） ／ ［前］〜の上から ／ 砂上の楼閣 ／ （la 〜）【聖】山上の垂訓"
"super"	"上"	"（la 〜）【法】最高裁判所 ／ ［前］〜の上方に,〜の上に;〜に優越して;〜に熱中して ／ 上方の;上位の;優れた ／ （議会の）上院"
"trans"	"越"	"［前］〜の向こうに,〜を越えて ／ 向こうの,向こう側の;【情】遠隔の,リモートの ／ 向こうで,向こう側に ／ 向こうへ"
"ju"	"越"	"［副］（ju pli）〜すればするほど,>>des ／ ［副］〜すればするほど,>>des ／ ［副］〜すればするほど,>>des"
"ĉe"	"在"	"【地名】ブローニュ・シュル・メール（フランス） ／ ［前］〜のところで ／ 【文】『水滸伝』（中国の長編小説） ／ 【人名】チェ（エスペラント直接教授法の開発者、1895-1979）,>>C^"
"apud"	"旁"	"［前］〜のそばに ／ かたわらの ／ そばに ／ ［前］〜のすぐそばで"
"kun"	"共"	"［自］考慮に入れる,勘定に入れる ／ （〜）と比べて ／ 〜と通じる,〜と連絡を取る ／ 〜と対照的に,〜に対比して"
"komun"	"共"	"共通の,共有の,共同の;一般の,普通の ／ 共同購入 ／ 共通の友人 ／ 休憩室,談話室,共用室"
"de"	"从"	"酒を断っている ／ 禁煙している ／ 〜の風上に ／ 階級対立"
"agent"	"代"	"代理人,エージェント;（公的機関の）職員,係官 ／ 保険外務員,保険外交員,=asekura varbisto ／ 外交官 ／ 秘密工作員"
"pronom"	"代"	"【Ｇ】疑問代名詞 ／ 【Ｇ】指示代名詞 ／ 【Ｇ】人称代名詞 ／ 【Ｇ】所有代名詞"
