char	root	gloss
咬	mord	かみつくような,辛らつな;腐食性の
桑	morus	桑（くわ）の実;=morusarbo
蛾	mote	Malgranda, malutila, grizeta papilio. Sin. (sinonimo) tineed
由	motiv	［他］（物事が）動機付ける,理由付ける
蜕	mud	S^ang^ig^o de hau^to au^ de hau^ta produktaj^o (karapaco, ha
吼	mug^	［自］（牛が）鳴く,うなる,（ライオン・虎が）ほえる;《転》うなる,怒号する,とどろく
腮	mumps	流行性耳下腺炎,おたふく風邪
邑	municip	自治体の,市町村の
蝇	mus^	=mus^fungo（ベニテングタケ）
哑	mut	唖（おし）の,口のきけない;無言の,押し黙った
邻	najbar	隣の,近所の;近くの
矮	nan	小人（こびと）の;矮性の
然	natur	ＬＮＧ（液化天然ガス）
九	nau^	第九の,九番目の
呕	nau^z	吐き気を催すような;ひどく不快な
梭	naved	シャトルバス
雾	nebul	濃霧
雪	neg^	万年雪
孙	nep	孫
躁	nervoz	神経質な,神経の細い,いらだった
巢	nest	［自］巣を構える,巣を作る;（巣に）すんでいる
侄	nev	おい（甥）
夜	nokt	昨夜,昨晩,ゆうべ
北	nord	北の;北部の,北方の,><suda
范	norm	二重基準,ダブルスタンダード
荒	noval	=senkultivejo（休閑地）
篇	novel	小説,中編小説,>>romano
裸	nud	裸の;むき出しの;飾りのない
零	nul	ゼロの;無の,無価値の
仅	nur	ただの,単なる
洋	ocean	海洋気候
常	oft	たびたびの,頻繁に起こる;いつもの,よくある
西	okcident	西の,西方の,西部の;西洋の
波	ond	水面波
叔	onkl	おじ（親の兄弟、親の兄弟の夫）,>>oc^jo
便	oportun	便利な,使いやすい;好都合な,時宜を得た
橙	orang^	オレンジの種
叙	ordin	［他］叙階する,聖職につける
耳	orel	鋭敏な耳
孤	orf	孤児の,親のない;《転》見捨てられた
矫	ortopedi	整形手術
付	pag	即時払い,現金払い
页	pag^	白い（何も書いてない）ページ
苍	pal	（顔が）青ざめた,青白い,血の気のない;色の薄い,光の弱い;《転》生気のない
轿	palanken	（中国やインドの）かご,こし
摸	palp	手探りで
慌	panik	パニック障害
胰	pankreat	すい臓
鹦	papag	オウム返しに,訳も分からずに,口まねで
纸	paper	ラシャ紙
抛	parabol	放物運動
悖	paradoks	逆説の,逆説的な
恕	pardon	［他］ゆるす,容赦する,勘弁する,大目に見る
括	parentez	かっこで囲んで;余談ながら
拼	parget	［他］寄せ木張りにする
党	parti	右派政党,右翼政党
昔	pase	《詩》=pasinteco（過去）;=pasintaj^o（昔のこと）
被	pasiv	受身の,消極的な;受動の
慨	patos	誇張した表現
父	patr	養父
