版	区分	層	行	見出し	描画	別解析の復号
学術版	S2adj	PIV	L58691	bazidi/fung/oj	担子/菌/oj	bazidimicetoj
学術版	S2adj	PIV	L58965	antau^/histori/o	前/史/o	prehistorio
学術版	S2adj	PIV	L58966	prehistori/o	前史/o	antau^historio
学術版	S2adj	PIV	L59869	egal/mezur/a	等/测/a	izometria
学術版	S2adj	PIV	L59982	s^ip/mur/o	船/壁/o	pavezo
学術版	S2adj	PIV	L60156	en/osmoz/o	内/渗/o	endosmozo
学術版	S2adj	PIV	L60396	embri/plant/oj	胚/植/oj	embrifitoj
学術版	S2adj	PIV	L60406	sek/plant/o	干/植/o	kserofito
学術版	S2adj	PIV	L60601	cel/punkt/o	标/点/o	interpunkcio
学術版	S2adj	PIV	L61469	pra/teri/oj	原/兽ᵀ/oj	tripanosomoj
学術版	S2adj	PIV	L61783	hirund/vost/ul/o	燕/尾/者/o	frakulo
学術版	S2syn	PEJVO	L420	aerolit/o	气石/o	aers^tono
学術版	S2syn	PEJVO	L442	aer/s^ton/o	气/石/o	aerolito
学術版	S2syn	PEJVO	L1037	alburn/o	白鱼/o	blankfis^o
学術版	S2syn	PEJVO	L1778	anhidr/a	无水/a	senakva
学術版	S2syn	PEJVO	L1833	anonim/a	无名/a	sennoma
学術版	S2syn	PEJVO	L1942	antau^/molar/o	前/臼/o	premolaro
学術版	S2syn	PEJVO	L2605	asteri/o	海星/o	marstelo
学術版	S2syn	PEJVO	L2652	ateism/o	无神主义/o	sendiismo
学術版	S2syn	PEJVO	L2654	ateist/o	无神家/o	sendiisto
学術版	S2syn	PEJVO	L2740	atoni/o	无张/o	sentonio
学術版	S2syn	PEJVO	L2831	au^tobiografi/o	自生志/o	membiografio
学術版	S2syn	PEJVO	L2869	au^tonom/ec/o	自治/性/o	memregeco
学術版	S2syn	PEJVO	L3590	best/kurac/a	兽/医/a	veterinara
学術版	S2syn	PEJVO	L4500	perimetr/o	围测/o	c^irkau^mezuro
学術版	S2syn	PEJVO	L4508	brust/ost/o	胸/骨/o	sternumo
学術版	S2syn	PEJVO	L4620	bum/o	帆杆/o	velstango
学術版	S2syn	PEJVO	L5406	c^el/plasm/o	胞/浆/o	citoplasmo
学術版	S2syn	PEJVO	L5479	c^eval/kas^tan/o	马/栗/o	hipokas^tano
学術版	S2syn	PEJVO	L5638	c^irkau^/fraz/o	围/句/o	perifrazo
学術版	S2syn	PEJVO	L5652	c^irkau^/mezur/o	围/测/o	perimetro
学術版	S2syn	PEJVO	L6817	di/ism/o	神/主义/o	teismo
学術版	S2syn	PEJVO	L6818	di/ist/o	神/家/o	teisto
学術版	S2syn	PEJVO	L7781	korol/o	花冠/o	florkrono
学術版	S2syn	PEJVO	L8130	egal/potencial/a	等/势/a	ekvipotenciala
学術版	S2syn	PEJVO	L8380	ekskori/i	擦伤/i	frotvundi
学術版	S2syn	PEJVO	L8737	ekzistencialism/o	存主义/o	ekzistismo
学術版	S2syn	PEJVO	L11042	filologi/ist/o	爱学/家/o	filologo
学術版	S2syn	PEJVO	L11044	filolog/o	爱学家/o	filologiisto
学術版	S2syn	PEJVO	L11373	flor/kron/o	花/冠/o	korolo
学術版	S2syn	CSV2890	L11584	fontan/o	喷泉/o	s^prucfonto
学術版	S2syn	PEJVO	L12137	frit/kuk/o	炸/糕/o	benjeto
学術版	S2syn	PEJVO	L12201	frot/vund/i	擦/伤/i	ekskorii
学術版	S2syn	PEJVO	L13427	gres/o	牧草/o	pas^therbo
学術版	S2syn	PEJVO	L14197	hepat/herb/o	肝/草/o	hepatiko
学術版	S2syn	PEJVO	L14198	hepatik/o	肝草/o	hepatherbo
学術版	S2syn	PEJVO	L14199	hepatik/oj	肝草/oj	hepatherboj
学術版	S2syn	PEJVO	L14412	hipokas^tan/o	马栗/o	c^evalkas^tano
学術版	S2syn	PEJVO	L15016	imperialism/o	帝主义/o	imperiismo
学術版	S2syn	PEJVO	L15017	imperialist/o	帝家/o	imperiisto
学術版	S2syn	PEJVO	L15026	imperi/ism/o	帝/主义/o	imperialismo
学術版	S2syn	PEJVO	L15027	imperi/ist/o	帝/家/o	imperialisto
学術版	S2syn	PEJVO	L15220	individualism/o	个主义/o	individuismo
学術版	S2syn	PEJVO	L15221	individualist/o	个家/o	individuisto
学術版	S2syn	PEJVO	L15226	individu/ism/o	个/主义/o	individualismo
学術版	S2syn	PEJVO	L15227	individu/ist/o	个/家/o	individualisto
学術版	S2syn	PEJVO	L15478	inocent/a	无罪/a	senkulpa
学術版	S2syn	PEJVO	L17060	kap/hau^t/o	头/皮/o	skalpo
学術版	S2syn	PEJVO	L18825	komutator/o	换具/o	komutilo
学術版	S2syn	PEJVO	L18830	komut/il/o	换/具/o	komutatoro
学術版	S2syn	PEJVO	L19051	tri/angul/oj	三/角/oj	trigonometrioj
学術版	S2syn	PEJVO	L21132	kvin/angul/o	五/角/o	pentagono
学術版	S2syn	PEJVO	L24389	mar/hirund/o	海/燕/o	procelario
学術版	S2syn	PEJVO	L24482	mar/stel/o	海/星/o	asterio
学術版	S2syn	PEJVO	L24824	mekanik/ist/o	械/家/o	meh^anisto
学術版	S2syn	PEJVO	L24877	mem/biografi/o	自/生志/o	au^tobiografio
学術版	S2syn	PEJVO	L24975	mem/reg/ec/o	自/治/性/o	au^tonomeco
学術版	S2syn	PEJVO	L25505	mil/jar/o	千/年/o	milenio
学術版	S2syn	PEJVO	L26470	mur/paper/o	壁/纸/o	tapeto
学術版	S2syn	PEJVO	L26848	naz/katar/o	鼻/炎/o	rinito
学術版	S2syn	PEJVO	L27199	ne/long/e	不/长/e	nelge
学術版	S2syn	PEJVO	L27578	nimbus/o	雨云/o	pluvnubo
学術版	S2syn	PEJVO	L27889	nov/stel/o	新/星/o	novao
学術版	S2syn	PEJVO	L28634	orel/dolor/o	耳/痛/o	otalgio
学術版	S2syn	PEJVO	L28714	tuj/o	侧柏/o	tujano
学術版	S2syn	CSV2890	L28804	ort/a	直角/a	rektangula
学術版	S2syn	PEJVO	L28805	ort/aj	直角/aj	rektangulaj
学術版	S2syn	CSV2890	L28809	tri/angul/o	三/角/o	trigonometrio
学術版	S2syn	CSV2890	L28813	ort/o	直角/o	rektangulo
学術版	S2syn	PEJVO	L28936	pacifism/o	和主义/o	pacismo
学術版	S2syn	PEJVO	L28937	pacifist/o	和家/o	pacisto
学術版	S2syn	PEJVO	L28944	pac/ism/o	和/主义/o	pacifismo
学術版	S2syn	PEJVO	L28945	pac/ist/o	和/家/o	pacifisto
学術版	S2syn	PEJVO	L29599	pas^t/herb/o	牧/草/o	greso
学術版	S2syn	PEJVO	L29863	pentagon/o	五角/o	kvinangulo
学術版	S2syn	PEJVO	L30931	pluv/nub/o	雨/云/o	nimbuso
学術版	S2syn	PEJVO	L31391	post/gvardi/o	后/卫/o	ariero
学術版	S2syn	PEJVO	L31539	pou^p/o	船尾/o	s^ipvosto
学術版	S2syn	PEJVO	L31649	pra/tip/o	原/型/o	prototipo
学術版	S2syn	PEJVO	L31754	premolar/o	前臼/o	antau^molaro
学術版	S2syn	PEJVO	L32433	prototip/o	原型/o	pratipo
学術版	S2syn	PEJVO	L33448	regulator/o	规具/o	regulilo
学術版	S2syn	PEJVO	L33458	regul/il/o	规/具/o	regulatoro
学術版	S2syn	PEJVO	L33574	rekt/angul/a	直/角/a	orta
学術版	S2syn	CSV2890	L33575	rekt/angul/o	直/角/o	orto
学術版	S2syn	PEJVO	L35067	sam/temp/a	同/时/a	simultana
学術版	S2syn	PEJVO	L35069	sam/temp/ec/o	同/时/性/o	simultaneco
学術版	S2syn	PEJVO	L35729	sen/di/ism/o	无/神/主义/o	ateismo
学術版	S2syn	PEJVO	L35730	sen/di/ist/o	无/神/家/o	ateisto
学術版	S2syn	PEJVO	L35938	sen/kulp/a	无/罪/a	inocenta
学術版	S2syn	PEJVO	L36002	sen/nom/a	无/名/a	anonima
学術版	S2syn	PEJVO	L36384	ses/angul/o	六/角/o	heksagono
学術版	S2syn	PEJVO	L36658	simultan/ec/o	同时/性/o	samtempeco
学術版	S2syn	PEJVO	L36846	skalp/o	头皮/o	kaphau^to
学術版	S2syn	PEJVO	L36976	skorpi/fis^/o	蝎/鱼/o	skorpeno
学術版	S2syn	PEJVO	L37144	sociologi/ist/o	社学/家/o	sociologo
学術版	S2syn	PEJVO	L37146	sociolog/o	社学家/o	sociologiisto
学術版	S2syn	PEJVO	L37956	sternum/o	胸骨/o	brustosto
学術版	S2syn	PEJVO	L39296	s^ip/vost/o	船/尾/o	pou^po
学術版	S2syn	PEJVO	L39449	s^pruc/font/o	喷/泉/o	fontano
学術版	S2syn	CSV2890	L39926	tapet/o	壁纸/o	murpapero
学術版	S2syn	PEJVO	L40044	teism/o	神主义/o	diismo
学術版	S2syn	PEJVO	L40045	teist/o	神家/o	diisto
学術版	S2syn	PEJVO	L40296	teologi/ist/o	神学/家/o	teologo
学術版	S2syn	PEJVO	L40298	teolog/o	神学家/o	teologiisto
学術版	S2syn	PEJVO	L41093	transformator/o	越形具/o	transformilo
学術版	S2syn	PEJVO	L41095	trans/form/il/o	越/形/具/o	transformatoro
学術版	S2syn	PEJVO	L41296	tren/ret/o	拖/网/o	trolo
学術版	S2syn	PEJVO	L41364	trigonometri/o	三角/o	triangulo
学術版	S2syn	PEJVO	L41446	trip/kolbas/o	肚/肠/o	andujo
学術版	S2syn	PEJVO	L41532	trol/o	拖网/o	trenreto
学術版	S2syn	PEJVO	L42883	vel/stang/o	帆/杆/o	bumo
学術版	S2syn	PEJVO	L43046	verd/alg/oj	绿/藻/oj	kloroficoj
学術版	S2syn	PEJVO	L43216	veterinar/a	兽医/a	bestkuraca
学術版	S2syn	PIV	L45013	anduj/o	肚肠/o	tripkolbaso
学術版	S2syn	PIV	L45266	arier/o	后卫/o	postgvardio
学術版	S2syn	PIV	L45507	au^tokataliz/o	自催/o	memkatalizo
学術版	S2syn	PIV	L45768	benjet/o	炸糕/o	fritkuko
学術版	S2syn	PIV	L46385	citoplasm/o	胞浆/o	c^elplasmo
学術版	S2syn	PIV	L46742	dikotiledon/oj	二子叶/oj	dukotiledonoj
学術版	S2syn	PIV	L46764	dimorf/a	二形/a	duforma
学術版	S2syn	PIV	L46765	dimorf/ec/o	二形/性/o	duformeco
学術版	S2syn	PIV	L46766	dimorf/ism/o	二形/主义/o	duformismo
学術版	S2syn	PIV	L47093	ekvipotencial/a	等势/a	egalpotenciala
学術版	S2syn	PIV	L47103	ekzist/ism/o	存/主义/o	ekzistencialismo
学術版	S2syn	PIV	L48797	heksagon/o	六角/o	sesangulo
学術版	S2syn	PIV	L48798	heksagon/a	六角/a	sesangula
学術版	S2syn	PIV	L50428	klorofic/oj	绿藻/oj	verdalgoj
学術版	S2syn	PIV	L51853	meh^anist/o	械家/o	mekanikisto
学術版	S2syn	PIV	L52067	mileni/o	千年/o	miljaro
学術版	S2syn	PIV	L52395	nelg/e	不长/e	nelonge
学術版	S2syn	PIV	L52555	nova/o	新星/o	novstelo
学術版	S2syn	PIV	L52837	ornitopod/o	鸟足/o	birdpiedo
学術版	S2syn	PIV	L52888	otalgi/o	耳痛/o	oreldoloro
学術版	S2syn	PIV	L53276	perifraz/o	围句/o	c^irkau^frazo
学術版	S2syn	PIV	L53833	procelari/o	海燕/o	marhirundo
学術版	S2syn	PIV	L54426	rinit/o	鼻炎/o	nazkataro
学術版	S2syn	PIV	L55021	simultan/a	同时/a	samtempa
学術版	S2syn	PIV	L55133	skorpen/o	蝎鱼/o	skorpifis^o
学術版	S2syn	PIV	L56532	tujan/o	侧柏/o	tujo
学術版	S2syn	PIV	L57442	sen/akv/a	无/水/a	anhidra
学術版	S2syn	PIV	L57527	ses/angul/a	六/角/a	heksagona
学術版	S2syn	PIV	L58429	blank/fis^/o	白/鱼/o	alburno
学術版	S2syn	PIV	L58570	du/form/a	二/形/a	dimorfa
学術版	S2syn	PIV	L58571	du/form/ec/o	二/形/性/o	dimorfeco
学術版	S2syn	PIV	L58572	du/form/ism/o	二/形/主义/o	dimorfismo
学術版	S2syn	PIV	L59229	mem/kataliz/o	自/催/o	au^tokatalizo
学術版	S2syn	PIV	L59452	du/kotiledon/oj	二/子叶/oj	dikotiledonoj
学術版	S2syn	PIV	L60161	fis^/ov/oj	鱼/卵/oj	frajoj
学術版	S2syn	PIV	L60345	bird/pied/o	鸟/足/o	ornitopodo
学術版	S2syn	PIV	L61121	mar/stel/oj	海/星/oj	asterioj
学術版	S2syn	PIV	L61525	sen/toni/o	无/张/o	atonio
学術版	S1迂回	CSV2890	L2450	herb/o	草/o	poo
学術版	S1迂回	CSV2890	L3697	si	己	heks
学術版	S1迂回	PEJVO	L6559	si/n	己/n	heksn
学術版	S1迂回	CSV2890	L7361	valut/o	币/o	duro
学術版	S1迂回	PEJVO	L7938	dur/o	币/o	valuto
学術版	S1迂回	PEJVO	L10543	si/an	己/an	heksan
学術版	S1迂回	PEJVO	L17873	kiras/i	甲/i	meti
学術版	S1迂回	PEJVO	L17874	kiras/o	甲/o	meto
学術版	S1迂回	PEJVO	L18737	kompren/o	解/o	lizino
学術版	S1迂回	CSV2890	L25283	mez/o	中/o	mesoo
学術版	S1迂回	PEJVO	L36440	si/a	己/a	heksa
学術版	S1迂回	PEJVO	L42542	valut/a	币/a	dura
学術版	S1迂回	PIV	L48794	heks	己	si
学術版	S1迂回	PIV	L48875	herb/et/o	草/小/o	poeto
学術版	S1迂回	PIV	L50309	kiras/a	甲/a	meta
学術版	S1迂回	PIV	L51937	meso/o	中/o	mezo
学術版	S1迂回	PIV	L62175	po/o	草/o	herbo
