"kanji","base","baseLv","baseJp","cand","candLv","candJp","gap","members"
"金","or","5.83","金, 黄金, 金貨; 【化】金; 《転》富, 金","vendred","3.77","金曜日","2.06","or(5.83) metal(5.83) blond(7.9) vendred(3.77)"
"联","uni","8.79","【政】同盟, 連合, >>unuiĝo, >>〜","asoci","6.83","協会, 結社; 結合, 連合; 連想","1.96","uni(8.79) asoci(6.83) federaci(8.9) feder(100) federal(100)"
"神","di","5.67","【宗】神","dio,Di","4","【宗】神（唯一神）","1.67","di(5.67) dio,Di(4) numen(100)"
"伴","kompani","7.33","会社; （集合的に）仲間, 一同, 同伴; 【軍","koleg","5.67","同僚, 僚友, なかま, 同業者","1.66","kompani(7.33) koleg(5.67) kamarad(6.33) partner(100)"
"剧","dram","8.4","【劇】正劇（古典的な悲劇・喜劇に分類されない近代","teatr","6.83","劇場, 舞台; 劇団; 演劇, 芝居","1.57","dram(8.4) teatr(6.83) komedi(8.9) skeĉ(8.79) fars(100)"
"讲","lekci","8.9","講義（特に大学などの学術的講義）","preleg","7.33","［自］講演する","1.57","lekci(8.9) preleg(7.33) predik(100)"
"亮","hel","4.83","明るい, 晴れやかな, >>luma, >>br","bril","3.27","［自］輝く, 光る","1.56","hel(4.83) bril(3.27) leu^cin(100)"
"帽","ĉap","6.33","（ふちのない）帽子; （ビンなどの）ふた, キャ","ĉapel","4.83","（ふちのある）帽子; （キノコの）かさ / 【情","1.5","ĉap(6.33) ĉapel(4.83) kasked(9) kuf(100) kapuc^(100) kapucen(100)"
"重","pez","3.77","重い; 重さがある; （食物が）胃にもたれる; ","grav","2.27","重要な, 重大な; 深刻な","1.5","pez(3.77) grav(2.27) akcent(8.9)"
"胶","glu","8.79","［他］はる, はりつける, 接着する","gum","7.33","【植】ゴム, ゴム液; 弾性ゴム, =〜; 消し","1.46","glu(8.79) gum(7.33) kaŭĉuk(7.9) koloid(100) aglutin(100)"
"档","dosier","8.79","一件書類; （犯罪者の）前科簿; 【情】ファイル","dokument","7.33","文書, 資料, 記録, >>arkivo","1.46","dosier(8.79) dokument(7.33) arkiv(100)"
"资","kapital","8.4","【経】資本; 資本金, 資金; 《転》資本, 元","burĝ","7","市民（中産階級の）, ブルジョア","1.4","kapital(8.4) burĝ(7)"
"编","plekt","8.4","［他］（細長いものを）編む, 組む, 撚る; 編","redakt","7.33","［他］（記事・文書を）書く, まとめる; （新聞","1.07","plekt(8.4) redakt(7.33) kompil(8.79) redaktor(8.79) editor(100)"
"滑","glit","7.4","［自］滑る, 滑走する, つるりと滑る; 《転》","glat","6.33","なめらかな, すべすべした; 《転》平らな; 《","1.07","glit(7.4) ski(8.9) glat(6.33) sinovi(100) s^us(100) sket(100) skut(100)"
"衡","pes","7.9","［他］～の重さを計る, はかりにかける, 計量す","ekvilibr","6.83","均衡, 平衡, 釣合い; 【理】平衡","1.07","pes(7.9) ekvilibr(6.83) bilanc(100)"
"木","lign","4.83","木（木材）, 材木; 【植】木質","ĵaŭd","3.77","木曜日","1.06","lign(4.83) ksil(100) ĵaŭd(3.77) sorp(100) tili(100) muskat(100) kornus(100) koril(100)"
"火","fajr","4.83","火; 火事; 《転》情熱, 熱中","mard","3.77","火曜日","1.06","fajr(4.83) mard(3.77)"
"卷","rul","5.33","［他］転がす; （波などを）うねらせる; （音な","volv","4.27","［他］巻く; 巻きつける","1.06","rul(5.33) volv(4.27) friz(8.4) bukl(8.9) cirus(100)"
"麦","horde","8.9","【植】オオムギ（属）","tritik","7.9","《般》小麦（穀物）; 【植】コムギ（属）","1","horde(8.9) tritik(7.9) elim(100) fagopir(100)"
"垫","kusen","8.9","クッション, 座布団, 枕; 【ビリヤード】クッ","matrac","7.9","マットレス（寝床用の厚い敷物）","1","kusen(8.9) matrac(7.9)"
"针","nadl","8.4","【機】（レコード・注射器・手術用などの）針, （","pingl","7.4","ピン, 留め針; 【植】針葉","1","nadl(8.4) pingl(7.4)"
"逗","kom","8.4","コンマ, 読点; 【数】小数点; 【情】コンマ（","ŝerc","7.4","［自］冗談を言う; おどける; からかう","1","kom(8.4) ŝerc(7.4)"
"供","liver","8.9","［他］配達する, 届ける, 引き渡す, 納品する","ofert","7.9","［他］【経】供給する; 【商】提供する, 見積も","1","liver(8.9) ofert(7.9) proviz(8.79)"
"导","gvid","4.27","［他］案内する, 導く; 指導する, 手引きする","konduk","3.27","［他］導く, 連れて行く, 案内する; 至る, ","1","gvid(4.27) konduk(3.27) direktor(7.9) kondukt(100) c^ic^eron(100)"
"银","bank","6.33","銀行; （血液・情報などの）バンク; 【遊】（賭","arĝent","5.33","銀; 【遊】（将棋の）銀将","1","bank(6.33) arĝent(5.33)"
"严","sever","6.33","厳しい, 厳格な; 容赦のない, 過酷な; 猛烈","serioz","5.33","まじめな, 謹厳な; 本気の, 真剣な; 重大な","1","sever(6.33) serioz(5.33) rigor(100)"
"式","mod","6.33","流行; 【Ｇ】（動詞の）叙法; 【服】モード, ","manier","5.33","やり方, 仕方, 様式, 流儀; 礼儀作法, 風","1","mod(6.33) manier(5.33) formul(8.9) ceremoni(8.79) modal(100)"
"影","film","6.33","（写真や映画の）フィルム; 映画（個々の作品）","ombr","5.33","陰（かげ）, 日陰; 影（かげ）, 影法師; 陰","1","film(6.33) ombr(5.33) influ(6.83)"
"种","sem","5.83","【植】種子; 《転》種（たね）; 子だね, =s","spec","4.83","種類, 種（しゅ）; 【生】=〜io（種）","1","sem(5.83) spec(4.83) ras(100) speci(100) inokul(100)"
"和","pac","2.77","平和; 平安, 治安; 和解; 平穏, 安らぎ","kaj","1.77","［接］～と～; そして","1","pac(2.77) kaj(1.77) akord(8.9) pacif(100)"
"馆","muze","7.33","博物館; 美術館; 収蔵品, 収集品","hotel","6.33","ホテル, 旅館","1","muze(7.33) hotel(6.33) pavilon(100)"
"问","salut","3.27","［他］挨拶する, 会釈する, お辞儀する, 敬礼","demand","2.27","［他］質問する, たずねる","1","salut(3.27) demand(2.27)"
"订","abon","6.83","［他］（一定期間・継続的に）予約する, 購読する","mend","5.83","［他］注文する, あつらえる, 予約する","1","abon(6.83) mend(5.83)"
"确","cert","2.77","確かな, 確実な; ある（特定の）","ja","1.77","［副］実に, まったく, まさに","1","cert(2.77) konfirm(8.4) ja(1.77) konstat(6.33) definitiv(100)"
