sargas	{Ｏ}【植】ホンダワラ属（の海藻）
entel	【動】【PIV】Sp. (Specio) de presbito (Presbytis entellus), brunflava, kun nigraj vizag^o, manoj k piedoj, k kun longa vosto; la sankta simio de la hindoj. Sin. (sin
entolom	【植】【PIV】G. (Genro) (Entoloma el entolomacoj) de lamenohavaj ombrelfungoj, sen stipingo k sen ringo, kun roza sporaro; precipe tropika g. (genro) de c^. (c^irkau
epakrid	【植】【PIV】G. (Genro) (Epacris el epakridacoj) de dau^rafoliaj tufarbustoj similaj al eriko, kun unuopaj, akselaj floroj cilindraj au^ tube funelformaj, blankaj, r
eperlan	【動】【PIV】Sp. (Specio) (Osmerus eperlanus) de fis^o el la ordo de salmonoformaj, kun odoro de kukumo, vivanta en lagoj k maro en N k C Eu^ropo, frajanta nur en se
epidendr	【植】【PIV】G. (Genro) (Epidendrum el orkidacoj) de arbo-, rok-au^ grundo-log^aj, plurjaraj orkideoj tre diversaj lau^ formo, grando k koloro de la floro; c^. (c^ir
epipaktid	【植】【PIV】G. (Genro) (Epipactis el orkidacoj) de 22 sp-oj (specioj) de plurjaraj herboj el Eu^ropo, Azio, tropika Afriko k N Ameriko.
ereti	【植】【PIV】G. (Genro) (Ehretia el boragacoj) de lignecaj plantoj, el kiuj kelkaj arboj, kun alternaj, integraj folioj, kun odoraj, blankaj floroj en akselaj au^ ap
erigeron	【植】【PIV】G. (Genro) (Erigeron el asteracoj), tre parenca al konizo k astero, de unu-, du-k plur-jaraj herboj kun flavaj diskofloroj k g^enerale alikoloraj c^irka
eritren	【植】【PIV】G. (Genro) (Erythrina el fabacoj) de c^. (c^irkau^) 110 sp-oj (specioj) de arboj k arbustoj el la varmaj regionoj, pluraj kultivataj por spektindaj grap
eritroksil	【植】【PIV】G. (Genro) (Erythroxylum el eritroksilacoj) de lignecaj plantoj kun s^osoj lau^aspekte ofte skvamaj k kun simplaj, stipulohavaj folioj; tropika, precipe
erizif	【植】【PIV】G. (Genro) (Erysiphe el erizifacoj), kosmopolita, de c^. (c^irkau^) 170 sp-oj (specioj) de mikroskopaj askofungoj, estigantaj melduon.
erodi	【植】【PIV】G. (Genro) (Erodium el geraniacoj) de plantoj - unu-, du-k plur-jaraj herboj k arbustetoj -diferenca de geranio pro folioj pli longaj ol larg^aj k andro
erofil	【植】【PIV】G. (Genro) (Erophila el brasikacoj), tre parenca al drabo, de unujaraj herboj kun rondaj au^ mallonge oblongaj silikvoj; c^. (c^irkau^) 10 sp-oj (specio
eskul	【植】【PIV】G. (Genro) (Aesculus el hipokastanacoj) de falfoliaj arboj k trunkarbustoj kun kontrau^e duopaj, mane kunmetaj folioj 3−9-folieraj, kun grandaj okulfrap
estivaci	【植】【PIV】Arang^ig^o de la florpartoj, precipe de la petaloj, en burg^ono. Vd vernacio, petalarang^o.
es^olzi	【植】【PIV】G. (Genro) (Eschscholzia el papavacoj) de unu, du-k plur-jaraj herboj kun grandaj floroj longpedunklaj, flavaj au^ orang^aj, 4-petalaj, k kun longformaj
etlinger	【植】【PIV】G. (Genro) (Etlingera el zingibracoj), tre parenca al amomo, de c^. (c^irkau^) 60 sp-oj (specioj) de plurjaraj herboj el Hindio k Malajzio.
etuz	【植】【PIV】G. (Genro) (Aethusa el apiacoj) de nur unu sp. (A. cynapium), unu-au^ dujara herbo kun kava, lau^longe stria tigo, kun glataj, fajne plume dividaj folio
eu^frazi	【植】【PIV】G. (Genro) (Euphrasia el skrofulariacoj) de malgrandaj, staraj, unujaraj, duonparazitaj herboj kun kontrau^e duopaj folioj k kun blankaj, flavaj, blueta
eu^geni	【植】【PIV】G. (Genro) (Eugenia el mirtacoj) de dau^rafoliaj arboj k arbustoj kun kontrau^e duopaj, g^enerale ledecaj k brilaj folioj k kun fruktoj (beroj), mang^eb
eu^glen	【植】【動】【PIV】G. (Genro) (Euglena) de dolc^akvaj unuflagelaj protozooj, iuj kun, aliaj sen klorofilo.
eu^patori	【植】【PIV】G. (Genro) (Eupatorium el asteracoj) de plantoj - unu-k plur-jaraj staraj herboj k tufarbustoj - kun korimboj el malgrandaj, cilindroformaj tubetfloraj 
eu^ripterigi	【動】【PIV】G. (Genro) (Eurypterygius el fis^sau^roj) de maraj fis^similaj sau^roj, kiuj vivis dum frua j^urasio. Sin. (sinonimo) iktiosau^ro.
falangi	【動】【PIV】G. (Genro) (Phalangium) de artropodoj el la klaso de araneoidoj, ordo de opilionuloj, tre parenca al opiliono.
falarid	【植】【PIV】G. (Genro) (Phalaris el poacoj) de unu-k plur-jaraj herboj, kun mallarg^aj, plataj folioj k kun densa, ofte spikforma, paniklo el mallonge pedunklaj spi
falen	【動】【PIV】(kn (kolektiva nomo)) Noktpapilio (eksa g. (genro) Phalaena) el la fam. (familio) de geometredoj.
falenops	【植】【PIV】G. (Genro) (Phalaenopsis el orkidacoj) de 44 sp-oj (specioj) de plurjaraj epifitaj herboj el E Azio k Au^stralio, pluraj kultivataj por rimarkindaj, div
Farnez	【植】【PIV】Roma familio: Farneza akacio (Vd (vidu) akacio).
fazeolus	【植】【PIV】G. (Genro) (Phaseolus el fabacoj) de unu au^ plurjaraj herboj au^ lianoj kun trifolieraj, petiolaj, stipulaj folioj, kun floroj en akselaj grapoloj k ku
fenikur	【動】【PIV】G. (Genro) (Phoenicurus) de birdoj el la ordo de paseroformaj, fam. (familio) de turdedoj, kun rustrug^a vosto k vigla kanto. Sin. (sinonimo) rug^vostul
fenugrek	【植】【PIV】Sp. (Specio) de trigonelo (Trigonella foenum-graecum el fabacoj), unujara herbo sekastate forte aroma, kun blankaj au^ flavete blankaj floroj unu-au^ du
ferolag	【植】【PIV】G. (Genro) (Ferulago), tre parenca al ferolo, diferenca de g^i precipe pro multabraktea involukro de la umbeloj k pli malalta tigo; c^. (c^irkau^) 45 sp
fikari	【植】【PIV】Sp. (Specio) de ranunkolo (Ranunculus ficaria), plurjara herbo kun klabformaj, tuberaj radikoj, arig^intaj en fasketon, kun korformaj, brilaj, longpetio
filandr	【動】【PIV】Blanka subtila fadeno, produktata de diversaj araneuloj, kiuj s^vebas en aero dum malfrua somero.
filipendul	【植】【PIV】G. (Genro) (Filipendula el rozacoj), parenca al spireo, de plurjaraj herboj kun plume kunmetaj folioj, kun floroj en korimboformaj cumoj k kies fruktoj 
filodendr	【植】【PIV】G. (Genro) (Philodendron el arumacoj) de plantoj - plejparte epifitaj herbecaj lianoj kun aeraj radikoj - kun diversgrandaj k -formaj folioj; 350−400 sp
filodi	【植】【PIV】Petiolo platig^inta k larg^ig^inta, limbaspekta; limbeca petiolo: filodioj ekzistas c^e folioj kun limbo nula au^ tre malgranda, ekz. (ekzemple) en la g
fistulin	【植】【PIV】G. (Genro) (Fistulina el fistulinacoj) de bazidifungoj sen stipo, kun c^apelo malsupraflanke portanta ne kunig^intajn tubojn; 3 sp-oj (specioj) el Eu^ro
fiteu^m	【植】【PIV】G. (Genro) (Phyteuma el kampanulacoj) de plurjaraj herboj kun multaj, malgrandaj floroj en ofte granda, densa, apeksa spiko au^ glomerulo; c^. (c^irkau^
fitis	【動】【PIV】Sp. (Specio) de filoskopo (Phylloscopus trochilus), distingebla disde c^ifc^afo pro helbrunaj kruroj k kanto.
fitoftor	【植】【PIV】G. (Genro) (Phytophthora el Pythiales) kosmopolita de c^. (c^irkau^) 40 sp-oj (specioj) de parazitaj oomikotoj, estigantaj malsanojn c^e fruktoj, folioj
fitokrom	【植】【化】【PIV】Bluverda au^ verda vegetaj^a proteino, lumricevanto de rug^aj k transrug^aj radioj, kiu rolas i.a. (interalie, inter aliaj) en la reguligo de la g^er
fitolak	【植】【PIV】G. (Genro) (Phytolacca el fitolakacoj) de arboj, arbustoj k herboj el la tropikaj k subtropikaj regionoj; c^. (c^irkau^) 25 sp-oj (specioj), kelkaj kult
fizali	【動】【PIV】G. (Genro) (Physalia) de kolonie vivantaj kniduloj, kies kolonio estas portata de granda, gasplena sako nag^anta sur la akvosurfaco; tre venenaj. Sin. (
fizalid	【植】【PIV】G. (Genro) (Physalis el solanacoj) de unu-k plur-jaraj herboj kun funelkorolaj, blanketaj au^ bluetaj floroj, kies kaliko c^e maturig^o s^velas en membr
fle	【植】【PIV】G. (Genro) (Phleum el poacoj) de unu-k plur-jaraj herboj kun unufloraj spiketoj en infloresko (cilindra spiko au^ spikforma paniklo) simila al ratvosto;
flebotom	【動】【PIV】G. (Genro) (Phlebotomus) de sangosuc^aj insektoj el la ordo de dipteroj, kiuj iom parencas al kulo, sed tenas la flugilojn duone levitaj dum ripozo; la 
floem	【植】【PIV】Konduka histaro de la vaskulplantoj, kiu transportas la desupran sevon k konsistas el tri histoj, parenkima, fibra k konduka, tiu c^i el tube arig^intaj
flog	【植】【PIV】1 G. (Genro) (Phloga el arekacoj) de 2 sp-oj (specioj) de palmoj el Madagaskaro. 2 (evi (evitinda)) = flokso.
floks	【植】【PIV】G. (Genro) (Phlox el polemoniacoj) de unu-k plur-jaraj herboj au^ tufarbustoj kun plejofte kontrau^e duopaj folioj, kun tirsoj au^ cumoj el kvinnombraj,
focen	【動】【PIV】G. (Genro) (Phocoena) de malgrandaj dentcetacoj, vivantaj en N Atlantiko, ofte ankau^ en fjordoj, atingantaj longon de 1,5 au^ 2 m. Sin. (sinonimo) marp
foksen	【動】【PIV】G (Phoxinus) de malgrandaj fis^oj el fam. (familio) de ciprinedoj, kun tre malgrandaj skvamoj; vivas en riveroj k lagoj de Eu^ropo k Azio.
foliot	【植】【PIV】G. (Genro) (Pholiota el strofariacoj) de bazidifungoj kun lamenohava, skvama c^apelo k kun skvama k/au^ ringohava stipo; c^. (c^irkau^) 50 sp-oj (specio
foradendr	【植】【PIV】G. (Genro) (Phoradendron el viskacoj) de duonparazitaj arbustetoj, kreskantaj sur la branc^oj de arboj; c^. (c^irkau^) 190 sp-oj (specioj) el tropika k 
formi	【植】【PIV】G. (Genro) (Phormium el agavacoj) de plurjaraj herboj, el kies karneca rizomo kreskas staraj au^ oblikvaj, glavoformaj folioj k g^is 5 m alta pedunklo, 
fortunel	【植】【PIV】G. (Genro) (Fortunella el rutacoj), parenca al citruso, de dau^rafoliaj, ofte dornaj tufarbustoj kun malgrandaj (3−4 cm (centimetro)), globaj au^ ovoida
fragari	【植】【PIV】G. (Genro) (Fragaria el rozacoj) de plurjaraj herboj kun rizomo, surteraj stolonoj, trifolieraj folioj, blankaj floroj k kun pseu^doberoj (fragoj); c^. 
fraksinel	【植】【PIV】Sola sp. de la g. (genro) diktamno (Dictamnus albus, sin. (sinonimo (de latinscienca nomo)) D. fraxinella, el rutacoj), plurjara herbo kun staraj tigoj 
frezi	【植】【PIV】G. (Genro) (Freesia el iridacoj) de plurjaraj bulboplantoj kun unuflanka, c^ebaze ortangule kurba cumo el malmultaj, bonodoraj floroj; 11 sp-oj (specioj
ftir	【動】【PIV】G. (Genro) (Phthirus) de insektoj el la ordo de anopluroj, parazitaj sur la ingvena regiono de homoj. Sin. (sinonimo) publau^so. Vd pediko.
fulmar	【動】【PIV】G. (Genro) (Fulmarus) de birdoj el la ordo de procelariformaj, similaj al malgranda mevo sed kun kurba supra duonbeko k tubforma nazo; vivas en la N Atl
gage	【植】【PIV】G. (Genro) (Gagea el liliacoj) de malaltaj, plurjaraj herboj kun malgranda tunika bulbo, kun malmultaj, mallarg^aj folioj k kun stelformaj, interne flav
galag	【動】【PIV】Prasimio (Galago k parencaj g-oj (genroj)) kun grandaj oreloj k longa vosto. Vd indrio, lemuro, loriso, tarsio.
galang	【植】【PIV】1 (ss (striktasence)) Sp. (Specio) de alpinio (Alpinia galanga) el tropika Azio, kultivata por galango 3. 2 (vs (vastasence)) Grupo de sp-oj (specioj) d
galeops	【植】【PIV】G. (Genro) (Galeopsis el lamiacoj) de unujaraj, ofte haraj herboj kun floroj en s^ajnverticiloj, kun 5-denta kaliko k kun korolo el du lipoj, la supra k
galg	【植】【PIV】G. (Genro) (Galega el fabacoj) de plurjaraj herboj kun alternaj, nepare plume kunmetaj folioj, kun grapolo el blankaj, bluetaj, rozaj au^ violetaj floro
galinag	【動】【PIV】1 Sp. (Specio) (Gallinago gallinago) de malgranda birdo el la ordo de karadriformaj, fam. (familio) de skolopedoj, kun longa beko k ne tute plumkovritaj
gamar	【動】【PIV】G. (Genro) (Gammarus) de multkruraj krustacoj vivantaj en sensala au^ sala akvo.
gametofit	【植】【PIV】(pp (se paroli pri) plantoj, havantaj alternadon de generacioj) Unuploida generacio de planto, kiu naskas la sekse reproduktig^ajn c^elojn: la malsupera
garcini	【植】【PIV】G. (Genro) (Garcinia el kluziacoj) de monoikaj, dau^rafoliaj arboj, kun fruktoj (beroj) mang^eblaj c^e iuj sp-oj (specioj) (precipe c^e mangostano); c^.
gari	【植】【PIV】G. (Genro) (Garrya el gariacoj) de dau^rafoliaj, dioikaj trunkarbustoj kun sidaj, kontrau^e duopaj, ledecaj, pli-malpli haraj folioj k kun malgrandaj fl
garig	【植】【生態】【PIV】1 Arbusta mediteranea vegetaj^aro (vs (vastasence) ekosistemo), malpli densa ol makiso, g^enerale sur kalkaj grundoj: kirmeskverka garigo. 2 Loko, k
gau^lteri	【植】【PIV】G. (Genro) (Gaultheria el erikacoj) de dau^rafoliaj arbustetoj k malaltaj tufarbustoj parencaj al vakcinio; c^. (c^irkau^) 135 sp-oj (specioj) el Amerik
gau^r	【動】【PIV】Sp. (Specio) (Bos frontalis, sin. (sinonimo (de latinscienca nomo)) Bos gaurus) de granda Hindia bovo, pli ol 3 m longa, kun forta osta kresto sur la fr
geastr	【植】【PIV】G. (Genro) (Geastrum el geastracoj) de bazidifungoj kun ferma, glob-au^ bulbo-forma bazidiujo c^irkau^ita de 2 parietoj, el kiuj la ekstera maturstadie 
geris	【動】【PIV】G. (Genro) (Gerris) de longkruraj cimoj, rapide mars^antaj sur sen-au^ malrapid-fluaj akvoj. Sin. (sinonimo) akvokura cimo.
gesneri	【植】【PIV】G. (Genro) (Gesneria el gesneriacoj) de tufarbustoj k plurjaraj herboj kun tubera rizomo k kun neregulaj, ofte rug^aj floroj; c^. (c^irkau^) 70 sp-oj (s
giardi	【動】【PIV】G. (Genro) (Giardia) de protozooj el la klaso de flageluloj, kies sp-oj (specioj) ofte vivas en la intesto de vertebruloj, inklude de homoj; granda part
giberelin	【植】【化】【PIV】(kn (kolektiva nomo)) Vegetaj^a hormono, kvarcikla, sennitrogena, diterpena acido, kiu stimulas la kreskon de la plantoj k la g^ermig^on de ties semo
gibon	【動】【PIV】G. (Genro) (Hylobates) de mamuloj el la subordo de simioj, homosimilaj, sed kun longegaj brakoj, vivantaj en SE Azio. Vd c^impanzo, gorilo, orangutano.
ginseng	【植】【PIV】1 (ss (striktasence)) Sp. (Specio) de panako (Panax ginseng el araliacoj) el E Azio, kultivata por ginsengo 3. 2 (vs (vastasence)) Ginsengo 1 k parencaj
gip	【動】【PIV】G. (Genro) (Gyps) de vulturoj, fam. (familio) de akcipitredoj, kun nuda kolo, vivantaj en la Mediteraneaj landoj. Sin. (sinonimo) ansergrifo.
giromitr	【植】【PIV】G. (Genro) (Gyromitra el helvelacoj) de askofungoj kun grandaj, fragile karnecaj askujoj, karakterizataj de mallonga, dika, kava stipo k de nesimetrie t
gledic^i	【植】【PIV】G. (Genro) (Gleditsia, sin Gleditschia, el fabacoj) de falfoliaj arboj kun maldensa branc^aro, plejparte kun multaj, fortaj, lignecaj, branc^ig^antaj do
glorioz	【植】【PIV】G. (Genro) (Gloriosa el kolc^ikacoj) de nur unu plurforma sp. (G. (Genro) superba); plurjaraj, volvegrimpaj, tropikaj herboj el Azio k Afriko, el kiuj k
glosin	【動】【PIV】G. (Genro) (Glossina) de insektoj el la ordo de dipteroj, kies sp-oj (specioj) transportas i.a. (interalie, inter aliaj) la tripanosomojn. Sin. (sinonim
glosopterid	【植】【PIV】G. (Genro) (Glossopteris el glosopteridacoj) de pteridofitoj kun simplaj, longformaj folioj kun distingebla c^efa ripo, k kiuj vivis en Gondvano de karb
glumel	【植】【PIV】Glumeto.
gnafali	【植】【PIV】G. (Genro) (Gnaphalium el asteracoj) de unu-, du-k plur-jaraj, feltecaj herboj kun korimbo au^ spiko el tubetfloraj kapituloj; la sekigitaj flors^osoj k
gnidi	【植】【PIV】Sp. (Specio) de dafno (Daphne gnidium) el la Mediteranea regiono, venena, medicine uzata.
gomb	【植】【PIV】1 Sp. (Specio) (Abelmoschus esculentus el malvacoj), tre parenca al hibisko, el tropika Azio, kultivata en c^iuj varmaj landoj por fruktoj – kapsuloj 15
gomenol	【植】【PIV】Antisepsa esenco, distilita el nau^lo, uzata en farmacia k parfuma industrioj.
gonidi	【植】【PIV】(ark. (arkaismo, arkaisme)) La simbioza algo (vs (vastasence)) de likeno.
gosipi	【植】【PIV】G. (Genro) (Gossypium el malvacoj) de plantoj - unu-, du-k plur-jaraj herboj k tufarbustoj - kun mane lobaj au^ dividaj folioj, kun grandaj, unuope akse
gratiol	【植】【PIV】G. (Genro) (Gratiola el skrofulariacoj), parenca al veroniko, de c^. (c^irkau^) 20 sp-oj (specioj) de herboj el la mezvarmaj regionoj k tropikaj montaro
grindeli	【植】【PIV】G. (Genro) (Grindelia el asteracoj) de unu-, du-k plur-jaraj herboj kun rigidaj tigoj, kun lancetformaj, dentaj folioj havantaj esencglandojn, k kun fla
grumis^am	【植】【PIV】1 Sp. (Specio) de eu^genio (Brazila eu^genio) kultivata por bero, iom c^erizosimila, blanka, skarlate rug^a au^ nigreta, mang^ata kruda au^ uzata por ko
gujdak	【動】【PIV】Kn (Kolektiva nomo) de kelkaj grandaj sp-oj (specioj) de moluskoj el la g. (genro) panopeo (i.a. (interalie, inter aliaj) Panopea generosa) de la Pacifi
guta	【植】【PIV】1 Sp. (Specio) de palakvio (Palaquium gutta), pasintece ekspluatata por produktado de gutao 2. 2【化】 Substanco ricevita per koagulado de la laktosuko de 
gvanak	【動】【PIV】Sovag^a sp. de lamo (Lama guanicoe) kun iom hirtaj haroj k rondaj orelpintoj, vivanta c^ie en la Anda montaro. Vd alpako, lamo, vikuno.
gvaran	【植】【PIV】1 Sp. (Specio) de pau^linio (Paullinia cupana) el tropika S Ameriko, ligneca, grimpa liano, el kies rostitaj semoj oni preparas gvaranon 2. 2 Pasto, ric
gvemul	【動】【PIV】G. (Genro) (Hippocamelus) de S-Amerikaj grandorelaj mamuloj el la ordo de parhufuloj, fam. (familio) de cervedoj, kiuj vivas en la regiono de la Anda mo
haliaet	【動】【PIV】G. (Genro) (Haliaeetus) de mar-au^ lag-bordaj au^ riveraj rabobirdoj el la fam. (familio) de akcipitredoj, grandaj kun duone plumkovritaj tarsoj. Sin. (
haliker	【動】【PIV】G. (Genro) (Halichoerus) de mamuloj el la subordo de fokuloj, fam. (familio) de fokedoj, kun longa muzelo, vivantaj c^e la marbordoj de N Eu^ropo. Sin. 
halofit	【植】【PIV】Saleja planto.
hamamelid	【植】【PIV】G. (Genro) (Hamamelis el hamamelidacoj) de malrapide kreskantaj arboj k trunkarbustoj, kiuj floras, ofte abunde, en au^tuno au^ vintro, per akselaj flor
harpagofit	【植】【PIV】G. (Genro) (Harpagophytum el pedaliacoj) de du sp-oj (specioj) de plurjaraj herboj el S Afriko k Madagaskaro, medicine uzataj pro antiinflamaj ecoj.
hau^stori	【植】【PIV】Suc^-organo (pp (se paroli pri) planto) au^ -oc^elo (pp (se paroli pri) fungo), kiu c^erpas nutraj^on el alia organismo. Sin. (sinonimo) suc^radiko (pp 
hedizar	【植】【PIV】G. (Genro) (Hedysarum el fabacoj) de plantoj - unu-k plur-jaraj herboj k arbustetoj - kun nepare plume kunmetaj folioj, kun floroj en akselaj grapoloj k
helikoni	【植】【PIV】G. (Genro) (Heliconia el muzacoj) de plurjaraj, g^is 3 m altaj herboj, aspektantaj kiel nanaj bananujoj; 100−200 tropikaj sp-oj (specioj) el Ameriko k S
hemant	【植】【PIV】G. (Genro) (Haemanthus el amaralidacoj) de plurjaraj herboj kun rug^aj au^ blankaj floroj en ofte grandaj, okulfrapaj, kap-au^ umbel-formaj infloreskoj;
hematoksil	【植】【PIV】G. (Genro) (Haematoxylum el fabacoj) de 3 sp-oj (specioj) de dau^rafoliaj arboj el tropika Ameriko k Namibio, el kiuj kampec^o (H. campechianum).
hematop	【動】【PIV】G. (Genro) (Haematopus) de birdoj el la ordo de karadriformaj, i.a. (interalie, inter aliaj) H. ostralegus (marpigo), blanka k nigra kun rug^aj beko k k
herniari	【植】【PIV】G. (Genro) (Herniaria el kariofilacoj) de malaltaj, kus^aj, unu-k plur-jaraj herboj kun ne tre videblaj floroj; c^. (c^irkau^) 50 sp-oj (specioj) el Eu^
herpest	【動】【PIV】G. (Genro) (Herpestes) de malgrandaj mamuloj el la subordo de rabobestoj, fam. (familio) de viveredoj, vivantaj de la Mediteranea regiono g^is SE Azio; 
hesperid	【植】【PIV】G. (Genro) (Hesperis el brasikacoj) de unu-, du-k plur-jaraj herboj kun blankaj, rozaj au^ violetaj floroj k kun longforma, ne au^ ne tre dehiskema sili
heve	【植】【PIV】G. (Genro) (Hevea el eu^forbiacoj) de monoikaj, laktosukohavaj arboj kun alternaj, trifolieraj, longe petiolaj folioj k kun malgrandaj, senpetalaj floro
hidn	【植】【PIV】G. (Genro) (Hydnum el hidnacoj), tre disvastig^inta, de c^. (c^irkau^) 120 sp-oj (specioj) de bazidifungoj, kies c^apelo portas molajn, pintajn alpendaj
hidrastid	【植】【PIV】G. (Genro) (Hydrastis el ranunkolacoj) de nur unu sp. (H. canadensis) el NE k C Ameriko, plurjara herbo simila al anemono, sed kun rug^aj beroj k kun di
hidrokarit	【植】【PIV】G. (Genro) (Hydrocharis el hidrokaritacoj) de plurjaraj flosantaj akvoplantoj kun rozetoj el longe petiolaj, rondaj folioj k kun 3-nombraj floroj longe 
hidroker	【動】【PIV】G. (Genro) (Hydrochoerus) de Amerikaj mamuloj el la ordo de rong^uloj, vivantaj de oligoceno g^is nuno; la sola ankorau^ nun vivanta sp. estas kapibaro,
hidrokotil	【植】【PIV】G. (Genro) (Hydrocotyle el apiacoj) de malaltaj, plurjaraj marc^ejaj herboj kun rampaj rizomoj k kun ofte rondaj au^ s^ildoformaj folioj; kosmopolita g.
hieraci	【植】【PIV】G. (Genro) (Hieracium el asteracoj) de plurjaraj herboj kun simplaj, integraj au^ dentaj folioj k kun flavaj langetfloraj kapituloj; 90−1 000 sp-oj (spe
hifolom	【植】【PIV】G. (Genro) (Hypholoma el strofariacoj) de ombrelfungoj sen stipingo, ofte kurtenohavaj, kun viole bruna sporaro; kosmopolita g. (genro) de c^. (c^irkau^
higrocib	【植】【PIV】G. (Genro) (Hygrocybe el higroforacoj) de ombrelfungoj kun bazidiujo g^enerale okulfrape kolora, lamenohava, sen ringo k sen stipingo; kosmopolita g. (g
higrofor	【植】【PIV】G. (Genro) (Hygrophorus el higroforacoj) de ombrelfungoj kun bazidiujo viskoza, sen ringo, sen stipingo, kun dikaj lamenoj ofte dekuraj k kun blanka spo
hikori	【植】【PIV】Karjo.
himantop	【動】【PIV】Birdo (unuspecia g. (genro) (Himantopus himantopus) el la ordo de karadriformaj, kun longa, maldika, rekta beko k rug^aj, tre longaj kruroj. = himantopo
himene	【植】【PIV】G. (Genro) (Hymenaea el fabacoj), de c^. (c^irkau^) 15 sp-oj (specioj) de tropikaj arboj el Ameriko k Afriko, produktantaj mang^eblajn fruktojn, lignon 
hin	【動】【PIV】1 Hibrido de c^evalo k azenino. Vd mulo. 2【聖】Mezurilo por likvoj, c^. 6-litra: hino da vino.
hiosciam	【植】【PIV】Hiskiamo.
hipeastr	【植】【PIV】G. (Genro) (Hippeastrum el amarilidacoj), tre parenca al amarilido, de plurjaraj bulboherboj kun larg^e liniformaj folioj k kun grandaj, funelformaj, of
hipn	【植】【PIV】G. (Genro) (Hypnum el hipnacoj) de multabranc^aj muskoj, kies sporujoj formig^as flanke sur la s^osoj; kosmopolita g. (genro) de c^. (c^irkau^) 200 sp-o
hipofe	【植】【PIV】G. (Genro) (Hippophae el eleagnacoj) de dornaj, dioikaj, falfoliaj arboj k arbustoj; 3 sp-oj (specioj) el Eu^ropo k Azio.
hipola	【動】【PIV】G. (Genro) (Hippolais) de birdoj el la ordo de paseroformaj, fam. (familio) de silviedoj, kies Eu^ropajn sp-ojn (speciojn) H. polyglota k H. icterina ka
hipoman	【植】【PIV】G. (Genro) (Hippomane el eu^forbiacoj) de 5 sp-oj (specioj) el Meksiko k Antiloj, el kiuj mancinelo.
hipotal	【植】【PIV】(pp (se paroli pri) likenoj) Plej malsupra tavolo de krusteca au^ skvameta talo: hipotala linio.
hipurid	【植】【PIV】G. (Genro) (Hippuris el hipuridacoj) de nur unu sp. (H. vulgaris), kosmopolita, plurjara akveja herbo kun longa, rampa rizomo, k kun parte superakvaj ti
holk	【植】【PIV】G. (Genro) (Holcus el poacoj) de plurjaraj, molharaj herboj kun dufloraj spiketoj en densa paniklo; 8 sp-oj (specioj) el Eu^ropo, N Afriko k SU Azio.
holost	【植】【PIV】G. (Genro) (Holosteum el kariofilacoj) de unu-k du-jaraj herboj kun umbelforma cumo; 3−4 sp-oj (specioj) el Eu^ropo, N Afriko k Azio.
hordelim	【植】【PIV】G. (Genro) (Hordelimus el poacoj) de nur unu sp. (H. europaeus), plurjara herbo el la montaroj de Eu^ropo, N Afriko k U Azio. Vd elimo, elitrigio.
hulman	【動】【PIV】Entelo.
humul	【植】【PIV】G. (Genro) (Humulus el kanabacoj) de plurjaraj, dioikaj, volvig^antaj herboj kun kontrau^e duopaj, mane lobaj folioj k kun malgrandaj floroj, la virseks
hur	【植】【PIV】G. (Genro) (Hura el eu^forbiacoj) de dau^rafoliaj, monoikaj arboj kun tre venena laktosuko uzata por fis^kaptado k kun fruktoj post malplenigo uzataj po
iberis	【植】【PIV】G. (Genro) (Iberis el brasikacoj) de herboj au^ arbustetoj kun blankaj, violetaj au^ purpuraj floroj en grapoloj au^ korimboj; c^. (c^irkau^) 40 sp-oj (
idus	【動】【PIV】Sp. (Specio) de leu^cisko (Leuciscus idus), kun arg^enta ventro k rug^etaj nag^iloj (c^e la formo ora iduso, ankau^ la dorso estas rug^a), kiu vivas en 
ikneu^mon	【動】【PIV】1 G. (Genro) (Ichneumon) de insektoj el la ordo de himenopteroj, kies larvoj parazitas en aliaj insektlarvoj; parazitvespo. 2 (evi (evitinda)) Sp. (Spec
iksi	【植】【PIV】G. (Genro) (Ixia el iridacoj) de bulboherboj kun mallarg^aj, mallongaj, glavoformaj folioj k kun diverskoloraj floroj en spikoj au^ panikloj; c^. (c^irk
iksor	【植】【PIV】G. (Genro) (Ixora el rubiacoj) de c^. (c^irkau^) 300 sp-oj (specioj) de tropikaj, dau^rafoliaj arboj k arbustoj, pluraj kultivataj por ornamo, i.a. (int
imortel	【植】【PIV】Florhava planto, kiu sekigita konservas sian formon k ornaman valoron; imorteloj precipe apartenas al g-oj (genroj) de asteracoj i.a. (interalie, inter 
impatient	【植】【PIV】G. (Genro) (Impatiens el balzaminacoj) de plantoj - unu-k plur-jaraj herboj k kelkaj arbustetoj - kun spronohavaj floroj k kun fruktoj (kapsuloj), kies 
indri	【動】【PIV】G. (Genro) (Indri) de prasimioj, vivantaj en Madagaskaro, kun malgranda, pinta kapo, malgrandaj oreloj k preskau^ sen vosto. Vd galago, lemuro, lorio, t
induzi	【植】【PIV】Organo, folia elkreskaj^o, kovranta la soron c^e multaj sp-oj (specioj) de filikoj.
infruktesk	【植】【PIV】Fruktig^inta infloresko.
inocib	【植】【PIV】G. (Genro) (Inocybe el kortinariacoj) de ombrelfungoj kun c^apelo lamenohava, ofte konusa au^ mametaj^a, supraflanke lau^radie de fibreca g^is fendeta, 
