# ★このファイルに載っている表示だけが使用可能。新しい組み合わせを作ってはいけない。

## [1] 既存の単字master = 2091字 (生物に使われているものを先頭に)
字	語根数	既に何に割り当てられているか
蛇	14	kolubr={Ｏ}【動】コルブラ,ムチヘビ（ナミヘビ科の無毒 / elap=【動】【PIV】G. (Genro) (Elap / akroh^ord=【動】【PIV】Reptilio (g. (ge / anakond=【動】【PIV】Grandega sufokse / botrop=【動】【PIV】G. (Genro) (Both / bungar=【動】【PIV】G. (Genro) (Bung
茄	10	solan=【植】ナス（茄子）（属） / alkekeng=【植】【PIV】Sp. (Specio) de  / fizalid=【植】【PIV】G. (Genro) (Phys / hiosciam=【植】【PIV】Hiskiamo. / likopersik=【植】【PIV】G. (Genro) (Lyco / petuni=【植】【PIV】G. (Genro) (Petu
蛙	10	ran={Ｂ}【動】トノサマガエル（殿様蛙）（属）;《般 / batrak=【動】無尾類,=senvostuloj / hil=【動】アマガエル（雨蛙）（属）,=verda r / salamandr={Ｏ}【動】サンショウウオ（山椒魚）の類;サラマ / aksolotl=【動】【PIV】La larvo de la M / alit=【動】【PIV】G. (Genro) (Alyt
姜	9	alpini=【植】【PIV】G. (Genro) (Alpi / amom=【植】【PIV】G. (Genro) (Amom / eletari=【植】【PIV】G. (Genro) (Elet / etlinger=【植】【PIV】G. (Genro) (Etli / galang=【植】【PIV】1 (ss (striktase / kardamom=【植】【PIV】1 (ss (striktase
蛛	8	arane={Ｂ}【動】クモ（蜘蛛） / terafoz=【動】【PIV】G. (Genro) (Ther / argiop=【動】【PIV】G. (Genro) (Argi / argironet=【動】【PIV】Araneulo (unuspe / avikulari=【動】【PIV】G. (Genro) (Avic / falangi=【動】【PIV】G. (Genro) (Phal
花	8	irid={Ｏ}【植】アヤメ（属、カキツバタ・ハナショウブ / gerani={Ｏ}【植】フウロソウ（属）;【園】=>pela / amarilid=【植】アマリリス / balzamin={Ｏ}【植】ホウセンカ（鳳仙花） / enoter=【植】マツヨイグサ（属）;月見草,宵待草（よいま / ciklamen=【植】シクラメン（属）
菜	8	brasik={Ｂ}【植】キャベツ,=kapobrasiko; / lap={Ｂ}【植】ゴボウ（種）（牛蒡）;ゴボウの実（と / artis^ok={Ｏ}【植】アーティチョーク,チョウセンアザミ; / amarant=【植】アマランサス,ハゲイトウ（葉鶏頭）,ヒユ / sabelik=【植】チリメンキャベツ,=krispa bras / brokol={Ｏ}【植】ブロッコリー
雀	6	kanari={Ｏ}【鳥】カナリア（種） / paser={Ｂ}【鳥】スズメ（雀）（属） / emberiz=【鳥】ホオジロ（属） / pirol={Ｏ}【鳥】ウソ（鷽） / kardel={Ｏ}【鳥】ゴシキヒワ（種）
鹿	5	cerv={Ｂ}【動】シカ（鹿，属）;シカ（科） / dama=【動】ダマジカ,=damcervo / kapreol={Ｏ}【動】ノロ（シカ科の動物の一種） / tragol=【動】【PIV】G. (Genro) (Trag / boac={Ｏ}【動】トナカイ,カリブー,馴鹿（じゅんろく
鹰	5	falk={Ｏ}【鳥】ハヤブサ（隼）（属） / akcipitr={Ｏ}《般》タカ（鷹）,>>falko,>>ag / bute=【鳥】ノスリ / niz={Ｏ}【鳥】ハイタカ（鷂）（種）,>>akcip / milv={Ｏ}【鳥】トビ（鳶）（属）,トンビ
麦	5	horde={Ｂ}【植】オオムギ（属） / fagopir=【植】ソバ（蕎麦）（属）;ソバの実 / elim=【植】エゾムギ（属） / spelt=【植】スペルト小麦（家畜飼料）
蜂	5	vesp={Ｂ}【虫】スズメバチ（雀蜂）（科の総称）;《般 / cinip=【動】【PIV】G. (Genro) (Cyni / krabr={Ｏ}【虫】モンスズメバチ,>>vespo / burd={Ｏ}【虫】マルハナバチ
葱	5	cep={Ｂ}【料】玉ネギ;【植】タマネギ / alium=【植】【PIV】G. (Genro) (Alli / ampelopraz=【植】【PIV】1 Kf. (Kultivofo / pore={Ｏ}【植】リーキ（種）,ニラネギ（韮葱）,ポロ
龟	5	testud={Ｂ}【動】カメ（亀）;【史】（古代ローマの）亀 / emid=【動】【PIV】Testudulo (Emys  / keloni=【動】ウミガメ（科の総称）,=martestud / karet=【動】【PIV】Mara testudulo (
蝉	5	cikad={Ｂ}【虫】セミ（蝉） / cukcukcikad=《Ｎ》【虫】ツクツクボウシ（speco de c / kanacikad=《Ｎ》【虫】ヒグラシ（speco de cika / mincikad=《Ｎ》【虫】ミンミンゼミ（speco de ci
茶	4	te={Ｂ}茶,紅茶（茶葉および飲料）;【植】チャ（種 / kameli={Ｏ}【植】ツバキ（椿，属） / mate={Ｏ}【植】マテチャ;【料】マテ茶 / sazank=《Ｎ》【植】サザンカ（山茶花）（specio d
鲸	4	balen={Ｏ}【動】クジラ;セミクジラ / cetac=【動】クジラ類,>>baleno,>>makro / narval=【動】イッカク（一角） / kac^alot=【動】マッコウクジラ（抹香鯨，種）,=makro
鸦	4	korv={Ｂ}【鳥】カラス（属）（鴉、烏）,>>kora / kornik={Ｂ}【鳥】ハシボソガラス / frugileg={Ｏ}【鳥】ミヤマガラス / moned={Ｏ}【鳥】コクマルガラス（種）,>>korvo
豹	4	leopard={Ｏ}【動】ヒョウ（豹）,=pantero / panter={Ｏ}【動】ヒョウ（豹）（種）=leopardo / gepard=【動】チーター,=c^asleopardo / jaguar={Ｏ}【動】ジャガー
羊	6	kapr={Ｂ}【動】ヤギ（山羊） / ovi=【動】【PIV】G. (Genro) (Ovis / muflon=【動】ムフロン（種）（野生ヒツジの一種）
苔	5	bri=【植】【PIV】G. (Genro) (Bryu / hipn=【植】【PIV】G. (Genro) (Hypn / sfagn=【植】【PIV】G. (Genro) (Spha
树	4	arb={Ｂ}木,樹木;【植】高木 / fag={Ｂ}【植】ブナ（属） / notofag=【植】【PIV】G. (Genro) (Noth
叶	4	lob={Ｏ}【解】葉（よう）;【植】裂片 / frond=【植】（地衣類の）葉状体;（シダ類・ヤシ・シュロ / limb=【植】葉身;【機】分度弧,目盛り縁
鹦	4	kakatu=【鳥】バタンインコ,オウム（属）,>>papag / konur=【鳥】=papageto（インコ）;（特に）クサ / ara=【鳥】コンゴウインコ（属）
鳄	4	aligator={Ｏ}【動】（アリゲーター科の）ワニ（鰐）（ヨウ / kajman=【動】カイマン（中南米産のワニ）,>>aliga / gavial=【動】ガビアル,ガンジスワニ,>>krokodi
蚊	3	moskit={Ｂ}《般》【虫】蚊（か）,>>kulo / kul={Ｏ}【虫】カ（蚊）;（特に）イエカ（属）,>> / anofel=【虫】ハマダラカ（属）,>>moskito
蟹	3	krab={Ｏ}【動】カニ（類）（蟹） / pagur=【動】ヤドカリ（宿借） / limul=【動】カブトガニ
柳	3	salik={Ｂ}【植】ヤナギ（柳）（属） / vimen=【植】タイリクキヌヤナギ（大陸絹柳）（種）;《般 / popl={Ｏ}【植】ポプラ,ハコヤナギ（箱柳）（属）
枣	3	daktil={Ｂ}【果】ナツメヤシ;【文】長短短格,強弱弱格 / jujub=【果】ナツメ;【菓】（ナツメの香りを付けた）キャ / zizif=【植】ナツメ（属）,>>jujubarbo
鸽	3	kolomb={Ｂ}【鳥】ハト（鳩）（ハト科の鳥の総称） / turt={Ｏ}【鳥】コキジバト（小雉鳩）（種）;【鳥】キ / livi=【鳥】カワラバト（河原鳩）（種）,=rokkol
鲤	3	karp={Ｂ}【魚】コイ（鯉） / ciprin=【動】コイ（属）,>>karpo / karas={Ｏ}【魚】フナ（鮒，属）;ヨーロッパブナ
羚	3	c^am={Ｏ}【動】シャモア,>>antilopo / antilop={Ｏ}【動】レイヨウ,アンテロープ（総称） / gazel={Ｏ}【動】ガゼル（属）,>>antilopo
柿	3	kakinok=【植】【PIV】1 Sp. (Specio) d / diospir=【植】【PIV】G. (Genro) (Dios / persimon=【植】カキ;【果】カキ（柿）
蝠	3	filostom=【動】【PIV】G. (Genro) (Phyl / vespertilion=【動】【PIV】G. (Genro) (Vesp / vespert={Ｏ}【動】コウモリ（蝙蝠）（翼手目の総称）
精	7	nimf={Ｏ}【神】ニンフ（ギリシア神話の水の精）;【虫 / spermati=【植】【PIV】Seksa c^elo, nem
囊	6	ask=【植】【PIV】Fungoc^elo ofte  / folikl=【植】袋果（たいか）;【解】小胞,濾胞（ろほう）
麻	5	kanab={Ｏ}【植】アサ（麻）,タイマ（大麻） / ricin={Ｏ}【植】ヒマ（蓖麻）,トウゴマ（唐胡麻）
犬	4	dog={Ｏ}【動】マスチフ;《転》大型の番犬,>>bu / kanis=【動】【PIV】G. (Genro) (Cani
叉	4	bifid=【植】【解】【医】【PIV】Duparte di / dikotom=【植】【PIV】Forkece disbranc
蝶	4	papilion=【虫】アゲハチョウ（揚羽蝶）（属） / pierid=【動】【PIV】G. (Genro) (Pier
猪	3	apr={Ｂ}【動】イノシシ（猪）（種）,=sovag^ / su=【動】【PIV】Apro.
樱	3	meriz={Ｏ}【果】サクランボ（の実）,=dolc^a  / sakur=【植】サクラ
穗	3	spik={Ｂ}【植】穂（ほ）;【植】穂状花序（すいじょう / ament=【植】【PIV】Infloresko, dens
鸡	2	kok={Ｂ}【鳥】ニワトリ（鶏）;【生】=mikrok / galin=【動】【PIV】G. (Genro) (Gall
松	2	pin={Ｂ}【植】マツ（松）（属） / pini={Ｏ}【植】イタリアカサマツ（種）,>>pino
橡	2	kverk={Ｂ}【植】ナラ（楢）,カシ（樫）,オーク;【植 / glan={Ｏ}【植】カシの実,どんぐり;【解】亀頭
蕉	2	banan={Ｂ}【果】バナナ / pizang=【植】バナナの一種,>>banano
鸥	2	mev={Ｏ}【鳥】カモメ（鴎）（科） / lar=【鳥】カモメ（属）,>>mevo
茎	2	tig={Ｂ}【植】茎（くき）;（ピストンなどの）棒,軸 / kulm=【植】（麦などの）茎,>>tigo;《詩》=>k
蝗	2	akrid={Ｂ}（一般に）バッタ（蝗虫）;【虫】ショウリョ / lokust=【虫】トノサマバッタ（属）,>>akrido;飛
棕	2	palm={Ｂ}【植】ヤシ（椰子）,シュロ（棕櫚）（ヤシ科 / arek=【植】【PIV】G. (Genro) (Arec
莲	2	lotus={Ｂ}【植】ハス（蓮）,スイレン（睡蓮）;【建】 / nelumb=【植】【PIV】G. (Genro) (Nelu
李	2	prun={Ｂ}【果】西洋すもも,すもも（李）,プラム / prunus=【植】【PIV】G. (Genro) (Prun
