# ★このファイルに載っている表示だけが使用可能。新しい組み合わせを作ってはいけない。

## [1] 既存の単字master = 2091字 (生物に使われているものを先頭に)
字	語根数	既に何に割り当てられているか
族(naci) 能(pov) 同(sam) 地(ter) 色(kolor) 议(konsil) 记(memor) 部(part) 民(popol) 治(reg) 注(atent) 方(direkt)
导(konduk) 赞(konsent) 体(korp) 中(mez) 护(zorg) 级(klas) 推(puŝ) 卷(volv) 角(angul) 测(mezur) 令(ordon) 诉(plend)
理(prav) 种(spec) 创(kre) 式(manier) 星(stel) 宣(anonc) 坚(firm) 磨(polur) 文(artikol) 电(elektr) 展(evolu) 折(fald)
闪(fulm) 升(litr) 抗(protest) 环(ring) 题(tem) 联(asoci) 库(bibliotek) 官(oficial) 诗(poem) 胶(glu) 编(redakt) 香(spic)
锅(kaserol) 委(komitat) 叛(ribel) 摇(balanc) 钻(bor) 淋(duŝ) 柱(fost) 袍(rob) 毒(venen) 弹(bomb) 栓(kran) 位(pozici)
谐(humur) 喷(jet) 冲(konflikt) 夹(kramp) 禁(tabu) 悲(aflikt) 派(deput) 退(emerit) 否(negativ) 栏(rubrik) 暴(ŝtorm) 审(revizi)
硬(rigid) 吸(sorb) 荡(vag) 泡(ampol) 虚(fikci) 补(flik) 梁(trab) 填(rembur) 偏(devi) 妓(prostitu) 督(prefekt) 营(kazern)
晕(halo) 垂(perpendikular) 赏(aprez) 何(kio) 某(io) 那(tio) 对(kontraŭ) 倾(em) 具(il) 值(ind) 反(mal) 日(dimanĉ)
才(apenaŭ) 连(eĉ) 和(kaj) 人(oni) 己(si) 余(rest) 良(bon) 室(ĉambr) 大(grand) 解(kompren) 认(kon) 集(kolekt)
口(buŝ) 指(fingr) 单(fraŭl) 片(pec) 权(rajt) 觉(rimark) 变(ŝanĝ) 声(son) 标(cel) 选(elekt) 正(ĝust) 意(ide)
亲(kar) 商(komerc) 乳(lakt) 定(fiks) 验(spert) 停(halt) 院(kort) 法(rimed) 庆(fest) 血(sang) 实(efektiv) 判(juĝ)
律(leĝ) 包(pak) 王(reĝ) 盘(teler) 拍(fot) 接(kontakt) 录(registr) 响(sonor) 支(apog) 攻(atak) 障(bar) 瓶(botel)
防(defend) 密(dens) 博(doktor) 客(gast) 仿(imit) 服(jak) 箱(kest) 游(naĝ) 价(prez) 进(progres) 规(regul) 圣(sankt)
科(scienc) 奇(strang) 布(tol) 损(difekt) 层(etaĝ) 传(komunik) 涉(koncern) 质(kvalit) 租(lu) 养(nutr) 源(origin) 饰(ornam)
场(plac) 轨(rel) 社(soci) 空(spac) 欠(ŝuld) 评(taks) 图(map) 厅(salon) 系(sistem) 档(dokument) 音(prononc) 视(televid)
桶(kuv) 边(rand) 命(sort) 坡(dekliv) 砍(hak) 侍(kelner) 钩(kroĉ) 曲(kurb) 钉(najl) 牧(pastr) 织(teks) 道(bulvard)
寓(apartament) 保(asekur) 冷(indiferent) 技(inĝenier) 昏(sven) 径(trotuar) 替(alternativ) 航(aviad) 乱(konfuz) 约(kontrakt) 贵(nobl) 称(pretend)
程(proces) 段(epizod) 皱(grimac) 灾(katastrof) 拜(ador) 芽(burĝon) 胞(ĉel) 微(nuanc) 缀(prefiks) 瘫(pane) 塑(plast) 相(relativ)
盟(sindikat) 林(ale) 颂(himn) 狱(infer) 媚(koket) 撞(kolizi) 廊(koridor) 签(lot) 渣(feĉ) 硫(sulf) 远(tele) 胀(puf)
沉(merg) 僧(monah^) 巡(kroz) 纹(frang^) 谋(konspir) 煮(stuf) 偿(amortiz) 逐(ekzil) 缓(lant) 附(incident) 玉(jasp) 喘(astm)
出(el) 至(ĝis) 下(sub) 围(ĉirkaŭ) 千(mil) 百(cent) 六(ses) 十(dek) 员(an) 小(et) 群(ar) 性(ec)
座(ing) 长(estr) 家(ist) 组(op) 双(ge) 土(sabat) 月(lund) 任(ajn) 将(baldaŭ) 明(morgaŭ) 比(ol) 喂(he)
高(alt) 终(fin) 强(fort) 喜(ĝoj) 重(grav) 童(infan) 头(kap) 清(klar) 国(land) 处(lok) 战(milit) 界(mond)
示(montr) 死(mort) 多(mult) 新(nov) 求(pet) 速(rapid) 收(ricev) 红(ruĝ) 知(sci) 活(viv) 路(voj) 愿(vol)
打(bat) 白(blank) 惊(mir) 黑(nigr) 占(okup) 思(pens) 许(permes) 门(pord) 点(punkt) 简(simpl) 拉(tir) 真(ver)
颜(vizaĝ) 旅(vojaĝ) 亮(bril) 齿(dent) 疑(dub) 史(histori) 算(kalkul) 烹(kuir) 宽(larĝ) 洗(lav) 想(opini) 备(pret)
务(serv) 办(ag) 邮(poŝt) 智(saĝ) 似(simil) 访(vizit) 公(publik) 刻(moment) 数(nombr) 步(paŝ) 圆(rond) 态(stat)
玻(vitr) 礼(donac) 效(efik) 等(egal) 灰(griz) 罪(kulp) 医(kurac) 号(numer) 职(ofic) 影(ombr) 普(ordinar) 区(region)
干(sek) 偷(ŝtel) 阶(ŝtup) 总(sum) 剪(tond) 神(di) 含(inkluziv) 获(akir) 警(avert) 枝(branĉ) 扣(buton) 旗(flag)
扰(ĝen) 告(inform) 耕(kultur) 容(mien) 忍(pacienc) 网(ret) 责(riproĉ) 列(seri) 符(sign) 盒(skatol) 渴(soif) 突(subit)
显(aspekt) 票(bilet) 利(favor) 馆(hotel) 格(karakter) 粗(krud) 量(kvant) 柔(mild) 咕(murmur) 胃(stomak) 堵(ŝtop) 愚(stult)
墓(tomb) 徒(van) 基(baz) 让(ced) 脑(cerb) 衡(ekvilibr) 除(escept) 献(ofer) 温(temperatur) 型(tip) 货(var) 照(fotograf)
块(blok) 素(element) 句(fraz) 典(klasik) 改(korekt) 讲(preleg) 交(trafik) 刷(bros) 额(frunt) 铲(ŝovel) 妆(tualet) 尾(vost)
庄(bien) 距(distanc) 猜(diven) 厌(enu) 笛(fajf) 束(fask) 霜(frost) 雅(graci) 炎(katar) 供(ofert) 剃(raz) 翻(renvers)
庇(ŝirm) 诱(tent) 罩(kitel) 烤(bak) 醉(ebri) 杰(eminent) 谜(enigm) 嗅(flar) 吞(glut) 帝(imperi) 阁(kabinet) 款(regal)
弃(rezign) 驾(ŝofor) 螺(ŝraŭb) 条(stri) 裁(tajl) 虐(turment) 帆(vel) 析(analiz) 傲(arogant) 竞(konkur) 泥(kot) 残(kripl)
梯(lift) 迁(migr) 观(observ) 悔(pent) 肺(pulm) 腐(putr) 股(femur) 怪(grotesk) 好(hobi) 开(inaŭgur) 逆(invers) 碳(karbon)
类(klasifik) 殖(koloni) 哀(kondolenc) 鼓(tambur) 尿(urin) 老(veteran) 暗(alud) 驳(refut) 震(ŝok) 样(specimen) 痒(tikl) 吐(vom)
痘(akn) 优(avantaĝ) 贩(brokant) 屠(buĉ) 执(ekzekut) 逃(eskap) 剑(glav) 克(gram) 卫(higien) 缠(implik) 染(infekt) 券(kupon)
恶(malic) 碱(lesiv) 粪(sterk) 绒(velur) 超(hiper) 硅(silici) 磷(fosfor) 喻(trop) 振(oscil) 涡(kirl) 淫(porn) 凝(kondens)
蚀(kau^stik) 渗(osmoz) 奸(adult) 滞(staz) 汇(konverg^) 脊(spin) 症(fobi) 淡(fad) 臭(haladz) 轰(detonaci) 隐(ermit) 咏(psalm)
衰(atenu) 敌(rival) 倒(kusp) 刀(sabr) 敷(foment) 墩(sokl) 卤(halogen) 降(kapitulac) 初(debut) 弱(asteni) 彩(bunt) 插(stik)
嘶(sibl) 疹(tif) 痴(demenc) 嵌(marketr) 释(ekzegez) 峡(istm) 咒(anatem) 罐(amfor) 青(livid) 后(post) 上(sur) 越(trans)
在(ĉe) 共(kun) 份(da) 四(kvar) 三(tri) 八(ok) 五(kvin) 七(sep) 行(ad) 倍(obl) 子(id) 所(ej)
物(aĵ) 卑(fi) 首(ĉef) 再(re) 始(ek) 火(mard) 还(ankoraŭ) 或(aŭ) 离(for) 他(li) 我(mi) 即(tuj)
加(plus) 问(demand) 欲(dezir) 次(foj) 有(hav) 助(help) 幼(jun) 田(kamp) 举(lev) 手(man) 话(parol) 父(patr)
满(plen) 运(port) 近(proksim) 富(riĉ) 笑(rid) 像(ŝajn) 送(send) 书(skrib) 乘(vetur) 词(vort) 续(daŭr) 艺(art)
待(atend) 听(aŭd) 燃(brul) 睡(dorm) 窗(fenestr) 毛(har) 钟(hor) 投(ĵet) 建(konstru) 费(kost) 育(kresk) 勇(kuraĝ)
语(lingv) 食(manĝ) 钱(mon) 壁(mur) 必(neces) 目(okul) 足(pied) 述(rakont) 寻(serĉ) 唯(sol) 怕(tim) 饮(trink)
用(uz) 晚(vesper) 快(agrabl) 受(akcept) 杂(divers) 痛(dolor) 望(esper) 忘(forges) 欢(gaj) 园(ĝarden) 怒(koler) 玩(lud)
云(nub) 河(river) 破(romp) 健(san) 饱(sat) 触(tuŝ) 益(util) 决(decid) 流(flu) 悦(plaĉ) 作(verk) 混(miks)
独(apart) 噪(bru) 例(ekzempl) 铁(fer) 颈(kol) 序(ord) 羽(plum) 跳(salt) 苦(sufer) 厢(vagon) 醒(vek) 产(produkt)
银(arĝent) 凳(benk) 褐(brun) 止(ĉes) 危(danĝer) 背(dors) 尊(estim) 黄(flav) 底(fund) 守(gard) 墨(ink) 笔(krajon)
腿(krur) 勺(kuler) 宁(prefer) 直(rekt) 锁(ŝlos) 灵(spirit) 广(vast) 储(rezerv) 锐(akr) 属(aparten) 吹(blov) 猎(ĉas)
衫(ĉemiz) 舞(danc) 细(delikat) 平(eben) 避(evit) 忠(fidel) 诚(honest) 舒(komfort) 较(kompar) 恒(konstant) 通(korespond) 灯(lamp)
课(lecion) 机(maŝin) 熟(matur) 订(mend) 西(okcident) 油(ole) 东(orient) 骨(ost) 裤(pantalon) 糊(past) 描(pentr) 准(preciz)
祈(preĝ) 奖(premi) 罚(pun) 关(rilat) 柜(ŝrank) 南(sud) 肉(viand) 拭(viŝ) 伤(vund) 掘(fos) 军(arme) 盲(blind)
魅(ĉarm) 央(centr) 愈(des) 勤(diligent) 探(esplor) 伸(etend) 假(feri) 婚(fianĉ) 度(grad) 味(gust) 谦(humil) 缝(kudr)
仓(magazen) 披(mantel) 雾(nebul) 政(politik) 力(potenc) 私(privat) 骑(rajd) 餐(restoraci) 汁(suk) 肩(ŝultr) 设(supoz) 汗(ŝvit)
译(traduk) 塔(tur) 辨(disting) 厂(fabrik) 景(pejzaĝ) 互(reciprok) 刊(revu) 拧(tord) 拖(tren) 资(burĝ) 谈(konversaci) 提(menci)
臣(ministr) 率(procent) 况(situaci) 扫(bala) 酪(fromaĝ) 炭(karb) 壶(pot) 逗(ŝerc) 刮(skrap) 爪(ung) 砖(brik) 激(ekscit)
喉(gorĝ) 框(kadr) 棉(koton) 革(led) 污(makul) 锤(martel) 材(material) 垫(matrac) 迫(persekut) 岩(rok) 铺(stern) 姿(gest)
荣(glor) 雹(hajl) 塞(kork) 酬(rekompenc) 桩(stump) 贴(afiŝ) 促(akcel) 醇(alkohol) 弧(ark) 祝(ben) 顽(bub) 恼(ĉagren)
链(ĉen) 引(cit) 夸(fanfaron) 烧(febr) 宴(festen) 碎(frakas) 炸(frit) 烫(glad) 湾(golf) 湿(humid) 税(impost) 侮(insult)
誓(ĵur) 宝(juvel) 哼(ronk) 敏(sagac) 涂(ŝmir) 槛(sojl) 构(struktur) 窒(sufok) 烦(ted) 覆(teg) 寡(vidv) 德(virt)
纱(vual) 抽(abstrakt) 志(ambici) 天(astronomi) 佛(budh) 映(kin) 揉(kned) 栅(krad) 陡(krut) 帘(kurten) 模(model) 筋(muskol)
朴(naiv) 宫(palac) 延(prokrast) 账(faktur) 败(fiask) 哲(filozofi) 版(format) 坛(forum) 校(gimnazi) 横(horizontal) 艇(jakt) 牢(karcer)
讽(karikatur) 码(kod) 辅(konsonant) 贡(kontribu) 协(kooperativ) 嘱(testament) 宇(univers) 募(varb) 元(vokal) 副(adverb) 幕(akt) 断(asert)
当(deĵor) 矛(lanc) 发(lanĉ) 腰(lumb) 磁(magnet) 赛(matĉ) 境(medi) 核(nukle) 并(paralel) 被(pasiv) 盆(pelv) 丸(pilol)
统(prezident) 参(referenc) 稳(stabil) 计(statistik) 迷(superstiĉ) 碑(monument) 忽(neglekt) 拼(ortografi) 侯(princ) 授(profesor) 案(projekt) 谚(proverb)
肾(ren) 韵(rim) 训(trejn) 隆(tuber) 吨(tun) 仇(venĝ) 积(volumen) 孔(apertur) 摆(bask) 辱(blasfem) 勒(brid) 厘(centimetr)
棺(ĉerk) 揭(denunc) 疫(epidemi) 宏(grandioz) 孕(graved) 个(individu) 启(inspir) 渠(kanal) 胆(gal) 轧(grinc) 纬(latitud) 吼(muĝ)
潜(plonĝ) 脓(pus) 露(ros) 媒(svat) 疗(terapi) 氮(nitr) 炮(kanon) 纤(fibr) 钠(natri) 兆(bilion) 膨(dilat) 缆(kabl)
霉(s^im) 啪(krak) 圈(boben) 农(agr) 粘(muk) 半(hemi) 跷(baskul) 胚(embri) 怖(teror) 士(kavalir) 浆(plasm) 腺(gland)
髓(medol) 盔(kask) 经(bibli) 祭(mes) 换(komut) 焊(lut) 杀(icid) 醋(vinagr) 役(kampanj) 销(stift) 陨(meteor) 贯(koher)
害(atenc) 累(akumul) 泻(laks) 惯(inerci) 义(justic) 慢(kronik) 刑(kriminal) 炫(parad) 蓬(hirt) 张(toni) 诈(artifik) 廓(profil)
秃(kalv) 监(gvat) 矾(vitriol) 侦(skolt) 劫(kaper) 低(bas) 漏(lik) 疮(ulcer) 牌(medal) 枪(pistol) 梭(naved) 匕(ponard)
粮(proviant) 谨(diskret) 浮(bu) 短(efemer) 诲(kateh^iz) 扩(amplif) 疟(malari) 稀(dilu) 胰(pankreat) 冻(krio) 钝(obtuz) 摘(pluk)
预(anticip) 缘(afin) 囤(stapl) 缎(saten) 批(ratifik) 颁(dekret) 剖(anatomi) 淤(aluvi) 窝(ricel) 耙(rast) 啃(rod) 朱(cinabr)
檐(kornic) 歌(uta) 臼(molar) 限(fini) 滩(plag^) 踢(kalcitr) 堤(g^et) 胖(obez) 托(korbel) 贬(deprec) 割(serp) 嚎(hurl)
归(atribu) 绞(strangol) 屎(merd) 叙(ordin) 福(elize) 炼(kupel) 著(signifikanc) 赦(amnesti) 邪(pervers) 镑(sterling) 啼(grak) 锣(tamtam)
堡(burg) 怯(timid) 癣(skabi) 此(cis) 巫(s^aman) 冗(redund) 腮(mumps) 厕(klozet) 隙(interstic) 垒(rempar) 卡(kart) 于(pri)
每(po) 间(inter) 以(per) 向(al) 为(por) 按(laŭ) 旁(apud) 从(de) 九(naŭ) 二(du) 一(unu) 劣(aĉ)
者(ul) 可(ebl) 须(end) 误(mis) 姻(bo) 旧(eks) 两(ambaŭ) 也(ankaŭ) 吗(ĉu) 故(do) 它(ĝi) 昨(hieraŭ)
今(hodiaŭ) 已(jam) 这(jen) 刚(ĵus) 虽(kvankam) 如(kvazaŭ) 自(mem) 不(ne) 仅(nur) 最(plej) 更(pli) 几(preskaŭ)
若(se) 但(sed) 她(ŝi) 却(tamen) 很(tre) 太(tro) 你(vi) 别(ali) 爱(am) 友(amik) 美(bel) 应(dev)
说(dir) 给(don) 是(est) 易(facil) 做(far) 幸(feliĉ) 侧(flank) 往(ir) 年(jar) 些(kelk) 劳(labor) 末(last)
读(leg) 住(loĝ) 置(met) 拿(pren) 答(respond) 随(sekv) 坐(sid) 君(sinjor) 立(star) 时(temp) 持(ten) 来(ven)
见(vid) 男(vir) 零(nul) 买(aĉet) 需(bezon) 画(bild) 谢(dank) 右(dekstr) 甘(dolĉ) 屋(dom) 夫(edz) 闭(ferm)
儿(fil) 飞(flug) 兄(frat) 趣(interes) 唱(kant) 郎(knab) 叫(kri) 跑(kur) 留(las) 床(lit) 光(lum) 海(mar)
晨(maten) 山(mont) 付(pag) 失(perd) 呈(prezent) 试(prov) 纯(pur) 遇(renkont) 看(rigard) 周(semajn) 阳(sun) 桌(tabl)
暖(varm) 衣(vest) 早(fru) 岁(aĝ) 堆(amas) 秋(aŭtun) 厚(dik) 错(erar) 捕(kapt) 藏(kaŝ) 盖(kovr) 躺(kuŝ)
疲(lac) 然(natur) 雪(neĝ) 夜(nokt) 叔(onkl) 耳(orel) 纸(paper) 恕(pardon) 哭(plor) 雨(pluv) 春(printemp) 休(ripoz)
椅(seĝ) 默(silent) 船(ŝip) 夏(somer) 街(strat) 够(sufiĉ) 卖(vend) 绿(verd) 冬(vintr) 呼(vok) 到(ating) 浴(ban)
邀(invit) 软(mol) 页(paĝ) 挂(pend) 研(stud) 憾(bedaŭr) 找(trov) 胜(venk) 善(afabl) 爷(av) 岸(bord) 臂(brak)
敲(frap) 赢(gajn) 习(kutim) 努(pen) 深(profund) 玫(roz) 站(staci) 村(vilaĝ) 借(prunt) 址(adres) 娱(amuz) 魂(anim)
泉(font) 鲜(freŝ) 膝(genu) 冰(glaci) 怜(kompat) 糕(kuk) 堂(kuz) 湖(lag) 舌(lang) 巧(lert) 嘲(mok) 诺(promes)
宗(religi) 息(spir) 恐(terur) 击(traf) 穴(tru) 汽(vapor) 纳(kotiz) 篇(novel) 武(arm) 棒(baston) 沸(bol) 章(ĉapitr)
绘(desegn) 灭(esting) 专(fak) 骄(fier) 滴(gut) 誉(honor) 耻(hont) 业(industri) 岛(insul) 吻(kis) 件(kondiĉ) 谎(mensog)
胁(minac) 邻(najbar) 孙(nep) 侄(nev) 常(oft) 北(nord) 波(ond) 驱(pel) 苹(pom) 桥(pont) 践(praktik) 荐(rekomend)
拒(rifuz) 修(ripar) 盐(sal) 皂(sap) 救(sav) 季(sezon) 兵(soldat) 兑(spez) 紧(streĉ) 袜(ŝtrump) 鞋(ŝu) 汤(sup)
颤(trem) 巾(tuk) 颊(vang) 载(ŝarĝ) 祸(akcident) 聊(babil) 毁(detru) 练(ekzerc) 窘(embaras) 纪(epok) 永(etern) 熔(fand)
焰(flam) 享(ĝu) 港(haven) 犹(hezit) 裙(jup) 虑(konsider) 慰(konsol) 奢(luks) 惨(mizer) 哑(mut) 巢(nest) 裸(nud)
便(oportun) 橙(oranĝ) 苍(pal) 慎(prudent) 狡(ruz) 沙(sabl) 秒(sekund) 梦(sonĝ) 肿(ŝvel) 雷(tondr) 急(urĝ) 浇(verŝ)
佩(admir) 店(butik) 弯(fleks) 功(funkci) 贺(gratul) 完(perfekt) 抢(rab) 野(sovaĝ) 撒(ŝut) 驴(azen) 篮(korb) 酸(acid)
靴(bot) 惜(domaĝ) 刃(kling) 砌(mason) 固(solid) 绝(absolut) 演(aktor) 宜(dec) 拙(fuŝ) 尽(klopod) 吝(avar) 胡(barb)
嘴(bek) 窖(kel) 梳(komb) 蝇(muŝ) 扁(plat) 尘(polv) 绳(ŝnur) 聋(surd) 咳(tus) 丰(abund) 柴(alumet) 冒(aventur)
漠(dezert) 溺(dron) 筏(flos) 锻(forĝ) 品(frand) 擦(frot) 呻(ĝem) 本(instinkt) 跛(lam) 泪(larm) 狮(leon) 袖(manik)
咬(mord) 党(parti) 皿(plad) 拳(pugn) 井(put) 薪(salajr) 毯(tapiŝ) 呢(drap) 磅(funt) 惠(komplez) 挤(melk) 孤(orf)
歇(paŭz) 镐(pioĉ) 罢(strik) 劝(admon) 施(almoz) 贪(avid) 挣(barakt) 婴(beb) 吠(boj) 刹(brems) 眉(brov) 舀(ĉerp)
融(degel) 争(disput) 雇(dung) 爆(eksplod) 羡(envi) 财(financ) 飘(flirt) 丧(funebr) 继(hered) 唆(instig) 聪(inteligent) 妒(ĵaluz)
历(kalendar) 险(risk) 酱(saŭc) 锯(seg) 猿(simi) 奴(sklav) 慕(sopir) 钢(ŝtal) 杆(stang) 挥(sving) 帐(tend) 熊(urs)
枯(velk) 坎(veŝt) 狐(vulp) 宾(akuzativ) 逮(arest) 敢(aŭdac) 晓(aŭror) 陶(ceramik) 言(dialekt) 歧(diskriminaci) 跟(kalkan) 烛(kandel)
抚(kares) 城(kastel) 奏(koncert) 弦(kord) 肘(kubut) 铜(kupr) 舔(lek) 狼(lup) 嚼(maĉ) 沼(marĉ) 呕(naŭz) 掐(pinĉ)
铅(plumb) 岗(posten) 泵(pump) 查(enket) 伦(etik) 幽(fantom) 肥(fekund) 滤(filtr) 威(impon) 烈(intens) 蹲(kaŭr) 谣(klaĉ)
键(klav) 询(konsult) 陆(kontinent) 翔(ŝveb) 潮(tajd) 术(taktik) 庙(templ) 币(valut) 茂(veget) 竖(vertikal) 谬(absurd) 蒜(ajl)
闻(anekdot) 擅(arbitr) 琐(bagatel) 消(digest) 维(dimensi) 回(eĥ) 屏(ekran) 采(ekspluat) 吵(kverel) 稿(manuskript) 摩(masaĝ) 里(mejl)
咪(miaŭ) 垄(monopol) 由(motiv) 范(norm) 慌(panik) 悖(paradoks) 括(parentez) 宿(pension) 暂(provizor) 紫(purpur) 各(respektiv) 棋(ŝak)
沐(ŝampu) 席(mat) 洋(ocean) 摸(palp) 亡(pere) 珠(perl) 拓(pionir) 众(popular) 肖(portret) 则(princip) 制(reĝim) 矢(sag)
沫(ŝaŭm) 安(sekur) 迹(spur) 锡(stan) 领(teritori) 闹(tumult) 隧(tunel) 赌(vet) 牺(viktim) 贞(virg) 锌(zink) 嗡(zum)
戒(abstin) 搅(agit) 铝(alumini) 舶(bark) 碗(bovl) 畜(brut) 疤(cikatr) 俏(dand) 宠(dorlot) 驯(dres) 赤(ekvator) 悄(flustr)
抓(grat) 肝(hepat) 仁(human) 免(imun) 惹(incit) 愤(indign) 饶(indulg) 淹(inund) 庐(kaban) 粥(kaĉ) 朽(kaduk) 笼(kaĝ)
谤(kalumni) 候(kandidat) 宪(konstituci) 耗(konsum) 颅(krani) 贷(kredit) 晶(kristal) 搏(lukt) 斋(fast) 毡(felt) 蚁(formik) 饲(furaĝ)
篱(heĝ) 陷(insid) 舱(kajut) 诊(klinik) 尉(leŭtenant) 液(likv) 葵(malv) 躁(nervoz) 项(nuk) 鹊(pig) 瓷(porcelan) 挑(provok)
瞳(pupil) 耘(sark) 怀(sin) 戏(spektakl) 纺(ŝpin) 起(start) 瓦(tegol) 蜡(vaks) 裹(vind) 化(iz) 氧(oksi) 氯(klor)
亚(hipo) 频(frekvenc) 锰(mangan) 钙(kalci) 钾(kali) 碘(jod) 栽(kultiv) 洁(c^ast) 尸(kadavr) 鞍(sel) 谱(spektr) 馏(distil)
锚(ankr) 苇(kan) 膜(membran) 盾(s^ild) 酵(ferment) 鳞(skvam) 眼(mas^) 堕(abort) 峰(alp) 绣(brod) 势(potencial) 贿(korupt)
灼(kau^ter) 铸(gis) 承(lagr) 崇(sublim) 凹(konkav) 絮(flok) 棱(eg^) 捣(pist) 矩(momant) 闸(kluz) 拱(volb) 吾(ego)
孵(kov) 歼(eksterm) 凯(triumf) 妃(dam) 播(propag) 刨(rabot) 砾(gruz) 谍(spion) 漂(driv) 筛(kribr) 彻(radikal) 瓤(pulp)
砂(smirg) 抵(hipotek) 溅(plau^d) 扬(ekzalt) 乌(ebon) 矮(nan) 池(cistern) 诵(deklam) 炬(torc^) 篡(uzurp) 踏(tret) 唾(saliv)
椎(vertebr) 舵(rudr) 焚(incendi) 透(diafan) 伏(embusk) 违(delikt) 抒(lirik) 滥(eksces) 泛(kosmopolit) 殉(martir) 羞(pudor) 爵(baron)
礁(rif) 棍(klab) 荧(luminesk) 猛(drast) 拦(dig) 肚(trip) 渡(pram) 放(emancip) 汞(hidrarg) 肛(anus) 圃(bed) 泌(sekreci)
匆(hast) 蛮(barbar) 泽(glace) 庶(bastard) 脐(umbilik) 谓(predikat) 移(translaci) 驻(rezid) 催(kataliz) 悬(suspensi) 灌(klister) 勃(erekt)
葬(sepult) 仪(rit) 未(futur) 耍(j^ongl) 尔(ci) 略(strategi) 拥(svarm) 樟(kamfor) 屈(fleksi) 咽(faring) 糠(bran) 忧(angor)
廷(kuri) 介(makler) 差(aberaci) 俯(pron) 艾(moks) 阵(falang) 芯(mec^) 侵(invad) 州(kanton) 削(frez) 籍(matrikul) 万(miria)
辉(efluv) 摄(kamera) 仰(supin) 驰(galop) 输(transfuz) 抛(parabol) 匿(inkognit) 劲(verv) 啊(ha) 屑(klast) 坑(krater) 病(morb)
懒(pigr) 吱(knar) 阴(katod) 硕(magistr) 呆(gap) 惰(inert) 迎(lof) 矫(ortopedi) 饺(raviol) 涩(adstring) 茬(stopl) 锦(brok)
腾(sor) 骂(sakr) 氨(amoniak) 缸(urn) 眠(somnol) 都(metropol) 枕(s^pal) 赚(lukr) 卿(lord) 碧(turkis) 霸(hegemoni) 顾(retrospektiv)
患(infest) 绕(haspel) 痕(stigmat) 虹(iriz) 氛(etos) 居(setl) 掌(polm) 培(but) 蒸(transpir) 奋(streb) 渊(abism) 讹(c^antag^)
援(sponsor) 杠(vekt) 嘹(klarion) 造(manufaktur) 脏(viscer) 娇(lind) 朝(dinasti) 慷(prodig) 脾(lien) 均(averag^) 蔑(disdegn) 豪(pomp)
域(sektor) 迂(pedant) 浊(turbid) 佐(kondiment) 崩(kolaps) 涨(flus) 拟(simul) 刁(c^ikan) 嘿(nu) 畸(terat) 聘(engag^) 翼(plane)
顺(rezignaci) 乡(rur) 鉴(ekspertiz) 漱(gargar) 驮(ferut) 窃(plagiat) 牡(bok) 锄(rastr) 倦(langvor) 卒(peon) 先(aprior) 估(stim)
坠(kras^) 讥(rikan) 辞(demisi) 取(retrat) 逼(kompuls) 罗(groc) 腕(pojn) 弓(arc^) 恩(grac) 匠(virtuoz) 绊(stumbl) 丙(propil)
凤(feniks) 硝(salpetr) 禀(temperament) 禅(zen) 帷(drapir) 状(adjekt) 贫(povr) 辐(spok) 煎(dekokt) 拨(plektr) 迟(tard) 脱(secesi)
珍(delic) 疆(marki) 凿(gug^) 轿(palanken) 崖(klif) 拐(kidnap) 屁(furz) 挫(frustr) 窄(stret) 簧(anc^) 踱(ambl) 撑(steg)
乙(etil) 赖(lizin) 左(liv) 叹(suspir) 痢(disenteri) 蔓(sarment) 荒(noval) 洒(asperg) 吓(hu) 础(plint) 雌(femal) 嘻(hihi)
祖(atav) 焦(koaks) 铭(deviz) 洪(diluv) 灿(splend) 熏(bukan) 尺(uln) 雄(maskl) 溪(roj) 禾(gramin) 犀(rinocer) 薄(minc)
旱(arid) 脆(fragil) 轻(leg^er) 瘦(magr)

## [2] 既存の多字master(熟語) = 3271種 ★新しい熟語は作れない。使うならこの中から
熟語	語根数	既に何に割り当てられているか
羊齿	16	filik={Ｏ}【植】シダ（羊歯） / aspleni=【植】【PIV】G. (Genro) (Aspl / psilot=【植】【PIV】G. (Genro) (Psil / azol=【植】【PIV】G. (Genro) (Azol
潜鸟	4	gavi=【鳥】=kolimbo（アビ） / greb=【動】【PIV】Podicipo k paren / podicip=【動】【PIV】G. (Genro) (Podi / kolimb={Ｏ}【鳥】アビ（属）,=gavio
大豆	3	soj=【植】ダイズ（大豆、マメ科の植物）,=sojfa / glicin=【植】ダイズ属;【化】グリシン（アミノ酸の一）; / glicine=【植】=glicino（ダイズ属）
木瓜	3	cidoni={Ｏ}【植】マルメロ / papaj=【植】パパイア / karik=【植】パパイヤ（属）,>>papajo;【植】=
香草	3	lavend={Ｏ}【植】ラベンダー（属） / rosmaren={Ｏ}【植】マンネンロウ（万年蝋）（属）;ローズ / origan=【植】ハナハッカ（花薄荷）（属）,オレガノ
丁香	3	kariofil={Ｏ}【料】チョウジ（丁子）,クローブ / siring={Ｏ}【植】ライラック,ハシドイ（属） / lilak=【植】=siringo（ライラック）
企鹅	3	sfenisk=【動】【PIV】G. (Genro) (Sphe / pingven={Ｏ}【鳥】ペンギン（科の総称） / pingvin==>pingveno（ペンギン）
山核桃	2	pekan=【植】【PIV】Speco de nukso,  / karj=【植】【PIV】G. (Genro) (Cary
