圏外字	延べ出現	最近傍JIS字	形の近さ	手動対応字	真対の近さ	真対の順位(全JIS)	真対の順位(常用相当)	透明
跷	18	路	0.682					判定不能
较	18	鮫	0.651					判定不能
键	18	腱	0.711					判定不能
洁	17	浩	0.800					判定不能
稳	17	稔	0.671					判定不能
莲	17	蓮	0.709					判定不能
训	17	佃	0.672	訓	0.451	5399	901	no
谱	17	屠	0.706					判定不能
贴	17	粘	0.708					判定不能
赌	17	賭	0.700					判定不能
钢	17	蛔	0.695	鋼	0.693	2	1	yes
锈	17	綉	0.702					判定不能
鸭	17	鴨	0.702					判定不能
鹦	17	鸚	0.663					判定不能
偿	16	僖	0.667					判定不能
垄	16	聖	0.633					判定不能
宪	16	宛	0.657					判定不能
惯	16	慣	0.724					判定不能
揭	16	褐	0.720					判定不能
查	16	奄	0.692					判定不能
滤	16	溥	0.676					判定不能
缠	16	躔	0.691					判定不能
罢	16	罟	0.694					判定不能
询	16	恂	0.744					判定不能
责	16	責	0.681					判定不能
铸	16	祷	0.750	鋳	0.709	3	1	yes
铺	16	脯	0.737	舗	0.601	398	50	no
阀	16	冏	0.690					判定不能
项	16	項	0.703					判定不能
颅	16	頡	0.659					判定不能
额	16	額	0.748					判定不能
鲜	16	鮮	0.807					判定不能
乌	15	鳥	0.610					判定不能
币	15	甲	0.658					判定不能
戏	15	戒	0.624					判定不能
执	15	找	0.654					判定不能
沥	15	沺	0.674					判定不能
渗	15	滲	0.680					判定不能
渴	15	喝	0.721					判定不能
灭	15	火	0.712					判定不能
焊	15	悍	0.775					判定不能
笼	15	笂	0.637					判定不能
纱	15	炒	0.729					判定不能
绝	15	絶	0.662					判定不能
舱	15	航	0.689					判定不能
虑	15	虐	0.758					判定不能
锚	15	描	0.715					判定不能
页	15	頁	0.668					判定不能
骄	15	勝	0.645					判定不能
鹤	15	鶴	0.728					判定不能
卤	14	鹵	0.717					判定不能
岗	14	崗	0.678					判定不能
晕	14	暈	0.732					判定不能
枣	14	事	0.635					判定不能
监	14	盖	0.671					判定不能
积	14	枳	0.786					判定不能
竖	14	豎	0.616					判定不能
苇	14	第	0.704					判定不能
轰	14	蓋	0.636					判定不能
销	14	梢	0.755	銷	0.715	2	1	yes
鳞	14	鱗	0.756					判定不能
龟	14	亀	0.652					判定不能
优	13	佻	0.656					判定不能
够	13	夥	0.633					判定不能
毁	13	毀	0.837					判定不能
烫	13	燹	0.607					判定不能
狱	13	献	0.660					判定不能
癣	13	癬	0.753					判定不能
缘	13	椽	0.690					判定不能
营	13	菅	0.765					判定不能
诈	13	作	0.715					判定不能
遗	13	遣	0.732					判定不能
钠	13	蚋	0.741					判定不能
险	13	除	0.713					判定不能
顽	13	頑	0.738					判定不能
馆	13	綰	0.696					判定不能
仓	12	壱	0.638					判定不能
奖	12	萸	0.625					判定不能
抚	12	枕	0.703					判定不能
摄	12	攝	0.651					判定不能
槛	12	楹	0.716					判定不能
烦	12	煩	0.809					判定不能
矾	12	研	0.701					判定不能
纳	12	衲	0.699					判定不能
绣	12	綉	0.651					判定不能
聋	12	葺	0.650					判定不能
荧	12	萸	0.652					判定不能
蚁	12	蚊	0.749					判定不能
谜	12	健	0.672					判定不能
铃	12	蛉	0.711	鈴	0.642	5	1	yes
铲	12	粐	0.604					判定不能
锻	12	椴	0.766					判定不能
阁	12	閤	0.683					判定不能
鳄	12	鰐	0.814					判定不能
历	11	仄	0.629					判定不能
娱	11	蜈	0.750					判定不能
搅	11	撹	0.720					判定不能
摆	11	楞	0.719					判定不能
柠	11	椌	0.730					判定不能
秃	11	禿	0.794					判定不能
纬	11	卸	0.633					判定不能
练	11	踪	0.629					判定不能
谨	11	僅	0.802					判定不能
贯	11	貫	0.680					判定不能
贿	11	賄	0.741					判定不能
赛	11	蹇	0.741					判定不能
赢	11	贏	0.774					判定不能
辅	11	脯	0.704					判定不能
锡	11	裼	0.722					判定不能
陆	11	陥	0.691					判定不能
颂	11	頌	0.755					判定不能
们	10	們	0.665	們	0.665	1	1	yes
张	10	弭	0.632					判定不能
扩	10	枦	0.684					判定不能
捣	10	槝	0.716					判定不能
敌	10	故	0.687					判定不能
炼	10	恠	0.671					判定不能
砾	10	砥	0.692					判定不能
祸	10	褐	0.743					判定不能
绞	10	皎	0.677					判定不能
缀	10	綴	0.650					判定不能
讽	10	珮	0.645					判定不能
锌	10	梓	0.675					判定不能
饶	10	焼	0.647					判定不能
伦	9	价	0.704					判定不能
冻	9	凉	0.658					判定不能
凯	9	凱	0.700					判定不能
嗡	9	喘	0.712					判定不能
帐	9	帆	0.708					判定不能
庙	9	廁	0.659					判定不能
恼	9	悃	0.697					判定不能
愤	9	懦	0.664					判定不能
栏	9	杞	0.653					判定不能
歼	9	粁	0.669					判定不能
爷	9	釜	0.598	爺	0.541	7	1	yes
绵	9	棉	0.727					判定不能
舰	9	舸	0.718					判定不能
茧	9	菫	0.649					判定不能
莺	9	蒭	0.628					判定不能
谍	9	渫	0.715					判定不能
谎	9	慌	0.720					判定不能
谣	9	揺	0.741					判定不能
贞	9	寅	0.648					判定不能
邻	9	邨	0.651					判定不能
释	9	粁	0.662					判定不能
闸	9	圃	0.715					判定不能
闹	9	岡	0.762					判定不能
顾	9	頗	0.682					判定不能
驯	9	訓	0.721					判定不能
驳	9	駁	0.663					判定不能
鲨	9	鯊	0.636					判定不能
鸵	9	駝	0.686					判定不能
鹃	9	鵑	0.717					判定不能
侦	8	偵	0.733					判定不能
兴	8	異	0.592					判定不能
则	8	剔	0.693					判定不能
垛	8	悚	0.655					判定不能
宠	8	充	0.669					判定不能
庐	8	府	0.609					判定不能
归	8	凹	0.612					判定不能
彻	8	恂	0.700					判定不能
椭	8	櫚	0.699					判定不能
泽	8	淨	0.676					判定不能
溅	8	濺	0.703					判定不能
烛	8	煉	0.733					判定不能
窝	8	窩	0.657					判定不能
筛	8	籀	0.646					判定不能
篡	8	簒	0.704					判定不能
纵	8	愀	0.610					判定不能
聪	8	鵈	0.724					判定不能
谤	8	傍	0.833					判定不能
贡	8	買	0.687					判定不能
轧	8	乳	0.699					判定不能
违	8	述	0.686					判定不能
钙	8	蝟	0.618					判定不能
钳	8	蚶	0.700					判定不能
钾	8	神	0.680					判定不能
隐	8	陣	0.665					判定不能
飘	8	瓢	0.709					判定不能
驴	8	舮	0.679					判定不能
劝	7	幼	0.687					判定不能
婴	7	嬰	0.684					判定不能
忧	7	恍	0.676					判定不能
悬	7	号	0.657					判定不能
挤	7	接	0.667					判定不能
斋	7	需	0.659					判定不能
暂	7	皙	0.668					判定不能
榄	7	椶	0.715					判定不能
罗	7	罟	0.585					判定不能
苍	7	芥	0.681					判定不能
诲	7	悔	0.797					判定不能
诵	7	桶	0.734					判定不能
谬	7	摎	0.667					判定不能
赏	7	賞	0.702					判定不能
轻	7	耗	0.614					判定不能
钝	7	純	0.686					判定不能
陨	7	限	0.726					判定不能
驻	7	脛	0.662					判定不能
临	6	唯	0.655					判定不能
仪	6	仗	0.686					判定不能
喻	6	喩	0.739					判定不能
嚎	6	噎	0.674					判定不能
坛	6	伝	0.646					判定不能
拦	6	拉	0.642					判定不能
涩	6	池	0.681					判定不能
滥	6	濫	0.707					判定不能
疟	6	症	0.713					判定不能
维	6	推	0.720	維	0.641	9	2	yes
绸	6	惆	0.739					判定不能
缎	6	椴	0.752					判定不能
脐	6	胼	0.711					判定不能
蜕	6	蜆	0.705					判定不能
谚	6	偐	0.703					判定不能
贺	6	賀	0.638					判定不能
输	6	瑜	0.727					判定不能
铝	6	梠	0.722					判定不能
